time,Atlanta,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. A. Horford (M. Smart gains possession),,,,Jump ball: B. Bass vs. A. Horford (M. Smart gains possession)
11:51.0,Violation by D. Carroll (kicked ball),,0-0,,
11:37.0,,,0-0,,Turnover by M. Smart (bad pass; steal by D. Carroll)
11:31.0,K. Korver makes 3-pt shot from 23 ft (assist by D. Carroll),3,3-0,,
11:16.0,,,3-0,,E. Turner misses 3-pt shot from 22 ft
11:15.0,Defensive rebound by D. Carroll,,3-0,,
10:56.0,A. Horford makes 2-pt shot from 16 ft (assist by P. Millsap),2,5-0,,
10:32.0,,,5-0,,J. Sullinger misses 2-pt shot from 22 ft
10:31.0,Defensive rebound by D. Carroll,,5-0,,
10:11.0,D. Carroll misses 3-pt shot from 24 ft,,5-0,,
10:10.0,,,5-0,,Defensive rebound by B. Bass
10:01.0,,,5-0,,A. Bradley misses 3-pt shot from 22 ft
9:59.0,Defensive rebound by K. Korver,,5-0,,
9:50.0,J. Teague makes 2-pt shot from 5 ft (assist by D. Carroll),2,7-0,,
9:38.0,,,7-0,,A. Bradley misses 2-pt shot from 7 ft (block by J. Teague)
9:37.0,,,7-0,,Offensive rebound by Team
9:26.0,,,7-0,,B. Bass misses 2-pt shot from 20 ft
9:25.0,Defensive rebound by D. Carroll,,7-0,,
9:16.0,A. Horford makes 2-pt shot from 19 ft (assist by D. Carroll),2,9-0,,
9:16.0,,,9-0,,Boston full timeout
9:02.0,,,9-0,,A. Bradley misses 2-pt shot from 19 ft
9:01.0,Defensive rebound by P. Millsap,,9-0,,
8:49.0,D. Carroll misses 2-pt shot from 16 ft,,9-0,,
8:48.0,,,9-0,,Defensive rebound by E. Turner
8:30.0,,,9-0,,A. Bradley misses 3-pt shot from 24 ft
8:29.0,,,9-0,,Offensive rebound by Team
8:19.0,,,9-2,2,E. Turner makes 2-pt shot from 14 ft
8:09.0,A. Horford makes 2-pt shot from 19 ft (assist by J. Teague),2,11-2,,
7:47.0,,,11-2,,M. Smart misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by K. Korver,,11-2,,
7:38.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,13-2,,
7:18.0,,,13-2,,E. Turner misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by D. Carroll,,13-2,,
7:08.0,P. Millsap misses 3-pt shot from 25 ft,,13-2,,
7:07.0,,,13-2,,Defensive rebound by J. Sullinger
7:02.0,Personal block foul by K. Korver (drawn by M. Smart),,13-2,,
7:02.0,,,13-2,,M. Thornton enters the game for M. Smart
7:02.0,,,13-2,,J. Crowder enters the game for B. Bass
7:02.0,,,13-2,,T. Zeller enters the game for J. Sullinger
6:56.0,,,13-2,,J. Crowder misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by A. Horford,,13-2,,
6:49.0,D. Carroll makes 2-pt shot at rim (assist by P. Millsap),2,15-2,,
6:49.0,Shooting foul by M. Thornton (drawn by D. Carroll),,15-2,,
6:49.0,D. Carroll makes free throw 1 of 1,1,16-2,,
6:28.0,,,16-5,3,M. Thornton makes 3-pt shot from 25 ft (assist by E. Turner)
6:12.0,Turnover by K. Korver (bad pass),,16-5,,
6:12.0,K. Bazemore enters the game for K. Korver,,16-5,,
5:54.0,,,16-5,,T. Zeller misses 2-pt shot from 1 ft (block by K. Bazemore)
5:52.0,,,16-5,,Offensive rebound by Team
5:40.0,,,16-5,,T. Zeller misses 2-pt shot from 8 ft
5:39.0,Defensive rebound by A. Horford,,16-5,,
5:29.0,A. Horford misses 2-pt shot from 15 ft,,16-5,,
5:28.0,,,16-5,,Defensive rebound by A. Bradley
5:14.0,,,16-5,,A. Bradley misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by A. Horford,,16-5,,
5:07.0,Shooting foul by T. Zeller (drawn by D. Carroll),,16-5,,
5:07.0,D. Carroll makes free throw 1 of 2,1,17-5,,
5:07.0,,,17-5,,T. Prince enters the game for A. Bradley
5:07.0,P. Antic enters the game for A. Horford,,17-5,,
5:07.0,D. Carroll misses free throw 2 of 2,,17-5,,
5:07.0,,,17-5,,Defensive rebound by E. Turner
4:49.0,,,17-7,2,E. Turner makes 2-pt shot at rim (assist by T. Zeller)
4:38.0,J. Teague misses 3-pt shot from 23 ft,,17-7,,
4:37.0,,,17-7,,Defensive rebound by M. Thornton
4:27.0,,,17-7,,J. Crowder misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by P. Millsap,,17-7,,
4:11.0,K. Bazemore misses 3-pt shot from 23 ft,,17-7,,
4:10.0,,,17-7,,Defensive rebound by T. Prince
4:04.0,,,17-7,,J. Crowder misses 2-pt shot at rim
4:03.0,,,17-7,,Offensive rebound by T. Zeller
4:01.0,,,17-9,2,T. Zeller makes 2-pt shot at rim
3:59.0,Atlanta full timeout,,17-9,,
3:59.0,D. Schroder enters the game for J. Teague,,17-9,,
3:38.0,D. Schroder makes 2-pt shot at rim,2,19-9,,
3:29.0,,,19-9,,M. Thornton misses 3-pt shot from 22 ft
3:28.0,Defensive rebound by P. Millsap,,19-9,,
3:02.0,Turnover by P. Antic (lost ball; steal by E. Turner),,19-9,,
2:46.0,,,19-9,,Shooting foul by K. Bazemore (drawn by E. Turner)
2:46.0,,,19-10,1,E. Turner makes free throw 1 of 2
2:46.0,,,19-11,1,E. Turner makes free throw 2 of 2
2:33.0,K. Bazemore misses 2-pt shot at rim,,19-11,,
2:32.0,,,19-11,,Defensive rebound by M. Thornton
2:27.0,,,19-11,,M. Thornton misses 2-pt shot from 1 ft
2:26.0,Defensive rebound by P. Antic,,19-11,,
2:14.0,Shooting foul by J. Crowder (drawn by P. Millsap),,19-11,,
2:14.0,P. Millsap makes free throw 1 of 2,1,20-11,,
