time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:35.0,K. Thompson misses 3-pt shot from 23 ft,,0-0,,
12:00.0,Jump ball: A. Bogut vs. D. Howard (D. Green gains possession),,,,Jump ball: A. Bogut vs. D. Howard (D. Green gains possession)
11:34.0,,,0-0,,Defensive rebound by D. Howard
11:29.0,,,0-0,,J. Smith misses 2-pt shot from 2 ft
11:28.0,,,0-0,,Offensive rebound by J. Smith
11:17.0,,,0-2,2,D. Howard makes 2-pt shot from 2 ft (assist by J. Smith)
10:59.0,H. Barnes misses 3-pt shot from 23 ft,,0-2,,
10:58.0,,,0-2,,Defensive rebound by D. Howard
10:36.0,,,0-2,,J. Terry misses 3-pt shot from 26 ft
10:35.0,Defensive rebound by D. Green,,0-2,,
10:21.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green),2,2-2,,
10:14.0,,,2-2,,J. Terry misses 2-pt shot from 1 ft (block by K. Thompson)
10:13.0,Defensive rebound by D. Green,,2-2,,
10:07.0,D. Green misses 3-pt shot from 25 ft,,2-2,,
10:06.0,,,2-2,,Defensive rebound by J. Smith
9:54.0,,,2-5,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Terry)
9:35.0,K. Thompson makes 2-pt shot from 20 ft (assist by A. Bogut),2,4-5,,
9:24.0,Personal foul by S. Curry (drawn by T. Ariza),,4-5,,
9:19.0,,,4-7,2,J. Terry makes 2-pt shot from 5 ft
9:03.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,7-7,,
8:47.0,,,7-7,,T. Ariza misses 2-pt shot from 2 ft (block by A. Bogut)
8:45.0,,,7-7,,Offensive rebound by D. Howard
8:42.0,,,7-7,,J. Terry misses 3-pt shot from 25 ft
8:41.0,Defensive rebound by K. Thompson,,7-7,,
8:37.0,S. Curry misses 3-pt shot from 25 ft,,7-7,,
8:36.0,,,7-7,,Defensive rebound by J. Harden
8:27.0,,,7-7,,J. Harden misses 2-pt shot from 22 ft
8:26.0,Defensive rebound by K. Thompson,,7-7,,
8:16.0,K. Thompson makes 2-pt shot from 17 ft,2,9-7,,
7:56.0,,,9-9,2,D. Howard makes 2-pt shot at rim (assist by J. Terry)
7:44.0,,,9-9,,Violation by D. Howard (def goaltending)
7:44.0,A. Bogut makes 2-pt shot from 4 ft (assist by S. Curry),2,11-9,,
7:29.0,,,11-9,,Offensive charge foul by D. Howard
7:29.0,,,11-9,,Turnover by D. Howard (offensive foul)
7:21.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,13-9,,
7:20.0,,,13-9,,Houston full timeout
7:02.0,,,13-9,,Turnover by J. Harden (bad pass)
6:41.0,H. Barnes misses 2-pt shot from 19 ft,,13-9,,
6:40.0,Offensive rebound by D. Green,,13-9,,
6:31.0,A. Bogut makes 2-pt shot from 1 ft (assist by K. Thompson),2,15-9,,
6:15.0,,,15-9,,Shooting foul by D. Green (drawn by J. Smith)
6:15.0,,,15-10,1,J. Smith makes free throw 1 of 2
6:15.0,,,15-10,,J. Smith misses free throw 2 of 2
6:15.0,Defensive rebound by A. Bogut,,15-10,,
