time,Phoenix,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. A. Len (E. Payton gains possession),,,,Jump ball: D. Dedmon vs. A. Len (E. Payton gains possession)
11:41.0,,,0-0,,N. Vucevic misses 2-pt shot from 8 ft
11:40.0,Defensive rebound by E. Bledsoe,,0-0,,
11:26.0,A. Len misses 2-pt shot from 6 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by N. Vucevic
11:17.0,,,0-0,,E. Payton misses 2-pt shot from 2 ft
11:15.0,Defensive rebound by A. Len,,0-0,,
11:10.0,Shooting foul by D. Dedmon (drawn by B. Knight),,0-0,,
11:10.0,B. Knight misses free throw 1 of 2,,0-0,,
11:10.0,Offensive rebound by Team,,0-0,,
11:10.0,B. Knight makes free throw 2 of 2,1,1-0,,
11:06.0,,,1-0,,Turnover by E. Payton (traveling)
10:53.0,Turnover by P. Tucker (step out of bounds),,1-0,,
10:41.0,,,1-2,2,V. Oladipo makes 2-pt shot from 1 ft
10:37.0,,,1-2,,Violation by D. Dedmon (def goaltending)
10:37.0,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,3-2,,
10:21.0,,,3-2,,V. Oladipo misses 2-pt shot from 8 ft
10:20.0,Defensive rebound by M. Morris,,3-2,,
10:11.0,B. Knight makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,5-2,,
9:58.0,,,5-4,2,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton)
9:45.0,M. Morris makes 2-pt shot from 14 ft (assist by B. Knight),2,7-4,,
9:24.0,,,7-6,2,V. Oladipo makes 2-pt shot from 2 ft
9:10.0,Turnover by E. Bledsoe (lost ball; steal by E. Payton),,7-6,,
9:05.0,,,7-8,2,T. Harris makes 2-pt shot from 1 ft (assist by V. Oladipo)
8:54.0,Turnover by E. Bledsoe (lost ball; steal by N. Vucevic),,7-8,,
8:49.0,,,7-10,2,D. Dedmon makes 2-pt shot at rim (assist by V. Oladipo)
8:49.0,Phoenix full timeout,,7-10,,
8:31.0,B. Knight makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,10-10,,
8:14.0,,,10-10,,E. Payton misses 3-pt shot from 22 ft
8:13.0,,,10-10,,Offensive rebound by D. Dedmon
8:13.0,,,10-12,2,D. Dedmon makes 2-pt shot from 5 ft
8:13.0,,,10-12,,Shooting foul by A. Len (drawn by D. Dedmon)
8:13.0,,,10-13,1,D. Dedmon makes free throw 1 of 1
8:00.0,M. Morris makes 2-pt shot from 8 ft,2,12-13,,
7:38.0,,,12-15,2,T. Harris makes 2-pt shot from 7 ft
7:26.0,Offensive charge foul by A. Len,,12-15,,
7:26.0,Turnover by A. Len (offensive foul),,12-15,,
7:26.0,B. Wright enters the game for A. Len,,12-15,,
7:17.0,,,12-17,2,T. Harris makes 2-pt shot from 17 ft (assist by E. Payton)
7:00.0,Shooting foul by D. Dedmon (drawn by M. Morris),,12-17,,
7:00.0,M. Morris misses free throw 1 of 2,,12-17,,
7:00.0,Offensive rebound by Team,,12-17,,
7:00.0,,,12-17,,A. Gordon enters the game for D. Dedmon
7:00.0,M. Morris makes free throw 2 of 2,1,13-17,,
6:42.0,,,13-17,,A. Gordon misses 2-pt shot from 14 ft
6:41.0,Defensive rebound by P. Tucker,,13-17,,
6:27.0,E. Bledsoe misses 2-pt shot from 2 ft (block by T. Harris),,13-17,,
6:26.0,Offensive rebound by B. Wright,,13-17,,
6:20.0,M. Morris misses 2-pt shot from 2 ft,,13-17,,
