time,Utah,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. J. Thompson (T. Burke gains possession),,,,Jump ball: D. Favors vs. J. Thompson (T. Burke gains possession)
11:40.0,Shooting foul by B. McLemore (drawn by A. Burks),,0-0,,
11:40.0,A. Burks misses free throw 1 of 2,,0-0,,
11:40.0,Offensive rebound by Team,,0-0,,
11:40.0,A. Burks makes free throw 2 of 2,1,1-0,,
11:28.0,Personal foul by A. Burks (drawn by B. McLemore),,1-0,,
11:22.0,,,1-0,,B. McLemore misses 2-pt shot from 19 ft
11:20.0,,,1-0,,Offensive rebound by R. Gay
11:08.0,,,1-0,,Turnover by R. Gay (lost ball; steal by G. Hayward)
11:05.0,G. Hayward makes 2-pt shot at rim (assist by T. Burke),2,3-0,,
10:42.0,,,3-2,2,D. Collison makes 2-pt shot from 17 ft (assist by R. Gay)
10:24.0,T. Burke misses 2-pt shot from 20 ft,,3-2,,
10:23.0,,,3-2,,Defensive rebound by J. Thompson
10:04.0,,,3-4,2,R. Evans makes 2-pt shot from 3 ft (assist by J. Thompson)
9:40.0,D. Favors misses 2-pt shot from 18 ft,,3-4,,
9:38.0,,,3-4,,Defensive rebound by J. Thompson
9:29.0,,,3-6,2,D. Collison makes 2-pt shot from 1 ft
9:13.0,E. Kanter misses 2-pt shot from 19 ft,,3-6,,
9:11.0,,,3-6,,Defensive rebound by R. Evans
9:02.0,,,3-8,2,R. Gay makes 2-pt shot from 6 ft
8:41.0,E. Kanter makes 2-pt shot from 2 ft (assist by A. Burks),2,5-8,,
8:27.0,,,5-10,2,B. McLemore makes 2-pt shot from 1 ft (assist by D. Collison)
8:09.0,A. Burks misses 2-pt shot from 20 ft,,5-10,,
8:08.0,,,5-10,,Defensive rebound by J. Thompson
7:56.0,,,5-10,,R. Gay misses 2-pt shot from 11 ft
7:56.0,Defensive rebound by D. Favors,,5-10,,
7:50.0,T. Burke misses 2-pt shot from 5 ft,,5-10,,
7:49.0,Offensive rebound by E. Kanter,,5-10,,
7:49.0,E. Kanter makes 2-pt shot from 1 ft,2,7-10,,
7:40.0,,,7-10,,Shooting foul by D. Favors (drawn by B. McLemore)
7:40.0,,,7-11,1,B. McLemore makes free throw 1 of 2
7:40.0,,,7-12,1,B. McLemore makes free throw 2 of 2
7:40.0,,,7-12,,Violation by Team (delay of game)
7:16.0,T. Burke makes 2-pt shot from 21 ft (assist by E. Kanter),2,9-12,,
7:02.0,,,9-12,,Turnover by D. Collison (bad pass; steal by A. Burks)
6:59.0,A. Burks makes 2-pt shot at rim,2,11-12,,
6:42.0,,,11-12,,R. Gay misses 2-pt shot from 13 ft
6:42.0,Defensive rebound by G. Hayward,,11-12,,
6:34.0,G. Hayward makes 2-pt shot from 18 ft,2,13-12,,
6:12.0,,,13-14,2,J. Thompson makes 2-pt shot from 6 ft (assist by B. McLemore)
5:54.0,G. Hayward misses 2-pt shot from 19 ft,,13-14,,
5:53.0,Offensive rebound by D. Favors,,13-14,,
5:53.0,D. Favors makes 2-pt shot from 1 ft,2,15-14,,
5:41.0,,,15-14,,D. Collison misses 2-pt shot from 18 ft
5:41.0,Defensive rebound by E. Kanter,,15-14,,
5:33.0,A. Burks makes 2-pt shot from 1 ft (assist by T. Burke),2,17-14,,
5:33.0,Shooting foul by R. Evans (drawn by A. Burks),,17-14,,
5:33.0,,,17-14,,Sacramento full timeout
5:33.0,T. Booker enters the game for E. Kanter,,17-14,,
5:33.0,A. Burks misses free throw 1 of 1,,17-14,,
5:32.0,,,17-14,,Defensive rebound by R. Evans
5:19.0,,,17-14,,B. McLemore misses 2-pt shot from 3 ft (block by D. Favors)
5:14.0,Defensive rebound by A. Burks,,17-14,,
5:03.0,Turnover by G. Hayward (traveling),,17-14,,
5:03.0,R. Hood enters the game for A. Burks,,17-14,,
4:50.0,,,17-14,,R. Evans misses 2-pt shot from 2 ft
4:50.0,Defensive rebound by Team,,17-14,,
4:33.0,T. Burke makes 2-pt shot from 17 ft,2,19-14,,
4:17.0,,,19-14,,B. McLemore misses 2-pt shot from 20 ft
4:16.0,Defensive rebound by T. Burke,,19-14,,
4:11.0,T. Booker misses 2-pt shot from 2 ft,,19-14,,
4:09.0,,,19-14,,Defensive rebound by R. Evans
3:56.0,,,19-16,2,R. Gay makes 2-pt shot from 9 ft
3:49.0,Shooting foul by R. Gay (drawn by G. Hayward),,19-16,,
3:49.0,G. Hayward misses free throw 1 of 2,,19-16,,
3:49.0,Offensive rebound by Team,,19-16,,
3:49.0,G. Hayward makes free throw 2 of 2,1,20-16,,
3:36.0,Def 3 sec tech foul by D. Favors,,20-16,,
3:36.0,,,20-17,1,R. Gay makes technical free throw
3:36.0,,,20-17,,N. Stauskas enters the game for R. Evans
3:36.0,,,20-17,,C. Landry enters the game for B. McLemore
3:27.0,,,20-17,,R. Gay misses 2-pt shot from 16 ft
3:27.0,Defensive rebound by D. Favors,,20-17,,
3:07.0,Turnover by T. Booker (lost ball; steal by R. Gay),,20-17,,
2:58.0,,,20-17,,N. Stauskas misses 3-pt shot from 24 ft
2:57.0,Defensive rebound by G. Hayward,,20-17,,
2:50.0,G. Hayward makes 2-pt shot from 9 ft,2,22-17,,
2:32.0,,,22-19,2,D. Collison makes 2-pt shot from 15 ft
2:31.0,Utah full timeout,,22-19,,
2:31.0,D. Exum enters the game for D. Favors,,22-19,,
2:31.0,R. Gobert enters the game for T. Burke,,22-19,,
2:31.0,,,22-19,,D. Williams enters the game for R. Gay
2:22.0,Shooting foul by C. Landry (drawn by R. Gobert),,22-19,,
2:22.0,R. Gobert misses free throw 1 of 2,,22-19,,
2:22.0,Offensive rebound by Team,,22-19,,
2:22.0,R. Gobert makes free throw 2 of 2,1,23-19,,
2:06.0,,,23-21,2,D. Collison makes 2-pt shot from 18 ft
1:51.0,T. Booker makes 2-pt shot from 13 ft (assist by G. Hayward),2,25-21,,
1:33.0,,,25-21,,N. Stauskas misses 2-pt shot from 18 ft
1:32.0,Defensive rebound by G. Hayward,,25-21,,
1:28.0,G. Hayward makes 2-pt shot from 8 ft,2,27-21,,
1:06.0,,,27-21,,D. Williams misses 2-pt shot from 8 ft
1:05.0,Defensive rebound by T. Booker,,27-21,,
0:53.0,G. Hayward misses 2-pt shot from 20 ft,,27-21,,
0:52.0,,,27-21,,Defensive rebound by D. Collison
0:38.0,,,27-21,,Shooting foul by R. Gobert (drawn by C. Landry)
0:38.0,,,27-22,1,C. Landry makes free throw 1 of 2
0:38.0,,,27-22,,R. Hollins enters the game for J. Thompson
