time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. T. Chandler (M. Ellis gains possession),,,,Jump ball: T. Black vs. T. Chandler (M. Ellis gains possession)
11:34.0,J. Nelson makes 2-pt shot from 21 ft (assist by C. Parsons),2,2-0,,
11:17.0,,,2-3,3,P. Beverley makes 3-pt shot from 24 ft (assist by D. Motiejunas)
11:08.0,,,2-3,,Personal foul by T. Black (drawn by M. Ellis)
10:58.0,J. Nelson makes 3-pt shot from 24 ft (assist by D. Nowitzki),3,5-3,,
10:41.0,,,5-3,,Turnover by J. Harden (bad pass; steal by C. Parsons)
10:35.0,C. Parsons makes 2-pt shot at rim (assist by M. Ellis),2,7-3,,
10:17.0,,,7-6,3,J. Harden makes 3-pt shot from 24 ft
10:07.0,T. Chandler makes 2-pt shot at rim (assist by J. Nelson),2,9-6,,
9:54.0,,,9-9,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
9:43.0,C. Parsons misses 3-pt shot from 24 ft,,9-9,,
9:42.0,,,9-9,,Defensive rebound by D. Motiejunas
9:34.0,,,9-9,,P. Beverley misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by T. Chandler,,9-9,,
9:25.0,M. Ellis misses 2-pt shot from 1 ft,,9-9,,
9:24.0,Offensive rebound by T. Chandler,,9-9,,
9:24.0,T. Chandler misses 2-pt shot at rim,,9-9,,
9:23.0,,,9-9,,Defensive rebound by J. Harden
9:17.0,,,9-12,3,P. Beverley makes 3-pt shot from 22 ft (assist by T. Ariza)
8:51.0,J. Nelson misses 2-pt shot from 9 ft,,9-12,,
8:49.0,Offensive rebound by T. Chandler,,9-12,,
8:44.0,D. Nowitzki misses 3-pt shot from 25 ft,,9-12,,
8:43.0,,,9-12,,Defensive rebound by D. Motiejunas
8:37.0,,,9-14,2,J. Harden makes 2-pt shot from 1 ft
8:36.0,Dallas full timeout,,9-14,,
8:24.0,D. Nowitzki misses 2-pt shot from 11 ft,,9-14,,
8:23.0,,,9-14,,Defensive rebound by J. Harden
8:16.0,,,9-14,,T. Ariza misses 3-pt shot from 23 ft
8:15.0,,,9-14,,Offensive rebound by D. Motiejunas
8:14.0,,,9-16,2,D. Motiejunas makes 2-pt shot at rim
8:01.0,Shooting foul by J. Harden (drawn by T. Chandler),,9-16,,
8:01.0,T. Chandler makes free throw 1 of 2,1,10-16,,
8:01.0,T. Chandler makes free throw 2 of 2,1,11-16,,
7:47.0,,,11-16,,Turnover by J. Harden (bad pass)
7:38.0,M. Ellis makes 2-pt shot from 1 ft,2,13-16,,
7:21.0,,,13-16,,J. Harden misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by D. Nowitzki,,13-16,,
7:03.0,C. Parsons makes 2-pt shot at rim (assist by J. Nelson),2,15-16,,
6:52.0,,,15-19,3,D. Motiejunas makes 3-pt shot from 22 ft (assist by J. Harden)
6:40.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by T. Chandler),2,17-19,,
6:10.0,,,17-19,,P. Beverley misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by T. Chandler,,17-19,,
6:00.0,J. Nelson makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,20-19,,
5:53.0,,,20-19,,Houston full timeout
5:53.0,A. Aminu enters the game for D. Nowitzki,,20-19,,
5:53.0,,,20-19,,J. Dorsey enters the game for T. Black
5:42.0,,,20-19,,Shooting foul by C. Parsons (drawn by J. Harden)
5:42.0,,,20-20,1,J. Harden makes free throw 1 of 2
5:42.0,,,20-20,,K. Papanikolaou enters the game for D. Motiejunas
5:42.0,,,20-20,,J. Harden misses free throw 2 of 2
5:42.0,Defensive rebound by T. Chandler,,20-20,,
5:20.0,C. Parsons misses 2-pt shot from 7 ft,,20-20,,
5:19.0,,,20-20,,Defensive rebound by J. Harden
5:03.0,,,20-20,,K. Papanikolaou misses 2-pt shot at rim
5:02.0,Defensive rebound by T. Chandler,,20-20,,
4:55.0,Shooting foul by K. Papanikolaou (drawn by T. Chandler),,20-20,,
4:55.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,22-20,,
4:55.0,T. Chandler makes free throw 1 of 1,1,23-20,,
4:31.0,,,23-20,,T. Ariza misses 3-pt shot from 24 ft
4:30.0,Defensive rebound by C. Parsons,,23-20,,
4:17.0,T. Chandler misses 2-pt shot from 1 ft,,23-20,,
4:16.0,,,23-20,,Defensive rebound by P. Beverley
4:11.0,,,23-20,,P. Beverley misses 2-pt shot at rim
4:10.0,,,23-20,,Offensive rebound by J. Harden
4:10.0,,,23-22,2,J. Harden makes 2-pt shot at rim
3:55.0,M. Ellis misses 2-pt shot from 5 ft,,23-22,,
3:54.0,,,23-22,,Defensive rebound by K. Papanikolaou
3:47.0,,,23-22,,J. Harden misses 3-pt shot from 24 ft
3:46.0,Defensive rebound by C. Parsons,,23-22,,
3:41.0,J. Nelson misses 2-pt shot at rim,,23-22,,
3:41.0,Offensive rebound by Team,,23-22,,
3:41.0,,,23-22,,Loose ball foul by T. Ariza (drawn by A. Aminu)
3:41.0,,,23-22,,J. Terry enters the game for P. Beverley
3:41.0,B. Wright enters the game for T. Chandler,,23-22,,
3:32.0,M. Ellis makes 2-pt shot from 16 ft,2,25-22,,
3:18.0,,,25-22,,T. Ariza misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by B. Wright,,25-22,,
3:10.0,M. Ellis misses 3-pt shot from 24 ft,,25-22,,
3:09.0,,,25-22,,Defensive rebound by T. Ariza
2:48.0,,,25-25,3,J. Harden makes 3-pt shot from 24 ft
2:35.0,D. Harris enters the game for J. Nelson,,25-25,,
2:35.0,,,25-25,,F. Garcia enters the game for T. Ariza
2:20.0,M. Ellis misses 2-pt shot at rim,,25-25,,
2:20.0,Offensive rebound by Team,,25-25,,
2:20.0,Turnover by Team (shot clock),,25-25,,
2:01.0,,,25-25,,J. Terry misses 3-pt shot from 24 ft
1:59.0,,,25-25,,Offensive rebound by J. Terry
