time,Indiana,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. R. Hibbert (Z. LaVine gains possession),,,,Jump ball: G. Dieng vs. R. Hibbert (Z. LaVine gains possession)
11:37.0,,,0-0,,A. Wiggins misses 2-pt shot from 1 ft (block by R. Hibbert)
11:36.0,Defensive rebound by D. West,,0-0,,
11:22.0,Turnover by S. Hill (bad pass; steal by A. Wiggins),,0-0,,
11:11.0,,,0-0,,Shooting foul by S. Hill (drawn by S. Muhammad)
11:11.0,,,0-0,,S. Muhammad misses free throw 1 of 2
11:11.0,,,0-0,,Offensive rebound by Team
11:11.0,,,0-1,1,S. Muhammad makes free throw 2 of 2
11:02.0,Turnover by S. Hill (bad pass; steal by S. Muhammad),,0-1,,
10:54.0,,,0-1,,Offensive foul by G. Dieng
10:54.0,,,0-1,,Turnover by G. Dieng (offensive foul)
10:41.0,R. Hibbert misses 2-pt shot from 1 ft,,0-1,,
10:40.0,,,0-1,,Defensive rebound by A. Wiggins
10:37.0,,,0-1,,Shooting foul by R. Stuckey (drawn by G. Dieng)
10:37.0,,,0-2,1,G. Dieng makes free throw 1 of 2
10:37.0,,,0-3,1,G. Dieng makes free throw 2 of 2
10:13.0,R. Stuckey makes 2-pt shot from 18 ft,2,2-3,,
9:44.0,,,2-3,,T. Young misses 2-pt shot from 20 ft
9:43.0,,,2-3,,Offensive rebound by G. Dieng
9:41.0,,,2-3,,G. Dieng misses 2-pt shot from 2 ft (block by R. Hibbert)
9:39.0,Defensive rebound by R. Stuckey,,2-3,,
9:29.0,D. West makes 2-pt shot from 21 ft (assist by R. Hibbert),2,4-3,,
9:07.0,,,4-3,,A. Wiggins misses 2-pt shot from 16 ft
9:05.0,Defensive rebound by C. Watson,,4-3,,
8:54.0,C. Watson misses 2-pt shot from 12 ft,,4-3,,
8:53.0,,,4-3,,Defensive rebound by T. Young
8:47.0,,,4-3,,Turnover by T. Young (bad pass; steal by S. Hill)
8:40.0,R. Stuckey makes 2-pt shot from 1 ft,2,6-3,,
8:23.0,,,6-3,,Z. LaVine misses 2-pt shot from 20 ft
8:22.0,Defensive rebound by S. Hill,,6-3,,
8:09.0,R. Hibbert makes 2-pt shot from 3 ft (assist by S. Hill),2,8-3,,
7:49.0,,,8-5,2,G. Dieng makes 2-pt shot from 15 ft (assist by A. Wiggins)
7:24.0,S. Hill misses 3-pt shot from 25 ft,,8-5,,
7:23.0,,,8-5,,Defensive rebound by A. Wiggins
7:20.0,,,8-5,,Offensive charge foul by T. Young
7:20.0,,,8-5,,Turnover by T. Young (offensive foul)
7:09.0,C. Watson misses 2-pt shot from 8 ft,,8-5,,
7:08.0,,,8-5,,Defensive rebound by G. Dieng
7:07.0,Personal foul by R. Stuckey (drawn by A. Wiggins),,8-5,,
7:07.0,C. Miles enters the game for R. Stuckey,,8-5,,
6:55.0,,,8-5,,S. Muhammad misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by C. Watson,,8-5,,
6:41.0,R. Hibbert makes 2-pt shot from 18 ft (assist by C. Watson),2,10-5,,
6:22.0,,,10-5,,S. Muhammad misses 2-pt shot from 14 ft
6:21.0,Defensive rebound by R. Hibbert,,10-5,,
6:07.0,Turnover by R. Hibbert (lost ball; steal by T. Young),,10-5,,
6:00.0,,,10-5,,S. Muhammad misses 2-pt shot from 6 ft
5:59.0,Defensive rebound by R. Hibbert,,10-5,,
5:35.0,R. Hibbert makes 2-pt shot from 16 ft (assist by D. West),2,12-5,,
5:35.0,,,12-5,,Minnesota full timeout
5:35.0,,,12-5,,M. Williams enters the game for Z. LaVine
5:35.0,,,12-5,,C. Budinger enters the game for S. Muhammad
5:35.0,L. Allen enters the game for D. West,,12-5,,
5:16.0,,,12-5,,M. Williams misses 2-pt shot from 19 ft
5:15.0,Defensive rebound by C. Miles,,12-5,,
4:58.0,C. Miles misses 3-pt shot from 25 ft,,12-5,,
4:57.0,,,12-5,,Defensive rebound by Team
4:44.0,,,12-5,,C. Budinger misses 2-pt shot at rim
4:42.0,Defensive rebound by C. Miles,,12-5,,
4:30.0,Turnover by S. Hill (traveling),,12-5,,
4:12.0,,,12-5,,A. Wiggins misses 2-pt shot from 17 ft
4:11.0,Defensive rebound by C. Miles,,12-5,,
4:00.0,S. Hill misses 2-pt shot from 20 ft,,12-5,,
3:59.0,,,12-5,,Defensive rebound by C. Budinger
3:53.0,,,12-5,,A. Wiggins misses 2-pt shot from 13 ft
3:52.0,Defensive rebound by C. Miles,,12-5,,
3:36.0,R. Hibbert makes 2-pt shot at rim (assist by L. Allen),2,14-5,,
3:16.0,,,14-5,,T. Young misses 2-pt shot from 1 ft (block by R. Hibbert)
3:15.0,Defensive rebound by R. Hibbert,,14-5,,
3:08.0,C. Watson misses 3-pt shot from 25 ft,,14-5,,
3:07.0,,,14-5,,Defensive rebound by C. Budinger
2:54.0,,,14-7,2,M. Williams makes 2-pt shot from 18 ft
2:43.0,Indiana full timeout,,14-7,,
2:43.0,,,14-7,,S. Muhammad enters the game for A. Wiggins
2:43.0,D. Rudez enters the game for S. Hill,,14-7,,
2:32.0,R. Hibbert misses 2-pt shot from 16 ft,,14-7,,
2:30.0,Offensive rebound by L. Allen,,14-7,,
2:26.0,C. Miles makes 3-pt shot from 23 ft (assist by L. Allen),3,17-7,,
2:13.0,,,17-9,2,M. Williams makes 2-pt shot from 18 ft
1:54.0,L. Allen misses 2-pt shot from 11 ft,,17-9,,
1:53.0,,,17-9,,Defensive rebound by S. Muhammad
1:44.0,,,17-11,2,C. Budinger makes 2-pt shot from 5 ft
1:19.0,R. Hibbert misses 2-pt shot from 20 ft,,17-11,,
1:18.0,,,17-11,,Defensive rebound by S. Muhammad
1:02.0,,,17-13,2,T. Young makes 2-pt shot from 19 ft (assist by M. Williams)
0:48.0,C. Watson misses 2-pt shot from 14 ft,,17-13,,
0:47.0,,,17-13,,Defensive rebound by M. Williams
0:42.0,,,17-15,2,S. Muhammad makes 2-pt shot from 2 ft (assist by M. Williams)
0:30.0,Turnover by D. Rudez (traveling),,17-15,,
0:30.0,,,17-15,,A. Bennett enters the game for T. Young
0:30.0,L. Scola enters the game for R. Hibbert,,17-15,,
0:30.0,D. Sloan enters the game for C. Watson,,17-15,,
0:09.0,,,17-17,2,C. Budinger makes 2-pt shot from 17 ft (assist by M. Williams)
0:00.0,C. Miles makes 3-pt shot from 28 ft,3,20-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,L. Scola makes 2-pt shot from 1 ft (assist by D. Sloan),2,22-17,,
11:29.0,,,22-20,3,M. Williams makes 3-pt shot from 25 ft (assist by C. Budinger)
11:15.0,D. Sloan misses 2-pt shot from 13 ft,,22-20,,
11:14.0,,,22-20,,Defensive rebound by J. Adrien
