time,Detroit,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Jefferson (K. Walker gains possession),,,,Jump ball: A. Drummond vs. A. Jefferson (K. Walker gains possession)
11:41.0,,,0-2,2,A. Jefferson makes 2-pt shot from 10 ft (assist by M. Williams)
11:29.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,0-2,,
11:28.0,,,0-2,,Defensive rebound by A. Jefferson
11:20.0,,,0-2,,A. Jefferson misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by R. Jackson,,0-2,,
11:07.0,C. Butler makes 2-pt shot from 15 ft (assist by R. Jackson),2,2-2,,
10:53.0,,,2-4,2,G. Henderson makes 2-pt shot from 1 ft (assist by A. Jefferson)
10:53.0,,,2-4,,Shooting foul by K. Caldwell-Pope (drawn by G. Henderson)
10:53.0,,,2-5,1,G. Henderson makes free throw 1 of 1
10:37.0,Turnover by A. Drummond (offensive foul),,2-5,,
10:37.0,,,2-5,,A. Jefferson misses flagrant free throw 1 of 2
10:37.0,,,2-5,,Offensive rebound by Team
10:37.0,,,2-6,1,A. Jefferson makes flagrant free throw 2 of 2
10:33.0,,,2-6,,Turnover by J. Taylor (traveling)
10:23.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,4-6,,
10:07.0,,,4-8,2,M. Williams makes 2-pt shot from 1 ft (assist by A. Jefferson)
9:52.0,R. Jackson misses 2-pt shot from 8 ft,,4-8,,
9:49.0,,,4-8,,Defensive rebound by Team
9:49.0,Loose ball foul by A. Drummond (drawn by M. Williams),,4-8,,
9:42.0,Def 3 sec tech foul by C. Butler,,4-8,,
9:42.0,,,4-9,1,K. Walker makes technical free throw
9:30.0,,,4-11,2,K. Walker makes 2-pt shot from 16 ft (assist by J. Taylor)
9:24.0,Detroit full timeout,,4-11,,
9:24.0,J. Anthony enters the game for A. Drummond,,4-11,,
9:19.0,,,4-11,,Personal foul by J. Taylor (drawn by R. Jackson)
9:08.0,A. Tolliver misses 2-pt shot from 9 ft,,4-11,,
9:07.0,,,4-11,,Defensive rebound by G. Henderson
8:54.0,,,4-11,,A. Jefferson misses 2-pt shot from 10 ft
8:53.0,,,4-11,,Offensive rebound by M. Williams
8:43.0,,,4-11,,J. Taylor misses 2-pt shot from 6 ft
8:42.0,,,4-11,,Offensive rebound by A. Jefferson
8:36.0,,,4-14,3,K. Walker makes 3-pt shot from 26 ft
8:14.0,J. Anthony makes 2-pt shot from 8 ft (assist by C. Butler),2,6-14,,
7:44.0,,,6-14,,K. Walker misses 2-pt shot from 2 ft
7:43.0,Defensive rebound by R. Jackson,,6-14,,
7:35.0,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Jackson),3,9-14,,
7:20.0,,,9-16,2,K. Walker makes 2-pt shot from 19 ft
7:02.0,R. Jackson misses 2-pt shot from 2 ft,,9-16,,
7:02.0,Offensive rebound by J. Anthony,,9-16,,
7:02.0,Shooting foul by A. Jefferson (drawn by J. Anthony),,9-16,,
7:02.0,J. Anthony makes free throw 1 of 2,1,10-16,,
7:02.0,J. Anthony makes free throw 2 of 2,1,11-16,,
6:48.0,,,11-16,,A. Jefferson misses 2-pt shot from 9 ft
6:47.0,Defensive rebound by J. Anthony,,11-16,,
6:38.0,Turnover by R. Jackson (bad pass; steal by G. Henderson),,11-16,,
6:33.0,,,11-16,,Shooting foul by K. Caldwell-Pope (drawn by G. Henderson)
