time,Atlanta,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. M. Muscala (M. Brown gains possession),,,,Jump ball: B. Lopez vs. M. Muscala (M. Brown gains possession)
11:47.0,,,0-0,,B. Lopez misses 2-pt shot from 8 ft
11:46.0,Defensive rebound by A. Horford,,0-0,,
11:23.0,A. Horford misses 2-pt shot from 10 ft,,0-0,,
11:19.0,Offensive rebound by J. Teague,,0-0,,
11:12.0,M. Muscala makes 2-pt shot from 3 ft (assist by D. Carroll),2,2-0,,
10:49.0,,,2-0,,T. Young misses 2-pt shot from 8 ft
10:48.0,Defensive rebound by K. Korver,,2-0,,
10:40.0,D. Carroll makes 2-pt shot from 7 ft (assist by A. Horford),2,4-0,,
10:26.0,,,4-0,,Turnover by D. Williams (bad pass; steal by J. Teague)
10:22.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,6-0,,
9:59.0,,,6-0,,M. Brown misses 2-pt shot from 18 ft (block by K. Korver)
9:57.0,,,6-0,,Offensive rebound by M. Brown
9:55.0,,,6-2,2,B. Lopez makes 2-pt shot from 1 ft
9:40.0,M. Muscala misses 3-pt shot from 23 ft,,6-2,,
9:39.0,,,6-2,,Defensive rebound by M. Brown
9:29.0,,,6-2,,Turnover by B. Lopez (bad pass; steal by M. Muscala)
9:27.0,Jump ball: B. Lopez vs. M. Muscala (T. Young gains possession),,,,Jump ball: B. Lopez vs. M. Muscala (T. Young gains possession)
9:27.0,Turnover by M. Muscala (lost ball; steal by B. Lopez),,6-2,,
9:21.0,Violation by M. Muscala (kicked ball),,6-2,,
9:14.0,,,6-2,,D. Williams misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by D. Carroll,,6-2,,
8:53.0,M. Muscala makes 2-pt shot from 19 ft (assist by J. Teague),2,8-2,,
8:36.0,,,8-4,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Williams)
8:23.0,A. Horford makes 2-pt shot from 1 ft (assist by M. Muscala),2,10-4,,
7:59.0,,,10-4,,T. Young misses 2-pt shot from 15 ft
7:58.0,Defensive rebound by D. Carroll,,10-4,,
7:53.0,,,10-4,,Personal foul by J. Johnson (drawn by D. Carroll)
7:45.0,K. Korver misses 3-pt shot from 23 ft,,10-4,,
7:44.0,,,10-4,,Defensive rebound by T. Young
7:26.0,,,10-6,2,T. Young makes 2-pt shot from 7 ft (assist by D. Williams)
7:07.0,A. Horford makes 3-pt shot from 23 ft (assist by J. Teague),3,13-6,,
6:48.0,,,13-6,,B. Bogdanovic enters the game for M. Brown
6:40.0,,,13-6,,B. Lopez misses 2-pt shot from 17 ft
6:39.0,Defensive rebound by D. Carroll,,13-6,,
6:26.0,D. Carroll makes 2-pt shot from 17 ft (assist by J. Teague),2,15-6,,
6:14.0,Personal foul by M. Muscala (drawn by D. Williams),,15-6,,
6:14.0,K. Bazemore enters the game for K. Korver,,15-6,,
6:14.0,M. Scott enters the game for A. Horford,,15-6,,
6:06.0,,,15-6,,Turnover by B. Bogdanovic (bad pass; steal by D. Carroll)
6:03.0,D. Carroll makes 2-pt shot at rim (assist by J. Teague),2,17-6,,
6:03.0,,,17-6,,Brooklyn full timeout
5:43.0,,,17-9,3,T. Young makes 3-pt shot from 24 ft (assist by D. Williams)
5:22.0,M. Muscala makes 2-pt shot from 15 ft (assist by D. Carroll),2,19-9,,
5:05.0,,,19-11,2,B. Lopez makes 2-pt shot from 2 ft (assist by T. Young)
4:54.0,J. Teague misses 2-pt shot from 2 ft,,19-11,,
4:53.0,Offensive rebound by M. Muscala,,19-11,,
4:52.0,M. Muscala makes 2-pt shot from 1 ft,2,21-11,,
4:42.0,,,21-11,,J. Johnson misses 3-pt shot from 22 ft
4:41.0,Defensive rebound by M. Scott,,21-11,,
4:33.0,K. Bazemore misses 2-pt shot from 3 ft,,21-11,,
4:32.0,,,21-11,,Defensive rebound by T. Young
4:20.0,,,21-11,,T. Young misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by K. Bazemore,,21-11,,
4:13.0,Shooting foul by T. Young (drawn by M. Scott),,21-11,,
4:13.0,M. Scott makes free throw 1 of 2,1,22-11,,
4:13.0,E. Brand enters the game for M. Muscala,,22-11,,
4:13.0,D. Schroder enters the game for J. Teague,,22-11,,
4:13.0,,,22-11,,M. Brown enters the game for J. Johnson
4:13.0,M. Scott makes free throw 2 of 2,1,23-11,,
4:06.0,,,23-11,,Shooting foul by K. Bazemore (drawn by B. Lopez)
4:06.0,,,23-12,1,B. Lopez makes free throw 1 of 2
4:06.0,,,23-13,1,B. Lopez makes free throw 2 of 2
3:45.0,,,23-13,,Personal foul by M. Brown (drawn by K. Bazemore)
3:39.0,D. Schroder misses 3-pt shot from 25 ft,,23-13,,
3:38.0,,,23-13,,Defensive rebound by T. Young
3:32.0,,,23-15,2,M. Brown makes 2-pt shot from 2 ft
3:31.0,Atlanta full timeout,,23-15,,
3:10.0,M. Scott makes 3-pt shot from 26 ft (assist by D. Carroll),3,26-15,,
2:51.0,,,26-17,2,D. Williams makes 2-pt shot from 8 ft
2:37.0,,,26-17,,Violation by B. Lopez (def goaltending)
2:37.0,D. Schroder makes 2-pt shot from 2 ft (assist by M. Scott),2,28-17,,
2:21.0,,,28-17,,B. Lopez misses 2-pt shot from 17 ft
2:20.0,Defensive rebound by E. Brand,,28-17,,
2:05.0,D. Schroder misses 3-pt shot from 24 ft,,28-17,,
2:04.0,,,28-17,,Defensive rebound by T. Young
1:48.0,,,28-19,2,T. Young makes 2-pt shot from 2 ft (assist by D. Williams)
1:37.0,Turnover by D. Schroder (bad pass; steal by T. Young),,28-19,,
1:32.0,,,28-21,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Williams)
1:10.0,M. Scott misses 2-pt shot from 16 ft,,28-21,,
1:09.0,,,28-21,,Defensive rebound by M. Brown
1:01.0,,,28-21,,M. Brown misses 2-pt shot from 16 ft
1:00.0,Defensive rebound by M. Scott,,28-21,,
0:50.0,D. Carroll makes 3-pt shot from 24 ft (assist by E. Brand),3,31-21,,
0:42.0,,,31-23,2,B. Lopez makes 2-pt shot from 1 ft (assist by D. Williams)
0:27.0,D. Carroll misses 3-pt shot from 22 ft,,31-23,,
0:26.0,,,31-23,,Defensive rebound by B. Lopez
0:12.0,,,31-26,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Williams)
0:04.0,K. Korver enters the game for D. Schroder,,31-26,,
0:04.0,A. Horford enters the game for E. Brand,,31-26,,
0:04.0,,,31-26,,J. Johnson enters the game for T. Young
0:04.0,,,31-26,,M. Plumlee enters the game for B. Lopez
0:03.0,,,31-26,,Personal foul by J. Johnson (drawn by A. Horford)
0:03.0,S. Mack enters the game for K. Bazemore,,31-26,,
0:01.0,A. Horford makes 2-pt shot from 18 ft (assist by K. Korver),2,33-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,A. Horford misses 2-pt shot from 3 ft,,33-26,,
11:48.0,Offensive rebound by A. Horford,,33-26,,
