time,LA Lakers,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. M. Plumlee,,,,Jump ball: T. Black vs. M. Plumlee
11:50.0,,,0-0,,B. Lopez misses 2-pt shot from 12 ft
11:49.0,Defensive rebound by Team,,0-0,,
11:30.0,Turnover by W. Ellington (bad pass; steal by M. Plumlee),,0-0,,
11:18.0,,,0-0,,D. Williams misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by J. Clarkson,,0-0,,
10:58.0,J. Clarkson misses 2-pt shot from 20 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by B. Lopez
10:50.0,Personal foul by R. Kelly (drawn by D. Williams),,0-0,,
10:46.0,,,0-2,2,J. Johnson makes 2-pt shot from 2 ft (assist by M. Plumlee)
10:29.0,Turnover by W. Ellington (bad pass; steal by J. Johnson),,0-2,,
10:17.0,,,0-2,,B. Lopez misses 2-pt shot from 4 ft
10:16.0,Defensive rebound by W. Johnson,,0-2,,
10:09.0,T. Black misses 2-pt shot at rim,,0-2,,
10:08.0,,,0-2,,Defensive rebound by M. Plumlee
9:52.0,,,0-2,,Shooting foul by W. Ellington (drawn by B. Lopez)
9:52.0,,,0-4,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Williams)
9:52.0,,,0-4,,B. Lopez misses free throw 1 of 1
9:51.0,Defensive rebound by T. Black,,0-4,,
9:37.0,Turnover by R. Kelly (lost ball; steal by D. Williams),,0-4,,
9:24.0,,,0-6,2,B. Lopez makes 2-pt shot at rim (assist by J. Johnson)
9:09.0,J. Clarkson makes 2-pt shot from 18 ft,2,2-6,,
8:58.0,,,2-6,,D. Williams misses 2-pt shot from 3 ft
8:57.0,,,2-6,,Offensive rebound by B. Lopez
8:56.0,,,2-6,,M. Plumlee misses 2-pt shot from 2 ft
8:55.0,,,2-6,,Offensive rebound by Team
8:46.0,,,2-6,,J. Johnson misses 2-pt shot from 12 ft
8:45.0,Defensive rebound by W. Ellington,,2-6,,
8:34.0,W. Johnson makes 2-pt shot from 14 ft,2,4-6,,
8:16.0,,,4-9,3,D. Williams makes 3-pt shot from 24 ft (assist by J. Johnson)
8:02.0,J. Clarkson makes 2-pt shot from 1 ft,2,6-9,,
7:54.0,,,6-11,2,D. Williams makes 2-pt shot from 2 ft
7:37.0,W. Ellington makes 3-pt shot from 24 ft (assist by R. Kelly),3,9-11,,
7:18.0,,,9-11,,M. Brown misses 3-pt shot from 23 ft
7:17.0,,,9-11,,Offensive rebound by Team
7:12.0,,,9-13,2,D. Williams makes 2-pt shot from 2 ft (assist by M. Plumlee)
6:49.0,T. Black misses 2-pt shot from 8 ft,,9-13,,
6:48.0,,,9-13,,Defensive rebound by J. Johnson
6:38.0,,,9-13,,B. Lopez misses 2-pt shot from 8 ft
6:37.0,Defensive rebound by J. Clarkson,,9-13,,
6:17.0,W. Johnson misses 2-pt shot from 14 ft,,9-13,,
6:17.0,,,9-13,,Defensive rebound by B. Lopez
6:08.0,,,9-15,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Williams)
5:46.0,J. Clarkson makes 2-pt shot from 15 ft (assist by T. Black),2,11-15,,
5:26.0,,,11-17,2,B. Lopez makes 2-pt shot at rim (assist by J. Johnson)
5:20.0,LA Lakers full timeout,,11-17,,
5:20.0,J. Brown enters the game for J. Clarkson,,11-17,,
5:20.0,R. Sacre enters the game for T. Black,,11-17,,
5:15.0,R. Kelly makes 2-pt shot from 2 ft (assist by R. Sacre),2,13-17,,
4:59.0,,,13-19,2,M. Brown makes 2-pt shot from 18 ft (assist by D. Williams)
4:35.0,R. Sacre makes 2-pt shot from 10 ft (assist by R. Kelly),2,15-19,,
4:16.0,,,15-22,3,M. Brown makes 3-pt shot from 25 ft (assist by M. Plumlee)
3:57.0,W. Johnson misses 2-pt shot from 17 ft,,15-22,,
3:56.0,,,15-22,,Defensive rebound by M. Plumlee
3:45.0,,,15-22,,M. Brown misses 3-pt shot from 23 ft
3:44.0,,,15-22,,Offensive rebound by Team
3:44.0,Loose ball foul by R. Kelly (drawn by M. Plumlee),,15-22,,
3:44.0,J. Hill enters the game for R. Kelly,,15-22,,
3:34.0,,,15-24,2,M. Brown makes 2-pt shot at rim (assist by J. Johnson)
3:11.0,J. Hill makes 2-pt shot at rim (assist by J. Brown),2,17-24,,
2:57.0,,,17-26,2,B. Lopez makes 2-pt shot from 13 ft
2:38.0,W. Ellington makes 2-pt shot from 19 ft,2,19-26,,
2:29.0,,,19-28,2,D. Williams makes 2-pt shot from 1 ft
2:08.0,J. Brown misses 3-pt shot from 25 ft,,19-28,,
2:07.0,,,19-28,,Defensive rebound by M. Brown
1:52.0,,,19-28,,J. Johnson misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by J. Hill,,19-28,,
1:32.0,J. Brown misses 2-pt shot from 3 ft (block by B. Lopez),,19-28,,
1:31.0,,,19-28,,Defensive rebound by M. Brown
1:19.0,,,19-28,,D. Williams misses 3-pt shot from 24 ft
1:18.0,Defensive rebound by J. Hill,,19-28,,
1:16.0,,,19-28,,Personal foul by J. Johnson (drawn by W. Ellington)
1:16.0,,,19-28,,Brooklyn full timeout
1:16.0,,,19-28,,E. Clark enters the game for M. Plumlee
1:16.0,,,19-28,,A. Anderson enters the game for J. Johnson
1:00.0,J. Brown misses 3-pt shot from 27 ft,,19-28,,
1:00.0,,,19-28,,Defensive rebound by A. Anderson
0:49.0,,,19-28,,D. Williams misses 3-pt shot from 25 ft
0:47.0,Defensive rebound by J. Brown,,19-28,,
0:34.0,J. Brown misses 2-pt shot from 15 ft,,19-28,,
0:33.0,,,19-28,,Defensive rebound by B. Lopez
0:15.0,,,19-30,2,B. Lopez makes 2-pt shot from 13 ft (assist by D. Williams)
0:00.0,W. Ellington misses 2-pt shot from 12 ft,,19-30,,
0:00.0,Offensive rebound by Team,,19-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Clarkson misses 2-pt shot from 18 ft,,19-30,,
11:45.0,Offensive rebound by J. Hill,,19-30,,
11:44.0,J. Hill misses 2-pt shot from 1 ft,,19-30,,
11:43.0,Offensive rebound by J. Hill,,19-30,,
11:42.0,J. Hill misses 2-pt shot from 2 ft,,19-30,,
11:41.0,,,19-30,,Defensive rebound by E. Clark
11:25.0,,,19-30,,A. Anderson misses 2-pt shot from 2 ft
11:24.0,Defensive rebound by J. Hill,,19-30,,
11:16.0,J. Clarkson makes 2-pt shot at rim (assist by W. Johnson),2,21-30,,
11:02.0,,,21-30,,B. Bogdanovic misses 2-pt shot from 3 ft (block by W. Johnson)
11:00.0,Defensive rebound by J. Hill,,21-30,,
10:42.0,Shooting foul by B. Bogdanovic (drawn by J. Hill),,21-30,,
10:42.0,J. Hill misses free throw 1 of 2,,21-30,,
10:42.0,Offensive rebound by Team,,21-30,,
10:42.0,R. Kelly enters the game for W. Johnson,,21-30,,
10:42.0,J. Hill makes free throw 2 of 2,1,22-30,,
10:30.0,,,22-30,,A. Anderson misses 3-pt shot from 24 ft
10:29.0,Defensive rebound by J. Hill,,22-30,,
10:17.0,,,22-30,,Personal foul by E. Clark (drawn by R. Kelly)
10:05.0,R. Sacre misses 2-pt shot from 11 ft,,22-30,,
10:04.0,,,22-30,,Defensive rebound by E. Clark
9:53.0,,,22-30,,Turnover by E. Clark (lost ball; steal by J. Brown)
9:49.0,J. Brown makes 2-pt shot at rim (assist by J. Clarkson),2,24-30,,
9:49.0,,,24-30,,Brooklyn full timeout
9:38.0,,,24-32,2,B. Lopez makes 2-pt shot from 3 ft (assist by A. Anderson)
9:18.0,R. Sacre misses 2-pt shot from 17 ft,,24-32,,
9:17.0,,,24-32,,Defensive rebound by E. Clark
9:07.0,,,24-32,,E. Clark misses 3-pt shot from 25 ft
9:06.0,,,24-32,,Offensive rebound by B. Bogdanovic
8:56.0,,,24-34,2,J. Jack makes 2-pt shot from 17 ft
8:33.0,J. Hill makes 2-pt shot from 5 ft,2,26-34,,
8:25.0,,,26-36,2,E. Clark makes 2-pt shot from 2 ft
8:03.0,J. Clarkson misses 2-pt shot from 14 ft,,26-36,,
8:02.0,,,26-36,,Defensive rebound by B. Lopez
7:54.0,,,26-36,,B. Bogdanovic misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by J. Brown,,26-36,,
7:48.0,Turnover by J. Brown (lost ball; steal by J. Jack),,26-36,,
