time,Detroit,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Horford (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. A. Horford (B. Jennings gains possession)
11:43.0,G. Monroe misses 2-pt shot from 5 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by P. Millsap
11:22.0,,,0-0,,Turnover by K. Korver (bad pass; steal by K. Caldwell-Pope)
11:08.0,Turnover by J. Smith (bad pass),,0-0,,
10:52.0,,,0-0,,A. Horford misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by G. Monroe,,0-0,,
10:28.0,A. Drummond makes 2-pt shot from 4 ft,2,2-0,,
10:22.0,,,2-2,2,P. Millsap makes 2-pt shot from 20 ft (assist by J. Teague)
10:06.0,G. Monroe misses 2-pt shot from 5 ft,,2-2,,
10:05.0,Offensive rebound by A. Drummond,,2-2,,
10:05.0,Shooting foul by D. Carroll (drawn by A. Drummond),,2-2,,
10:05.0,A. Drummond makes free throw 1 of 2,1,3-2,,
10:05.0,A. Drummond misses free throw 2 of 2,,3-2,,
10:04.0,,,3-2,,Defensive rebound by D. Carroll
9:52.0,,,3-2,,Turnover by K. Korver (lost ball; steal by K. Caldwell-Pope)
9:46.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,5-2,,
9:30.0,,,5-2,,Turnover by P. Millsap (bad pass; steal by K. Caldwell-Pope)
9:27.0,Shooting foul by J. Teague (drawn by K. Caldwell-Pope),,5-2,,
9:27.0,K. Caldwell-Pope makes free throw 1 of 2,1,6-2,,
9:27.0,K. Caldwell-Pope makes free throw 2 of 2,1,7-2,,
9:18.0,Personal foul by G. Monroe (drawn by P. Millsap),,7-2,,
9:09.0,,,7-5,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague)
8:45.0,J. Smith misses 2-pt shot from 9 ft,,7-5,,
8:44.0,,,7-5,,Defensive rebound by K. Korver
8:24.0,,,7-5,,D. Carroll misses 3-pt shot from 24 ft
8:22.0,,,7-5,,Offensive rebound by P. Millsap
8:20.0,,,7-5,,A. Horford misses 2-pt shot from 1 ft (block by A. Drummond)
8:20.0,,,7-5,,Offensive rebound by Team
8:08.0,,,7-5,,P. Millsap misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by A. Drummond,,7-5,,
7:51.0,A. Drummond makes 2-pt shot at rim (assist by G. Monroe),2,9-5,,
7:37.0,,,9-7,2,A. Horford makes 2-pt shot from 6 ft
7:13.0,Turnover by B. Jennings (lost ball; steal by P. Millsap),,9-7,,
7:06.0,,,9-9,2,K. Korver makes 2-pt shot from 12 ft (assist by P. Millsap)
6:48.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,9-9,,
6:47.0,,,9-9,,Defensive rebound by P. Millsap
6:40.0,,,9-11,2,J. Teague makes 2-pt shot from 21 ft
6:20.0,J. Smith makes 2-pt shot from 9 ft,2,11-11,,
5:58.0,,,11-11,,Atlanta full timeout
5:58.0,,,11-11,,P. Antic enters the game for D. Carroll
5:58.0,,,11-11,,T. Sefolosha enters the game for A. Horford
5:54.0,,,11-13,2,J. Teague makes 2-pt shot from 10 ft (assist by K. Korver)
5:35.0,A. Drummond misses 2-pt shot from 7 ft,,11-13,,
5:33.0,,,11-13,,Defensive rebound by P. Antic
5:26.0,,,11-13,,Shooting foul by G. Monroe (drawn by P. Millsap)
5:26.0,,,11-14,1,P. Millsap makes free throw 1 of 2
5:26.0,C. Butler enters the game for G. Monroe,,11-14,,
5:26.0,,,11-15,1,P. Millsap makes free throw 2 of 2
5:11.0,Turnover by B. Jennings (bad pass; steal by P. Antic),,11-15,,
4:59.0,,,11-15,,Shooting foul by A. Drummond (drawn by P. Antic)
4:59.0,,,11-16,1,P. Antic makes free throw 1 of 2
4:59.0,,,11-17,1,P. Antic makes free throw 2 of 2
4:45.0,C. Butler misses 3-pt shot from 23 ft,,11-17,,
4:41.0,Offensive rebound by J. Smith,,11-17,,
4:40.0,J. Smith misses 2-pt shot from 2 ft,,11-17,,
4:36.0,Offensive rebound by J. Smith,,11-17,,
4:36.0,J. Smith makes 2-pt shot from 1 ft,2,13-17,,
4:31.0,,,13-17,,T. Sefolosha misses 2-pt shot from 2 ft
4:30.0,,,13-17,,Offensive rebound by P. Antic
4:29.0,,,13-19,2,P. Antic makes 2-pt shot at rim
4:10.0,J. Smith misses 2-pt shot from 7 ft,,13-19,,
4:09.0,,,13-19,,Defensive rebound by J. Teague
3:58.0,,,13-21,2,P. Millsap makes 2-pt shot at rim
3:47.0,Detroit full timeout,,13-21,,
3:47.0,,,13-21,,D. Schroder enters the game for J. Teague
