time,Golden State,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. F. Ezeli (S. Curry gains possession),,,,Jump ball: O. Asik vs. F. Ezeli (S. Curry gains possession)
11:42.0,H. Barnes makes 2-pt shot from 12 ft,2,2-0,,
11:20.0,,,2-0,,O. Asik misses 3-pt shot at rim
11:19.0,Defensive rebound by S. Curry,,2-0,,
11:15.0,D. Green misses 2-pt shot from 3 ft,,2-0,,
11:14.0,,,2-0,,Defensive rebound by L. Babbitt
11:08.0,,,2-2,2,O. Asik makes 2-pt shot at rim (assist by T. Evans)
10:58.0,S. Curry misses 2-pt shot from 1 ft,,2-2,,
10:57.0,,,2-2,,Defensive rebound by R. Anderson
10:52.0,,,2-2,,T. Evans misses 2-pt shot from 1 ft (block by K. Thompson)
10:51.0,Defensive rebound by F. Ezeli,,2-2,,
10:38.0,K. Thompson makes 2-pt shot from 14 ft,2,4-2,,
10:17.0,,,4-2,,O. Asik misses 2-pt shot from 15 ft
10:16.0,Defensive rebound by F. Ezeli,,4-2,,
10:10.0,S. Curry makes 2-pt shot from 16 ft,2,6-2,,
9:51.0,,,6-4,2,J. Holiday makes 2-pt shot from 1 ft (assist by O. Asik)
9:34.0,K. Thompson misses 2-pt shot from 2 ft (block by T. Evans),,6-4,,
9:33.0,,,6-4,,Defensive rebound by O. Asik
9:25.0,,,6-4,,J. Holiday misses 3-pt shot from 23 ft
9:22.0,Defensive rebound by F. Ezeli,,6-4,,
9:15.0,S. Curry makes 3-pt shot from 25 ft (assist by H. Barnes),3,9-4,,
9:13.0,,,9-4,,New Orleans full timeout
8:58.0,Violation by F. Ezeli (def goaltending),,9-4,,
8:58.0,,,9-6,2,R. Anderson makes 2-pt shot from 2 ft
8:44.0,S. Curry misses 3-pt shot from 25 ft,,9-6,,
8:42.0,,,9-6,,Defensive rebound by L. Babbitt
8:25.0,,,9-6,,R. Anderson misses 3-pt shot from 25 ft
8:22.0,,,9-6,,Offensive rebound by L. Babbitt
8:10.0,,,9-8,2,J. Holiday makes 2-pt shot from 1 ft
7:59.0,S. Curry makes 2-pt shot from 2 ft,2,11-8,,
7:38.0,,,11-8,,R. Anderson misses 2-pt shot from 20 ft
7:37.0,Defensive rebound by S. Curry,,11-8,,
7:20.0,Turnover by K. Thompson (lost ball; steal by T. Evans),,11-8,,
