time,Miami,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: U. Haslem vs. R. Hibbert (D. West gains possession),,,,Jump ball: U. Haslem vs. R. Hibbert (D. West gains possession)
11:44.0,,,0-3,3,C. Miles makes 3-pt shot from 28 ft (assist by G. Hill)
11:21.0,U. Haslem misses 2-pt shot from 14 ft,,0-3,,
11:20.0,,,0-3,,Defensive rebound by C. Miles
11:05.0,,,0-5,2,S. Hill makes 2-pt shot at rim (assist by G. Hill)
10:49.0,D. Wade misses 2-pt shot from 20 ft,,0-5,,
10:48.0,,,0-5,,Defensive rebound by G. Hill
10:35.0,,,0-5,,R. Hibbert misses 2-pt shot from 9 ft (block by H. Walker)
10:33.0,,,0-5,,Offensive rebound by R. Hibbert
10:31.0,,,0-5,,R. Hibbert misses 2-pt shot from 2 ft
10:30.0,,,0-5,,Offensive rebound by R. Hibbert
10:30.0,,,0-5,,R. Hibbert misses 2-pt shot from 2 ft
10:29.0,Defensive rebound by Team,,0-5,,
10:18.0,Turnover by D. Wade (bad pass; steal by G. Hill),,0-5,,
10:14.0,,,0-5,,Shooting foul by H. Walker (drawn by D. West)
10:14.0,,,0-6,1,D. West makes free throw 1 of 2
10:14.0,,,0-7,1,D. West makes free throw 2 of 2
10:02.0,H. Walker misses 3-pt shot from 27 ft,,0-7,,
10:01.0,,,0-7,,Defensive rebound by S. Hill
9:57.0,,,0-7,,Shooting foul by L. Deng (drawn by S. Hill)
9:57.0,,,0-8,1,S. Hill makes free throw 1 of 2
9:57.0,,,0-9,1,S. Hill makes free throw 2 of 2
9:47.0,L. Deng misses 2-pt shot at rim (block by R. Hibbert),,0-9,,
9:45.0,Offensive rebound by U. Haslem,,0-9,,
9:43.0,U. Haslem makes 2-pt shot at rim,2,2-9,,
9:21.0,,,2-9,,R. Hibbert misses 2-pt shot at rim (block by U. Haslem)
9:20.0,Defensive rebound by L. Deng,,2-9,,
9:09.0,Turnover by L. Deng (3 sec),,2-9,,
8:59.0,,,2-9,,D. West misses 2-pt shot from 17 ft
8:58.0,Defensive rebound by L. Deng,,2-9,,
8:43.0,G. Dragic makes 2-pt shot at rim,2,4-9,,
8:43.0,Shooting foul by G. Hill (drawn by G. Dragic),,4-9,,
8:43.0,G. Dragic makes free throw 1 of 1,1,5-9,,
8:33.0,,,5-9,,C. Miles misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by U. Haslem,,5-9,,
8:20.0,L. Deng makes 2-pt shot at rim (assist by G. Dragic),2,7-9,,
8:20.0,Shooting foul by D. West (drawn by L. Deng),,7-9,,
8:20.0,L. Deng makes free throw 1 of 1,1,8-9,,
7:57.0,,,8-9,,D. West misses 3-pt shot from 26 ft
7:55.0,Defensive rebound by L. Deng,,8-9,,
7:53.0,Offensive foul by H. Walker,,8-9,,
7:53.0,Turnover by H. Walker (offensive foul),,8-9,,
7:53.0,M. Beasley enters the game for H. Walker,,8-9,,
7:38.0,,,8-12,3,S. Hill makes 3-pt shot from 27 ft (assist by G. Hill)
7:24.0,D. Wade misses 2-pt shot from 10 ft,,8-12,,
7:23.0,,,8-12,,Defensive rebound by S. Hill
7:07.0,,,8-12,,D. West misses 2-pt shot from 12 ft
7:07.0,Defensive rebound by U. Haslem,,8-12,,
6:56.0,L. Deng misses 3-pt shot from 26 ft,,8-12,,
6:55.0,,,8-12,,Defensive rebound by S. Hill
6:43.0,,,8-12,,Turnover by R. Hibbert (lost ball; steal by L. Deng)
6:33.0,Turnover by U. Haslem (bad pass),,8-12,,
6:33.0,,,8-12,,Indiana full timeout
6:33.0,M. Chalmers enters the game for G. Dragic,,8-12,,
6:15.0,,,8-12,,Shooting foul by U. Haslem (drawn by D. West)
6:15.0,,,8-13,1,D. West makes free throw 1 of 2
6:15.0,,,8-13,,D. West misses free throw 2 of 2
6:15.0,Defensive rebound by M. Beasley,,8-13,,
5:56.0,D. Wade makes 2-pt shot from 7 ft,2,10-13,,
5:34.0,,,10-13,,Shooting foul by M. Beasley (drawn by G. Hill)
5:34.0,,,10-14,1,G. Hill makes free throw 1 of 2
5:34.0,,,10-14,,P. George enters the game for S. Hill
5:34.0,,,10-15,1,G. Hill makes free throw 2 of 2
5:20.0,D. Wade makes 2-pt shot from 9 ft,2,12-15,,
5:00.0,,,12-17,2,R. Hibbert makes 2-pt shot from 5 ft
4:44.0,,,12-17,,Personal foul by P. George (drawn by L. Deng)
4:29.0,M. Chalmers misses 3-pt shot from 22 ft,,12-17,,
4:27.0,,,12-17,,Defensive rebound by D. West
4:15.0,,,12-17,,Shooting foul by M. Beasley (drawn by R. Hibbert)
4:15.0,,,12-17,,R. Hibbert misses free throw 1 of 2
4:15.0,,,12-17,,Offensive rebound by Team
4:15.0,,,12-17,,R. Stuckey enters the game for C. Miles
4:15.0,J. Ennis enters the game for M. Beasley,,12-17,,
4:15.0,,,12-18,1,R. Hibbert makes free throw 2 of 2
4:02.0,L. Deng misses 2-pt shot from 9 ft,,12-18,,
4:01.0,Offensive rebound by U. Haslem,,12-18,,
4:01.0,U. Haslem makes 2-pt shot from 1 ft,2,14-18,,
3:45.0,,,14-20,2,P. George makes 2-pt shot from 13 ft
3:37.0,Miami full timeout,,14-20,,
3:37.0,,,14-20,,I. Mahinmi enters the game for R. Hibbert
3:37.0,G. Dragic enters the game for D. Wade,,14-20,,
3:25.0,J. Ennis misses 3-pt shot from 27 ft,,14-20,,
3:23.0,,,14-20,,Defensive rebound by P. George
3:05.0,,,14-20,,P. George misses 2-pt shot from 18 ft
3:04.0,Defensive rebound by L. Deng,,14-20,,
2:52.0,M. Chalmers misses 3-pt shot from 23 ft,,14-20,,
2:51.0,,,14-20,,Defensive rebound by Team
2:28.0,,,14-20,,R. Stuckey misses 3-pt shot from 25 ft
2:27.0,,,14-20,,Offensive rebound by I. Mahinmi
2:25.0,,,14-20,,I. Mahinmi misses 2-pt shot from 3 ft
2:24.0,Defensive rebound by L. Deng,,14-20,,
2:13.0,,,14-20,,Personal foul by G. Hill (drawn by J. Ennis)
2:13.0,,,14-20,,D. Sloan enters the game for G. Hill
2:00.0,M. Chalmers misses 2-pt shot from 9 ft,,14-20,,
1:58.0,Offensive rebound by M. Chalmers,,14-20,,
1:58.0,M. Chalmers makes 2-pt shot from 3 ft,2,16-20,,
1:46.0,,,16-20,,Turnover by P. George (bad pass; steal by U. Haslem)
1:44.0,Turnover by U. Haslem (bad pass),,16-20,,
1:34.0,,,16-20,,P. George misses 3-pt shot from 23 ft
1:33.0,Defensive rebound by L. Deng,,16-20,,
1:25.0,J. Ennis misses 2-pt shot at rim,,16-20,,
1:24.0,,,16-20,,Defensive rebound by P. George
1:15.0,,,16-20,,P. George misses 2-pt shot from 3 ft
1:13.0,,,16-20,,Offensive rebound by I. Mahinmi
1:12.0,,,16-20,,Shooting foul by J. Ennis (drawn by I. Mahinmi)
1:12.0,,,16-20,,I. Mahinmi misses free throw 1 of 2
1:12.0,,,16-20,,Offensive rebound by Team
1:12.0,,,16-20,,L. Scola enters the game for D. West
1:12.0,,,16-20,,I. Mahinmi misses free throw 2 of 2
