time,Brooklyn,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. B. Lopez (T. Parker gains possession),,,,Jump ball: T. Duncan vs. B. Lopez (T. Parker gains possession)
11:40.0,,,0-0,,K. Leonard misses 2-pt shot from 4 ft
11:39.0,,,0-0,,Offensive rebound by T. Duncan
11:23.0,,,0-2,2,T. Duncan makes 2-pt shot from 2 ft (assist by B. Diaw)
11:01.0,Turnover by B. Lopez (lost ball; steal by T. Duncan),,0-2,,
10:56.0,,,0-2,,K. Leonard misses 2-pt shot from 15 ft
10:55.0,Defensive rebound by B. Lopez,,0-2,,
10:33.0,B. Lopez makes 2-pt shot from 2 ft (assist by D. Williams),2,2-2,,
10:13.0,,,2-4,2,T. Parker makes 2-pt shot from 1 ft (assist by M. Belinelli)
9:58.0,Turnover by M. Teletovic (lost ball; steal by M. Belinelli),,2-4,,
9:53.0,,,2-4,,T. Parker misses 2-pt shot from 1 ft (block by D. Williams)
9:53.0,Defensive rebound by Team,,2-4,,
9:48.0,Turnover by B. Lopez (lost ball; steal by T. Duncan),,2-4,,
9:38.0,,,2-6,2,T. Parker makes 2-pt shot from 3 ft
9:12.0,J. Johnson makes 2-pt shot from 2 ft (assist by M. Teletovic),2,4-6,,
9:08.0,,,4-6,,Turnover by K. Leonard (traveling)
8:59.0,D. Williams misses 2-pt shot from 1 ft (block by T. Duncan),,4-6,,
8:58.0,,,4-6,,Defensive rebound by M. Belinelli
8:51.0,,,4-8,2,T. Duncan makes 2-pt shot from 5 ft (assist by M. Belinelli)
8:34.0,B. Bogdanovic misses 2-pt shot from 17 ft,,4-8,,
8:33.0,,,4-8,,Defensive rebound by K. Leonard
8:23.0,,,4-10,2,K. Leonard makes 2-pt shot from 19 ft (assist by T. Duncan)
8:08.0,B. Lopez misses 2-pt shot from 7 ft,,4-10,,
8:07.0,,,4-10,,Defensive rebound by B. Diaw
7:54.0,,,4-10,,B. Diaw misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by M. Teletovic,,4-10,,
7:43.0,D. Williams misses 2-pt shot from 20 ft,,4-10,,
7:42.0,Offensive rebound by B. Lopez,,4-10,,
7:31.0,M. Teletovic makes 2-pt shot from 4 ft (assist by D. Williams),2,6-10,,
7:13.0,,,6-12,2,T. Parker makes 2-pt shot from 21 ft (assist by B. Diaw)
6:49.0,D. Williams misses 2-pt shot from 4 ft,,6-12,,
6:48.0,,,6-12,,Defensive rebound by T. Duncan
6:40.0,,,6-12,,San Antonio full timeout
6:40.0,,,6-12,,D. Green enters the game for M. Belinelli
6:30.0,,,6-14,2,K. Leonard makes 2-pt shot from 2 ft (assist by T. Parker)
6:15.0,B. Lopez misses 2-pt shot from 12 ft,,6-14,,
6:14.0,,,6-14,,Defensive rebound by B. Diaw
6:03.0,,,6-14,,D. Green misses 3-pt shot from 22 ft
6:02.0,,,6-14,,Offensive rebound by Team
5:52.0,,,6-14,,T. Duncan misses 2-pt shot from 13 ft
5:51.0,Defensive rebound by M. Teletovic,,6-14,,
5:45.0,B. Bogdanovic misses 3-pt shot from 25 ft,,6-14,,
5:44.0,,,6-14,,Defensive rebound by K. Leonard
5:34.0,,,6-14,,K. Leonard misses 2-pt shot from 21 ft
5:33.0,Defensive rebound by B. Bogdanovic,,6-14,,
5:17.0,,,6-14,,M. Ginobili enters the game for T. Parker
5:17.0,J. Jordan enters the game for B. Lopez,,6-14,,
5:12.0,B. Bogdanovic misses 3-pt shot from 24 ft,,6-14,,
5:10.0,,,6-14,,Defensive rebound by D. Green
4:56.0,,,6-14,,Turnover by K. Leonard (bad pass)
4:40.0,J. Jordan misses 2-pt shot from 2 ft (block by T. Duncan),,6-14,,
4:38.0,,,6-14,,Defensive rebound by T. Duncan
4:27.0,,,6-16,2,B. Diaw makes 2-pt shot from 7 ft (assist by T. Duncan)
4:05.0,M. Teletovic makes 3-pt shot from 25 ft (assist by B. Bogdanovic),3,9-16,,
3:48.0,,,9-16,,Turnover by M. Ginobili (bad pass; steal by D. Williams)
3:47.0,Turnover by D. Williams (bad pass),,9-16,,
3:47.0,J. Jack enters the game for B. Bogdanovic,,9-16,,
3:33.0,,,9-16,,Turnover by D. Green (step out of bounds)
3:20.0,J. Johnson misses 3-pt shot from 23 ft,,9-16,,
3:19.0,,,9-16,,Defensive rebound by D. Green
3:16.0,,,9-16,,Turnover by D. Green (bad pass; steal by D. Williams)
3:12.0,D. Williams makes 2-pt shot from 1 ft,2,11-16,,
2:57.0,,,11-16,,K. Leonard misses 3-pt shot from 22 ft
2:55.0,Defensive rebound by M. Teletovic,,11-16,,
2:43.0,J. Jack misses 2-pt shot from 4 ft (block by D. Green),,11-16,,
2:40.0,,,11-16,,Defensive rebound by T. Duncan
2:38.0,,,11-18,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan)
2:28.0,Brooklyn full timeout,,11-18,,
2:28.0,,,11-18,,A. Daye enters the game for K. Leonard
2:28.0,,,11-18,,A. Baynes enters the game for T. Duncan
2:28.0,,,11-18,,T. Parker enters the game for B. Diaw
2:21.0,M. Teletovic misses 2-pt shot from 20 ft,,11-18,,
2:21.0,,,11-18,,Defensive rebound by D. Green
2:14.0,,,11-18,,A. Daye misses 3-pt shot from 23 ft
2:13.0,Defensive rebound by J. Jordan,,11-18,,
2:05.0,J. Jordan makes 2-pt shot from 1 ft (assist by D. Williams),2,13-18,,
1:45.0,Personal foul by D. Williams (drawn by T. Parker),,13-18,,
1:45.0,B. Bogdanovic enters the game for D. Williams,,13-18,,
1:45.0,A. Anderson enters the game for J. Johnson,,13-18,,
1:38.0,,,13-18,,A. Daye misses 3-pt shot from 24 ft
1:36.0,,,13-18,,Offensive rebound by A. Baynes
1:36.0,,,13-18,,A. Baynes misses 2-pt shot from 1 ft
1:33.0,Defensive rebound by J. Jordan,,13-18,,
1:19.0,A. Anderson misses 2-pt shot from 15 ft (block by M. Ginobili),,13-18,,
1:16.0,,,13-18,,Defensive rebound by A. Baynes
1:11.0,,,13-20,2,T. Parker makes 2-pt shot from 2 ft
1:00.0,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Jack),3,16-20,,
0:52.0,,,16-23,3,A. Daye makes 3-pt shot from 24 ft (assist by T. Parker)
0:39.0,M. Teletovic misses 2-pt shot from 7 ft,,16-23,,
