time,Chicago,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. P. Gasol (E. Kanter gains possession),,,,Jump ball: S. Adams vs. P. Gasol (E. Kanter gains possession)
11:46.0,,,0-0,,Turnover by E. Kanter (lost ball)
11:29.0,,,0-0,,Personal foul by R. Westbrook (drawn by P. Gasol)
11:20.0,M. Dunleavy misses 3-pt shot from 24 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by R. Westbrook
11:13.0,,,0-0,,R. Westbrook misses 2-pt shot from 13 ft
11:13.0,,,0-0,,Offensive rebound by E. Kanter
11:11.0,,,0-0,,E. Kanter misses 2-pt shot from 1 ft
11:10.0,Defensive rebound by M. Dunleavy,,0-0,,
10:52.0,P. Gasol misses 2-pt shot from 11 ft,,0-0,,
10:51.0,,,0-0,,Defensive rebound by R. Westbrook
10:44.0,,,0-0,,D. Waiters misses 2-pt shot from 5 ft
10:43.0,,,0-0,,Offensive rebound by E. Kanter
10:43.0,,,0-0,,E. Kanter misses 2-pt shot from 3 ft
10:41.0,,,0-0,,Offensive rebound by S. Adams
10:40.0,,,0-2,2,S. Adams makes 2-pt shot from 1 ft
10:26.0,P. Gasol makes 2-pt shot from 4 ft (assist by J. Noah),2,2-2,,
10:05.0,,,2-2,,R. Westbrook misses 3-pt shot from 24 ft
10:04.0,Defensive rebound by A. Brooks,,2-2,,
9:52.0,T. Snell misses 3-pt shot from 24 ft,,2-2,,
9:51.0,,,2-2,,Defensive rebound by D. Waiters
9:44.0,,,2-2,,D. Waiters misses 2-pt shot from 12 ft
9:43.0,,,2-2,,Offensive rebound by S. Adams
9:43.0,,,2-2,,S. Adams misses 2-pt shot from 1 ft
9:41.0,,,2-2,,Offensive rebound by R. Westbrook
9:30.0,,,2-2,,A. Roberson misses 2-pt shot from 5 ft (block by P. Gasol)
9:27.0,Defensive rebound by T. Snell,,2-2,,
9:18.0,P. Gasol makes 2-pt shot from 19 ft (assist by J. Noah),2,4-2,,
8:58.0,,,4-2,,E. Kanter misses 2-pt shot from 4 ft
8:57.0,,,4-2,,Offensive rebound by S. Adams
8:51.0,,,4-2,,D. Waiters misses 3-pt shot from 25 ft
8:51.0,,,4-2,,Offensive rebound by Team
8:51.0,,,4-2,,Turnover by Team (shot clock)
8:39.0,,,4-2,,Personal foul by A. Roberson (drawn by P. Gasol)
8:29.0,T. Snell misses 2-pt shot from 4 ft,,4-2,,
8:28.0,,,4-2,,Defensive rebound by R. Westbrook
8:23.0,,,4-2,,R. Westbrook misses 2-pt shot from 5 ft
8:21.0,Defensive rebound by Team,,4-2,,
8:12.0,J. Noah makes 2-pt shot from 4 ft,2,6-2,,
8:12.0,Shooting foul by E. Kanter (drawn by J. Noah),,6-2,,
8:12.0,J. Noah makes free throw 1 of 1,1,7-2,,
7:57.0,,,7-4,2,A. Roberson makes 2-pt shot from 1 ft
7:38.0,T. Snell misses 3-pt shot from 22 ft,,7-4,,
7:38.0,,,7-4,,Defensive rebound by Team
7:21.0,,,7-4,,S. Adams misses 2-pt shot at rim
7:19.0,Defensive rebound by M. Dunleavy,,7-4,,
7:10.0,A. Brooks misses 2-pt shot from 3 ft,,7-4,,
7:08.0,,,7-4,,Defensive rebound by A. Roberson
7:03.0,Personal foul by M. Dunleavy (drawn by D. Waiters),,7-4,,
7:03.0,,,7-5,1,D. Waiters makes free throw 1 of 2
7:03.0,,,7-6,1,D. Waiters makes free throw 2 of 2
6:52.0,P. Gasol misses 2-pt shot from 16 ft,,7-6,,
6:51.0,,,7-6,,Defensive rebound by E. Kanter
6:46.0,,,7-6,,R. Westbrook misses 2-pt shot from 17 ft
6:45.0,Defensive rebound by Team,,7-6,,
6:28.0,P. Gasol makes 2-pt shot from 5 ft (assist by J. Noah),2,9-6,,
6:13.0,,,9-6,,D. Waiters misses 3-pt shot from 23 ft
6:12.0,Defensive rebound by Team,,9-6,,
5:59.0,Turnover by J. Noah (lost ball; steal by E. Kanter),,9-6,,
5:53.0,,,9-8,2,D. Waiters makes 2-pt shot from 1 ft (assist by A. Roberson)
5:36.0,P. Gasol makes 2-pt shot from 11 ft,2,11-8,,
5:24.0,,,11-10,2,D. Waiters makes 2-pt shot from 2 ft (assist by R. Westbrook)
5:24.0,,,11-10,,Shooting foul by J. Noah (drawn by D. Waiters)
5:24.0,,,11-10,,Oklahoma City full timeout
5:24.0,,,11-10,,D. Waiters misses free throw 1 of 1
5:23.0,Defensive rebound by M. Dunleavy,,11-10,,
4:57.0,A. Brooks misses 3-pt shot from 24 ft,,11-10,,
4:56.0,Offensive rebound by P. Gasol,,11-10,,
4:45.0,M. Dunleavy misses 3-pt shot from 22 ft,,11-10,,
4:44.0,,,11-10,,Defensive rebound by E. Kanter
4:29.0,,,11-10,,D. Waiters misses 2-pt shot from 15 ft
4:28.0,Defensive rebound by T. Snell,,11-10,,
4:08.0,T. Snell misses 3-pt shot from 25 ft,,11-10,,
4:07.0,,,11-10,,Defensive rebound by R. Westbrook
3:51.0,,,11-10,,R. Westbrook misses 3-pt shot from 24 ft
3:50.0,Defensive rebound by P. Gasol,,11-10,,
3:36.0,A. Brooks misses 3-pt shot from 24 ft,,11-10,,
3:34.0,Offensive rebound by M. Dunleavy,,11-10,,
3:34.0,M. Dunleavy misses 2-pt shot at rim,,11-10,,
3:33.0,,,11-10,,Defensive rebound by R. Westbrook
3:26.0,,,11-10,,D. Waiters misses 3-pt shot from 22 ft
3:25.0,Defensive rebound by P. Gasol,,11-10,,
3:04.0,P. Gasol misses 2-pt shot from 4 ft,,11-10,,
3:03.0,,,11-10,,Defensive rebound by S. Adams
2:50.0,,,11-10,,S. Adams misses 2-pt shot from 6 ft
2:49.0,,,11-10,,Offensive rebound by E. Kanter
2:48.0,Chicago full timeout,,11-10,,
2:48.0,,,11-10,,A. Morrow enters the game for D. Waiters
2:48.0,,,11-10,,D. Augustin enters the game for A. Roberson
2:48.0,N. Mirotic enters the game for J. Noah,,11-10,,
2:48.0,K. Hinrich enters the game for A. Brooks,,11-10,,
2:33.0,,,11-10,,R. Westbrook misses 3-pt shot from 24 ft
2:32.0,Defensive rebound by K. Hinrich,,11-10,,
2:07.0,P. Gasol misses 2-pt shot from 1 ft,,11-10,,
2:06.0,,,11-10,,Defensive rebound by E. Kanter
2:02.0,,,11-10,,Shooting foul by K. Hinrich (drawn by S. Adams)
2:02.0,,,11-11,1,S. Adams makes free throw 1 of 2
2:02.0,D. McDermott enters the game for M. Dunleavy,,11-11,,
2:02.0,,,11-11,,S. Adams misses free throw 2 of 2
2:01.0,,,11-11,,Offensive rebound by E. Kanter
2:00.0,,,11-13,2,E. Kanter makes 2-pt shot from 2 ft
1:41.0,Turnover by P. Gasol (lost ball),,11-13,,
1:31.0,,,11-13,,E. Kanter misses 2-pt shot from 18 ft
1:30.0,Defensive rebound by N. Mirotic,,11-13,,
1:21.0,T. Snell misses 2-pt shot from 17 ft,,11-13,,
1:20.0,,,11-13,,Defensive rebound by E. Kanter
1:08.0,,,11-13,,S. Adams misses 2-pt shot from 2 ft
1:07.0,,,11-13,,Offensive rebound by E. Kanter
1:05.0,,,11-13,,E. Kanter misses 2-pt shot from 2 ft (block by N. Mirotic)
1:04.0,,,11-13,,Offensive rebound by E. Kanter
1:03.0,,,11-13,,Shooting foul by P. Gasol (drawn by E. Kanter)
1:03.0,,,11-14,1,E. Kanter makes free throw 1 of 2
1:03.0,,,11-14,,N. Collison enters the game for S. Adams
1:03.0,,,11-15,1,E. Kanter makes free throw 2 of 2
0:51.0,N. Mirotic misses 3-pt shot from 22 ft,,11-15,,
0:50.0,Offensive rebound by P. Gasol,,11-15,,
0:46.0,K. Hinrich misses 2-pt shot from 4 ft,,11-15,,
0:46.0,Offensive rebound by P. Gasol,,11-15,,
0:46.0,P. Gasol makes 2-pt shot at rim,2,13-15,,
0:35.0,,,13-17,2,R. Westbrook makes 2-pt shot from 1 ft (assist by N. Collison)
0:17.0,P. Gasol makes 2-pt shot from 20 ft,2,15-17,,
0:00.0,,,15-17,,R. Westbrook misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by Team,,15-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,N. Mirotic misses 3-pt shot from 22 ft,,15-17,,
11:47.0,,,15-17,,Defensive rebound by N. Collison
11:31.0,,,15-19,2,N. Collison makes 2-pt shot from 19 ft
11:06.0,J. Noah misses 2-pt shot from 16 ft,,15-19,,
11:05.0,,,15-19,,Defensive rebound by N. Collison
10:56.0,Personal foul by D. McDermott (drawn by K. Singler),,15-19,,
10:50.0,,,15-22,3,D. Augustin makes 3-pt shot from 24 ft
10:25.0,Shooting foul by A. Morrow (drawn by J. Noah),,15-22,,
10:25.0,J. Noah makes free throw 1 of 2,1,16-22,,
10:25.0,J. Noah misses free throw 2 of 2,,16-22,,
10:24.0,,,16-22,,Defensive rebound by M. McGary
10:12.0,,,16-22,,Shooting foul by K. Hinrich (drawn by D. Augustin)
10:12.0,,,16-23,1,D. Augustin makes free throw 1 of 2
10:12.0,E. Moore enters the game for T. Snell,,16-23,,
10:12.0,,,16-24,1,D. Augustin makes free throw 2 of 2
9:50.0,E. Moore makes 2-pt shot from 9 ft (assist by J. Noah),2,18-24,,
9:39.0,,,18-24,,Offensive foul by D. Augustin
9:39.0,,,18-24,,Turnover by D. Augustin (offensive foul)
9:28.0,,,18-24,,Personal foul by M. McGary (drawn by J. Noah)
9:22.0,N. Mirotic makes 2-pt shot at rim (assist by K. Hinrich),2,20-24,,
9:06.0,,,20-26,2,N. Collison makes 2-pt shot from 1 ft (assist by D. Augustin)
8:50.0,D. McDermott misses 2-pt shot from 7 ft (block by A. Morrow),,20-26,,
8:48.0,,,20-26,,Defensive rebound by K. Singler
8:37.0,,,20-26,,Turnover by N. Collison (step out of bounds)
8:37.0,Official timeout,,20-26,,
8:37.0,M. Dunleavy enters the game for D. McDermott,,20-26,,
8:20.0,N. Mirotic misses 2-pt shot from 20 ft,,20-26,,
8:19.0,,,20-26,,Defensive rebound by N. Collison
8:03.0,,,20-28,2,A. Morrow makes 2-pt shot from 12 ft (assist by D. Augustin)
7:47.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Noah),3,23-28,,
7:32.0,,,23-28,,Turnover by A. Morrow (bad pass; steal by N. Mirotic)
7:31.0,,,23-28,,Personal take foul by N. Collison (drawn by N. Mirotic)
7:31.0,,,23-28,,R. Westbrook enters the game for K. Singler
7:14.0,J. Noah makes 2-pt shot from 1 ft (assist by K. Hinrich),2,25-28,,
6:55.0,,,25-31,3,A. Morrow makes 3-pt shot from 24 ft (assist by N. Collison)
6:30.0,J. Noah makes 2-pt shot at rim (assist by M. Dunleavy),2,27-31,,
6:16.0,,,27-31,,Turnover by D. Augustin (step out of bounds)
6:16.0,,,27-31,,S. Adams enters the game for M. McGary
6:06.0,N. Mirotic misses 3-pt shot from 23 ft,,27-31,,
6:05.0,,,27-31,,Defensive rebound by R. Westbrook
6:01.0,,,27-31,,S. Adams misses 2-pt shot at rim
6:00.0,Defensive rebound by J. Noah,,27-31,,
5:51.0,K. Hinrich makes 3-pt shot from 24 ft,3,30-31,,
5:45.0,,,30-31,,Oklahoma City full timeout
5:45.0,,,30-31,,E. Kanter enters the game for A. Morrow
5:45.0,,,30-31,,D. Waiters enters the game for N. Collison
5:30.0,,,30-31,,Shooting foul by N. Mirotic (drawn by R. Westbrook)
5:30.0,,,30-33,2,R. Westbrook makes 2-pt shot from 2 ft
5:30.0,,,30-34,1,R. Westbrook makes free throw 1 of 1
5:19.0,Turnover by E. Moore (bad pass),,30-34,,
5:05.0,,,30-34,,Turnover by R. Westbrook (bad pass; steal by J. Noah)
5:00.0,N. Mirotic makes 2-pt shot at rim (assist by E. Moore),2,32-34,,
4:46.0,,,32-34,,Shooting foul by E. Moore (drawn by R. Westbrook)
4:46.0,,,32-35,1,R. Westbrook makes free throw 1 of 2
4:46.0,A. Brooks enters the game for J. Noah,,32-35,,
4:46.0,P. Gasol enters the game for K. Hinrich,,32-35,,
4:46.0,,,32-36,1,R. Westbrook makes free throw 2 of 2
