time,Charlotte,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. B. Biyombo (J. Calderon gains possession),,,,Jump ball: C. Aldrich vs. B. Biyombo (J. Calderon gains possession)
11:42.0,,,0-3,3,C. Early makes 3-pt shot from 25 ft (assist by J. Calderon)
11:23.0,M. Kidd-Gilchrist makes 2-pt shot from 5 ft,2,2-3,,
10:58.0,,,2-3,,T. Hardaway misses 3-pt shot from 26 ft
10:57.0,Defensive rebound by M. Kidd-Gilchrist,,2-3,,
10:44.0,G. Henderson misses 2-pt shot from 8 ft,,2-3,,
10:43.0,,,2-3,,Defensive rebound by C. Aldrich
10:34.0,,,2-3,,Turnover by C. Early (bad pass; steal by K. Walker)
10:29.0,Shooting foul by J. Calderon (drawn by G. Henderson),,2-3,,
10:29.0,G. Henderson misses free throw 1 of 2,,2-3,,
10:29.0,Offensive rebound by Team,,2-3,,
10:29.0,G. Henderson makes free throw 2 of 2,1,3-3,,
10:13.0,,,3-5,2,J. Calderon makes 2-pt shot from 20 ft (assist by T. Hardaway)
9:57.0,C. Zeller misses 2-pt shot from 18 ft,,3-5,,
9:56.0,,,3-5,,Defensive rebound by C. Early
9:37.0,Personal foul by C. Zeller (drawn by J. Smith),,3-5,,
9:29.0,,,3-5,,J. Calderon misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by B. Biyombo,,3-5,,
9:17.0,G. Henderson misses 3-pt shot from 24 ft,,3-5,,
9:16.0,,,3-5,,Defensive rebound by Team
8:56.0,,,3-5,,C. Aldrich misses 2-pt shot from 4 ft
8:55.0,Defensive rebound by M. Kidd-Gilchrist,,3-5,,
8:45.0,B. Biyombo makes 2-pt shot at rim,2,5-5,,
8:29.0,,,5-7,2,T. Hardaway makes 2-pt shot from 18 ft
8:04.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,7-7,,
7:49.0,,,7-9,2,J. Smith makes 2-pt shot from 15 ft (assist by C. Aldrich)
7:34.0,B. Biyombo misses 2-pt shot from 2 ft,,7-9,,
7:33.0,,,7-9,,Defensive rebound by C. Aldrich
7:19.0,,,7-9,,C. Early misses 3-pt shot from 24 ft
7:18.0,,,7-9,,Offensive rebound by C. Aldrich
7:15.0,,,7-11,2,C. Aldrich makes 2-pt shot from 4 ft
7:03.0,Offensive foul by B. Biyombo,,7-11,,
7:03.0,Turnover by B. Biyombo (offensive foul),,7-11,,
7:03.0,,,7-11,,Q. Acy enters the game for C. Aldrich
6:42.0,,,7-11,,Turnover by C. Early (bad pass; steal by B. Biyombo)
6:40.0,Turnover by B. Biyombo (bad pass; steal by Q. Acy),,7-11,,
6:24.0,,,7-11,,J. Calderon misses 2-pt shot from 10 ft
6:23.0,Defensive rebound by B. Biyombo,,7-11,,
6:15.0,Shooting foul by Q. Acy (drawn by K. Walker),,7-11,,
6:15.0,K. Walker makes free throw 1 of 2,1,8-11,,
6:15.0,,,8-11,,T. Wear enters the game for C. Early
6:15.0,K. Walker makes free throw 2 of 2,1,9-11,,
6:06.0,,,9-11,,J. Calderon misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by Team,,9-11,,
5:47.0,C. Zeller misses 2-pt shot from 6 ft (block by J. Smith),,9-11,,
5:46.0,Offensive rebound by B. Biyombo,,9-11,,
5:45.0,B. Biyombo misses 2-pt shot from 4 ft,,9-11,,
5:44.0,Offensive rebound by Team,,9-11,,
5:44.0,,,9-11,,Loose ball foul by J. Smith (drawn by B. Biyombo)
5:44.0,,,9-11,,New York full timeout
5:34.0,K. Walker makes 2-pt shot from 14 ft,2,11-11,,
5:08.0,,,11-11,,J. Calderon misses 2-pt shot from 20 ft
