time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. N. Noel (J. Sullinger gains possession),,,,Jump ball: B. Bass vs. N. Noel (J. Sullinger gains possession)
11:44.0,,,0-2,2,A. Bradley makes 2-pt shot from 18 ft (assist by M. Smart)
11:21.0,N. Noel misses 2-pt shot from 4 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by M. Smart
11:03.0,,,0-4,2,A. Bradley makes 2-pt shot from 21 ft (assist by E. Turner)
10:43.0,N. Noel misses 2-pt shot at rim,,0-4,,
10:42.0,,,0-4,,Defensive rebound by J. Sullinger
10:31.0,,,0-7,3,A. Bradley makes 3-pt shot from 22 ft (assist by J. Sullinger)
10:12.0,K. McDaniels misses 3-pt shot from 25 ft,,0-7,,
10:11.0,,,0-7,,Defensive rebound by A. Bradley
10:02.0,,,0-9,2,B. Bass makes 2-pt shot from 2 ft
10:00.0,Philadelphia full timeout,,0-9,,
9:38.0,R. Covington makes 3-pt shot from 26 ft (assist by J. Sampson),3,3-9,,
9:23.0,Personal foul by K. McDaniels (drawn by A. Bradley),,3-9,,
9:14.0,,,3-11,2,J. Sullinger makes 2-pt shot from 11 ft (assist by A. Bradley)
8:53.0,K. McDaniels makes 2-pt shot from 14 ft,2,5-11,,
8:30.0,,,5-11,,E. Turner misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by R. Covington,,5-11,,
8:13.0,R. Covington misses 3-pt shot from 25 ft,,5-11,,
8:12.0,,,5-11,,Defensive rebound by A. Bradley
8:04.0,,,5-11,,J. Sullinger misses 2-pt shot from 13 ft
8:03.0,Defensive rebound by K. McDaniels,,5-11,,
7:56.0,Turnover by K. McDaniels (lost ball),,5-11,,
7:45.0,,,5-11,,A. Bradley misses 2-pt shot from 19 ft
7:44.0,Defensive rebound by N. Noel,,5-11,,
7:36.0,Turnover by N. Noel (lost ball; steal by J. Sullinger),,5-11,,
7:31.0,,,5-13,2,E. Turner makes 2-pt shot at rim (assist by J. Sullinger)
7:19.0,,,5-13,,Personal foul by M. Smart (drawn by J. Sampson)
7:19.0,J. Sampson makes free throw 1 of 2,1,6-13,,
7:19.0,J. Sampson misses free throw 2 of 2,,6-13,,
7:17.0,,,6-13,,Defensive rebound by E. Turner
7:04.0,,,6-13,,Turnover by E. Turner (bad pass)
6:47.0,Turnover by N. Noel (bad pass),,6-13,,
6:32.0,,,6-13,,Shooting foul by J. Sampson (drawn by B. Bass)
6:32.0,,,6-14,1,B. Bass makes free throw 1 of 2
6:32.0,,,6-14,,J. Crowder enters the game for M. Smart
6:32.0,T. Frazier enters the game for N. Noel,,6-14,,
6:32.0,H. Thompson enters the game for J. Sampson,,6-14,,
6:32.0,H. Sims enters the game for K. McDaniels,,6-14,,
6:32.0,,,6-15,1,B. Bass makes free throw 2 of 2
6:16.0,H. Thompson makes 2-pt shot from 1 ft (assist by H. Sims),2,8-15,,
5:54.0,,,8-17,2,J. Sullinger makes 2-pt shot from 16 ft
5:46.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,8-17,,
5:45.0,,,8-17,,Defensive rebound by J. Crowder
5:33.0,,,8-19,2,J. Sullinger makes 2-pt shot from 18 ft
5:10.0,Turnover by H. Thompson (bad pass; steal by J. Crowder),,8-19,,
4:56.0,,,8-19,,A. Bradley misses 2-pt shot from 20 ft
4:56.0,Defensive rebound by H. Sims,,8-19,,
4:45.0,Shooting foul by J. Crowder (drawn by H. Sims),,8-19,,
4:45.0,H. Sims misses free throw 1 of 2,,8-19,,
4:45.0,Offensive rebound by Team,,8-19,,
4:45.0,J. Grant enters the game for L. Mbah a Moute,,8-19,,
4:45.0,,,8-19,,T. Zeller enters the game for J. Sullinger
4:45.0,H. Sims misses free throw 2 of 2,,8-19,,
4:44.0,,,8-19,,Defensive rebound by J. Crowder
4:29.0,,,8-19,,Turnover by E. Turner (bad pass; steal by J. Grant)
4:18.0,H. Thompson misses 2-pt shot from 15 ft (block by T. Zeller),,8-19,,
4:16.0,,,8-19,,Defensive rebound by J. Crowder
4:09.0,,,8-19,,Shooting foul by H. Thompson (drawn by J. Crowder)
4:09.0,,,8-20,1,J. Crowder makes free throw 1 of 2
