time,Indiana,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. R. Hibbert (S. Hill gains possession),,,,Jump ball: A. Ajinca vs. R. Hibbert (S. Hill gains possession)
11:45.0,R. Hibbert makes 2-pt shot from 16 ft (assist by G. Hill),2,2-0,,
11:23.0,,,2-2,2,T. Evans makes 2-pt shot from 23 ft
11:09.0,C. Miles makes 2-pt shot from 1 ft (assist by R. Hibbert),2,4-2,,
11:09.0,Shooting foul by D. Cunningham (drawn by C. Miles),,4-2,,
11:09.0,C. Miles makes free throw 1 of 1,1,5-2,,
10:48.0,,,5-2,,D. Cunningham misses 2-pt shot from 18 ft
10:47.0,Defensive rebound by D. West,,5-2,,
10:36.0,C. Miles misses 2-pt shot from 3 ft (block by D. Cunningham),,5-2,,
10:34.0,Offensive rebound by S. Hill,,5-2,,
10:23.0,G. Hill misses 2-pt shot from 22 ft,,5-2,,
10:22.0,,,5-2,,Defensive rebound by A. Ajinca
10:10.0,,,5-4,2,A. Ajinca makes 2-pt shot from 13 ft (assist by E. Gordon)
9:46.0,S. Hill makes 3-pt shot from 23 ft (assist by G. Hill),3,8-4,,
9:26.0,,,8-4,,Turnover by E. Gordon (lost ball)
9:14.0,,,8-4,,Personal foul by T. Evans (drawn by G. Hill)
9:06.0,D. West makes 2-pt shot from 18 ft (assist by S. Hill),2,10-4,,
8:48.0,,,10-4,,Turnover by O. Asik (lost ball; steal by S. Hill)
8:42.0,C. Miles misses 3-pt shot from 26 ft,,10-4,,
8:41.0,,,10-4,,Defensive rebound by A. Ajinca
8:36.0,,,10-4,,Shooting foul by G. Hill (drawn by T. Evans)
8:36.0,,,10-5,1,T. Evans makes free throw 1 of 2
8:36.0,,,10-6,1,T. Evans makes free throw 2 of 2
8:29.0,,,10-6,,Personal foul by A. Ajinca (drawn by R. Hibbert)
8:29.0,,,10-6,,J. Withey enters the game for A. Ajinca
8:20.0,D. West makes 2-pt shot from 17 ft (assist by G. Hill),2,12-6,,
8:00.0,,,12-6,,E. Gordon misses 2-pt shot from 16 ft
7:59.0,Defensive rebound by C. Miles,,12-6,,
7:48.0,G. Hill misses 2-pt shot from 14 ft,,12-6,,
7:47.0,,,12-6,,Defensive rebound by O. Asik
7:38.0,,,12-8,2,T. Evans makes 2-pt shot from 19 ft
7:25.0,Shooting foul by J. Withey (drawn by D. West),,12-8,,
7:25.0,D. West misses free throw 1 of 2,,12-8,,
7:25.0,Offensive rebound by Team,,12-8,,
7:25.0,D. West makes free throw 2 of 2,1,13-8,,
7:14.0,,,13-8,,Shooting foul by R. Hibbert (drawn by J. Withey)
7:14.0,,,13-9,1,J. Withey makes free throw 1 of 2
7:14.0,,,13-9,,J. Withey misses free throw 2 of 2
7:12.0,Defensive rebound by D. West,,13-9,,
7:01.0,D. West makes 2-pt shot from 20 ft,2,15-9,,
6:45.0,,,15-9,,E. Gordon misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by R. Hibbert,,15-9,,
6:34.0,S. Hill makes 2-pt shot from 18 ft,2,17-9,,
6:33.0,,,17-9,,New Orleans full timeout
6:13.0,,,17-9,,O. Asik misses 2-pt shot from 1 ft
6:12.0,Defensive rebound by C. Miles,,17-9,,
6:04.0,Offensive foul by C. Miles,,17-9,,
6:04.0,Turnover by C. Miles (offensive foul),,17-9,,
6:04.0,,,17-9,,Q. Pondexter enters the game for D. Cunningham
5:51.0,,,17-9,,Turnover by J. Withey (lost ball; steal by D. West)
5:45.0,C. Miles misses 2-pt shot from 20 ft,,17-9,,
5:44.0,Offensive rebound by D. West,,17-9,,
5:37.0,S. Hill makes 3-pt shot from 23 ft (assist by D. West),3,20-9,,
5:26.0,,,20-9,,Offensive foul by O. Asik
5:26.0,,,20-9,,Turnover by O. Asik (offensive foul)
5:02.0,D. West makes 2-pt shot from 3 ft (assist by S. Hill),2,22-9,,
4:48.0,,,22-9,,E. Gordon misses 2-pt shot from 18 ft
4:47.0,Defensive rebound by G. Hill,,22-9,,
4:41.0,C. Miles misses 3-pt shot from 26 ft,,22-9,,
4:37.0,,,22-9,,Defensive rebound by O. Asik
4:30.0,,,22-9,,T. Evans misses 3-pt shot from 23 ft
4:29.0,Defensive rebound by C. Miles,,22-9,,
4:28.0,Turnover by C. Miles (bad pass),,22-9,,
4:28.0,C. Watson enters the game for G. Hill,,22-9,,
4:09.0,,,22-9,,J. Withey misses 2-pt shot from 3 ft (block by R. Hibbert)
4:07.0,Defensive rebound by R. Hibbert,,22-9,,
4:01.0,Offensive foul by R. Hibbert,,22-9,,
4:01.0,Turnover by R. Hibbert (offensive foul),,22-9,,
4:01.0,,,22-9,,T. Douglas enters the game for E. Gordon
4:01.0,I. Mahinmi enters the game for R. Hibbert,,22-9,,
3:50.0,Violation by D. West (kicked ball),,22-9,,
3:50.0,R. Stuckey enters the game for S. Hill,,22-9,,
3:41.0,,,22-9,,T. Evans misses 2-pt shot from 2 ft
3:39.0,,,22-9,,Offensive rebound by T. Evans
3:30.0,,,22-9,,T. Evans misses 2-pt shot from 2 ft
3:28.0,,,22-9,,Offensive rebound by O. Asik
3:26.0,,,22-9,,O. Asik misses 2-pt shot from 2 ft
3:25.0,Defensive rebound by I. Mahinmi,,22-9,,
3:19.0,Indiana full timeout,,22-9,,
3:19.0,,,22-9,,L. Babbitt enters the game for T. Evans
3:12.0,R. Stuckey makes 2-pt shot from 15 ft,2,24-9,,
2:55.0,,,24-12,3,L. Babbitt makes 3-pt shot from 22 ft (assist by T. Douglas)
2:34.0,C. Miles makes 2-pt shot from 12 ft,2,26-12,,
2:22.0,,,26-14,2,J. Withey makes 2-pt shot from 14 ft (assist by T. Douglas)
2:03.0,D. West makes 2-pt shot from 20 ft (assist by R. Stuckey),2,28-14,,
1:50.0,,,28-14,,Shooting foul by D. West (drawn by O. Asik)
1:50.0,,,28-14,,O. Asik misses free throw 1 of 2
