time,Minnesota,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. J. Nurkic (T. Young gains possession),,,,Jump ball: G. Dieng vs. J. Nurkic (T. Young gains possession)
11:41.0,M. Williams misses 3-pt shot from 25 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by K. Faried
11:21.0,,,0-3,3,A. Afflalo makes 3-pt shot from 23 ft (assist by K. Faried)
11:04.0,Turnover by R. Hummel (bad pass; steal by W. Chandler),,0-3,,
10:51.0,,,0-3,,K. Faried misses 2-pt shot from 7 ft
10:51.0,Defensive rebound by Team,,0-3,,
10:51.0,,,0-3,,Loose ball foul by J. Nurkic (drawn by G. Dieng)
10:40.0,T. Young misses 2-pt shot from 2 ft,,0-3,,
10:39.0,,,0-3,,Defensive rebound by J. Nurkic
10:27.0,,,0-5,2,W. Chandler makes 2-pt shot from 5 ft (assist by A. Afflalo)
10:12.0,A. Wiggins makes 2-pt shot at rim (assist by T. Young),2,2-5,,
9:54.0,,,2-5,,Shooting foul by M. Williams (drawn by T. Lawson)
9:54.0,,,2-6,1,T. Lawson makes free throw 1 of 2
9:54.0,,,2-7,1,T. Lawson makes free throw 2 of 2
9:37.0,G. Dieng makes 2-pt shot from 12 ft (assist by A. Wiggins),2,4-7,,
9:16.0,,,4-10,3,T. Lawson makes 3-pt shot from 24 ft (assist by J. Nurkic)
8:56.0,G. Dieng misses 2-pt shot at rim (block by K. Faried),,4-10,,
8:55.0,Jump ball: G. Dieng vs. K. Faried (T. Young gains possession),,,,Jump ball: G. Dieng vs. K. Faried (T. Young gains possession)
8:55.0,Offensive rebound by Team,,4-10,,
8:45.0,M. Williams makes 2-pt shot from 22 ft,2,6-10,,
8:33.0,,,6-10,,A. Afflalo misses 2-pt shot from 18 ft
8:31.0,Defensive rebound by R. Hummel,,6-10,,
8:16.0,T. Young misses 3-pt shot from 24 ft,,6-10,,
8:14.0,,,6-10,,Defensive rebound by J. Nurkic
8:10.0,,,6-10,,W. Chandler misses 2-pt shot from 20 ft
8:09.0,,,6-10,,Offensive rebound by J. Nurkic
8:08.0,,,6-10,,J. Nurkic misses 2-pt shot from 2 ft
8:08.0,,,6-10,,Offensive rebound by J. Nurkic
8:07.0,,,6-10,,Shooting foul by G. Dieng (drawn by J. Nurkic)
8:07.0,,,6-11,1,J. Nurkic makes free throw 1 of 2
8:07.0,,,6-12,1,J. Nurkic makes free throw 2 of 2
7:53.0,A. Wiggins makes 2-pt shot from 21 ft,2,8-12,,
7:37.0,,,8-12,,T. Lawson misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by A. Wiggins,,8-12,,
7:24.0,A. Wiggins makes 3-pt shot from 22 ft (assist by M. Williams),3,11-12,,
7:06.0,,,11-12,,K. Faried misses 2-pt shot from 19 ft
7:05.0,Defensive rebound by M. Williams,,11-12,,
6:59.0,Shooting foul by T. Lawson (drawn by M. Williams),,11-12,,
6:59.0,M. Williams makes free throw 1 of 2,1,12-12,,
6:59.0,M. Williams makes free throw 2 of 2,1,13-12,,
6:45.0,,,13-12,,W. Chandler misses 2-pt shot from 6 ft
6:44.0,,,13-12,,Offensive rebound by Team
6:38.0,,,13-12,,A. Afflalo misses 2-pt shot from 5 ft (block by A. Wiggins)
6:36.0,Defensive rebound by R. Hummel,,13-12,,
6:29.0,M. Williams misses 3-pt shot from 24 ft,,13-12,,
6:27.0,,,13-12,,Defensive rebound by A. Afflalo
6:18.0,,,13-12,,J. Nurkic misses 2-pt shot at rim (block by G. Dieng)
6:16.0,Defensive rebound by T. Young,,13-12,,
6:06.0,R. Hummel makes 3-pt shot from 25 ft (assist by M. Williams),3,16-12,,
5:59.0,,,16-12,,Denver full timeout
5:59.0,,,16-12,,J. Hickson enters the game for K. Faried
5:41.0,,,16-12,,A. Afflalo misses 3-pt shot from 23 ft
5:40.0,Defensive rebound by A. Wiggins,,16-12,,
5:24.0,G. Dieng makes 2-pt shot from 14 ft,2,18-12,,
5:05.0,Personal block foul by T. Young (drawn by J. Hickson),,18-12,,
