time,Charlotte,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Varejao vs. C. Zeller (K. Irving gains possession),,,,Jump ball: A. Varejao vs. C. Zeller (K. Irving gains possession)
11:47.0,,,0-2,2,K. Love makes 2-pt shot from 16 ft (assist by K. Irving)
11:32.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft (block by L. James),,0-2,,
11:32.0,,,0-2,,Defensive rebound by K. Love
11:32.0,Personal foul by M. Kidd-Gilchrist (drawn by K. Love),,0-2,,
11:19.0,,,0-2,,K. Love misses 2-pt shot from 19 ft
11:18.0,Defensive rebound by M. Kidd-Gilchrist,,0-2,,
11:01.0,A. Jefferson misses 2-pt shot at rim,,0-2,,
11:00.0,,,0-2,,Defensive rebound by K. Love
10:49.0,,,0-4,2,A. Varejao makes 2-pt shot from 16 ft (assist by L. James)
10:40.0,,,0-4,,Personal foul by K. Irving (drawn by K. Walker)
10:27.0,K. Walker misses 2-pt shot from 14 ft,,0-4,,
10:26.0,,,0-4,,Defensive rebound by L. James
10:14.0,,,0-4,,Shooting foul by C. Zeller (drawn by K. Love)
10:14.0,,,0-5,1,K. Love makes free throw 1 of 2
10:14.0,,,0-6,1,K. Love makes free throw 2 of 2
9:58.0,C. Zeller misses 2-pt shot from 20 ft,,0-6,,
9:58.0,,,0-6,,Defensive rebound by L. James
9:49.0,,,0-9,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
9:31.0,L. Stephenson misses 3-pt shot from 24 ft,,0-9,,
9:30.0,,,0-9,,Defensive rebound by Team
9:20.0,,,0-9,,K. Love misses 2-pt shot from 12 ft
9:19.0,Defensive rebound by A. Jefferson,,0-9,,
9:15.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft (block by L. James),,0-9,,
9:14.0,Offensive rebound by Team,,0-9,,
9:03.0,C. Zeller misses 2-pt shot from 7 ft,,0-9,,
9:01.0,,,0-9,,Defensive rebound by L. James
8:51.0,,,0-11,2,A. Varejao makes 2-pt shot from 16 ft (assist by L. James)
8:44.0,Charlotte full timeout,,0-11,,
8:36.0,Turnover by C. Zeller (lost ball; steal by K. Love),,0-11,,
8:32.0,,,0-11,,Turnover by L. James (bad pass)
8:15.0,L. Stephenson misses 2-pt shot from 19 ft,,0-11,,
8:13.0,,,0-11,,Defensive rebound by K. Love
7:59.0,,,0-13,2,K. Irving makes 2-pt shot from 11 ft (assist by L. James)
7:44.0,Turnover by K. Walker (bad pass; steal by S. Marion),,0-13,,
7:29.0,,,0-16,3,K. Irving makes 3-pt shot from 25 ft (assist by L. James)
7:18.0,K. Walker misses 2-pt shot from 1 ft,,0-16,,
7:15.0,,,0-16,,Defensive rebound by K. Irving
7:13.0,,,0-16,,Turnover by K. Love (lost ball)
6:49.0,Turnover by K. Walker (bad pass; steal by S. Marion),,0-16,,
6:37.0,,,0-19,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
6:23.0,Charlotte full timeout,,0-19,,
6:12.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,0-19,,
6:11.0,,,0-19,,Defensive rebound by K. Irving
5:48.0,,,0-19,,Shooting foul by M. Kidd-Gilchrist (drawn by L. James)
5:48.0,,,0-20,1,L. James makes free throw 1 of 2
5:48.0,G. Henderson enters the game for M. Kidd-Gilchrist,,0-20,,
5:48.0,,,0-21,1,L. James makes free throw 2 of 2
5:34.0,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker),2,2-21,,
5:21.0,,,2-23,2,L. James makes 2-pt shot from 1 ft (assist by K. Love)
4:52.0,G. Henderson misses 2-pt shot from 16 ft,,2-23,,
4:51.0,,,2-23,,Defensive rebound by K. Love
4:31.0,,,2-23,,K. Irving misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by C. Zeller,,2-23,,
4:25.0,K. Walker makes 2-pt shot at rim,2,4-23,,
4:18.0,,,4-25,2,K. Irving makes 2-pt shot at rim (assist by L. James)
4:01.0,A. Jefferson misses 2-pt shot from 16 ft,,4-25,,
4:00.0,,,4-25,,Defensive rebound by K. Love
3:53.0,,,4-25,,Shooting foul by A. Jefferson (drawn by K. Irving)
3:53.0,,,4-25,,K. Irving misses free throw 1 of 2
3:53.0,,,4-25,,Offensive rebound by Team
3:53.0,,,4-25,,D. Waiters enters the game for S. Marion
3:53.0,G. Neal enters the game for L. Stephenson,,4-25,,
3:53.0,,,4-26,1,K. Irving makes free throw 2 of 2
3:40.0,A. Jefferson makes 2-pt shot from 17 ft (assist by K. Walker),2,6-26,,
3:18.0,,,6-26,,A. Varejao misses 2-pt shot from 6 ft
3:17.0,Defensive rebound by A. Jefferson,,6-26,,
3:05.0,C. Zeller misses 2-pt shot from 20 ft,,6-26,,
3:04.0,,,6-26,,Defensive rebound by D. Waiters
2:53.0,,,6-26,,Shooting foul by G. Henderson (drawn by K. Love)
2:53.0,,,6-26,,Cleveland full timeout
2:53.0,,,6-26,,T. Thompson enters the game for A. Varejao
2:53.0,,,6-26,,M. Dellavedova enters the game for K. Irving
2:53.0,M. Williams enters the game for C. Zeller,,6-26,,
2:53.0,,,6-27,1,K. Love makes free throw 1 of 2
2:53.0,,,6-28,1,K. Love makes free throw 2 of 2
2:32.0,G. Neal makes 2-pt shot from 16 ft,2,8-28,,
2:14.0,,,8-28,,Offensive foul by L. James
2:14.0,,,8-28,,Turnover by L. James (offensive foul)
2:14.0,B. Biyombo enters the game for A. Jefferson,,8-28,,
1:51.0,K. Walker makes 3-pt shot from 26 ft (assist by G. Neal),3,11-28,,
1:32.0,,,11-28,,T. Thompson misses 2-pt shot at rim (block by M. Williams)
1:30.0,,,11-28,,Offensive rebound by T. Thompson
1:22.0,,,11-31,3,L. James makes 3-pt shot from 25 ft (assist by T. Thompson)
1:09.0,,,11-31,,Personal foul by T. Thompson (drawn by G. Henderson)
1:09.0,,,11-31,,S. Marion enters the game for L. James
1:02.0,K. Walker makes 2-pt shot from 18 ft (assist by G. Neal),2,13-31,,
0:43.0,,,13-33,2,T. Thompson makes 2-pt shot at rim (assist by S. Marion)
0:35.0,K. Walker makes 2-pt shot at rim,2,15-33,,
0:26.0,Personal block foul by G. Henderson (drawn by T. Thompson),,15-33,,
0:26.0,,,15-33,,T. Thompson misses free throw 1 of 2
0:26.0,,,15-33,,Offensive rebound by Team
0:26.0,,,15-34,1,T. Thompson makes free throw 2 of 2
0:04.0,K. Walker makes 2-pt shot from 16 ft,2,17-34,,
0:00.0,,,17-34,,M. Dellavedova misses 2-pt shot from 8 ft
0:00.0,,,17-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,,,17-34,,Violation by Team (jump ball)
11:44.0,G. Neal misses 2-pt shot from 16 ft,,17-34,,
11:42.0,Offensive rebound by B. Biyombo,,17-34,,
11:41.0,B. Biyombo makes 2-pt shot at rim,2,19-34,,
11:19.0,,,19-34,,T. Thompson misses 2-pt shot from 10 ft
11:16.0,Defensive rebound by G. Neal,,19-34,,
10:57.0,M. Williams makes 3-pt shot from 23 ft (assist by B. Roberts),3,22-34,,
10:52.0,,,22-34,,Cleveland full timeout
10:52.0,,,22-34,,K. Irving enters the game for M. Dellavedova
10:40.0,,,22-34,,D. Waiters misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by B. Roberts,,22-34,,
10:23.0,G. Neal makes 2-pt shot from 16 ft (assist by B. Roberts),2,24-34,,
10:07.0,,,24-36,2,S. Marion makes 2-pt shot from 6 ft (assist by D. Waiters)
9:55.0,B. Roberts makes 2-pt shot from 19 ft,2,26-36,,
9:41.0,,,26-38,2,K. Irving makes 2-pt shot from 14 ft
9:15.0,B. Roberts misses 2-pt shot from 20 ft,,26-38,,
9:14.0,,,26-38,,Defensive rebound by T. Thompson
8:57.0,,,26-38,,D. Waiters misses 2-pt shot from 2 ft (block by B. Biyombo)
8:57.0,,,26-38,,Offensive rebound by Team
8:57.0,,,26-38,,L. James enters the game for D. Waiters
8:50.0,,,26-38,,L. James misses 2-pt shot from 16 ft
8:49.0,Defensive rebound by G. Neal,,26-38,,
8:39.0,G. Neal misses 2-pt shot from 2 ft,,26-38,,
8:37.0,,,26-38,,Defensive rebound by L. James
8:31.0,,,26-38,,S. Marion misses 2-pt shot from 4 ft (block by B. Biyombo)
8:29.0,,,26-38,,Offensive rebound by S. Marion
8:19.0,,,26-38,,L. James misses 2-pt shot from 1 ft (block by B. Biyombo)
8:17.0,Defensive rebound by B. Biyombo,,26-38,,
8:11.0,G. Henderson makes 2-pt shot at rim (assist by B. Roberts),2,28-38,,
