time,New York,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Baynes vs. A. Stoudemire (J. Calderon gains possession),,,,Jump ball: A. Baynes vs. A. Stoudemire (J. Calderon gains possession)
11:37.0,J. Calderon misses 2-pt shot from 20 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by A. Baynes
11:15.0,,,0-0,,C. Joseph misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by J. Calderon,,0-0,,
11:02.0,T. Hardaway makes 3-pt shot from 25 ft (assist by Q. Acy),3,3-0,,
10:58.0,,,3-0,,San Antonio full timeout
10:47.0,,,3-2,2,A. Baynes makes 2-pt shot from 5 ft (assist by C. Joseph)
10:28.0,T. Hardaway makes 2-pt shot from 18 ft,2,5-2,,
10:03.0,,,5-4,2,C. Joseph makes 2-pt shot from 12 ft (assist by K. Anderson)
9:52.0,Turnover by T. Hardaway (lost ball; steal by D. Green),,5-4,,
9:43.0,,,5-6,2,K. Anderson makes 2-pt shot at rim (assist by M. Bonner)
9:26.0,A. Stoudemire makes 2-pt shot from 7 ft,2,7-6,,
9:01.0,,,7-6,,A. Baynes misses 2-pt shot from 16 ft
9:00.0,Defensive rebound by Q. Acy,,7-6,,
8:42.0,Q. Acy makes 2-pt shot from 1 ft,2,9-6,,
8:30.0,,,9-8,2,K. Anderson makes 2-pt shot from 14 ft
8:12.0,Q. Acy misses 2-pt shot from 15 ft,,9-8,,
8:11.0,,,9-8,,Defensive rebound by A. Baynes
8:00.0,,,9-8,,D. Green misses 3-pt shot from 26 ft
7:59.0,Defensive rebound by T. Hardaway,,9-8,,
7:36.0,A. Stoudemire makes 2-pt shot from 5 ft,2,11-8,,
7:18.0,,,11-8,,C. Joseph misses 2-pt shot from 2 ft
7:17.0,Defensive rebound by J. Calderon,,11-8,,
7:12.0,T. Hardaway makes 3-pt shot from 26 ft (assist by J. Calderon),3,14-8,,
6:52.0,Personal foul by J. Calderon (drawn by C. Joseph),,14-8,,
6:52.0,S. Dalembert enters the game for A. Stoudemire,,14-8,,
6:52.0,J. Smith enters the game for Q. Acy,,14-8,,
6:52.0,,,14-8,,M. Belinelli enters the game for D. Green
6:37.0,,,14-8,,M. Bonner misses 2-pt shot from 14 ft
6:36.0,Defensive rebound by S. Dalembert,,14-8,,
6:25.0,Offensive foul by I. Shumpert,,14-8,,
6:25.0,Turnover by I. Shumpert (offensive foul),,14-8,,
6:25.0,,,14-8,,San Antonio full timeout
6:25.0,,,14-8,,D. Green enters the game for K. Anderson
6:14.0,,,14-8,,C. Joseph misses 2-pt shot from 16 ft
6:12.0,,,14-8,,Offensive rebound by Team
6:11.0,,,14-8,,B. Diaw enters the game for M. Bonner
6:02.0,,,14-8,,M. Belinelli misses 2-pt shot from 21 ft
6:01.0,Defensive rebound by S. Dalembert,,14-8,,
5:42.0,T. Hardaway misses 2-pt shot from 12 ft,,14-8,,
5:38.0,,,14-8,,Defensive rebound by M. Belinelli
5:30.0,,,14-11,3,D. Green makes 3-pt shot from 25 ft
5:16.0,J. Smith misses 2-pt shot from 14 ft,,14-11,,
5:15.0,,,14-11,,Defensive rebound by C. Joseph
4:59.0,,,14-11,,Turnover by A. Baynes (bad pass)
4:59.0,,,14-11,,J. Ayres enters the game for A. Baynes
4:41.0,J. Smith makes 2-pt shot from 11 ft,2,16-11,,
4:28.0,,,16-14,3,B. Diaw makes 3-pt shot from 24 ft (assist by D. Green)
4:14.0,,,16-14,,A. Daye enters the game for C. Joseph
4:04.0,S. Dalembert misses 2-pt shot from 16 ft,,16-14,,
4:03.0,,,16-14,,Defensive rebound by A. Daye
3:46.0,,,16-16,2,M. Belinelli makes 2-pt shot from 10 ft
3:39.0,New York full timeout,,16-16,,
3:39.0,S. Larkin enters the game for T. Hardaway,,16-16,,
3:19.0,J. Smith makes 2-pt shot from 15 ft,2,18-16,,
3:09.0,Personal foul by J. Smith (drawn by B. Diaw),,18-16,,
3:09.0,P. Prigioni enters the game for J. Calderon,,18-16,,
3:07.0,,,18-16,,Shooting foul by S. Larkin (drawn by D. Green)
3:07.0,,,18-17,1,D. Green makes free throw 1 of 3
3:07.0,,,18-18,1,D. Green makes free throw 2 of 3
3:07.0,,,18-19,1,D. Green makes free throw 3 of 3
2:56.0,S. Dalembert makes 2-pt shot at rim (assist by S. Larkin),2,20-19,,
2:39.0,,,20-19,,B. Diaw misses 2-pt shot from 2 ft (block by S. Dalembert)
2:38.0,,,20-19,,Offensive rebound by J. Ayres
2:38.0,,,20-21,2,J. Ayres makes 2-pt shot at rim
2:23.0,I. Shumpert makes 2-pt shot from 18 ft,2,22-21,,
2:06.0,,,22-21,,Turnover by Team (back court)
1:43.0,P. Prigioni misses 3-pt shot from 22 ft,,22-21,,
1:41.0,Offensive rebound by S. Dalembert,,22-21,,
1:41.0,S. Dalembert misses 2-pt shot from 6 ft,,22-21,,
1:40.0,,,22-21,,Defensive rebound by D. Green
1:33.0,,,22-21,,A. Daye misses 3-pt shot from 23 ft
1:32.0,Defensive rebound by J. Smith,,22-21,,
1:18.0,Turnover by I. Shumpert (traveling),,22-21,,
1:18.0,T. Wear enters the game for I. Shumpert,,22-21,,
1:04.0,,,22-24,3,A. Daye makes 3-pt shot from 24 ft (assist by B. Diaw)
0:51.0,J. Smith makes 2-pt shot from 18 ft,2,24-24,,
0:37.0,,,24-26,2,B. Diaw makes 2-pt shot from 1 ft
0:26.0,T. Wear makes 2-pt shot from 17 ft (assist by J. Smith),2,26-26,,
0:07.0,,,26-29,3,A. Daye makes 3-pt shot from 23 ft (assist by M. Belinelli)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,26-29,,D. Green misses 3-pt shot from 23 ft
11:43.0,Defensive rebound by T. Wear,,26-29,,
11:29.0,,,26-29,,Violation by A. Daye (kicked ball)
11:13.0,A. Stoudemire makes 2-pt shot from 15 ft,2,28-29,,
10:58.0,Personal foul by T. Wear (drawn by J. Ayres),,28-29,,
10:43.0,,,28-29,,D. Green misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by Q. Acy,,28-29,,
10:30.0,T. Wear makes 2-pt shot from 9 ft (assist by S. Larkin),2,30-29,,
10:19.0,,,30-29,,Shooting foul by A. Stoudemire (drawn by J. Ayres)
10:19.0,Technical foul by A. Stoudemire (drawn by J. Ayres),,30-29,,
10:19.0,,,30-29,,D. Green misses technical free throw
10:19.0,,,30-29,,Offensive rebound by Team
10:19.0,,,30-29,,J. Ayres misses free throw 1 of 2
10:19.0,,,30-29,,Offensive rebound by Team
10:19.0,,,30-29,,M. Belinelli enters the game for D. Green
10:19.0,,,30-30,1,J. Ayres makes free throw 2 of 2
9:59.0,Turnover by P. Prigioni (lost ball; steal by J. Ayres),,30-30,,
9:59.0,Personal foul by P. Prigioni (drawn by C. Joseph),,30-30,,
9:59.0,Technical foul by P. Prigioni (drawn by C. Joseph),,30-30,,
9:59.0,,,30-31,1,M. Belinelli makes technical free throw
9:46.0,,,30-33,2,M. Belinelli makes 2-pt shot from 14 ft
9:36.0,Turnover by P. Prigioni (bad pass; steal by B. Diaw),,30-33,,
9:22.0,,,30-33,,B. Diaw misses 2-pt shot from 17 ft
9:21.0,Defensive rebound by Q. Acy,,30-33,,
9:09.0,P. Prigioni misses 3-pt shot from 28 ft,,30-33,,
9:09.0,Offensive rebound by S. Larkin,,30-33,,
9:09.0,Shooting foul by C. Joseph (drawn by S. Larkin),,30-33,,
9:09.0,S. Larkin makes free throw 1 of 2,1,31-33,,
9:09.0,S. Larkin makes free throw 2 of 2,1,32-33,,
8:53.0,,,32-33,,M. Belinelli misses 2-pt shot from 13 ft
8:52.0,,,32-33,,Offensive rebound by J. Ayres
8:52.0,,,32-35,2,J. Ayres makes 2-pt shot from 2 ft
8:36.0,Q. Acy misses 2-pt shot from 17 ft,,32-35,,
8:35.0,Offensive rebound by A. Stoudemire,,32-35,,
8:35.0,A. Stoudemire makes 2-pt shot at rim,2,34-35,,
8:33.0,,,34-35,,San Antonio full timeout
8:33.0,,,34-35,,A. Baynes enters the game for B. Diaw
8:33.0,,,34-35,,M. Bonner enters the game for J. Ayres
8:25.0,,,34-37,2,A. Daye makes 2-pt shot from 16 ft (assist by M. Bonner)
8:04.0,P. Prigioni misses 3-pt shot from 27 ft,,34-37,,
8:03.0,,,34-37,,Defensive rebound by C. Joseph
7:50.0,Personal foul by T. Wear (drawn by M. Belinelli),,34-37,,
7:50.0,T. Hardaway enters the game for T. Wear,,34-37,,
7:42.0,,,34-39,2,M. Bonner makes 2-pt shot from 9 ft (assist by C. Joseph)
7:25.0,S. Larkin makes 2-pt shot at rim (assist by T. Hardaway),2,36-39,,
7:06.0,,,36-39,,M. Belinelli misses 2-pt shot from 6 ft
7:04.0,,,36-39,,Offensive rebound by C. Joseph
7:04.0,,,36-41,2,C. Joseph makes 2-pt shot from 1 ft
6:49.0,Turnover by A. Stoudemire (lost ball; steal by A. Daye),,36-41,,
6:41.0,,,36-43,2,A. Daye makes 2-pt shot from 9 ft
6:10.0,Q. Acy misses 2-pt shot from 21 ft,,36-43,,
6:09.0,,,36-43,,Defensive rebound by A. Daye
6:00.0,Personal foul by Q. Acy (drawn by M. Bonner),,36-43,,
6:00.0,,,36-44,1,M. Bonner makes free throw 1 of 2
6:00.0,J. Smith enters the game for A. Stoudemire,,36-44,,
6:00.0,J. Calderon enters the game for P. Prigioni,,36-44,,
6:00.0,,,36-44,,D. Green enters the game for A. Daye
6:00.0,,,36-44,,M. Bonner misses free throw 2 of 2
5:59.0,Defensive rebound by T. Hardaway,,36-44,,
5:41.0,T. Hardaway makes 2-pt shot from 2 ft (assist by S. Larkin),2,38-44,,
5:41.0,Shooting foul by M. Bonner (drawn by T. Hardaway),,38-44,,
5:41.0,Official timeout,,38-44,,
5:41.0,S. Dalembert enters the game for Q. Acy,,38-44,,
5:41.0,T. Hardaway makes free throw 1 of 1,1,39-44,,
5:28.0,Personal block foul by J. Smith (drawn by M. Belinelli),,39-44,,
5:28.0,,,39-45,1,M. Belinelli makes free throw 1 of 2
5:28.0,I. Shumpert enters the game for S. Larkin,,39-45,,
5:28.0,,,39-45,,A. Daye enters the game for C. Joseph
5:28.0,,,39-46,1,M. Belinelli makes free throw 2 of 2
5:15.0,,,39-46,,B. Diaw enters the game for M. Bonner
5:09.0,J. Smith makes 2-pt shot from 18 ft (assist by T. Hardaway),2,41-46,,
