time,Orlando,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Vucevic (J. Wall gains possession),,,,Jump ball: M. Gortat vs. N. Vucevic (J. Wall gains possession)
11:44.0,,,0-0,,N. Hilario misses 2-pt shot from 14 ft
11:43.0,,,0-0,,Offensive rebound by P. Pierce
11:34.0,,,0-0,,J. Wall misses 2-pt shot from 18 ft
11:33.0,,,0-0,,Offensive rebound by J. Wall
11:29.0,,,0-0,,P. Pierce misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by C. Frye,,0-0,,
11:08.0,T. Harris makes 2-pt shot from 1 ft,2,2-0,,
10:52.0,,,2-0,,M. Gortat misses 2-pt shot from 7 ft
10:51.0,Defensive rebound by N. Vucevic,,2-0,,
10:41.0,V. Oladipo misses 2-pt shot from 14 ft,,2-0,,
10:40.0,,,2-0,,Defensive rebound by M. Gortat
10:26.0,,,2-0,,G. Temple misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by V. Oladipo,,2-0,,
10:16.0,V. Oladipo misses 2-pt shot from 2 ft (block by N. Hilario),,2-0,,
10:14.0,,,2-0,,Defensive rebound by M. Gortat
10:09.0,,,2-2,2,J. Wall makes 2-pt shot from 1 ft (assist by P. Pierce)
9:43.0,C. Frye misses 3-pt shot from 22 ft,,2-2,,
9:42.0,,,2-2,,Defensive rebound by J. Wall
9:34.0,,,2-4,2,N. Hilario makes 2-pt shot from 15 ft (assist by J. Wall)
9:14.0,V. Oladipo misses 3-pt shot from 23 ft,,2-4,,
9:12.0,,,2-4,,Defensive rebound by G. Temple
9:06.0,,,2-6,2,M. Gortat makes 2-pt shot from 15 ft (assist by G. Temple)
8:48.0,N. Vucevic misses 2-pt shot from 20 ft,,2-6,,
8:47.0,,,2-6,,Defensive rebound by P. Pierce
8:41.0,,,2-6,,Turnover by J. Wall (lost ball; steal by T. Harris)
8:31.0,C. Frye makes 3-pt shot from 27 ft (assist by V. Oladipo),3,5-6,,
8:06.0,,,5-6,,Shooting foul by V. Oladipo (drawn by J. Wall)
8:06.0,,,5-7,1,J. Wall makes free throw 1 of 2
8:06.0,,,5-7,,J. Wall misses free throw 2 of 2
8:05.0,,,5-7,,Offensive rebound by M. Gortat
7:59.0,,,5-9,2,J. Wall makes 2-pt shot from 17 ft (assist by G. Temple)
7:44.0,,,5-9,,Personal foul by J. Wall (drawn by E. Fournier)
7:36.0,T. Harris makes 2-pt shot from 20 ft (assist by V. Oladipo),2,7-9,,
7:25.0,,,7-11,2,J. Wall makes 2-pt shot from 17 ft
7:08.0,E. Fournier misses 2-pt shot from 15 ft,,7-11,,
7:06.0,,,7-11,,Defensive rebound by P. Pierce
7:05.0,,,7-11,,Turnover by P. Pierce (bad pass; steal by V. Oladipo)
7:03.0,Turnover by V. Oladipo (bad pass),,7-11,,
6:56.0,,,7-13,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
6:49.0,Orlando full timeout,,7-13,,
6:42.0,N. Vucevic misses 2-pt shot from 17 ft,,7-13,,
6:41.0,,,7-13,,Defensive rebound by M. Gortat
6:25.0,,,7-13,,J. Wall misses 2-pt shot from 18 ft
6:23.0,Defensive rebound by N. Vucevic,,7-13,,
6:11.0,T. Harris makes 2-pt shot from 17 ft,2,9-13,,
5:53.0,,,9-13,,M. Gortat misses 2-pt shot from 16 ft
5:52.0,Defensive rebound by T. Harris,,9-13,,
5:38.0,E. Fournier misses 3-pt shot from 25 ft,,9-13,,
5:37.0,,,9-13,,Defensive rebound by J. Wall
5:31.0,,,9-15,2,P. Pierce makes 2-pt shot from 2 ft (assist by G. Temple)
5:08.0,E. Fournier misses 2-pt shot from 1 ft,,9-15,,
5:07.0,,,9-15,,Defensive rebound by P. Pierce
4:57.0,,,9-17,2,M. Gortat makes 2-pt shot from 1 ft (assist by P. Pierce)
4:39.0,C. Frye makes 2-pt shot from 17 ft (assist by E. Fournier),2,11-17,,
4:31.0,,,11-17,,Shooting foul by N. Vucevic (drawn by P. Pierce)
4:31.0,,,11-18,1,P. Pierce makes free throw 1 of 2
4:31.0,,,11-18,,K. Humphries enters the game for N. Hilario
4:31.0,E. Payton enters the game for V. Oladipo,,11-18,,
4:31.0,B. Gordon enters the game for E. Fournier,,11-18,,
4:31.0,,,11-19,1,P. Pierce makes free throw 2 of 2
4:09.0,B. Gordon misses 2-pt shot from 21 ft,,11-19,,
4:08.0,Offensive rebound by E. Payton,,11-19,,
3:57.0,,,11-19,,O. Porter enters the game for P. Pierce
3:56.0,Jump ball: N. Vucevic vs. J. Wall (E. Payton gains possession),,,,Jump ball: N. Vucevic vs. J. Wall (E. Payton gains possession)
3:45.0,B. Gordon misses 2-pt shot from 1 ft (block by M. Gortat),,11-19,,
3:43.0,,,11-19,,Defensive rebound by J. Wall
3:30.0,,,11-19,,G. Temple misses 2-pt shot from 1 ft
3:29.0,,,11-19,,Offensive rebound by K. Humphries
3:28.0,,,11-21,2,K. Humphries makes 2-pt shot from 1 ft
3:19.0,T. Harris misses 2-pt shot from 1 ft,,11-21,,
3:18.0,,,11-21,,Defensive rebound by O. Porter
3:13.0,,,11-21,,Turnover by J. Wall (bad pass; steal by E. Payton)
3:11.0,,,11-21,,Clear path foul by M. Gortat
3:11.0,A. Gordon enters the game for C. Frye,,11-21,,
3:11.0,E. Payton makes clear path free throw 1 of 2,1,12-21,,
3:11.0,E. Payton misses clear path free throw 2 of 2,,12-21,,
3:11.0,Offensive rebound by Team,,12-21,,
3:02.0,,,12-21,,Personal foul by G. Temple (drawn by T. Harris)
2:51.0,A. Gordon misses 2-pt shot from 11 ft,,12-21,,
2:50.0,Offensive rebound by T. Harris,,12-21,,
2:44.0,T. Harris makes 3-pt shot from 25 ft,3,15-21,,
2:30.0,,,15-21,,Offensive foul by K. Humphries
2:30.0,,,15-21,,Turnover by K. Humphries (offensive foul)
2:30.0,,,15-21,,Washington full timeout
2:13.0,E. Payton misses 2-pt shot from 19 ft,,15-21,,
2:12.0,,,15-21,,Defensive rebound by O. Porter
2:01.0,,,15-23,2,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter)
2:01.0,,,15-23,,Shooting foul by E. Payton (drawn by J. Wall)
2:01.0,,,15-24,1,J. Wall makes free throw 1 of 1
1:49.0,Turnover by B. Gordon (bad pass; steal by M. Gortat),,15-24,,
1:36.0,,,15-24,,K. Humphries misses 2-pt shot from 17 ft
1:35.0,Defensive rebound by A. Gordon,,15-24,,
1:31.0,Offensive foul by A. Gordon,,15-24,,
1:31.0,Turnover by A. Gordon (offensive foul),,15-24,,
1:31.0,,,15-24,,R. Butler enters the game for J. Wall
1:31.0,,,15-24,,A. Miller enters the game for G. Temple
1:31.0,C. Frye enters the game for N. Vucevic,,15-24,,
1:31.0,W. Green enters the game for T. Harris,,15-24,,
1:11.0,,,15-24,,M. Gortat misses 2-pt shot from 8 ft
1:10.0,Defensive rebound by E. Payton,,15-24,,
1:02.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,17-24,,
0:50.0,,,17-24,,K. Humphries misses 2-pt shot from 6 ft
0:49.0,Defensive rebound by A. Gordon,,17-24,,
0:38.0,B. Gordon misses 2-pt shot from 22 ft,,17-24,,
0:37.0,Offensive rebound by A. Gordon,,17-24,,
0:31.0,W. Green misses 3-pt shot from 23 ft,,17-24,,
0:30.0,,,17-24,,Defensive rebound by R. Butler
0:19.0,,,17-24,,Turnover by A. Miller (lost ball; steal by E. Payton)
0:15.0,E. Payton misses 2-pt shot from 1 ft (block by K. Humphries),,17-24,,
0:12.0,,,17-24,,Defensive rebound by R. Butler
0:02.0,,,17-24,,Offensive foul by A. Miller
0:02.0,,,17-24,,Turnover by A. Miller (offensive foul)
0:00.0,E. Payton misses 3-pt shot from 25 ft,,17-24,,
0:00.0,Offensive rebound by Team,,17-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:58.0,Turnover by W. Green (traveling),,17-24,,
11:45.0,,,17-24,,Turnover by K. Seraphin (lost ball; steal by C. Frye)
11:25.0,E. Fournier misses 2-pt shot from 3 ft,,17-24,,
11:23.0,,,17-24,,Defensive rebound by K. Seraphin
11:03.0,,,17-26,2,K. Humphries makes 2-pt shot from 3 ft
10:42.0,C. Frye misses 2-pt shot from 20 ft,,17-26,,
10:41.0,,,17-26,,Defensive rebound by O. Porter
10:23.0,,,17-28,2,K. Humphries makes 2-pt shot from 20 ft (assist by A. Miller)
10:09.0,A. Gordon makes 2-pt shot from 7 ft,2,19-28,,
9:51.0,,,19-28,,K. Humphries misses 2-pt shot from 2 ft
9:50.0,,,19-28,,Offensive rebound by K. Seraphin
9:48.0,,,19-28,,K. Seraphin misses 2-pt shot from 5 ft
9:48.0,,,19-28,,Offensive rebound by K. Humphries
9:48.0,,,19-30,2,K. Humphries makes 2-pt shot at rim
9:48.0,,,19-30,,Shooting foul by W. Green (drawn by K. Humphries)
9:48.0,,,19-30,,Turnover by A. Miller (lane violation.)
9:32.0,A. Gordon makes 2-pt shot from 4 ft,2,21-30,,
9:17.0,,,21-32,2,A. Miller makes 2-pt shot from 9 ft
8:58.0,C. Frye makes 3-pt shot from 27 ft (assist by E. Fournier),3,24-32,,
8:31.0,,,24-34,2,A. Miller makes 2-pt shot from 2 ft
8:24.0,E. Payton misses 2-pt shot at rim (block by O. Porter),,24-34,,
8:22.0,,,24-34,,Defensive rebound by K. Humphries
8:17.0,,,24-34,,K. Seraphin misses 2-pt shot from 1 ft
8:14.0,Defensive rebound by C. Frye,,24-34,,
8:11.0,Orlando full timeout,,24-34,,
8:11.0,V. Oladipo enters the game for E. Payton,,24-34,,
8:11.0,T. Harris enters the game for W. Green,,24-34,,
7:59.0,V. Oladipo misses 2-pt shot from 11 ft,,24-34,,
7:58.0,Offensive rebound by Team,,24-34,,
7:47.0,Shooting foul by K. Humphries (drawn by E. Fournier),,24-34,,
7:47.0,E. Fournier makes free throw 1 of 2,1,25-34,,
7:47.0,E. Fournier makes free throw 2 of 2,1,26-34,,
7:35.0,,,26-34,,Shooting foul by C. Frye (drawn by K. Seraphin)
7:35.0,,,26-34,,K. Seraphin misses free throw 1 of 2
7:35.0,,,26-34,,Offensive rebound by Team
7:35.0,N. Vucevic enters the game for A. Gordon,,26-34,,
7:35.0,,,26-35,1,K. Seraphin makes free throw 2 of 2
7:28.0,Offensive foul by E. Fournier,,26-35,,
7:28.0,Turnover by E. Fournier (offensive foul),,26-35,,
7:16.0,Personal foul by C. Frye (drawn by K. Seraphin),,26-35,,
7:05.0,,,26-35,,O. Porter misses 2-pt shot from 19 ft
7:04.0,,,26-35,,Offensive rebound by Team
6:56.0,,,26-38,3,R. Butler makes 3-pt shot from 24 ft (assist by A. Miller)
6:41.0,E. Fournier misses 2-pt shot from 2 ft,,26-38,,
6:40.0,Offensive rebound by N. Vucevic,,26-38,,
6:38.0,N. Vucevic makes 2-pt shot from 2 ft,2,28-38,,
6:27.0,,,28-40,2,K. Seraphin makes 2-pt shot from 6 ft (assist by A. Miller)
6:06.0,T. Harris misses 3-pt shot from 25 ft,,28-40,,
6:05.0,,,28-40,,Defensive rebound by K. Seraphin
5:48.0,,,28-40,,K. Seraphin misses 2-pt shot from 4 ft
5:47.0,,,28-40,,Offensive rebound by K. Humphries
5:40.0,Official timeout,,28-40,,
5:40.0,M. Harkless enters the game for C. Frye,,28-40,,
5:23.0,,,28-40,,R. Butler misses 3-pt shot from 27 ft
5:22.0,Defensive rebound by T. Harris,,28-40,,
