time,New Orleans,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. A. Davis (R. Kelly gains possession),,,,Jump ball: T. Black vs. A. Davis (R. Kelly gains possession)
11:38.0,,,0-2,2,R. Kelly makes 2-pt shot at rim (assist by J. Clarkson)
11:19.0,A. Davis makes 2-pt shot from 15 ft (assist by Q. Pondexter),2,2-2,,
10:48.0,,,2-4,2,J. Lin makes 2-pt shot at rim
10:23.0,O. Asik makes 2-pt shot from 3 ft (assist by A. Davis),2,4-4,,
9:58.0,,,4-4,,J. Lin misses 2-pt shot from 13 ft
9:56.0,Defensive rebound by Q. Pondexter,,4-4,,
9:44.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,6-4,,
9:24.0,,,6-6,2,T. Black makes 2-pt shot at rim (assist by J. Clarkson)
9:04.0,A. Davis misses 2-pt shot from 18 ft,,6-6,,
9:02.0,,,6-6,,Defensive rebound by W. Johnson
8:55.0,,,6-8,2,J. Clarkson makes 2-pt shot from 16 ft
8:33.0,Q. Pondexter makes 3-pt shot from 22 ft (assist by E. Gordon),3,9-8,,
8:12.0,,,9-8,,Shooting foul by Q. Pondexter (drawn by T. Black)
8:12.0,,,9-10,2,T. Black makes 2-pt shot at rim (assist by W. Johnson)
8:12.0,,,9-10,,T. Black misses free throw 1 of 1
8:11.0,Defensive rebound by A. Davis,,9-10,,
7:54.0,A. Davis makes 2-pt shot from 7 ft (assist by E. Gordon),2,11-10,,
7:32.0,,,11-12,2,T. Black makes 2-pt shot from 16 ft (assist by J. Clarkson)
7:11.0,,,11-12,,Personal foul by J. Clarkson (drawn by A. Davis)
7:03.0,A. Davis misses 2-pt shot from 16 ft,,11-12,,
6:59.0,,,11-12,,Defensive rebound by J. Clarkson
6:55.0,,,11-14,2,J. Clarkson makes 2-pt shot from 10 ft
6:55.0,New Orleans full timeout,,11-14,,
6:37.0,T. Evans makes 3-pt shot from 25 ft (assist by E. Gordon),3,14-14,,
6:22.0,Personal foul by A. Davis (drawn by J. Lin),,14-14,,
6:09.0,,,14-14,,J. Clarkson misses 2-pt shot from 11 ft
6:07.0,,,14-14,,Offensive rebound by W. Johnson
6:07.0,,,14-14,,W. Johnson misses 2-pt shot at rim
6:04.0,,,14-14,,Offensive rebound by J. Clarkson
6:02.0,,,14-17,3,J. Clarkson makes 3-pt shot from 23 ft (assist by R. Kelly)
5:45.0,A. Davis misses 2-pt shot from 7 ft,,14-17,,
5:42.0,,,14-17,,Defensive rebound by J. Clarkson
5:41.0,,,14-17,,Shooting foul by Q. Pondexter (drawn by R. Kelly)
5:41.0,,,14-17,,R. Kelly misses free throw 1 of 2
5:41.0,,,14-17,,Offensive rebound by Team
5:41.0,D. Cunningham enters the game for Q. Pondexter,,14-17,,
5:41.0,,,14-17,,J. Brown enters the game for J. Lin
5:41.0,,,14-18,1,R. Kelly makes free throw 2 of 2
5:24.0,T. Evans makes 3-pt shot from 22 ft,3,17-18,,
