time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (D. Green gains possession),,,,Jump ball: A. Bogut vs. D. Howard (D. Green gains possession)
11:43.0,K. Thompson misses 3-pt shot from 25 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Smith
11:35.0,,,0-0,,J. Harden misses 2-pt shot from 1 ft
11:34.0,Defensive rebound by D. Green,,0-0,,
11:24.0,H. Barnes misses 3-pt shot from 23 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by J. Smith
11:14.0,,,0-3,3,J. Smith makes 3-pt shot from 25 ft
11:00.0,K. Thompson misses 2-pt shot from 15 ft,,0-3,,
10:58.0,,,0-3,,Defensive rebound by T. Ariza
10:54.0,,,0-5,2,D. Howard makes 2-pt shot from 1 ft (assist by T. Ariza)
10:38.0,S. Curry misses 3-pt shot from 25 ft,,0-5,,
10:37.0,,,0-5,,Defensive rebound by D. Howard
10:31.0,,,0-5,,T. Ariza misses 3-pt shot from 24 ft
10:30.0,,,0-5,,Offensive rebound by J. Harden
10:26.0,,,0-5,,J. Harden misses 2-pt shot from 13 ft
10:25.0,Defensive rebound by A. Bogut,,0-5,,
10:10.0,Turnover by D. Green (bad pass),,0-5,,
10:02.0,,,0-7,2,T. Ariza makes 2-pt shot at rim (assist by J. Smith)
9:47.0,Turnover by A. Bogut (bad pass; steal by J. Harden),,0-7,,
9:40.0,,,0-9,2,J. Smith makes 2-pt shot from 7 ft (assist by T. Ariza)
9:31.0,Golden State full timeout,,0-9,,
9:18.0,H. Barnes misses 2-pt shot from 9 ft,,0-9,,
9:17.0,,,0-9,,Defensive rebound by J. Smith
9:10.0,,,0-12,3,J. Smith makes 3-pt shot from 25 ft
8:45.0,H. Barnes makes 3-pt shot from 25 ft (assist by K. Thompson),3,3-12,,
8:19.0,,,3-15,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Smith)
8:06.0,H. Barnes misses 3-pt shot from 23 ft,,3-15,,
8:04.0,,,3-15,,Defensive rebound by J. Terry
7:58.0,,,3-17,2,J. Terry makes 2-pt shot at rim
7:43.0,D. Green misses 3-pt shot from 25 ft,,3-17,,
7:42.0,,,3-17,,Defensive rebound by T. Ariza
7:32.0,,,3-17,,Turnover by J. Smith (bad pass; steal by K. Thompson)
7:27.0,S. Curry misses 3-pt shot from 25 ft,,3-17,,
7:25.0,,,3-17,,Defensive rebound by D. Howard
7:14.0,,,3-19,2,D. Howard makes 2-pt shot at rim (assist by J. Terry)
6:55.0,H. Barnes makes 2-pt shot from 15 ft,2,5-19,,
6:43.0,,,5-19,,Turnover by D. Howard (bad pass)
6:43.0,A. Iguodala enters the game for H. Barnes,,5-19,,
6:43.0,L. Barbosa enters the game for K. Thompson,,5-19,,
6:35.0,Shooting foul by J. Terry (drawn by S. Curry),,5-19,,
6:35.0,S. Curry makes free throw 1 of 2,1,6-19,,
6:35.0,S. Curry makes free throw 2 of 2,1,7-19,,
6:26.0,,,7-22,3,J. Smith makes 3-pt shot from 25 ft (assist by J. Terry)
6:12.0,A. Bogut misses 2-pt shot from 7 ft,,7-22,,
6:11.0,Offensive rebound by D. Green,,7-22,,
6:06.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,10-22,,
5:56.0,,,10-25,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Smith)
5:41.0,,,10-25,,Personal foul by J. Terry (drawn by D. Green)
5:41.0,,,10-25,,P. Prigioni enters the game for J. Terry
5:41.0,,,10-25,,T. Jones enters the game for D. Howard
5:29.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala),3,13-25,,
5:15.0,,,13-27,2,J. Smith makes 2-pt shot from 9 ft
5:05.0,Offensive foul by A. Bogut,,13-27,,
5:05.0,Turnover by A. Bogut (offensive foul),,13-27,,
4:45.0,,,13-27,,Shooting foul by D. Green (drawn by J. Harden)
4:45.0,,,13-28,1,J. Harden makes free throw 1 of 2
4:45.0,H. Barnes enters the game for A. Bogut,,13-28,,
4:45.0,,,13-29,1,J. Harden makes free throw 2 of 2
4:33.0,L. Barbosa misses 3-pt shot from 23 ft,,13-29,,
