time,Golden State,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gasol (S. Curry gains possession),,,,Jump ball: A. Bogut vs. M. Gasol (S. Curry gains possession)
11:40.0,S. Curry makes 2-pt shot from 22 ft,2,2-0,,
11:17.0,,,2-0,,Z. Randolph misses 2-pt shot from 6 ft (block by A. Bogut)
11:14.0,Defensive rebound by D. Green,,2-0,,
11:10.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,5-0,,
10:49.0,,,5-0,,C. Lee misses 3-pt shot from 25 ft
10:48.0,Defensive rebound by H. Barnes,,5-0,,
10:42.0,D. Green makes 2-pt shot at rim,2,7-0,,
10:32.0,,,7-0,,Shooting foul by K. Thompson (drawn by M. Conley)
10:32.0,,,7-1,1,M. Conley makes free throw 1 of 2
10:32.0,,,7-1,,M. Conley misses free throw 2 of 2
10:31.0,Defensive rebound by Team,,7-1,,
10:13.0,H. Barnes makes 2-pt shot from 15 ft,2,9-1,,
9:57.0,,,9-1,,T. Allen misses 2-pt shot from 17 ft
9:56.0,Defensive rebound by A. Bogut,,9-1,,
9:38.0,S. Curry misses 3-pt shot from 25 ft,,9-1,,
9:37.0,,,9-1,,Defensive rebound by M. Gasol
9:22.0,,,9-4,3,C. Lee makes 3-pt shot from 23 ft (assist by M. Conley)
9:09.0,H. Barnes makes 2-pt shot from 20 ft,2,11-4,,
8:49.0,,,11-6,2,T. Allen makes 2-pt shot from 17 ft (assist by M. Gasol)
8:32.0,H. Barnes misses 2-pt shot from 19 ft,,11-6,,
8:30.0,,,11-6,,Defensive rebound by M. Gasol
8:19.0,,,11-8,2,Z. Randolph makes 2-pt shot from 6 ft (assist by M. Gasol)
8:07.0,K. Thompson makes 3-pt shot from 23 ft (assist by A. Bogut),3,14-8,,
7:45.0,,,14-8,,T. Allen misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by A. Bogut,,14-8,,
7:42.0,Turnover by A. Bogut (bad pass; steal by C. Lee),,14-8,,
7:41.0,,,14-8,,C. Lee misses 2-pt shot from 7 ft
7:41.0,Defensive rebound by A. Bogut,,14-8,,
7:41.0,,,14-8,,Personal foul by T. Allen (drawn by A. Bogut)
7:26.0,A. Bogut makes 2-pt shot at rim (assist by H. Barnes),2,16-8,,
7:01.0,,,16-10,2,M. Conley makes 2-pt shot from 3 ft
6:51.0,H. Barnes misses 2-pt shot from 9 ft,,16-10,,
6:49.0,Offensive rebound by D. Green,,16-10,,
6:40.0,S. Curry makes 3-pt shot from 23 ft (assist by K. Thompson),3,19-10,,
6:31.0,,,19-10,,Memphis full timeout
6:31.0,,,19-10,,J. Green enters the game for T. Allen
6:21.0,,,19-10,,Z. Randolph misses 2-pt shot from 13 ft
6:19.0,Defensive rebound by D. Green,,19-10,,
6:13.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,22-10,,
5:56.0,,,22-10,,C. Lee misses 2-pt shot from 21 ft
5:54.0,Defensive rebound by D. Green,,22-10,,
5:36.0,Turnover by K. Thompson (lost ball; steal by J. Green),,22-10,,
5:34.0,Personal take foul by A. Bogut (drawn by J. Green),,22-10,,
5:26.0,,,22-10,,M. Gasol misses 2-pt shot at rim (block by A. Bogut)
5:26.0,,,22-10,,Offensive rebound by Team
5:13.0,,,22-10,,M. Gasol misses 2-pt shot from 19 ft
5:12.0,Defensive rebound by S. Curry,,22-10,,
5:06.0,S. Curry makes 3-pt shot from 25 ft,3,25-10,,
4:46.0,,,25-12,2,M. Gasol makes 2-pt shot from 6 ft (assist by M. Conley)
4:40.0,,,25-12,,Personal foul by Z. Randolph (drawn by S. Curry)
4:40.0,A. Iguodala enters the game for A. Bogut,,25-12,,
4:33.0,H. Barnes makes 2-pt shot at rim (assist by K. Thompson),2,27-12,,
4:16.0,,,27-12,,M. Gasol misses 2-pt shot from 1 ft
4:15.0,Defensive rebound by A. Iguodala,,27-12,,
4:07.0,D. Green misses 3-pt shot from 26 ft,,27-12,,
4:06.0,,,27-12,,Defensive rebound by C. Lee
3:55.0,,,27-14,2,M. Gasol makes 2-pt shot at rim (assist by C. Lee)
3:43.0,Turnover by S. Curry (lost ball; steal by M. Conley),,27-14,,
3:37.0,,,27-14,,J. Green misses 2-pt shot from 1 ft
