time,San Antonio,pts.away,score,pts.home,Portland
6:16.0,,,6-12,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Lillard)
5:58.0,D. Green makes 3-pt shot from 24 ft (assist by B. Diaw),3,9-12,,
5:37.0,,,9-12,,Turnover by W. Matthews (traveling)
5:26.0,B. Diaw misses 3-pt shot from 24 ft,,9-12,,
5:26.0,Offensive rebound by B. Diaw,,9-12,,
5:17.0,D. Green makes 3-pt shot from 26 ft,3,12-12,,
5:00.0,,,12-12,,R. Lopez misses 2-pt shot from 14 ft
4:59.0,Defensive rebound by B. Diaw,,12-12,,
4:45.0,K. Leonard misses 2-pt shot from 20 ft,,12-12,,
4:45.0,,,12-12,,Defensive rebound by R. Lopez
4:34.0,,,12-12,,R. Lopez misses 2-pt shot from 8 ft
4:33.0,Defensive rebound by A. Baynes,,12-12,,
4:25.0,D. Green misses 3-pt shot from 24 ft,,12-12,,
4:24.0,,,12-12,,Defensive rebound by L. Aldridge
4:16.0,,,12-14,2,N. Batum makes 2-pt shot from 20 ft
3:54.0,B. Diaw makes 2-pt shot from 3 ft (assist by K. Leonard),2,14-14,,
3:38.0,,,14-16,2,D. Lillard makes 2-pt shot from 1 ft
3:28.0,K. Leonard makes 2-pt shot from 2 ft,2,16-16,,
3:08.0,,,16-16,,L. Aldridge misses 2-pt shot from 17 ft
3:06.0,Defensive rebound by K. Leonard,,16-16,,
2:47.0,Turnover by D. Green (lost ball),,16-16,,
2:47.0,,,16-16,,Portland full timeout
2:47.0,,,16-16,,S. Blake enters the game for N. Batum
2:47.0,,,16-16,,C. Kaman enters the game for R. Lopez
2:47.0,,,16-16,,W. Barton enters the game for W. Matthews
2:47.0,,,16-16,,A. Crabbe enters the game for D. Lillard
2:47.0,J. Ayres enters the game for K. Leonard,,16-16,,
2:47.0,K. Anderson enters the game for A. Baynes,,16-16,,
2:47.0,M. Belinelli enters the game for C. Joseph,,16-16,,
2:33.0,,,16-16,,Turnover by A. Crabbe (bad pass; steal by D. Green)
2:15.0,M. Belinelli makes 2-pt shot from 13 ft (assist by B. Diaw),2,18-16,,
1:58.0,,,18-16,,C. Kaman misses 2-pt shot from 18 ft
1:57.0,Defensive rebound by K. Anderson,,18-16,,
1:41.0,M. Belinelli misses 2-pt shot from 21 ft,,18-16,,
1:40.0,,,18-16,,Defensive rebound by W. Barton
1:29.0,,,18-18,2,C. Kaman makes 2-pt shot from 15 ft (assist by W. Barton)
1:10.0,Turnover by J. Ayres (bad pass; steal by A. Crabbe),,18-18,,
1:07.0,,,18-20,2,A. Crabbe makes 2-pt shot at rim
0:42.0,M. Belinelli makes 2-pt shot from 20 ft (assist by B. Diaw),2,20-20,,
0:30.0,,,20-20,,S. Blake misses 3-pt shot from 25 ft
0:29.0,,,20-20,,Offensive rebound by L. Aldridge
0:29.0,,,20-20,,L. Aldridge misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by K. Anderson,,20-20,,
0:03.0,D. Green misses 2-pt shot from 21 ft,,20-20,,
0:02.0,,,20-20,,Defensive rebound by W. Barton
