time,San Antonio,pts.away,score,pts.home,Portland
2:21.0,Personal take foul by M. Belinelli (drawn by T. Robinson),,91-103,,
2:21.0,,,91-104,1,T. Robinson makes free throw 1 of 2
2:21.0,,,91-104,,T. Robinson misses free throw 2 of 2
2:20.0,Defensive rebound by A. Baynes,,91-104,,
2:06.0,K. Leonard misses 2-pt shot from 9 ft,,91-104,,
2:05.0,,,91-104,,Defensive rebound by L. Aldridge
1:53.0,,,91-104,,D. Lillard misses 2-pt shot from 3 ft (block by B. Diaw)
1:51.0,Defensive rebound by K. Leonard,,91-104,,
1:48.0,K. Leonard makes 2-pt shot at rim,2,93-104,,
1:31.0,,,93-104,,L. Aldridge misses 2-pt shot from 6 ft
1:29.0,Defensive rebound by C. Joseph,,93-104,,
1:20.0,K. Leonard makes 2-pt shot from 13 ft,2,95-104,,
1:01.0,,,95-106,2,D. Lillard makes 2-pt shot from 8 ft
0:48.0,Turnover by K. Leonard (lost ball; steal by W. Matthews),,95-106,,
0:44.0,,,95-108,2,T. Robinson makes 2-pt shot at rim
0:44.0,San Antonio full timeout,,95-108,,
0:44.0,,,95-108,,M. Leonard enters the game for N. Batum
0:44.0,,,95-108,,J. Freeland enters the game for L. Aldridge
0:44.0,,,95-108,,W. Barton enters the game for W. Matthews
0:44.0,,,95-108,,A. Crabbe enters the game for D. Lillard
0:44.0,K. Anderson enters the game for K. Leonard,,95-108,,
0:44.0,M. Bonner enters the game for B. Diaw,,95-108,,
0:44.0,A. Daye enters the game for A. Baynes,,95-108,,
0:44.0,J. Ayres enters the game for C. Joseph,,95-108,,
0:35.0,M. Bonner misses 2-pt shot from 6 ft,,95-108,,
0:35.0,,,95-108,,Defensive rebound by T. Robinson
0:11.0,,,95-108,,W. Barton misses 2-pt shot from 13 ft (block by K. Anderson)
0:10.0,,,95-108,,Offensive rebound by M. Leonard
0:07.0,,,95-108,,Turnover by T. Robinson (lost ball; steal by J. Ayres)
0:00.0,End of 4th quarter,,,,End of 4th quarter
