time,Utah,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Gobert (D. Favors gains possession),,,,Jump ball: P. Gasol vs. R. Gobert (D. Favors gains possession)
11:38.0,D. Favors makes 2-pt shot from 17 ft (assist by J. Ingles),2,2-0,,
11:22.0,,,2-0,,Turnover by J. Butler (bad pass; steal by R. Gobert)
11:18.0,R. Gobert misses 2-pt shot from 3 ft,,2-0,,
11:17.0,,,2-0,,Defensive rebound by P. Gasol
11:03.0,,,2-0,,D. Rose misses 2-pt shot from 17 ft
11:03.0,Defensive rebound by J. Ingles,,2-0,,
10:46.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,4-0,,
10:25.0,,,4-0,,Shooting foul by D. Favors (drawn by J. Noah)
10:25.0,,,4-0,,J. Noah misses free throw 1 of 2
10:25.0,,,4-0,,Offensive rebound by Team
10:25.0,,,4-1,1,J. Noah makes free throw 2 of 2
10:04.0,T. Burke misses 2-pt shot from 20 ft,,4-1,,
10:03.0,Offensive rebound by J. Ingles,,4-1,,
9:57.0,G. Hayward misses 2-pt shot from 7 ft,,4-1,,
9:56.0,Offensive rebound by R. Gobert,,4-1,,
9:56.0,R. Gobert misses 2-pt shot at rim,,4-1,,
9:55.0,Offensive rebound by R. Gobert,,4-1,,
9:55.0,R. Gobert makes 2-pt shot at rim,2,6-1,,
9:41.0,,,6-1,,K. Hinrich misses 3-pt shot from 23 ft
9:40.0,Defensive rebound by G. Hayward,,6-1,,
9:35.0,G. Hayward makes 2-pt shot from 2 ft,2,8-1,,
9:13.0,,,8-1,,K. Hinrich misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by R. Gobert,,8-1,,
9:00.0,Turnover by T. Burke (bad pass; steal by J. Butler),,8-1,,
8:59.0,,,8-3,2,J. Butler makes 2-pt shot from 1 ft
8:59.0,,,8-3,,Shooting foul by J. Ingles (drawn by J. Butler)
8:59.0,,,8-4,1,J. Butler makes free throw 1 of 1
8:45.0,D. Favors misses 2-pt shot from 16 ft,,8-4,,
8:44.0,,,8-4,,Defensive rebound by J. Butler
8:31.0,,,8-6,2,P. Gasol makes 2-pt shot from 19 ft (assist by J. Noah)
8:15.0,J. Ingles misses 2-pt shot from 3 ft (block by K. Hinrich),,8-6,,
8:14.0,,,8-6,,Defensive rebound by J. Noah
8:05.0,,,8-6,,J. Butler misses 2-pt shot from 1 ft
8:04.0,,,8-6,,Offensive rebound by J. Butler
8:01.0,,,8-6,,D. Rose misses 3-pt shot from 24 ft
7:55.0,Defensive rebound by D. Favors,,8-6,,
7:49.0,G. Hayward makes 2-pt shot from 19 ft,2,10-6,,
7:27.0,,,10-6,,Turnover by P. Gasol (lost ball; steal by J. Ingles)
7:24.0,Offensive charge foul by J. Ingles,,10-6,,
7:24.0,Turnover by J. Ingles (offensive foul),,10-6,,
7:24.0,D. Exum enters the game for J. Ingles,,10-6,,
7:09.0,,,10-6,,P. Gasol misses 2-pt shot from 1 ft
7:08.0,,,10-6,,Offensive rebound by P. Gasol
7:08.0,,,10-8,2,P. Gasol makes 2-pt shot from 1 ft
6:55.0,Offensive foul by D. Favors,,10-8,,
6:55.0,Turnover by D. Favors (offensive foul),,10-8,,
6:55.0,T. Booker enters the game for D. Favors,,10-8,,
6:40.0,,,10-8,,J. Noah misses 2-pt shot from 2 ft
