time,Brooklyn,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Thompson (J. Jack gains possession),,,,Jump ball: M. Plumlee vs. J. Thompson (J. Jack gains possession)
11:47.0,Shooting foul by D. Collison (drawn by J. Jack),,0-0,,
11:47.0,J. Jack misses free throw 1 of 3,,0-0,,
11:47.0,Offensive rebound by Team,,0-0,,
11:47.0,J. Jack makes free throw 2 of 3,1,1-0,,
11:47.0,J. Jack makes free throw 3 of 3,1,2-0,,
11:30.0,,,2-2,2,D. Cousins makes 2-pt shot from 16 ft (assist by R. Gay)
11:15.0,Shooting foul by B. McLemore (drawn by B. Bogdanovic),,2-2,,
11:15.0,B. Bogdanovic makes free throw 1 of 2,1,3-2,,
11:15.0,B. Bogdanovic makes free throw 2 of 2,1,4-2,,
10:58.0,,,4-5,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Gay)
10:36.0,K. Garnett makes 2-pt shot from 17 ft (assist by B. Bogdanovic),2,6-5,,
10:19.0,,,6-5,,Shooting foul by M. Plumlee (drawn by D. Cousins)
10:19.0,,,6-5,,D. Cousins misses free throw 1 of 2
10:19.0,,,6-5,,Offensive rebound by Team
10:19.0,,,6-6,1,D. Cousins makes free throw 2 of 2
10:06.0,J. Johnson makes 2-pt shot from 4 ft (assist by M. Plumlee),2,8-6,,
9:50.0,,,8-8,2,R. Gay makes 2-pt shot from 20 ft
9:35.0,B. Bogdanovic makes 2-pt shot from 4 ft (assist by M. Plumlee),2,10-8,,
9:14.0,,,10-8,,Turnover by D. Cousins (bad pass; steal by M. Plumlee)
9:05.0,M. Plumlee makes 2-pt shot from 5 ft (assist by J. Johnson),2,12-8,,
8:55.0,Personal foul by K. Garnett (drawn by D. Cousins),,12-8,,
8:42.0,,,12-8,,R. Gay misses 2-pt shot from 21 ft
8:41.0,Defensive rebound by K. Garnett,,12-8,,
8:31.0,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Jack),2,14-8,,
8:24.0,,,14-8,,Sacramento full timeout
8:10.0,,,14-10,2,J. Thompson makes 2-pt shot from 17 ft (assist by B. McLemore)
7:55.0,J. Jack makes 2-pt shot from 18 ft,2,16-10,,
7:35.0,,,16-10,,Turnover by J. Thompson (bad pass)
7:28.0,Turnover by B. Bogdanovic (traveling),,16-10,,
7:10.0,,,16-10,,Turnover by B. McLemore (bad pass; steal by J. Jack)
7:05.0,Offensive charge foul by J. Jack,,16-10,,
7:05.0,Turnover by J. Jack (offensive foul),,16-10,,
6:48.0,,,16-10,,B. McLemore misses 3-pt shot from 24 ft
6:47.0,,,16-10,,Offensive rebound by J. Thompson
6:42.0,,,16-10,,Shooting foul by K. Garnett (drawn by D. Cousins)
6:42.0,,,16-11,1,D. Cousins makes free throw 1 of 2
6:42.0,,,16-11,,N. Stauskas enters the game for B. McLemore
6:42.0,B. Lopez enters the game for K. Garnett,,16-11,,
6:42.0,,,16-12,1,D. Cousins makes free throw 2 of 2
6:31.0,J. Jack misses 3-pt shot from 25 ft,,16-12,,
6:30.0,Offensive rebound by B. Lopez,,16-12,,
6:29.0,B. Lopez makes 2-pt shot from 2 ft,2,18-12,,
6:13.0,,,18-14,2,D. Cousins makes 2-pt shot from 20 ft (assist by D. Collison)
5:52.0,Shooting foul by N. Stauskas (drawn by B. Bogdanovic),,18-14,,
5:52.0,B. Bogdanovic makes free throw 1 of 2,1,19-14,,
5:52.0,B. Bogdanovic makes free throw 2 of 2,1,20-14,,
5:40.0,,,20-17,3,D. Collison makes 3-pt shot from 24 ft
5:24.0,B. Bogdanovic misses 2-pt shot from 5 ft (block by J. Thompson),,20-17,,
5:23.0,,,20-17,,Defensive rebound by D. Cousins
5:18.0,,,20-17,,D. Collison misses 3-pt shot from 23 ft
5:16.0,,,20-17,,Offensive rebound by D. Cousins
5:16.0,,,20-17,,D. Cousins misses 2-pt shot from 1 ft
