time,Miami,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. H. Whiteside (C. Bosh gains possession),,,,Jump ball: B. Bass vs. H. Whiteside (C. Bosh gains possession)
11:42.0,,,0-0,,Personal foul by A. Bradley (drawn by M. Chalmers)
11:27.0,H. Whiteside makes 2-pt shot from 6 ft (assist by D. Granger),2,2-0,,
11:07.0,,,2-0,,E. Turner misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by H. Whiteside,,2-0,,
10:54.0,Turnover by S. Napier (bad pass; steal by E. Turner),,2-0,,
10:48.0,,,2-2,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
10:25.0,S. Napier misses 3-pt shot from 25 ft,,2-2,,
10:23.0,Offensive rebound by C. Bosh,,2-2,,
10:15.0,H. Whiteside misses 2-pt shot from 6 ft,,2-2,,
10:13.0,,,2-2,,Defensive rebound by E. Turner
10:07.0,,,2-2,,Turnover by E. Turner (bad pass; steal by M. Chalmers)
9:48.0,Shooting foul by E. Turner (drawn by M. Chalmers),,2-2,,
9:48.0,M. Chalmers makes free throw 1 of 2,1,3-2,,
9:48.0,M. Chalmers makes free throw 2 of 2,1,4-2,,
9:30.0,,,4-2,,T. Zeller misses 2-pt shot from 5 ft
9:29.0,Defensive rebound by D. Granger,,4-2,,
9:12.0,C. Bosh misses 2-pt shot from 18 ft,,4-2,,
9:11.0,Offensive rebound by H. Whiteside,,4-2,,
9:07.0,H. Whiteside makes 2-pt shot from 3 ft,2,6-2,,
8:58.0,,,6-2,,T. Zeller misses 2-pt shot from 18 ft
8:56.0,Defensive rebound by H. Whiteside,,6-2,,
8:44.0,C. Bosh makes 2-pt shot from 8 ft,2,8-2,,
8:29.0,,,8-2,,E. Turner misses 2-pt shot from 15 ft
8:27.0,Defensive rebound by M. Chalmers,,8-2,,
8:05.0,C. Bosh misses 2-pt shot from 7 ft,,8-2,,
8:03.0,,,8-2,,Defensive rebound by A. Bradley
7:52.0,,,8-2,,B. Bass misses 2-pt shot from 11 ft
7:51.0,Defensive rebound by D. Granger,,8-2,,
7:42.0,M. Chalmers misses 2-pt shot from 2 ft,,8-2,,
7:41.0,,,8-2,,Defensive rebound by T. Zeller
7:35.0,,,8-2,,E. Turner misses 2-pt shot from 1 ft (block by M. Chalmers)
7:34.0,Defensive rebound by M. Chalmers,,8-2,,
7:27.0,D. Granger misses 3-pt shot from 25 ft,,8-2,,
7:26.0,,,8-2,,Defensive rebound by A. Bradley
7:08.0,,,8-4,2,B. Bass makes 2-pt shot at rim (assist by J. Crowder)
6:52.0,C. Bosh makes 2-pt shot from 18 ft (assist by S. Napier),2,10-4,,
6:48.0,,,10-4,,Shooting foul by H. Whiteside (drawn by T. Zeller)
6:48.0,,,10-5,1,T. Zeller makes free throw 1 of 2
6:48.0,S. Williams enters the game for C. Bosh,,10-5,,
6:48.0,,,10-5,,M. Thornton enters the game for J. Crowder
6:48.0,,,10-6,1,T. Zeller makes free throw 2 of 2
6:38.0,S. Napier misses 3-pt shot from 23 ft,,10-6,,
6:37.0,,,10-6,,Defensive rebound by M. Thornton
6:21.0,,,10-6,,Shooting foul by S. Williams (drawn by T. Zeller)
6:21.0,,,10-6,,T. Zeller misses free throw 1 of 2
6:21.0,,,10-6,,Offensive rebound by Team
6:21.0,,,10-7,1,T. Zeller makes free throw 2 of 2
6:03.0,S. Napier makes 3-pt shot from 25 ft (assist by D. Granger),3,13-7,,
5:52.0,Personal foul by H. Whiteside (drawn by T. Zeller),,13-7,,
5:52.0,,,13-7,,Boston full timeout
5:52.0,,,13-7,,J. Sullinger enters the game for T. Zeller
5:52.0,C. Andersen enters the game for H. Whiteside,,13-7,,
5:47.0,,,13-7,,A. Bradley misses 2-pt shot from 2 ft (block by C. Andersen)
5:46.0,,,13-7,,Offensive rebound by Team
5:39.0,,,13-7,,E. Turner misses 2-pt shot from 14 ft
