time,LA Lakers,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,J. Valanciunas misses 2-pt shot from 9 ft
12:00.0,Jump ball: T. Black vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: T. Black vs. J. Valanciunas (D. DeRozan gains possession)
11:42.0,Defensive rebound by W. Johnson,,0-0,,
11:20.0,R. Kelly misses 2-pt shot from 4 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by D. DeRozan
11:11.0,,,0-2,2,J. Valanciunas makes 2-pt shot at rim (assist by D. DeRozan)
10:43.0,J. Clarkson makes 2-pt shot from 8 ft,2,2-2,,
10:21.0,,,2-2,,J. Valanciunas misses 2-pt shot from 3 ft
10:20.0,Defensive rebound by T. Black,,2-2,,
10:12.0,J. Clarkson misses 2-pt shot from 16 ft,,2-2,,
10:10.0,Offensive rebound by J. Clarkson,,2-2,,
10:08.0,J. Clarkson makes 2-pt shot at rim,2,4-2,,
9:45.0,,,4-4,2,J. Valanciunas makes 2-pt shot at rim (assist by G. Vasquez)
9:26.0,W. Johnson misses 2-pt shot from 18 ft,,4-4,,
9:25.0,,,4-4,,Defensive rebound by D. DeRozan
9:15.0,,,4-6,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan)
8:54.0,J. Lin makes 3-pt shot from 25 ft,3,7-6,,
8:42.0,,,7-6,,Turnover by D. DeRozan (bad pass; steal by J. Lin)
8:38.0,Shooting foul by G. Vasquez (drawn by J. Lin),,7-6,,
8:38.0,J. Lin makes free throw 1 of 2,1,8-6,,
8:38.0,J. Lin makes free throw 2 of 2,1,9-6,,
8:19.0,,,9-6,,D. DeRozan misses 2-pt shot from 5 ft
8:18.0,Defensive rebound by J. Lin,,9-6,,
8:12.0,Turnover by J. Lin (bad pass; steal by T. Ross),,9-6,,
8:07.0,,,9-6,,Shooting foul by J. Clarkson (drawn by D. DeRozan)
8:07.0,,,9-6,,D. DeRozan misses free throw 1 of 2
8:07.0,,,9-6,,Offensive rebound by Team
8:07.0,,,9-7,1,D. DeRozan makes free throw 2 of 2
7:59.0,J. Lin misses 2-pt shot from 3 ft (block by T. Ross),,9-7,,
7:57.0,Offensive rebound by T. Black,,9-7,,
7:54.0,T. Black misses 2-pt shot from 2 ft (block by J. Valanciunas),,9-7,,
7:54.0,Offensive rebound by Team,,9-7,,
7:47.0,T. Black misses 2-pt shot from 1 ft,,9-7,,
7:46.0,Offensive rebound by T. Black,,9-7,,
7:46.0,T. Black makes 2-pt shot from 1 ft,2,11-7,,
7:46.0,Shooting foul by J. Valanciunas (drawn by T. Black),,11-7,,
7:46.0,T. Black misses free throw 1 of 1,,11-7,,
