time,Cleveland,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. J. Thompson,,,,Jump ball: T. Mozgov vs. J. Thompson
11:57.0,Jump ball: T. Mozgov vs. J. Thompson (K. Love gains possession),,,,Jump ball: T. Mozgov vs. J. Thompson (K. Love gains possession)
11:38.0,K. Love misses 3-pt shot from 24 ft,,0-0,,
11:37.0,Offensive rebound by T. Mozgov,,0-0,,
11:22.0,K. Irving misses 2-pt shot from 20 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by J. Thompson
11:06.0,,,0-2,2,J. Thompson makes 2-pt shot from 12 ft
10:43.0,K. Love makes 2-pt shot from 17 ft (assist by K. Irving),2,2-2,,
10:23.0,,,2-4,2,D. Cousins makes 2-pt shot from 18 ft
10:07.0,K. Love makes 2-pt shot from 16 ft,2,4-4,,
9:42.0,,,4-6,2,D. Cousins makes 2-pt shot from 19 ft
9:27.0,J. Smith makes 2-pt shot from 16 ft (assist by K. Love),2,6-6,,
9:18.0,,,6-6,,B. McLemore misses 3-pt shot from 24 ft
9:17.0,,,6-6,,Offensive rebound by J. Thompson
9:13.0,,,6-6,,R. Gay misses 3-pt shot from 23 ft
9:12.0,Defensive rebound by K. Love,,6-6,,
9:03.0,T. Mozgov makes 2-pt shot from 2 ft,2,8-6,,
8:51.0,,,8-8,2,D. Cousins makes 2-pt shot from 10 ft
8:37.0,Turnover by K. Love (lost ball; steal by D. Cousins),,8-8,,
8:31.0,,,8-10,2,D. Cousins makes 2-pt shot from 3 ft
8:22.0,Turnover by J. Smith (bad pass; steal by R. Gay),,8-10,,
8:18.0,,,8-12,2,R. Gay makes 2-pt shot at rim (assist by D. Collison)
8:07.0,Cleveland full timeout,,8-12,,
7:50.0,J. Smith misses 3-pt shot from 25 ft,,8-12,,
7:49.0,,,8-12,,Defensive rebound by B. McLemore
7:31.0,,,8-12,,R. Gay misses 3-pt shot from 22 ft
7:31.0,Defensive rebound by M. Miller,,8-12,,
7:12.0,Shooting foul by J. Thompson (drawn by K. Love),,8-12,,
7:12.0,K. Love misses free throw 1 of 2,,8-12,,
7:12.0,Offensive rebound by Team,,8-12,,
7:12.0,K. Love makes free throw 2 of 2,1,9-12,,
7:01.0,,,9-12,,D. Cousins misses 2-pt shot from 17 ft
7:00.0,Defensive rebound by J. Smith,,9-12,,
6:54.0,Turnover by J. Smith (bad pass; steal by B. McLemore),,9-12,,
6:48.0,,,9-14,2,J. Thompson makes 2-pt shot at rim (assist by D. Collison)
6:32.0,K. Irving makes 3-pt shot from 24 ft,3,12-14,,
6:08.0,,,12-14,,D. Cousins misses 2-pt shot from 1 ft
6:07.0,Defensive rebound by K. Love,,12-14,,
6:01.0,Offensive charge foul by K. Love,,12-14,,
6:01.0,Turnover by K. Love (offensive foul),,12-14,,
5:41.0,,,12-16,2,R. Gay makes 2-pt shot from 11 ft
5:28.0,K. Irving makes 2-pt shot from 2 ft,2,14-16,,
5:16.0,,,14-16,,D. Collison misses 2-pt shot from 17 ft
5:16.0,Defensive rebound by T. Mozgov,,14-16,,
5:11.0,,,14-16,,Personal foul by D. Collison (drawn by K. Irving)
5:11.0,J. Harris enters the game for M. Miller,,14-16,,
4:57.0,K. Love misses 3-pt shot from 23 ft,,14-16,,
4:57.0,,,14-16,,Defensive rebound by J. Thompson
4:50.0,,,14-18,2,D. Collison makes 2-pt shot from 1 ft
4:34.0,K. Love makes 2-pt shot from 21 ft (assist by K. Irving),2,16-18,,
4:23.0,,,16-20,2,D. Cousins makes 2-pt shot from 17 ft (assist by D. Collison)
4:04.0,K. Love makes 2-pt shot from 8 ft,2,18-20,,
3:50.0,,,18-20,,B. McLemore misses 2-pt shot at rim
3:49.0,,,18-20,,Offensive rebound by B. McLemore
3:49.0,,,18-22,2,B. McLemore makes 2-pt shot at rim
3:28.0,K. Love misses 3-pt shot from 24 ft,,18-22,,
3:27.0,,,18-22,,Defensive rebound by R. Gay
3:20.0,,,18-22,,R. Gay misses 2-pt shot from 17 ft
3:19.0,Defensive rebound by T. Mozgov,,18-22,,
3:11.0,T. Mozgov makes 2-pt shot at rim (assist by J. Smith),2,20-22,,
2:51.0,,,20-22,,Shooting foul by K. Irving (drawn by D. Collison)
2:51.0,,,20-22,,Sacramento full timeout
2:51.0,,,20-22,,N. Stauskas enters the game for D. Cousins
2:51.0,,,20-22,,C. Landry enters the game for B. McLemore
2:51.0,T. Thompson enters the game for K. Love,,20-22,,
2:51.0,,,20-23,1,D. Collison makes free throw 1 of 2
2:51.0,,,20-24,1,D. Collison makes free throw 2 of 2
2:40.0,T. Mozgov misses 2-pt shot from 2 ft,,20-24,,
2:38.0,,,20-24,,Defensive rebound by J. Thompson
2:16.0,,,20-26,2,J. Thompson makes 2-pt shot from 6 ft (assist by D. Collison)
1:57.0,Turnover by K. Irving (lost ball),,20-26,,
1:47.0,,,20-26,,D. Collison misses 2-pt shot from 3 ft (block by T. Mozgov)
1:45.0,Defensive rebound by K. Irving,,20-26,,
1:41.0,K. Irving makes 3-pt shot from 25 ft,3,23-26,,
1:20.0,,,23-26,,Turnover by N. Stauskas (bad pass; steal by J. Smith)
1:11.0,K. Irving makes 3-pt shot from 25 ft,3,26-26,,
0:48.0,,,26-28,2,C. Landry makes 2-pt shot from 17 ft
0:38.0,,,26-28,,Personal foul by C. Landry (drawn by K. Irving)
0:38.0,,,26-28,,R. McCallum enters the game for D. Collison
0:34.0,K. Irving makes 3-pt shot from 25 ft (assist by J. Harris),3,29-28,,
0:24.0,Personal foul by J. Smith (drawn by R. Gay),,29-28,,
0:24.0,M. Miller enters the game for J. Smith,,29-28,,
0:15.0,Personal foul by J. Harris (drawn by R. Gay),,29-28,,
0:15.0,,,29-29,1,R. Gay makes free throw 1 of 2
0:15.0,J. Smith enters the game for T. Mozgov,,29-29,,
0:15.0,,,29-29,,D. Williams enters the game for J. Thompson
0:15.0,,,29-30,1,R. Gay makes free throw 2 of 2
0:05.0,K. Irving misses 3-pt shot from 25 ft,,29-30,,
0:04.0,,,29-30,,Defensive rebound by D. Williams
0:00.0,,,29-30,,D. Williams misses 3-pt shot from 26 ft
0:00.0,,,29-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,29-33,3,D. Williams makes 3-pt shot from 25 ft (assist by D. Cousins)
11:15.0,K. Love misses 2-pt shot from 8 ft,,29-33,,
11:15.0,,,29-33,,Defensive rebound by D. Cousins
10:49.0,,,29-33,,R. McCallum misses 2-pt shot from 13 ft
10:49.0,Defensive rebound by K. Love,,29-33,,
10:36.0,T. Thompson misses 2-pt shot from 7 ft,,29-33,,
10:35.0,,,29-33,,Defensive rebound by C. Landry
10:18.0,,,29-33,,N. Stauskas misses 3-pt shot from 24 ft
10:16.0,Defensive rebound by K. Love,,29-33,,
10:07.0,M. Dellavedova misses 2-pt shot from 8 ft,,29-33,,
10:06.0,,,29-33,,Defensive rebound by R. McCallum
10:06.0,Personal foul by M. Dellavedova (drawn by R. McCallum),,29-33,,
9:48.0,,,29-33,,D. Cousins misses 2-pt shot from 3 ft
9:47.0,Defensive rebound by K. Love,,29-33,,
9:37.0,T. Thompson makes 2-pt shot at rim (assist by K. Love),2,31-33,,
9:37.0,Shooting foul by N. Stauskas (drawn by T. Thompson),,31-33,,
9:37.0,T. Thompson misses free throw 1 of 1,,31-33,,
9:35.0,,,31-33,,Defensive rebound by D. Cousins
9:19.0,,,31-35,2,C. Landry makes 2-pt shot from 6 ft
8:55.0,K. Love misses 2-pt shot from 5 ft,,31-35,,
8:54.0,Offensive rebound by T. Thompson,,31-35,,
8:52.0,T. Thompson misses 2-pt shot from 4 ft (block by D. Cousins),,31-35,,
8:51.0,,,31-35,,Defensive rebound by N. Stauskas
8:44.0,,,31-35,,D. Cousins misses 2-pt shot from 3 ft (block by T. Thompson)
8:44.0,,,31-35,,Offensive rebound by Team
8:44.0,Official timeout,,31-35,,
8:28.0,,,31-35,,D. Cousins misses 2-pt shot from 15 ft
8:27.0,,,31-35,,Offensive rebound by C. Landry
8:27.0,Jump ball: M. Dellavedova vs. C. Landry (D. Cousins gains possession),,,,Jump ball: M. Dellavedova vs. C. Landry (D. Cousins gains possession)
8:11.0,,,31-38,3,R. McCallum makes 3-pt shot from 24 ft (assist by D. Cousins)
7:54.0,K. Love makes 2-pt shot from 15 ft (assist by J. Jones),2,33-38,,
7:35.0,,,33-38,,D. Cousins misses 2-pt shot from 4 ft
7:34.0,,,33-38,,Offensive rebound by D. Cousins
7:32.0,,,33-40,2,D. Cousins makes 2-pt shot from 3 ft
7:09.0,K. Love misses 2-pt shot from 18 ft,,33-40,,
7:09.0,,,33-40,,Defensive rebound by D. Williams
6:58.0,,,33-40,,C. Landry misses 2-pt shot from 8 ft
6:57.0,Defensive rebound by T. Thompson,,33-40,,
6:46.0,J. Harris makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,36-40,,
6:20.0,,,36-42,2,R. McCallum makes 2-pt shot from 14 ft
5:57.0,J. Jones misses 3-pt shot from 24 ft,,36-42,,
