time,San Antonio,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Gasol (T. Allen gains possession),,,,Jump ball: T. Duncan vs. M. Gasol (T. Allen gains possession)
11:54.0,,,0-0,,T. Allen misses 2-pt shot at rim (block by D. Green)
11:52.0,Defensive rebound by T. Splitter,,0-0,,
11:37.0,Shooting foul by J. Leuer (drawn by T. Splitter),,0-0,,
11:37.0,T. Splitter misses free throw 1 of 2,,0-0,,
11:37.0,Offensive rebound by Team,,0-0,,
11:37.0,T. Splitter makes free throw 2 of 2,1,1-0,,
11:24.0,,,1-2,2,M. Conley makes 2-pt shot from 9 ft (assist by C. Lee)
11:13.0,Turnover by C. Joseph (bad pass; steal by T. Allen),,1-2,,
11:08.0,,,1-2,,C. Lee misses 2-pt shot from 11 ft
11:04.0,Defensive rebound by T. Duncan,,1-2,,
10:55.0,T. Splitter makes 2-pt shot from 9 ft (assist by T. Duncan),2,3-2,,
10:34.0,,,3-4,2,J. Leuer makes 2-pt shot from 2 ft (assist by C. Lee)
10:14.0,M. Belinelli misses 2-pt shot from 1 ft,,3-4,,
10:13.0,Offensive rebound by T. Duncan,,3-4,,
10:10.0,D. Green misses 3-pt shot from 22 ft,,3-4,,
10:09.0,,,3-4,,Defensive rebound by M. Conley
9:57.0,,,3-4,,Turnover by J. Leuer (lost ball; steal by T. Splitter)
9:53.0,D. Green misses 2-pt shot from 1 ft (block by T. Allen),,3-4,,
9:50.0,,,3-4,,Defensive rebound by M. Conley
9:31.0,,,3-4,,C. Lee misses 2-pt shot from 9 ft
9:29.0,Defensive rebound by T. Splitter,,3-4,,
9:18.0,Shooting foul by J. Leuer (drawn by T. Splitter),,3-4,,
9:18.0,T. Splitter misses free throw 1 of 2,,3-4,,
9:18.0,Offensive rebound by Team,,3-4,,
9:18.0,,,3-4,,J. Stokes enters the game for J. Leuer
9:18.0,T. Splitter makes free throw 2 of 2,1,4-4,,
9:07.0,,,4-4,,C. Lee misses 2-pt shot from 9 ft
9:04.0,Defensive rebound by T. Duncan,,4-4,,
8:45.0,D. Green misses 3-pt shot from 22 ft,,4-4,,
8:45.0,,,4-4,,Defensive rebound by J. Stokes
