time,Houston,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Jones (T. Ariza gains possession),,,,Jump ball: A. Horford vs. T. Jones (T. Ariza gains possession)
11:52.0,T. Ariza makes 2-pt shot from 2 ft,2,2-0,,
11:36.0,,,2-0,,Turnover by J. Teague (bad pass; steal by D. Motiejunas)
11:30.0,C. Brewer makes 2-pt shot from 1 ft (assist by T. Jones),2,4-0,,
11:14.0,,,4-0,,J. Teague misses 2-pt shot from 22 ft
11:13.0,Defensive rebound by Team,,4-0,,
10:56.0,D. Motiejunas makes 2-pt shot from 5 ft,2,6-0,,
10:42.0,,,6-2,2,K. Korver makes 2-pt shot at rim (assist by J. Teague)
10:28.0,T. Ariza makes 2-pt shot from 19 ft (assist by D. Motiejunas),2,8-2,,
10:17.0,,,8-2,,Shooting foul by P. Beverley (drawn by J. Teague)
10:17.0,,,8-3,1,J. Teague makes free throw 1 of 2
10:17.0,,,8-4,1,J. Teague makes free throw 2 of 2
10:00.0,T. Jones misses 2-pt shot from 3 ft,,8-4,,
9:58.0,,,8-4,,Defensive rebound by P. Millsap
9:46.0,,,8-6,2,J. Teague makes 2-pt shot from 3 ft
9:35.0,D. Motiejunas misses 3-pt shot from 25 ft,,8-6,,
9:34.0,,,8-6,,Defensive rebound by D. Carroll
9:19.0,,,8-8,2,P. Millsap makes 2-pt shot from 19 ft
9:02.0,C. Brewer misses 2-pt shot from 15 ft (block by K. Korver),,8-8,,
9:02.0,Offensive rebound by Team,,8-8,,
8:58.0,P. Beverley misses 3-pt shot from 24 ft,,8-8,,
8:57.0,,,8-8,,Defensive rebound by A. Horford
8:55.0,,,8-8,,Turnover by A. Horford (bad pass)
8:44.0,P. Beverley misses 3-pt shot from 24 ft,,8-8,,
8:42.0,,,8-8,,Defensive rebound by A. Horford
8:29.0,,,8-8,,P. Millsap misses 2-pt shot from 20 ft
8:27.0,,,8-8,,Offensive rebound by D. Carroll
8:26.0,,,8-10,2,D. Carroll makes 2-pt shot from 1 ft
8:20.0,C. Brewer misses 2-pt shot from 21 ft,,8-10,,
8:18.0,Offensive rebound by T. Jones,,8-10,,
8:17.0,T. Jones makes 2-pt shot at rim,2,10-10,,
8:03.0,,,10-10,,Turnover by A. Horford (traveling)
8:03.0,,,10-10,,Violation by Team (delay of game)
7:54.0,T. Ariza misses 3-pt shot from 24 ft,,10-10,,
7:53.0,,,10-10,,Defensive rebound by P. Millsap
7:46.0,,,10-10,,Shooting foul by D. Motiejunas (drawn by J. Teague)
7:46.0,,,10-11,1,J. Teague makes free throw 1 of 2
7:46.0,,,10-12,1,J. Teague makes free throw 2 of 2
7:33.0,Turnover by P. Beverley (bad pass; steal by P. Millsap),,10-12,,
7:29.0,,,10-12,,D. Carroll misses 2-pt shot from 2 ft
7:28.0,,,10-12,,Offensive rebound by A. Horford
7:25.0,,,10-12,,K. Korver misses 3-pt shot from 23 ft
7:24.0,Defensive rebound by P. Beverley,,10-12,,
7:15.0,D. Motiejunas makes 3-pt shot from 25 ft (assist by P. Beverley),3,13-12,,
6:53.0,,,13-12,,P. Millsap misses 2-pt shot from 2 ft (block by T. Jones)
6:51.0,Defensive rebound by D. Motiejunas,,13-12,,
6:48.0,C. Brewer makes 2-pt shot at rim,2,15-12,,
6:34.0,,,15-15,3,J. Teague makes 3-pt shot from 25 ft
6:21.0,C. Brewer misses 3-pt shot from 23 ft,,15-15,,
6:20.0,,,15-15,,Defensive rebound by J. Teague
6:13.0,,,15-17,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
5:55.0,P. Beverley makes 3-pt shot from 24 ft (assist by D. Motiejunas),3,18-17,,
5:46.0,,,18-17,,Atlanta full timeout
5:46.0,J. Smith enters the game for T. Jones,,18-17,,
5:45.0,,,18-17,,Offensive foul by A. Horford
5:45.0,,,18-17,,Turnover by A. Horford (offensive foul)
5:31.0,P. Beverley makes 3-pt shot from 24 ft (assist by D. Motiejunas),3,21-17,,
5:13.0,,,21-17,,Turnover by J. Teague (bad pass)
5:13.0,,,21-17,,P. Antic enters the game for A. Horford
5:13.0,,,21-17,,K. Bazemore enters the game for K. Korver
5:01.0,D. Motiejunas misses 2-pt shot from 8 ft,,21-17,,
4:58.0,,,21-17,,Defensive rebound by P. Millsap
4:54.0,J. Terry enters the game for C. Brewer,,21-17,,
4:52.0,,,21-17,,Turnover by P. Millsap (lost ball; steal by C. Brewer)
4:52.0,Jump ball: P. Millsap vs. J. Smith (D. Motiejunas gains possession),,,,Jump ball: P. Millsap vs. J. Smith (D. Motiejunas gains possession)
4:37.0,J. Smith makes 2-pt shot from 4 ft,2,23-17,,
4:28.0,,,23-17,,J. Teague misses 2-pt shot from 17 ft
4:26.0,Defensive rebound by J. Terry,,23-17,,
4:17.0,Shooting foul by P. Millsap (drawn by D. Motiejunas),,23-17,,
4:17.0,D. Motiejunas misses free throw 1 of 2,,23-17,,
4:17.0,Offensive rebound by Team,,23-17,,
4:17.0,P. Prigioni enters the game for P. Beverley,,23-17,,
4:17.0,D. Motiejunas makes free throw 2 of 2,1,24-17,,
