time,Dallas,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. T. Chandler (W. Johnson gains possession),,,,Jump ball: T. Black vs. T. Chandler (W. Johnson gains possession)
11:37.0,,,0-3,3,J. Brown makes 3-pt shot from 23 ft (assist by R. Kelly)
11:21.0,M. Ellis misses 2-pt shot from 2 ft,,0-3,,
11:20.0,,,0-3,,Defensive rebound by J. Brown
11:14.0,,,0-3,,J. Clarkson misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by Team,,0-3,,
11:05.0,R. Jefferson makes 2-pt shot at rim,2,2-3,,
10:39.0,,,2-6,3,W. Johnson makes 3-pt shot from 23 ft (assist by R. Kelly)
10:15.0,R. Rondo makes 2-pt shot from 2 ft,2,4-6,,
9:52.0,Personal foul by M. Ellis (drawn by J. Brown),,4-6,,
9:47.0,,,4-6,,J. Brown misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by T. Chandler,,4-6,,
9:37.0,R. Rondo misses 2-pt shot from 2 ft (block by R. Kelly),,4-6,,
9:35.0,Offensive rebound by T. Chandler,,4-6,,
9:33.0,T. Chandler makes 2-pt shot at rim,2,6-6,,
9:24.0,,,6-8,2,J. Clarkson makes 2-pt shot at rim (assist by W. Johnson)
9:10.0,R. Rondo makes 2-pt shot from 18 ft,2,8-8,,
8:50.0,,,8-8,,Shooting foul by R. Rondo (drawn by R. Kelly)
8:50.0,,,8-9,1,R. Kelly makes free throw 1 of 2
8:50.0,,,8-9,,R. Kelly misses free throw 2 of 2
8:49.0,Defensive rebound by R. Rondo,,8-9,,
8:44.0,R. Jefferson misses 3-pt shot from 24 ft,,8-9,,
8:38.0,Offensive rebound by T. Chandler,,8-9,,
8:38.0,T. Chandler makes 2-pt shot from 2 ft,2,10-9,,
8:24.0,,,10-9,,J. Clarkson misses 2-pt shot from 14 ft
8:23.0,Defensive rebound by R. Rondo,,10-9,,
8:14.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by R. Rondo),3,13-9,,
7:58.0,,,13-9,,R. Kelly misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by M. Ellis,,13-9,,
7:47.0,Turnover by R. Rondo (bad pass; steal by J. Clarkson),,13-9,,
7:43.0,,,13-11,2,J. Clarkson makes 2-pt shot at rim
7:27.0,R. Rondo makes 2-pt shot from 1 ft,2,15-11,,
7:19.0,,,15-11,,R. Kelly misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by T. Chandler,,15-11,,
7:11.0,R. Rondo misses 2-pt shot at rim,,15-11,,
7:08.0,,,15-11,,Defensive rebound by T. Black
7:03.0,,,15-11,,Turnover by J. Clarkson (lost ball; steal by M. Ellis)
6:48.0,D. Nowitzki makes 2-pt shot from 13 ft,2,17-11,,
6:28.0,,,17-13,2,T. Black makes 2-pt shot from 3 ft
