time,Houston,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. T. Mozgov (T. Ariza gains possession),,,,Jump ball: D. Howard vs. T. Mozgov (T. Ariza gains possession)
11:39.0,D. Howard misses 2-pt shot from 5 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by K. Faried
11:22.0,,,0-2,2,K. Faried makes 2-pt shot from 18 ft (assist by T. Lawson)
11:05.0,P. Beverley makes 2-pt shot from 9 ft,2,2-2,,
10:55.0,,,2-2,,Turnover by T. Lawson (bad pass; steal by P. Beverley)
10:50.0,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley),2,4-2,,
10:31.0,,,4-2,,W. Chandler misses 2-pt shot from 12 ft
10:29.0,Defensive rebound by D. Howard,,4-2,,
10:14.0,D. Motiejunas misses 2-pt shot from 9 ft,,4-2,,
10:12.0,,,4-2,,Defensive rebound by T. Mozgov
10:07.0,,,4-2,,Turnover by A. Afflalo (bad pass)
9:54.0,,,4-2,,Personal foul by T. Mozgov (drawn by D. Howard)
9:40.0,D. Howard misses 2-pt shot from 17 ft,,4-2,,
9:39.0,,,4-2,,Defensive rebound by K. Faried
9:33.0,,,4-2,,A. Afflalo misses 2-pt shot from 22 ft
9:30.0,Defensive rebound by T. Ariza,,4-2,,
9:22.0,J. Harden makes 2-pt shot from 1 ft,2,6-2,,
9:06.0,,,6-2,,T. Mozgov misses 2-pt shot from 15 ft
9:04.0,Defensive rebound by P. Beverley,,6-2,,
8:59.0,P. Beverley misses 2-pt shot from 4 ft,,6-2,,
8:59.0,,,6-2,,Defensive rebound by Team
8:59.0,Loose ball foul by D. Howard (drawn by T. Mozgov),,6-2,,
8:46.0,,,6-5,3,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson)
8:33.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,8-5,,
8:12.0,,,8-5,,W. Chandler misses 2-pt shot from 1 ft (block by D. Howard)
8:10.0,Defensive rebound by D. Motiejunas,,8-5,,
8:10.0,Offensive charge foul by T. Ariza,,8-5,,
8:10.0,Turnover by T. Ariza (offensive foul),,8-5,,
7:59.0,,,8-5,,T. Lawson misses 2-pt shot from 12 ft
7:57.0,Defensive rebound by D. Howard,,8-5,,
7:47.0,T. Ariza misses 3-pt shot from 24 ft,,8-5,,
7:45.0,,,8-5,,Defensive rebound by W. Chandler
7:35.0,,,8-5,,Turnover by W. Chandler (bad pass; steal by P. Beverley)
7:31.0,J. Harden misses 2-pt shot from 2 ft,,8-5,,
7:28.0,,,8-5,,Defensive rebound by W. Chandler
7:22.0,,,8-5,,A. Afflalo misses 2-pt shot from 7 ft
7:20.0,,,8-5,,Offensive rebound by T. Mozgov
7:20.0,,,8-5,,T. Mozgov misses 2-pt shot at rim
7:19.0,Defensive rebound by P. Beverley,,8-5,,
7:19.0,Shooting foul by K. Faried (drawn by J. Harden),,8-5,,
7:19.0,J. Harden makes free throw 1 of 2,1,9-5,,
7:19.0,,,9-5,,J. Hickson enters the game for K. Faried
7:19.0,T. Black enters the game for D. Motiejunas,,9-5,,
7:19.0,J. Harden makes free throw 2 of 2,1,10-5,,
7:05.0,,,10-8,3,W. Chandler makes 3-pt shot from 22 ft (assist by T. Lawson)
6:51.0,D. Howard misses 2-pt shot from 2 ft,,10-8,,
6:49.0,Offensive rebound by D. Howard,,10-8,,
6:49.0,D. Howard misses 2-pt shot from 3 ft,,10-8,,
