time,Utah,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. R. Gobert (D. Gallinari gains possession),,,,Jump ball: K. Faried vs. R. Gobert (D. Gallinari gains possession)
11:38.0,,,0-3,3,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Lawson)
11:13.0,D. Favors misses 2-pt shot from 4 ft (block by D. Gallinari),,0-3,,
11:12.0,Offensive rebound by R. Gobert,,0-3,,
11:11.0,Turnover by Team (shot clock),,0-3,,
10:47.0,,,0-3,,D. Gallinari misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by R. Gobert,,0-3,,
10:30.0,D. Favors misses 2-pt shot from 15 ft,,0-3,,
10:27.0,,,0-3,,Defensive rebound by T. Lawson
10:11.0,,,0-3,,Shooting foul by D. Favors (drawn by K. Faried)
10:11.0,,,0-4,1,K. Faried makes free throw 1 of 2
10:11.0,,,0-4,,K. Faried misses free throw 2 of 2
10:09.0,Defensive rebound by D. Favors,,0-4,,
9:53.0,J. Ingles misses 3-pt shot from 24 ft,,0-4,,
9:50.0,,,0-4,,Defensive rebound by R. Foye
9:43.0,,,0-4,,Turnover by R. Foye (bad pass; steal by J. Ingles)
9:33.0,Shooting foul by K. Faried (drawn by D. Favors),,0-4,,
9:33.0,D. Favors misses free throw 1 of 2,,0-4,,
9:33.0,Offensive rebound by Team,,0-4,,
9:33.0,D. Favors misses free throw 2 of 2,,0-4,,
9:31.0,,,0-4,,Defensive rebound by W. Chandler
9:17.0,,,0-6,2,T. Lawson makes 2-pt shot from 9 ft
8:52.0,D. Exum misses 2-pt shot from 3 ft,,0-6,,
8:51.0,Offensive rebound by D. Exum,,0-6,,
8:40.0,D. Exum misses 3-pt shot from 23 ft,,0-6,,
8:39.0,Offensive rebound by R. Gobert,,0-6,,
8:38.0,Shooting foul by K. Faried (drawn by R. Gobert),,0-6,,
8:38.0,R. Gobert makes free throw 1 of 2,1,1-6,,
8:38.0,,,1-6,,J. Hickson enters the game for K. Faried
8:38.0,R. Gobert makes free throw 2 of 2,1,2-6,,
8:25.0,,,2-6,,Shooting foul by D. Exum (drawn by T. Lawson)
8:25.0,,,2-7,1,T. Lawson makes free throw 1 of 2
8:25.0,,,2-8,1,T. Lawson makes free throw 2 of 2
8:08.0,,,2-8,,Personal foul by T. Lawson (drawn by J. Ingles)
7:57.0,R. Gobert misses 2-pt shot from 3 ft (block by D. Gallinari),,2-8,,
7:55.0,,,2-8,,Defensive rebound by R. Foye
7:53.0,,,2-8,,R. Foye misses 2-pt shot from 4 ft (block by J. Ingles)
7:52.0,Defensive rebound by Team,,2-8,,
7:40.0,Shooting foul by J. Hickson (drawn by D. Favors),,2-8,,
7:40.0,D. Favors makes free throw 1 of 2,1,3-8,,
7:40.0,D. Favors makes free throw 2 of 2,1,4-8,,
7:27.0,,,4-8,,Turnover by D. Gallinari (bad pass; steal by D. Exum)
7:08.0,G. Hayward makes 2-pt shot from 16 ft,2,6-8,,
6:56.0,,,6-10,2,T. Lawson makes 2-pt shot from 1 ft
6:36.0,G. Hayward misses 2-pt shot from 2 ft (block by D. Gallinari),,6-10,,
6:34.0,,,6-10,,Defensive rebound by D. Gallinari
6:30.0,,,6-12,2,W. Chandler makes 2-pt shot at rim (assist by T. Lawson)
6:30.0,Utah full timeout,,6-12,,
6:17.0,G. Hayward misses 3-pt shot from 25 ft,,6-12,,
6:16.0,Offensive rebound by D. Favors,,6-12,,
5:59.0,G. Hayward makes 2-pt shot from 15 ft (assist by R. Gobert),2,8-12,,
5:41.0,,,8-15,3,W. Chandler makes 3-pt shot from 23 ft (assist by T. Lawson)
5:24.0,D. Favors misses 2-pt shot from 10 ft,,8-15,,
5:22.0,,,8-15,,Defensive rebound by W. Chandler
5:12.0,,,8-15,,J. Hickson misses 2-pt shot from 2 ft
5:11.0,Defensive rebound by R. Gobert,,8-15,,
5:02.0,Offensive charge foul by D. Favors,,8-15,,
5:02.0,Turnover by D. Favors (offensive foul),,8-15,,
5:02.0,T. Burke enters the game for J. Ingles,,8-15,,
5:02.0,E. Millsap enters the game for D. Exum,,8-15,,
4:48.0,,,8-15,,T. Lawson misses 2-pt shot from 17 ft
4:46.0,Defensive rebound by G. Hayward,,8-15,,
4:40.0,Turnover by E. Millsap (lost ball),,8-15,,
4:40.0,T. Booker enters the game for D. Favors,,8-15,,
4:21.0,,,8-15,,D. Gallinari misses 2-pt shot from 22 ft
4:20.0,Defensive rebound by R. Gobert,,8-15,,
4:07.0,G. Hayward makes 2-pt shot from 9 ft,2,10-15,,
4:01.0,,,10-15,,Denver full timeout
4:01.0,,,10-15,,J. Nelson enters the game for T. Lawson
3:52.0,,,10-15,,W. Chandler misses 2-pt shot from 9 ft
3:50.0,Defensive rebound by R. Gobert,,10-15,,
3:29.0,T. Burke misses 3-pt shot from 25 ft,,10-15,,
3:27.0,Offensive rebound by E. Millsap,,10-15,,
3:27.0,E. Millsap misses 2-pt shot from 1 ft,,10-15,,
3:26.0,Offensive rebound by Team,,10-15,,
3:26.0,,,10-15,,Loose ball foul by W. Chandler (drawn by T. Booker)
3:26.0,T. Booker makes free throw 1 of 2,1,11-15,,
3:26.0,,,11-15,,W. Barton enters the game for R. Foye
3:26.0,T. Booker makes free throw 2 of 2,1,12-15,,
3:13.0,,,12-18,3,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson)
2:51.0,G. Hayward makes 2-pt shot from 5 ft,2,14-18,,
2:39.0,,,14-18,,J. Nelson misses 3-pt shot from 26 ft
2:37.0,Defensive rebound by G. Hayward,,14-18,,
2:14.0,T. Burke misses 3-pt shot from 23 ft,,14-18,,
2:13.0,Offensive rebound by T. Booker,,14-18,,
2:02.0,T. Burke misses 2-pt shot from 5 ft,,14-18,,
2:01.0,,,14-18,,Defensive rebound by W. Chandler
1:55.0,,,14-20,2,J. Hickson makes 2-pt shot at rim (assist by W. Chandler)
1:33.0,G. Hayward misses 3-pt shot from 25 ft,,14-20,,
1:29.0,Offensive rebound by T. Booker,,14-20,,
1:23.0,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hayward),2,16-20,,
1:11.0,,,16-20,,Turnover by J. Nelson (bad pass; steal by E. Millsap)
