time,LA Lakers,pts.away,score,pts.home,Cleveland
6:12.0,T. Black misses 2-pt shot from 1 ft,,13-11,,
6:10.0,Offensive rebound by R. Sacre,,13-11,,
6:07.0,R. Sacre misses 2-pt shot from 7 ft,,13-11,,
6:06.0,Offensive rebound by J. Clarkson,,13-11,,
6:03.0,J. Clarkson misses 2-pt shot from 1 ft,,13-11,,
6:02.0,,,13-11,,Defensive rebound by K. Irving
6:00.0,,,13-13,2,K. Irving makes 2-pt shot at rim
6:00.0,,,13-13,,Shooting foul by W. Johnson (drawn by K. Irving)
6:00.0,,,13-14,1,K. Irving makes free throw 1 of 1
5:44.0,W. Johnson misses 2-pt shot from 17 ft,,13-14,,
5:43.0,Offensive rebound by J. Clarkson,,13-14,,
5:39.0,W. Johnson makes 2-pt shot at rim (assist by J. Clarkson),2,15-14,,
5:17.0,,,15-14,,L. James misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by W. Ellington,,15-14,,
5:14.0,,,15-14,,Personal foul by K. Irving (drawn by W. Ellington)
5:14.0,,,15-14,,Cleveland full timeout
5:14.0,C. Boozer enters the game for T. Black,,15-14,,
5:14.0,,,15-14,,I. Shumpert enters the game for L. James
5:07.0,Turnover by R. Sacre (lost ball; steal by K. Irving),,15-14,,
4:59.0,,,15-16,2,K. Irving makes 2-pt shot from 3 ft
4:41.0,W. Ellington misses 2-pt shot from 6 ft,,15-16,,
4:38.0,Offensive rebound by C. Boozer,,15-16,,
4:38.0,C. Boozer makes 2-pt shot at rim,2,17-16,,
4:18.0,,,17-16,,K. Love misses 2-pt shot from 10 ft
4:15.0,Defensive rebound by C. Boozer,,17-16,,
4:08.0,C. Boozer misses 2-pt shot from 16 ft,,17-16,,
4:07.0,,,17-16,,Defensive rebound by K. Love
3:45.0,,,17-16,,Turnover by T. Mozgov (lost ball; steal by J. Clarkson)
3:38.0,C. Boozer misses 2-pt shot from 3 ft (block by T. Mozgov),,17-16,,
3:36.0,Offensive rebound by C. Boozer,,17-16,,
3:33.0,J. Clarkson makes 2-pt shot at rim (assist by C. Boozer),2,19-16,,
3:14.0,,,19-16,,I. Shumpert misses 2-pt shot from 14 ft
3:13.0,Defensive rebound by W. Ellington,,19-16,,
3:05.0,Turnover by R. Sacre (bad pass; steal by I. Shumpert),,19-16,,
2:57.0,,,19-18,2,J. Smith makes 2-pt shot from 18 ft
2:45.0,LA Lakers full timeout,,19-18,,
2:45.0,J. Lin enters the game for R. Sacre,,19-18,,
2:45.0,E. Davis enters the game for W. Ellington,,19-18,,
2:45.0,N. Young enters the game for J. Clarkson,,19-18,,
2:45.0,,,19-18,,L. James enters the game for K. Love
2:45.0,,,19-18,,T. Thompson enters the game for J. Smith
2:27.0,N. Young misses 3-pt shot from 24 ft,,19-18,,
2:27.0,,,19-18,,Defensive rebound by Team
2:20.0,,,19-20,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
1:59.0,C. Boozer misses 2-pt shot from 8 ft,,19-20,,
1:57.0,Offensive rebound by W. Johnson,,19-20,,
1:57.0,W. Johnson misses 2-pt shot at rim,,19-20,,
1:56.0,Offensive rebound by W. Johnson,,19-20,,
1:56.0,Shooting foul by T. Mozgov (drawn by W. Johnson),,19-20,,
1:56.0,W. Johnson makes free throw 1 of 2,1,20-20,,
1:56.0,W. Johnson makes free throw 2 of 2,1,21-20,,
1:46.0,,,21-22,2,K. Irving makes 2-pt shot at rim
1:34.0,W. Johnson makes 3-pt shot from 25 ft (assist by C. Boozer),3,24-22,,
1:21.0,,,24-25,3,K. Irving makes 3-pt shot from 25 ft
1:03.0,Turnover by J. Lin (bad pass; steal by L. James),,24-25,,
0:58.0,,,24-28,3,K. Irving makes 3-pt shot from 25 ft (assist by L. James)
0:41.0,C. Boozer makes 2-pt shot from 11 ft (assist by J. Lin),2,26-28,,
0:31.0,,,26-30,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
0:10.0,J. Lin misses 2-pt shot from 8 ft,,26-30,,
0:08.0,,,26-30,,Defensive rebound by L. James
0:06.0,,,26-30,,Shooting foul by N. Young (drawn by L. James)
0:06.0,,,26-31,1,L. James makes free throw 1 of 2
0:06.0,,,26-31,,M. Dellavedova enters the game for K. Irving
0:06.0,,,26-32,1,L. James makes free throw 2 of 2
0:01.0,J. Lin makes 2-pt shot at rim,2,28-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. Boozer misses 2-pt shot from 14 ft,,28-32,,
11:44.0,,,28-32,,Defensive rebound by L. James
11:37.0,,,28-35,3,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James)
11:14.0,N. Young misses 2-pt shot from 15 ft,,28-35,,
11:13.0,,,28-35,,Defensive rebound by L. James
11:08.0,,,28-37,2,T. Thompson makes 2-pt shot at rim (assist by I. Shumpert)
10:41.0,Shooting foul by K. Love (drawn by E. Davis),,28-37,,
10:41.0,E. Davis makes free throw 1 of 2,1,29-37,,
10:41.0,E. Davis makes free throw 2 of 2,1,30-37,,
10:33.0,Personal foul by W. Johnson (drawn by L. James),,30-37,,
10:23.0,,,30-37,,T. Thompson misses 2-pt shot from 5 ft
10:21.0,Defensive rebound by C. Boozer,,30-37,,
10:02.0,N. Young makes 2-pt shot from 17 ft,2,32-37,,
9:49.0,,,32-40,3,K. Love makes 3-pt shot from 25 ft (assist by T. Thompson)
9:29.0,C. Boozer makes 2-pt shot from 15 ft (assist by N. Young),2,34-40,,
9:06.0,,,34-40,,K. Love misses 2-pt shot from 7 ft
9:04.0,Defensive rebound by E. Davis,,34-40,,
8:58.0,N. Young misses 3-pt shot from 26 ft,,34-40,,
8:56.0,,,34-40,,Defensive rebound by L. James
8:53.0,,,34-42,2,I. Shumpert makes 2-pt shot at rim (assist by L. James)
8:53.0,,,34-42,,Personal foul by M. Dellavedova (drawn by J. Lin)
8:53.0,Official timeout,,34-42,,
8:33.0,N. Young misses 3-pt shot from 26 ft,,34-42,,
8:32.0,Offensive rebound by C. Boozer,,34-42,,
8:32.0,C. Boozer makes 2-pt shot at rim,2,36-42,,
8:32.0,Shooting foul by M. Dellavedova (drawn by C. Boozer),,36-42,,
