time,LA Lakers,pts.away,score,pts.home,Cleveland
2:30.0,,,95-117,3,I. Shumpert makes 3-pt shot from 25 ft (assist by J. Jones)
2:17.0,J. Lin makes 2-pt shot from 19 ft,2,97-117,,
1:59.0,,,97-117,,Turnover by M. Dellavedova (bad pass; steal by E. Davis)
1:47.0,J. Lin misses 2-pt shot from 4 ft (block by T. Thompson),,97-117,,
1:45.0,,,97-117,,Defensive rebound by J. Jones
1:40.0,,,97-117,,I. Shumpert misses 2-pt shot from 21 ft
1:38.0,Defensive rebound by W. Johnson,,97-117,,
1:25.0,N. Young makes 3-pt shot from 24 ft (assist by W. Johnson),3,100-117,,
1:08.0,,,100-120,3,J. Harris makes 3-pt shot from 24 ft
1:02.0,Shooting foul by J. Harris (drawn by E. Davis),,100-120,,
1:02.0,LA Lakers full timeout,,100-120,,
1:02.0,E. Davis makes free throw 1 of 2,1,101-120,,
1:02.0,E. Davis makes free throw 2 of 2,1,102-120,,
0:51.0,,,102-120,,J. Jones misses 3-pt shot from 25 ft
0:50.0,Defensive rebound by J. Lin,,102-120,,
0:35.0,R. Kelly misses 3-pt shot from 25 ft,,102-120,,
0:34.0,,,102-120,,Defensive rebound by T. Thompson
0:14.0,,,102-120,,Turnover by I. Shumpert (lost ball)
0:04.0,W. Johnson makes 3-pt shot from 26 ft (assist by N. Young),3,105-120,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
