time,Denver,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. R. Gobert (W. Chandler gains possession),,,,Jump ball: K. Faried vs. R. Gobert (W. Chandler gains possession)
11:44.0,K. Faried misses 2-pt shot from 1 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by Team
11:24.0,,,0-0,,G. Hayward misses 3-pt shot from 23 ft
11:22.0,Defensive rebound by D. Gallinari,,0-0,,
11:08.0,D. Gallinari misses 3-pt shot from 24 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by J. Ingles
10:53.0,,,0-2,2,D. Favors makes 2-pt shot at rim
10:26.0,T. Lawson misses 3-pt shot from 24 ft,,0-2,,
10:25.0,,,0-2,,Defensive rebound by G. Hayward
10:06.0,,,0-5,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Gobert)
9:56.0,,,0-5,,Personal foul by J. Ingles (drawn by R. Foye)
9:51.0,K. Faried makes 2-pt shot from 5 ft (assist by T. Lawson),2,2-5,,
9:34.0,,,2-5,,D. Favors misses 2-pt shot from 5 ft
9:33.0,Defensive rebound by W. Chandler,,2-5,,
9:26.0,,,2-5,,Personal foul by R. Gobert (drawn by D. Gallinari)
9:16.0,R. Foye misses 3-pt shot from 23 ft,,2-5,,
9:15.0,Offensive rebound by Team,,2-5,,
9:12.0,R. Foye makes 2-pt shot from 19 ft (assist by W. Chandler),2,4-5,,
8:50.0,,,4-5,,Turnover by D. Exum (bad pass; steal by D. Gallinari)
8:41.0,R. Foye makes 3-pt shot from 24 ft (assist by D. Gallinari),3,7-5,,
8:16.0,,,7-5,,J. Ingles misses 3-pt shot from 24 ft
8:14.0,,,7-5,,Offensive rebound by Team
8:01.0,,,7-7,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum)
7:35.0,T. Lawson makes 2-pt shot from 23 ft,2,9-7,,
7:18.0,Personal foul by R. Foye (drawn by J. Ingles),,9-7,,
7:03.0,,,9-7,,D. Exum misses 3-pt shot from 23 ft
7:02.0,,,9-7,,Offensive rebound by Team
6:53.0,,,9-7,,G. Hayward misses 3-pt shot from 25 ft
6:50.0,,,9-7,,Offensive rebound by Team
6:40.0,,,9-7,,Shooting foul by W. Chandler (drawn by R. Gobert)
6:40.0,,,9-8,1,R. Gobert makes free throw 1 of 2
6:40.0,,,9-8,,R. Gobert misses free throw 2 of 2
6:39.0,Defensive rebound by K. Faried,,9-8,,
6:26.0,T. Lawson misses 2-pt shot from 2 ft,,9-8,,
6:25.0,,,9-8,,Defensive rebound by R. Gobert
6:23.0,,,9-8,,Turnover by R. Gobert (lost ball; steal by T. Lawson)
6:17.0,D. Gallinari misses 2-pt shot from 3 ft (block by R. Gobert),,9-8,,
6:17.0,Offensive rebound by Team,,9-8,,
6:10.0,D. Gallinari misses 3-pt shot from 24 ft,,9-8,,
6:09.0,,,9-8,,Defensive rebound by G. Hayward
5:54.0,Personal foul by W. Chandler (drawn by G. Hayward),,9-8,,
5:54.0,,,9-8,,Utah full timeout
5:54.0,W. Barton enters the game for W. Chandler,,9-8,,
5:41.0,,,9-8,,D. Favors misses 2-pt shot from 9 ft
5:37.0,Defensive rebound by T. Lawson,,9-8,,
5:31.0,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson),2,11-8,,
5:31.0,Shooting foul by D. Favors (drawn by K. Faried),,11-8,,
5:31.0,,,11-8,,C. Johnson enters the game for J. Ingles
5:31.0,K. Faried makes free throw 1 of 1,1,12-8,,
5:19.0,,,12-10,2,D. Favors makes 2-pt shot from 6 ft
5:04.0,K. Faried misses 2-pt shot from 6 ft,,12-10,,
5:03.0,,,12-10,,Defensive rebound by C. Johnson
4:55.0,,,12-12,2,D. Exum makes 2-pt shot from 1 ft
4:37.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,14-12,,
4:21.0,,,14-14,2,C. Johnson makes 2-pt shot at rim (assist by D. Exum)
