time,Sacramento,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Kaman vs. J. Thompson (D. Cousins gains possession),,,,Jump ball: C. Kaman vs. J. Thompson (D. Cousins gains possession)
11:42.0,D. Cousins misses 2-pt shot from 20 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Lillard
11:30.0,,,0-0,,Turnover by W. Matthews (bad pass)
11:16.0,J. Thompson makes 2-pt shot from 15 ft,2,2-0,,
10:59.0,,,2-0,,L. Aldridge misses 2-pt shot from 21 ft
10:57.0,Defensive rebound by J. Thompson,,2-0,,
10:47.0,R. Gay misses 3-pt shot from 26 ft,,2-0,,
10:47.0,,,2-0,,Defensive rebound by L. Aldridge
10:35.0,,,2-2,2,C. Kaman makes 2-pt shot from 2 ft (assist by N. Batum)
10:19.0,Turnover by J. Thompson (bad pass; steal by L. Aldridge),,2-2,,
10:14.0,,,2-4,2,N. Batum makes 2-pt shot from 1 ft (assist by L. Aldridge)
9:53.0,D. Cousins misses 2-pt shot from 7 ft,,2-4,,
9:53.0,,,2-4,,Defensive rebound by N. Batum
9:51.0,,,2-4,,Turnover by N. Batum (bad pass; steal by B. McLemore)
9:41.0,D. Collison misses 2-pt shot from 3 ft,,2-4,,
9:40.0,,,2-4,,Defensive rebound by D. Lillard
9:33.0,,,2-4,,W. Matthews misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by D. Cousins,,2-4,,
9:30.0,Turnover by D. Cousins (bad pass; steal by D. Lillard),,2-4,,
9:23.0,,,2-7,3,L. Aldridge makes 3-pt shot from 22 ft (assist by D. Lillard)
9:12.0,Sacramento full timeout,,2-7,,
9:03.0,R. Gay makes 2-pt shot from 8 ft,2,4-7,,
8:47.0,,,4-7,,Turnover by L. Aldridge (lost ball; steal by R. Gay)
8:40.0,D. Collison makes 3-pt shot from 22 ft (assist by B. McLemore),3,7-7,,
8:17.0,,,7-7,,C. Kaman misses 2-pt shot from 1 ft
8:15.0,Defensive rebound by D. Cousins,,7-7,,
8:09.0,B. McLemore makes 3-pt shot from 22 ft (assist by D. Collison),3,10-7,,
7:55.0,,,10-10,3,L. Aldridge makes 3-pt shot from 24 ft (assist by D. Lillard)
7:32.0,D. Cousins makes 2-pt shot from 20 ft (assist by D. Collison),2,12-10,,
7:20.0,,,12-10,,D. Lillard misses 2-pt shot from 3 ft
7:18.0,Defensive rebound by D. Cousins,,12-10,,
7:12.0,D. Cousins misses 2-pt shot at rim,,12-10,,
7:10.0,Offensive rebound by D. Collison,,12-10,,
7:03.0,D. Cousins makes 2-pt shot from 3 ft (assist by D. Collison),2,14-10,,
6:51.0,Personal foul by R. Gay (drawn by C. Kaman),,14-10,,
6:44.0,,,14-12,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Lillard)
6:19.0,R. Gay makes 2-pt shot from 12 ft,2,16-12,,
6:02.0,,,16-12,,D. Lillard misses 2-pt shot from 20 ft
6:01.0,Defensive rebound by B. McLemore,,16-12,,
5:52.0,J. Thompson misses 2-pt shot from 17 ft,,16-12,,
5:52.0,,,16-12,,M. Leonard enters the game for C. Kaman
5:52.0,,,16-12,,C. McCollum enters the game for W. Matthews
5:51.0,Jump ball: L. Aldridge vs. J. Thompson (D. Lillard gains possession),,,,Jump ball: L. Aldridge vs. J. Thompson (D. Lillard gains possession)
5:51.0,,,16-12,,Defensive rebound by Team
5:39.0,,,16-12,,Turnover by M. Leonard (offensive foul)
5:39.0,,,16-12,,Offensive foul by M. Leonard
5:20.0,D. Cousins makes 2-pt shot from 1 ft,2,18-12,,
5:01.0,,,18-12,,N. Batum misses 2-pt shot at rim
5:00.0,Defensive rebound by J. Thompson,,18-12,,
4:52.0,R. Gay makes 2-pt shot from 14 ft,2,20-12,,
4:50.0,,,20-12,,Portland full timeout
4:35.0,,,20-12,,Turnover by N. Batum (bad pass; steal by B. McLemore)
4:31.0,Shooting foul by N. Batum (drawn by R. Gay),,20-12,,
4:31.0,,,20-12,,Technical foul by N. Batum (drawn by R. Gay)
4:31.0,D. Collison misses technical free throw,,20-12,,
4:31.0,Offensive rebound by Team,,20-12,,
4:31.0,R. Gay misses free throw 1 of 2,,20-12,,
4:31.0,Offensive rebound by Team,,20-12,,
4:31.0,R. Gay makes free throw 2 of 2,1,21-12,,
4:17.0,,,21-12,,C. McCollum misses 3-pt shot from 24 ft
4:16.0,,,21-12,,Offensive rebound by M. Leonard
4:09.0,,,21-12,,N. Batum misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by B. McLemore,,21-12,,
4:03.0,Turnover by B. McLemore (lost ball; steal by C. McCollum),,21-12,,
3:57.0,,,21-12,,Turnover by L. Aldridge (bad pass; steal by R. Gay)
3:52.0,B. McLemore misses 2-pt shot from 1 ft,,21-12,,
3:50.0,Offensive rebound by R. Gay,,21-12,,
3:50.0,R. Gay makes 2-pt shot at rim,2,23-12,,
3:29.0,,,23-12,,L. Aldridge misses 2-pt shot from 13 ft
3:28.0,,,23-12,,Offensive rebound by Team
3:23.0,,,23-12,,D. Lillard misses 2-pt shot from 21 ft
3:21.0,Defensive rebound by R. Gay,,23-12,,
3:07.0,R. Gay makes 2-pt shot from 15 ft,2,25-12,,
2:52.0,,,25-12,,D. Lillard misses 3-pt shot from 26 ft
2:52.0,Defensive rebound by D. Cousins,,25-12,,
2:46.0,Turnover by D. Cousins (lost ball; steal by L. Aldridge),,25-12,,
2:21.0,,,25-14,2,M. Leonard makes 2-pt shot from 8 ft (assist by N. Batum)
2:14.0,R. Gay misses 2-pt shot from 2 ft,,25-14,,
2:13.0,Offensive rebound by R. Gay,,25-14,,
2:11.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,27-14,,
2:08.0,Violation by Team (delay of game),,27-14,,
1:56.0,,,27-14,,Shooting foul by J. Thompson (drawn by D. Lillard)
1:56.0,,,27-15,1,D. Lillard makes free throw 1 of 2
1:56.0,,,27-15,,W. Matthews enters the game for N. Batum
1:56.0,R. McCallum enters the game for B. McLemore,,27-15,,
1:56.0,,,27-16,1,D. Lillard makes free throw 2 of 2
1:35.0,Turnover by R. Gay (lost ball),,27-16,,
1:35.0,,,27-16,,S. Blake enters the game for D. Lillard
1:20.0,,,27-16,,M. Leonard misses 2-pt shot at rim (block by D. Cousins)
1:19.0,Defensive rebound by D. Collison,,27-16,,
1:16.0,D. Collison makes 2-pt shot from 1 ft,2,29-16,,
0:56.0,,,29-18,2,L. Aldridge makes 2-pt shot from 4 ft
0:53.0,D. Collison makes 2-pt shot from 19 ft,2,31-18,,
0:36.0,,,31-20,2,L. Aldridge makes 2-pt shot from 14 ft
0:19.0,D. Cousins misses 2-pt shot from 4 ft,,31-20,,
0:18.0,,,31-20,,Defensive rebound by M. Leonard
0:02.0,,,31-23,3,W. Matthews makes 3-pt shot from 24 ft (assist by S. Blake)
0:00.0,D. Collison misses 3-pt shot from 49 ft,,31-23,,
0:00.0,Offensive rebound by Team,,31-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,31-23,,L. Aldridge misses 2-pt shot from 17 ft
11:38.0,Defensive rebound by D. Williams,,31-23,,
11:22.0,D. Williams misses 2-pt shot from 1 ft (block by M. Leonard),,31-23,,
11:21.0,,,31-23,,Defensive rebound by Team
11:21.0,,,31-23,,D. Wright enters the game for C. McCollum
11:05.0,,,31-25,2,W. Matthews makes 2-pt shot from 6 ft
10:50.0,Turnover by D. Collison (lost ball; steal by S. Blake),,31-25,,
10:46.0,,,31-27,2,M. Leonard makes 2-pt shot at rim (assist by S. Blake)
10:26.0,Shooting foul by D. Wright (drawn by R. Evans),,31-27,,
10:26.0,R. Evans makes free throw 1 of 2,1,32-27,,
10:26.0,B. McLemore enters the game for D. Collison,,32-27,,
10:26.0,,,32-27,,T. Robinson enters the game for L. Aldridge
10:26.0,R. Evans makes free throw 2 of 2,1,33-27,,
10:07.0,,,33-27,,W. Matthews misses 3-pt shot from 24 ft
10:07.0,Defensive rebound by B. McLemore,,33-27,,
10:01.0,B. McLemore makes 3-pt shot from 25 ft,3,36-27,,
9:50.0,,,36-30,3,M. Leonard makes 3-pt shot from 24 ft (assist by T. Robinson)
9:37.0,Turnover by B. McLemore (bad pass; steal by T. Robinson),,36-30,,
9:32.0,,,36-30,,Turnover by T. Robinson (lost ball; steal by R. McCallum)
9:29.0,,,36-30,,Personal foul by W. Matthews (drawn by B. McLemore)
9:29.0,D. Cousins enters the game for J. Thompson,,36-30,,
9:29.0,,,36-30,,C. Kaman enters the game for M. Leonard
9:19.0,B. McLemore makes 2-pt shot from 21 ft,2,38-30,,
9:04.0,,,38-32,2,W. Matthews makes 2-pt shot from 9 ft
8:48.0,D. Cousins makes 2-pt shot from 19 ft (assist by R. McCallum),2,40-32,,
8:41.0,Personal foul by D. Williams (drawn by S. Blake),,40-32,,
8:41.0,Official timeout,,40-32,,
8:41.0,,,40-32,,D. Lillard enters the game for W. Matthews
8:26.0,,,40-32,,D. Lillard misses 2-pt shot from 12 ft
8:24.0,Defensive rebound by D. Cousins,,40-32,,
8:11.0,Offensive charge foul by B. McLemore,,40-32,,
8:11.0,Turnover by B. McLemore (offensive foul),,40-32,,
7:54.0,,,40-32,,S. Blake misses 2-pt shot from 18 ft
7:50.0,Defensive rebound by R. McCallum,,40-32,,
7:46.0,B. McLemore misses 2-pt shot from 1 ft,,40-32,,
7:45.0,,,40-32,,Defensive rebound by D. Wright
7:38.0,,,40-34,2,S. Blake makes 2-pt shot from 23 ft (assist by D. Wright)
7:23.0,Shooting foul by C. Kaman (drawn by D. Cousins),,40-34,,
7:23.0,D. Cousins makes free throw 1 of 2,1,41-34,,
7:23.0,R. Gay enters the game for B. McLemore,,41-34,,
7:23.0,D. Cousins misses free throw 2 of 2,,41-34,,
7:20.0,,,41-34,,Defensive rebound by T. Robinson
7:17.0,,,41-36,2,D. Wright makes 2-pt shot at rim (assist by S. Blake)
6:59.0,Turnover by R. Gay (bad pass; steal by D. Wright),,41-36,,
6:55.0,Personal foul by R. Evans (drawn by T. Robinson),,41-36,,
6:44.0,,,41-38,2,D. Lillard makes 2-pt shot from 1 ft
6:27.0,,,41-38,,Personal foul by S. Blake (drawn by D. Cousins)
6:27.0,D. Collison enters the game for D. Williams,,41-38,,
6:22.0,R. McCallum misses 2-pt shot from 19 ft,,41-38,,
6:21.0,Offensive rebound by D. Cousins,,41-38,,
6:19.0,D. Cousins misses 2-pt shot from 1 ft,,41-38,,
6:19.0,Offensive rebound by R. Evans,,41-38,,
6:19.0,,,41-38,,Personal foul by C. Kaman (drawn by R. Evans)
6:19.0,,,41-38,,Portland full timeout
6:19.0,R. Evans makes free throw 1 of 2,1,42-38,,
6:19.0,R. Evans misses free throw 2 of 2,,42-38,,
6:16.0,,,42-38,,Defensive rebound by Team
5:59.0,,,42-40,2,D. Wright makes 2-pt shot from 8 ft (assist by D. Lillard)
5:39.0,R. Gay misses 2-pt shot from 9 ft,,42-40,,
5:38.0,,,42-40,,Defensive rebound by C. Kaman
5:34.0,,,42-40,,Turnover by S. Blake (bad pass)
5:34.0,,,42-40,,N. Batum enters the game for D. Wright
5:34.0,,,42-40,,W. Matthews enters the game for S. Blake
5:26.0,Turnover by R. Gay (bad pass),,42-40,,
5:26.0,B. McLemore enters the game for R. McCallum,,42-40,,
5:26.0,J. Thompson enters the game for R. Evans,,42-40,,
5:12.0,,,42-40,,C. Kaman misses 2-pt shot from 16 ft
5:09.0,Defensive rebound by D. Collison,,42-40,,
4:54.0,D. Cousins misses 2-pt shot from 2 ft,,42-40,,
4:52.0,,,42-40,,Defensive rebound by W. Matthews
4:45.0,,,42-40,,Offensive foul by T. Robinson
4:45.0,,,42-40,,Turnover by T. Robinson (offensive foul)
4:23.0,B. McLemore misses 3-pt shot from 24 ft,,42-40,,
4:23.0,,,42-40,,Defensive rebound by Team
4:05.0,,,42-40,,D. Lillard misses 2-pt shot from 2 ft
4:05.0,Defensive rebound by D. Cousins,,42-40,,
4:05.0,,,42-40,,Personal foul by C. Kaman (drawn by D. Cousins)
4:05.0,D. Cousins makes free throw 1 of 2,1,43-40,,
4:05.0,,,43-40,,M. Leonard enters the game for C. Kaman
4:05.0,D. Cousins misses free throw 2 of 2,,43-40,,
4:02.0,,,43-40,,Defensive rebound by T. Robinson
3:57.0,Shooting block foul by D. Cousins (drawn by D. Lillard),,43-40,,
3:57.0,,,43-41,1,D. Lillard makes free throw 1 of 2
3:57.0,,,43-41,,D. Wright enters the game for T. Robinson
3:57.0,,,43-42,1,D. Lillard makes free throw 2 of 2
3:42.0,Turnover by J. Thompson (bad pass; steal by D. Wright),,43-42,,
3:37.0,,,43-44,2,M. Leonard makes 2-pt shot at rim (assist by D. Wright)
3:18.0,Turnover by D. Cousins (bad pass; steal by D. Lillard),,43-44,,
3:15.0,D. Williams enters the game for J. Thompson,,43-44,,
3:11.0,,,43-44,,Shooting foul by B. McLemore (drawn by W. Matthews)
3:11.0,,,43-45,1,W. Matthews makes free throw 1 of 2
3:11.0,,,43-45,,W. Matthews misses free throw 2 of 2
3:11.0,,,43-45,,Offensive rebound by Team
3:11.0,Loose ball foul by R. Gay (drawn by D. Wright),,43-45,,
3:11.0,,,43-46,1,D. Wright makes free throw 1 of 2
3:11.0,,,43-47,1,D. Wright makes free throw 2 of 2
3:01.0,D. Collison makes 2-pt shot at rim (assist by R. Gay),2,45-47,,
2:48.0,,,45-47,,D. Lillard misses 3-pt shot from 26 ft
2:47.0,Defensive rebound by R. Gay,,45-47,,
2:39.0,Shooting foul by D. Wright (drawn by D. Williams),,45-47,,
2:39.0,Sacramento full timeout,,45-47,,
2:39.0,O. Casspi enters the game for B. McLemore,,45-47,,
2:39.0,D. Williams makes free throw 1 of 2,1,46-47,,
2:39.0,D. Williams makes free throw 2 of 2,1,47-47,,
2:20.0,,,47-47,,D. Lillard misses 2-pt shot from 1 ft
2:19.0,,,47-47,,Offensive rebound by M. Leonard
2:19.0,,,47-47,,Turnover by M. Leonard (bad pass)
2:05.0,Shooting foul by M. Leonard (drawn by D. Cousins),,47-47,,
2:05.0,D. Cousins misses free throw 1 of 2,,47-47,,
2:05.0,Offensive rebound by Team,,47-47,,
2:05.0,D. Cousins misses free throw 2 of 2,,47-47,,
2:04.0,Offensive rebound by O. Casspi,,47-47,,
1:59.0,O. Casspi makes 2-pt shot from 1 ft (assist by D. Collison),2,49-47,,
1:47.0,,,49-50,3,D. Lillard makes 3-pt shot from 24 ft
