time,Charlotte,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. C. Zeller (A. Jefferson gains possession),,,,Jump ball: P. Gasol vs. C. Zeller (A. Jefferson gains possession)
11:40.0,M. Williams misses 2-pt shot from 17 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by M. Dunleavy
11:27.0,,,0-0,,Turnover by J. Butler (bad pass; steal by A. Jefferson)
11:22.0,A. Jefferson makes 2-pt shot from 2 ft (assist by M. Williams),2,2-0,,
10:59.0,,,2-2,2,P. Gasol makes 2-pt shot at rim (assist by M. Dunleavy)
10:35.0,G. Henderson misses 2-pt shot from 15 ft (block by A. Brooks),,2-2,,
10:33.0,Offensive rebound by G. Henderson,,2-2,,
10:31.0,G. Henderson makes 2-pt shot from 17 ft,2,4-2,,
10:15.0,,,4-4,2,P. Gasol makes 2-pt shot from 17 ft (assist by M. Dunleavy)
9:59.0,M. Williams misses 2-pt shot from 18 ft,,4-4,,
9:58.0,,,4-4,,Defensive rebound by J. Butler
9:50.0,,,4-7,3,A. Brooks makes 3-pt shot from 24 ft (assist by J. Noah)
9:50.0,,,4-7,,Shooting foul by M. Williams (drawn by A. Brooks)
9:50.0,,,4-7,,A. Brooks misses free throw 1 of 1
9:48.0,Defensive rebound by M. Kidd-Gilchrist,,4-7,,
9:39.0,Turnover by M. Williams (bad pass; steal by J. Butler),,4-7,,
9:27.0,,,4-7,,P. Gasol misses 2-pt shot from 17 ft
9:26.0,Defensive rebound by C. Zeller,,4-7,,
9:13.0,M. Williams makes 2-pt shot from 2 ft,2,6-7,,
8:49.0,,,6-7,,Turnover by M. Dunleavy (bad pass; steal by M. Williams)
8:41.0,G. Henderson misses 3-pt shot from 23 ft,,6-7,,
8:40.0,,,6-7,,Defensive rebound by J. Noah
8:26.0,,,6-7,,J. Butler misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by C. Zeller,,6-7,,
8:16.0,M. Williams misses 2-pt shot from 9 ft,,6-7,,
8:15.0,,,6-7,,Defensive rebound by J. Noah
7:56.0,,,6-7,,P. Gasol misses 2-pt shot from 15 ft
7:55.0,Defensive rebound by G. Henderson,,6-7,,
7:38.0,C. Zeller misses 2-pt shot from 21 ft,,6-7,,
7:37.0,,,6-7,,Defensive rebound by J. Noah
7:19.0,,,6-9,2,A. Brooks makes 2-pt shot from 2 ft
6:54.0,M. Kidd-Gilchrist misses 2-pt shot from 8 ft (block by J. Noah),,6-9,,
6:52.0,,,6-9,,Defensive rebound by P. Gasol
6:41.0,,,6-11,2,A. Brooks makes 2-pt shot from 1 ft (assist by J. Noah)
6:15.0,Turnover by A. Jefferson (lost ball),,6-11,,
6:04.0,,,6-13,2,P. Gasol makes 2-pt shot from 2 ft (assist by A. Brooks)
5:57.0,Charlotte full timeout,,6-13,,
5:48.0,G. Henderson misses 2-pt shot from 16 ft (block by P. Gasol),,6-13,,
5:46.0,,,6-13,,Defensive rebound by J. Butler
5:34.0,,,6-15,2,J. Butler makes 2-pt shot from 17 ft (assist by J. Noah)
5:18.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by G. Henderson),2,8-15,,
4:59.0,,,8-15,,Shooting foul by M. Williams (drawn by A. Brooks)
4:59.0,,,8-16,1,A. Brooks makes free throw 1 of 3
4:59.0,,,8-16,,A. Brooks misses free throw 2 of 3
4:59.0,,,8-16,,Offensive rebound by Team
4:59.0,M. Williams enters the game for C. Zeller,,8-16,,
4:59.0,B. Roberts enters the game for M. Williams,,8-16,,
4:59.0,,,8-16,,T. Gibson enters the game for J. Noah
4:59.0,,,8-17,1,A. Brooks makes free throw 3 of 3
4:39.0,A. Jefferson misses 2-pt shot from 2 ft (block by P. Gasol),,8-17,,
4:37.0,,,8-17,,Defensive rebound by P. Gasol
4:27.0,,,8-17,,T. Gibson misses 2-pt shot from 2 ft (block by A. Jefferson)
4:26.0,Defensive rebound by G. Henderson,,8-17,,
4:04.0,M. Williams makes 2-pt shot from 13 ft,2,10-17,,
3:41.0,,,10-17,,P. Gasol misses 2-pt shot from 17 ft
3:40.0,Defensive rebound by M. Kidd-Gilchrist,,10-17,,
3:32.0,B. Roberts misses 3-pt shot from 25 ft,,10-17,,
3:30.0,,,10-17,,Defensive rebound by P. Gasol
3:16.0,,,10-17,,A. Brooks misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by M. Kidd-Gilchrist,,10-17,,
3:08.0,Shooting foul by M. Dunleavy (drawn by G. Henderson),,10-17,,
3:08.0,G. Henderson makes free throw 1 of 2,1,11-17,,
3:08.0,J. Maxiell enters the game for A. Jefferson,,11-17,,
3:08.0,,,11-17,,T. Snell enters the game for M. Dunleavy
3:08.0,,,11-17,,K. Hinrich enters the game for A. Brooks
3:08.0,G. Henderson makes free throw 2 of 2,1,12-17,,
2:52.0,,,12-17,,Turnover by K. Hinrich (bad pass; steal by G. Henderson)
2:41.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by B. Roberts),2,14-17,,
2:15.0,,,14-17,,Turnover by P. Gasol (bad pass; steal by G. Henderson)
2:12.0,Shooting foul by J. Butler (drawn by G. Henderson),,14-17,,
2:12.0,,,14-17,,Chicago full timeout
2:12.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,14-17,,
2:12.0,G. Henderson makes free throw 1 of 2,1,15-17,,
2:12.0,G. Henderson makes free throw 2 of 2,1,16-17,,
1:56.0,,,16-17,,T. Snell misses 2-pt shot from 2 ft
1:55.0,Defensive rebound by B. Roberts,,16-17,,
1:46.0,J. Maxiell misses 2-pt shot from 10 ft,,16-17,,
1:45.0,,,16-17,,Defensive rebound by J. Butler
1:22.0,,,16-17,,T. Gibson misses 2-pt shot from 6 ft
1:20.0,Defensive rebound by G. Henderson,,16-17,,
1:09.0,J. Maxiell misses 2-pt shot from 2 ft (block by T. Gibson),,16-17,,
1:07.0,Offensive rebound by J. Maxiell,,16-17,,
1:00.0,L. Stephenson makes 2-pt shot from 14 ft,2,18-17,,
0:38.0,,,18-17,,P. Gasol misses 2-pt shot from 16 ft
0:38.0,,,18-17,,Offensive rebound by J. Butler
0:38.0,,,18-19,2,J. Butler makes 2-pt shot at rim
0:38.0,,,18-19,,Shooting foul by L. Stephenson (drawn by J. Butler)
0:38.0,,,18-20,1,J. Butler makes free throw 1 of 1
0:33.0,B. Roberts makes 2-pt shot from 17 ft,2,20-20,,
0:15.0,,,20-20,,J. Butler misses 2-pt shot from 19 ft
0:15.0,Defensive rebound by Team,,20-20,,
0:15.0,,,20-20,,Loose ball foul by P. Gasol (drawn by J. Maxiell)
0:02.0,L. Stephenson misses 2-pt shot from 8 ft,,20-20,,
0:01.0,,,20-20,,Defensive rebound by P. Gasol
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,20-22,2,N. Mirotic makes 2-pt shot from 16 ft (assist by K. Hinrich)
11:27.0,J. Maxiell makes 2-pt shot from 7 ft (assist by M. Kidd-Gilchrist),2,22-22,,
11:12.0,,,22-22,,T. Snell misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by M. Kidd-Gilchrist,,22-22,,
11:00.0,L. Stephenson makes 2-pt shot from 19 ft,2,24-22,,
10:44.0,Personal foul by J. Maxiell (drawn by J. Noah),,24-22,,
10:30.0,,,24-22,,K. Hinrich misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by L. Stephenson,,24-22,,
10:20.0,Turnover by L. Stephenson (bad pass; steal by J. Noah),,24-22,,
10:09.0,,,24-22,,J. Noah misses 2-pt shot from 19 ft
10:08.0,Defensive rebound by L. Stephenson,,24-22,,
10:05.0,Offensive foul by L. Stephenson,,24-22,,
10:05.0,Turnover by L. Stephenson (offensive foul),,24-22,,
9:47.0,,,24-22,,T. Snell misses 2-pt shot from 21 ft
9:45.0,,,24-22,,Offensive rebound by T. Gibson
9:44.0,,,24-24,2,T. Snell makes 2-pt shot at rim (assist by T. Gibson)
9:20.0,J. Maxiell makes 2-pt shot from 12 ft (assist by L. Stephenson),2,26-24,,
9:10.0,,,26-26,2,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Noah)
8:48.0,B. Roberts makes 2-pt shot from 18 ft,2,28-26,,
8:33.0,,,28-26,,T. Gibson misses 2-pt shot from 2 ft
8:32.0,,,28-26,,Offensive rebound by T. Gibson
8:32.0,,,28-26,,T. Gibson misses 2-pt shot from 2 ft
8:31.0,Defensive rebound by L. Stephenson,,28-26,,
8:21.0,B. Roberts misses 3-pt shot from 24 ft,,28-26,,
8:20.0,Offensive rebound by M. Kidd-Gilchrist,,28-26,,
8:20.0,Shooting foul by N. Mirotic (drawn by M. Kidd-Gilchrist),,28-26,,
