time,Chicago,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. P. Gasol (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. P. Gasol (Z. Randolph gains possession)
11:36.0,,,0-0,,Z. Randolph misses 2-pt shot from 15 ft
11:35.0,Defensive rebound by J. Butler,,0-0,,
11:16.0,K. Hinrich makes 2-pt shot from 22 ft (assist by J. Butler),2,2-0,,
10:56.0,,,2-2,2,C. Lee makes 2-pt shot from 17 ft
10:33.0,J. Noah makes 2-pt shot from 20 ft (assist by K. Hinrich),2,4-2,,
10:20.0,,,4-2,,M. Gasol misses 2-pt shot from 18 ft
10:19.0,Defensive rebound by M. Dunleavy,,4-2,,
10:01.0,P. Gasol misses 2-pt shot from 13 ft,,4-2,,
10:01.0,,,4-2,,Defensive rebound by Team
10:01.0,Loose ball foul by J. Noah (drawn by Z. Randolph),,4-2,,
9:45.0,,,4-2,,T. Prince misses 2-pt shot from 6 ft
9:44.0,,,4-2,,Offensive rebound by T. Prince
9:42.0,,,4-2,,T. Prince misses 2-pt shot at rim
9:41.0,,,4-2,,Offensive rebound by Z. Randolph
9:41.0,,,4-2,,Z. Randolph misses 2-pt shot at rim
9:38.0,,,4-2,,Offensive rebound by M. Gasol
9:31.0,,,4-2,,M. Gasol misses 2-pt shot from 12 ft
9:30.0,Defensive rebound by J. Butler,,4-2,,
9:19.0,J. Noah makes 2-pt shot from 20 ft (assist by K. Hinrich),2,6-2,,
9:00.0,,,6-4,2,M. Conley makes 2-pt shot from 21 ft (assist by M. Gasol)
8:41.0,J. Butler misses 3-pt shot from 25 ft,,6-4,,
8:40.0,,,6-4,,Defensive rebound by Z. Randolph
8:33.0,,,6-4,,M. Conley misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by J. Noah,,6-4,,
8:16.0,K. Hinrich misses 2-pt shot from 20 ft,,6-4,,
8:15.0,,,6-4,,Defensive rebound by Z. Randolph
8:00.0,,,6-4,,Z. Randolph misses 2-pt shot from 1 ft
7:59.0,,,6-4,,Offensive rebound by Z. Randolph
7:59.0,,,6-6,2,Z. Randolph makes 2-pt shot from 1 ft
7:39.0,P. Gasol makes 2-pt shot from 2 ft,2,8-6,,
7:20.0,,,8-6,,Z. Randolph misses 2-pt shot from 3 ft
7:19.0,Defensive rebound by P. Gasol,,8-6,,
7:17.0,,,8-6,,Personal foul by M. Conley (drawn by P. Gasol)
7:01.0,Shooting foul by Z. Randolph (drawn by K. Hinrich),,8-6,,
7:01.0,K. Hinrich makes free throw 1 of 2,1,9-6,,
7:01.0,K. Hinrich misses free throw 2 of 2,,9-6,,
7:01.0,,,9-6,,Defensive rebound by M. Gasol
6:39.0,,,9-8,2,T. Prince makes 2-pt shot from 14 ft (assist by C. Lee)
6:22.0,P. Gasol makes 2-pt shot from 4 ft (assist by K. Hinrich),2,11-8,,
6:11.0,,,11-8,,M. Gasol misses 2-pt shot from 11 ft
6:07.0,Defensive rebound by P. Gasol,,11-8,,
5:45.0,K. Hinrich misses 2-pt shot from 5 ft,,11-8,,
5:44.0,,,11-8,,Defensive rebound by M. Gasol
5:36.0,,,11-10,2,M. Conley makes 2-pt shot from 2 ft
5:13.0,J. Butler misses 2-pt shot at rim,,11-10,,
5:09.0,,,11-10,,Defensive rebound by Z. Randolph
5:07.0,,,11-10,,M. Conley misses 2-pt shot from 1 ft (block by P. Gasol)
5:04.0,,,11-10,,Offensive rebound by M. Gasol
5:00.0,,,11-10,,M. Gasol misses 2-pt shot from 5 ft
4:58.0,,,11-10,,Offensive rebound by Z. Randolph
4:50.0,,,11-10,,Turnover by M. Conley (bad pass; steal by J. Butler)
4:46.0,J. Butler makes 2-pt shot at rim,2,13-10,,
4:24.0,,,13-12,2,T. Prince makes 2-pt shot from 19 ft (assist by Z. Randolph)
3:57.0,K. Hinrich misses 2-pt shot from 16 ft,,13-12,,
3:56.0,Offensive rebound by P. Gasol,,13-12,,
3:52.0,K. Hinrich misses 3-pt shot from 23 ft,,13-12,,
3:51.0,,,13-12,,Defensive rebound by Z. Randolph
3:37.0,,,13-14,2,M. Gasol makes 2-pt shot from 6 ft
3:25.0,,,13-14,,Personal foul by M. Gasol (drawn by P. Gasol)
3:25.0,,,13-14,,Memphis full timeout
3:25.0,A. Brooks enters the game for K. Hinrich,,13-14,,
3:25.0,,,13-14,,B. Udrih enters the game for M. Conley
3:10.0,J. Butler misses 2-pt shot from 16 ft,,13-14,,
3:09.0,,,13-14,,Defensive rebound by M. Gasol
2:55.0,,,13-14,,C. Lee misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by P. Gasol,,13-14,,
2:36.0,J. Noah misses 2-pt shot from 19 ft,,13-14,,
2:35.0,Offensive rebound by J. Butler,,13-14,,
2:29.0,Turnover by J. Noah (bad pass; steal by C. Lee),,13-14,,
2:12.0,,,13-14,,M. Gasol misses 2-pt shot from 17 ft
2:12.0,Defensive rebound by J. Noah,,13-14,,
2:02.0,Turnover by A. Brooks (bad pass; steal by M. Gasol),,13-14,,
1:54.0,,,13-14,,Shooting foul by P. Gasol (drawn by T. Prince)
1:54.0,Chicago full timeout,,13-14,,
1:54.0,N. Mirotic enters the game for J. Noah,,13-14,,
1:54.0,,,13-14,,Q. Pondexter enters the game for Z. Randolph
1:54.0,,,13-14,,J. Leuer enters the game for C. Lee
1:54.0,,,13-15,1,T. Prince makes free throw 1 of 2
1:54.0,,,13-16,1,T. Prince makes free throw 2 of 2
1:38.0,Turnover by A. Brooks (bad pass),,13-16,,
1:25.0,,,13-16,,B. Udrih misses 2-pt shot from 16 ft
1:23.0,Defensive rebound by N. Mirotic,,13-16,,
1:09.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by N. Mirotic),3,16-16,,
1:01.0,Personal foul by A. Brooks (drawn by B. Udrih),,16-16,,
1:01.0,,,16-17,1,B. Udrih makes free throw 1 of 2
1:01.0,,,16-17,,V. Carter enters the game for T. Prince
1:01.0,,,16-18,1,B. Udrih makes free throw 2 of 2
0:42.0,P. Gasol misses 2-pt shot from 2 ft (block by M. Gasol),,16-18,,
0:41.0,Offensive rebound by J. Butler,,16-18,,
0:39.0,J. Butler makes 2-pt shot at rim,2,18-18,,
0:32.0,,,18-20,2,B. Udrih makes 2-pt shot from 16 ft
0:20.0,N. Mirotic misses 2-pt shot from 13 ft,,18-20,,
0:18.0,Offensive rebound by P. Gasol,,18-20,,
0:17.0,N. Mirotic makes 2-pt shot from 2 ft (assist by P. Gasol),2,20-20,,
0:00.0,,,20-22,2,V. Carter makes 2-pt shot from 21 ft (assist by J. Leuer)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,M. Dunleavy misses 3-pt shot from 26 ft,,20-22,,
11:50.0,,,20-22,,Defensive rebound by Q. Pondexter
11:42.0,Personal foul by M. Dunleavy (drawn by V. Carter),,20-22,,
11:42.0,T. Snell enters the game for M. Dunleavy,,20-22,,
11:36.0,,,20-22,,B. Udrih misses 2-pt shot from 8 ft
11:34.0,Defensive rebound by N. Mirotic,,20-22,,
11:27.0,Turnover by A. Brooks (bad pass; steal by B. Udrih),,20-22,,
11:14.0,,,20-22,,J. Leuer misses 2-pt shot from 7 ft
11:12.0,Defensive rebound by N. Mirotic,,20-22,,
10:58.0,T. Snell misses 3-pt shot from 25 ft,,20-22,,
10:57.0,Offensive rebound by J. Butler,,20-22,,
10:57.0,Shooting foul by V. Carter (drawn by J. Butler),,20-22,,
10:57.0,J. Butler makes free throw 1 of 2,1,21-22,,
10:57.0,J. Butler makes free throw 2 of 2,1,22-22,,
10:45.0,,,22-24,2,V. Carter makes 2-pt shot at rim
10:28.0,,,22-24,,Shooting block foul by J. Leuer (drawn by J. Butler)
10:28.0,J. Butler makes free throw 1 of 2,1,23-24,,
10:28.0,J. Butler makes free throw 2 of 2,1,24-24,,
10:14.0,,,24-24,,V. Carter misses 2-pt shot from 19 ft
10:13.0,Defensive rebound by J. Butler,,24-24,,
