time,Phoenix,pts.away,score,pts.home,LA Lakers
1:04.0,,,22-25,,Shooting foul by I. Thomas (drawn by J. Lin)
1:04.0,Phoenix full timeout,,22-25,,
1:04.0,G. Green enters the game for P. Tucker,,22-25,,
1:04.0,M. Morris enters the game for G. Dragic,,22-25,,
1:04.0,,,22-25,,N. Young enters the game for E. Davis
1:04.0,,,22-25,,R. Sacre enters the game for K. Bryant
1:04.0,,,22-26,1,J. Lin makes free throw 1 of 2
1:04.0,,,22-26,,J. Lin misses free throw 2 of 2
1:03.0,Defensive rebound by M. Plumlee,,22-26,,
0:47.0,M. Plumlee makes 2-pt shot from 5 ft,2,24-26,,
0:29.0,,,24-26,,R. Sacre misses 2-pt shot from 5 ft
0:28.0,,,24-26,,Offensive rebound by J. Lin
0:28.0,,,24-28,2,J. Lin makes 2-pt shot from 1 ft
0:08.0,,,24-28,,Personal foul by J. Lin (drawn by I. Thomas)
0:01.0,Shooting foul by J. Lin (drawn by I. Thomas),,24-28,,
0:01.0,I. Thomas makes free throw 1 of 2,1,25-28,,
0:01.0,I. Thomas makes free throw 2 of 2,1,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,26-28,,N. Young misses 2-pt shot from 14 ft
11:47.0,Defensive rebound by M. Morris,,26-28,,
11:33.0,I. Thomas misses 2-pt shot from 7 ft,,26-28,,
11:32.0,,,26-28,,Defensive rebound by C. Boozer
11:25.0,,,26-28,,J. Lin misses 2-pt shot from 17 ft
11:25.0,Defensive rebound by M. Plumlee,,26-28,,
11:09.0,M. Morris makes 2-pt shot from 13 ft,2,28-28,,
10:51.0,,,28-28,,C. Boozer misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by M. Morris,,28-28,,
10:46.0,G. Green misses 3-pt shot from 26 ft,,28-28,,
10:45.0,Offensive rebound by S. Randolph,,28-28,,
10:44.0,S. Randolph misses 2-pt shot from 1 ft,,28-28,,
10:43.0,,,28-28,,Defensive rebound by C. Boozer
10:27.0,,,28-31,3,N. Young makes 3-pt shot from 24 ft (assist by W. Ellington)
10:05.0,I. Thomas makes 3-pt shot from 23 ft (assist by G. Green),3,31-31,,
9:47.0,,,31-31,,Shooting foul by S. Randolph (drawn by R. Sacre)
9:47.0,,,31-31,,R. Sacre misses free throw 1 of 2
9:47.0,,,31-31,,Offensive rebound by Team
9:47.0,,,31-32,1,R. Sacre makes free throw 2 of 2
9:38.0,Shooting foul by R. Sacre (drawn by G. Green),,31-32,,
9:38.0,G. Green makes free throw 1 of 2,1,32-32,,
9:38.0,G. Green makes free throw 2 of 2,1,33-32,,
9:29.0,,,33-35,3,N. Young makes 3-pt shot from 25 ft
9:12.0,M. Morris makes 2-pt shot from 12 ft (assist by G. Green),2,35-35,,
9:03.0,,,35-38,3,N. Young makes 3-pt shot from 26 ft (assist by J. Lin)
8:56.0,G. Green misses 3-pt shot from 25 ft,,35-38,,
8:54.0,,,35-38,,Defensive rebound by C. Boozer
8:49.0,,,35-40,2,J. Lin makes 2-pt shot from 18 ft (assist by C. Boozer)
8:42.0,Phoenix full timeout,,35-40,,
8:32.0,G. Green misses 3-pt shot from 26 ft,,35-40,,
8:31.0,,,35-40,,Defensive rebound by R. Sacre
8:13.0,,,35-42,2,R. Sacre makes 2-pt shot from 4 ft (assist by N. Young)
7:57.0,I. Thomas makes 2-pt shot from 10 ft,2,37-42,,
7:32.0,,,37-45,3,N. Young makes 3-pt shot from 25 ft
7:12.0,I. Thomas makes 2-pt shot from 21 ft (assist by M. Plumlee),2,39-45,,
6:53.0,,,39-45,,Turnover by N. Young (traveling)
6:53.0,M. Morris enters the game for S. Randolph,,39-45,,
6:36.0,G. Green misses 2-pt shot from 17 ft,,39-45,,
6:35.0,,,39-45,,Defensive rebound by N. Young
6:27.0,,,39-47,2,C. Boozer makes 2-pt shot from 1 ft (assist by N. Young)
6:15.0,M. Morris misses 3-pt shot from 22 ft,,39-47,,
6:14.0,,,39-47,,Defensive rebound by C. Boozer
6:08.0,,,39-47,,W. Ellington misses 2-pt shot from 2 ft (block by G. Green)
6:05.0,Defensive rebound by M. Morris,,39-47,,
6:00.0,Shooting foul by N. Young (drawn by M. Morris),,39-47,,
6:00.0,M. Morris misses free throw 1 of 2,,39-47,,
6:00.0,Offensive rebound by Team,,39-47,,
6:00.0,A. Len enters the game for M. Plumlee,,39-47,,
6:00.0,E. Bledsoe enters the game for G. Green,,39-47,,
6:00.0,,,39-47,,J. Hill enters the game for C. Boozer
6:00.0,M. Morris makes free throw 2 of 2,1,40-47,,
5:44.0,,,40-47,,N. Young misses 2-pt shot from 20 ft
5:42.0,Defensive rebound by E. Bledsoe,,40-47,,
5:38.0,I. Thomas makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,43-47,,
5:23.0,,,43-49,2,J. Lin makes 2-pt shot from 17 ft
5:13.0,Offensive foul by I. Thomas,,43-49,,
5:13.0,Turnover by I. Thomas (offensive foul),,43-49,,
5:13.0,Official timeout,,43-49,,
5:13.0,,,43-49,,E. Davis enters the game for J. Lin
5:13.0,,,43-49,,R. Price enters the game for R. Sacre
5:13.0,,,43-49,,K. Bryant enters the game for W. Ellington
5:01.0,,,43-49,,Turnover by K. Bryant (bad pass; steal by E. Bledsoe)
4:57.0,E. Bledsoe misses 2-pt shot at rim,,43-49,,
4:55.0,Offensive rebound by I. Thomas,,43-49,,
4:55.0,,,43-49,,Personal foul by N. Young (drawn by I. Thomas)
4:48.0,Turnover by E. Bledsoe (bad pass),,43-49,,
4:26.0,,,43-51,2,J. Hill makes 2-pt shot at rim (assist by K. Bryant)
4:16.0,M. Morris makes 2-pt shot from 16 ft,2,45-51,,
