time,Golden State,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Bogut (S. Curry gains possession),,,,Jump ball: S. Adams vs. A. Bogut (S. Curry gains possession)
11:44.0,K. Thompson makes 2-pt shot from 22 ft (assist by H. Barnes),2,2-0,,
11:22.0,,,2-0,,R. Jackson misses 2-pt shot from 19 ft
11:21.0,Defensive rebound by D. Green,,2-0,,
11:14.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,5-0,,
10:52.0,,,5-0,,S. Ibaka misses 2-pt shot from 14 ft
10:50.0,Defensive rebound by K. Thompson,,5-0,,
10:47.0,D. Green misses 2-pt shot from 2 ft,,5-0,,
10:46.0,,,5-0,,Defensive rebound by S. Ibaka
10:34.0,,,5-0,,S. Ibaka misses 2-pt shot from 1 ft (block by A. Bogut)
10:33.0,,,5-0,,Offensive rebound by R. Jackson
10:31.0,,,5-2,2,R. Jackson makes 2-pt shot from 5 ft
10:16.0,K. Thompson misses 2-pt shot from 12 ft,,5-2,,
10:15.0,Offensive rebound by Team,,5-2,,
10:15.0,,,5-2,,Loose ball foul by S. Adams (drawn by A. Bogut)
10:09.0,A. Bogut misses 2-pt shot from 2 ft,,5-2,,
10:08.0,,,5-2,,Defensive rebound by R. Jackson
10:00.0,,,5-2,,S. Ibaka misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by H. Barnes,,5-2,,
9:49.0,S. Curry makes 2-pt shot from 19 ft (assist by A. Bogut),2,7-2,,
9:21.0,,,7-4,2,S. Adams makes 2-pt shot from 5 ft (assist by R. Jackson)
9:10.0,,,7-4,,Def 3 sec tech foul by S. Adams
9:10.0,S. Curry makes technical free throw,1,8-4,,
9:05.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,10-4,,
8:51.0,,,10-4,,R. Jackson misses 2-pt shot from 1 ft (block by A. Bogut)
8:49.0,Defensive rebound by S. Curry,,10-4,,
8:40.0,S. Curry misses 3-pt shot from 25 ft,,10-4,,
8:39.0,,,10-4,,Defensive rebound by Team
8:19.0,,,10-6,2,S. Adams makes 2-pt shot from 5 ft (assist by R. Jackson)
7:57.0,Shooting foul by A. Roberson (drawn by K. Thompson),,10-6,,
7:57.0,K. Thompson makes free throw 1 of 2,1,11-6,,
7:57.0,K. Thompson makes free throw 2 of 2,1,12-6,,
7:45.0,,,12-8,2,L. Thomas makes 2-pt shot from 11 ft
7:36.0,D. Green makes 3-pt shot from 25 ft (assist by S. Curry),3,15-8,,
7:22.0,,,15-10,2,S. Ibaka makes 2-pt shot from 10 ft
7:12.0,Turnover by A. Bogut (bad pass),,15-10,,
7:04.0,Personal foul by H. Barnes (drawn by L. Thomas),,15-10,,
7:02.0,,,15-10,,S. Ibaka misses 2-pt shot from 19 ft
6:59.0,Defensive rebound by H. Barnes,,15-10,,
6:43.0,K. Thompson misses 3-pt shot from 25 ft,,15-10,,
6:41.0,,,15-10,,Defensive rebound by S. Ibaka
6:30.0,,,15-10,,L. Thomas misses 2-pt shot from 5 ft
6:29.0,Defensive rebound by A. Bogut,,15-10,,
6:23.0,K. Thompson misses 2-pt shot at rim,,15-10,,
6:22.0,,,15-10,,Defensive rebound by S. Ibaka
6:08.0,,,15-10,,R. Jackson misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by K. Thompson,,15-10,,
6:00.0,K. Thompson misses 2-pt shot from 2 ft,,15-10,,
5:59.0,,,15-10,,Defensive rebound by R. Jackson
5:54.0,,,15-10,,R. Jackson misses 2-pt shot from 1 ft
5:53.0,Defensive rebound by S. Curry,,15-10,,
5:39.0,D. Green misses 3-pt shot from 24 ft,,15-10,,
5:38.0,,,15-10,,Defensive rebound by A. Roberson
5:32.0,,,15-10,,Oklahoma City full timeout
5:32.0,,,15-10,,K. Perkins enters the game for S. Adams
5:32.0,A. Iguodala enters the game for H. Barnes,,15-10,,
5:21.0,,,15-10,,Turnover by S. Ibaka (lost ball; steal by A. Bogut)
5:16.0,S. Curry makes 2-pt shot from 1 ft (assist by K. Thompson),2,17-10,,
5:05.0,,,17-10,,L. Thomas misses 2-pt shot from 2 ft (block by A. Iguodala)
5:05.0,,,17-10,,Offensive rebound by Team
5:05.0,,,17-10,,Technical foul by Team
5:05.0,S. Curry makes technical free throw,1,18-10,,
5:05.0,,,18-10,,A. Morrow enters the game for L. Thomas
5:05.0,L. Barbosa enters the game for K. Thompson,,18-10,,
4:53.0,,,18-12,2,R. Jackson makes 2-pt shot from 6 ft
4:39.0,A. Bogut misses 2-pt shot from 5 ft,,18-12,,
4:39.0,Offensive rebound by Team,,18-12,,
4:39.0,,,18-12,,Loose ball foul by K. Perkins (drawn by A. Bogut)
4:31.0,S. Curry makes 3-pt shot from 24 ft,3,21-12,,
4:10.0,,,21-12,,S. Ibaka misses 2-pt shot from 17 ft
4:09.0,Defensive rebound by L. Barbosa,,21-12,,
4:01.0,S. Curry misses 3-pt shot from 24 ft (block by A. Morrow),,21-12,,
4:00.0,,,21-12,,Defensive rebound by A. Roberson
3:53.0,,,21-12,,Turnover by R. Jackson (bad pass; steal by L. Barbosa)
3:51.0,Shooting foul by R. Jackson (drawn by L. Barbosa),,21-12,,
3:51.0,Golden State full timeout,,21-12,,
3:51.0,,,21-12,,N. Collison enters the game for S. Ibaka
3:51.0,,,21-12,,S. Telfair enters the game for R. Jackson
3:51.0,M. Speights enters the game for A. Bogut,,21-12,,
3:51.0,L. Barbosa misses free throw 1 of 2,,21-12,,
3:51.0,Offensive rebound by Team,,21-12,,
3:51.0,L. Barbosa makes free throw 2 of 2,1,22-12,,
3:31.0,,,22-14,2,S. Telfair makes 2-pt shot from 16 ft
3:17.0,S. Curry misses 2-pt shot from 1 ft,,22-14,,
3:16.0,,,22-14,,Defensive rebound by A. Morrow
3:06.0,,,22-16,2,K. Perkins makes 2-pt shot from 6 ft (assist by S. Telfair)
2:46.0,L. Barbosa misses 2-pt shot from 1 ft,,22-16,,
2:45.0,,,22-16,,Defensive rebound by A. Roberson
2:35.0,,,22-16,,K. Perkins misses 2-pt shot from 11 ft
2:34.0,Defensive rebound by Team,,22-16,,
2:34.0,,,22-16,,Loose ball foul by N. Collison (drawn by M. Speights)
2:34.0,M. Speights misses free throw 1 of 2,,22-16,,
2:34.0,Offensive rebound by Team,,22-16,,
2:34.0,,,22-16,,J. Lamb enters the game for A. Roberson
2:34.0,M. Speights makes free throw 2 of 2,1,23-16,,
2:12.0,,,23-18,2,N. Collison makes 2-pt shot at rim (assist by S. Telfair)
1:53.0,,,23-18,,Personal foul by A. Morrow (drawn by M. Speights)
1:53.0,M. Speights misses free throw 1 of 2,,23-18,,
1:53.0,Offensive rebound by Team,,23-18,,
1:53.0,H. Barnes enters the game for D. Green,,23-18,,
1:53.0,M. Speights misses free throw 2 of 2,,23-18,,
1:52.0,,,23-18,,Defensive rebound by K. Perkins
1:40.0,,,23-18,,Shooting foul by L. Barbosa (drawn by J. Lamb)
1:40.0,,,23-19,1,J. Lamb makes free throw 1 of 2
1:40.0,,,23-20,1,J. Lamb makes free throw 2 of 2
1:17.0,M. Speights makes 2-pt shot from 19 ft,2,25-20,,
0:59.0,,,25-20,,Offensive charge foul by K. Perkins
0:59.0,,,25-20,,Turnover by K. Perkins (offensive foul)
0:46.0,M. Speights makes 2-pt shot from 1 ft (assist by S. Curry),2,27-20,,
0:46.0,Shooting foul by J. Lamb (drawn by M. Speights),,27-20,,
0:46.0,M. Speights makes free throw 1 of 1,1,28-20,,
0:37.0,,,28-20,,J. Lamb misses 2-pt shot from 9 ft
0:32.0,,,28-20,,Offensive rebound by K. Perkins
0:32.0,,,28-20,,Shooting foul by M. Speights (drawn by K. Perkins)
0:32.0,,,28-20,,K. Perkins misses free throw 1 of 2
0:32.0,,,28-20,,Offensive rebound by Team
0:32.0,,,28-20,,K. Perkins misses free throw 2 of 2
0:31.0,Defensive rebound by M. Speights,,28-20,,
0:08.0,L. Barbosa misses 2-pt shot from 19 ft,,28-20,,
0:08.0,Offensive rebound by Team,,28-20,,
0:08.0,Turnover by Team (shot clock),,28-20,,
0:03.0,S. Livingston enters the game for S. Curry,,28-20,,
0:00.0,,,28-20,,J. Lamb misses 3-pt shot from 25 ft
0:00.0,Defensive rebound by Team,,28-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-22,2,S. Telfair makes 2-pt shot at rim
11:24.0,H. Barnes misses 2-pt shot from 18 ft (block by K. Perkins),,28-22,,
11:22.0,,,28-22,,Defensive rebound by S. Telfair
11:20.0,Personal foul by H. Barnes (drawn by K. Perkins),,28-22,,
11:20.0,K. Thompson enters the game for L. Barbosa,,28-22,,
11:20.0,D. Green enters the game for H. Barnes,,28-22,,
11:09.0,,,28-22,,Shooting foul by D. Green (drawn by J. Lamb)
11:09.0,,,28-23,1,J. Lamb makes free throw 1 of 2
11:09.0,,,28-24,1,J. Lamb makes free throw 2 of 2
10:52.0,A. Iguodala makes 2-pt shot from 2 ft (assist by K. Thompson),2,30-24,,
10:40.0,,,30-24,,J. Lamb misses 2-pt shot from 13 ft
10:39.0,Defensive rebound by A. Iguodala,,30-24,,
10:31.0,Turnover by A. Iguodala (bad pass),,30-24,,
10:20.0,Def 3 sec tech foul by M. Speights,,30-24,,
10:20.0,,,30-25,1,J. Lamb makes technical free throw
10:08.0,,,30-27,2,A. Morrow makes 2-pt shot from 9 ft (assist by J. Lamb)
10:08.0,,,30-27,,Shooting foul by M. Speights (drawn by A. Morrow)
10:08.0,,,30-28,1,A. Morrow makes free throw 1 of 1
9:53.0,M. Speights makes 2-pt shot from 6 ft,2,32-28,,
9:37.0,,,32-28,,J. Lamb misses 2-pt shot from 4 ft (block by D. Green)
9:37.0,,,32-28,,Offensive rebound by Team
9:37.0,F. Ezeli enters the game for M. Speights,,32-28,,
9:35.0,,,32-28,,A. Morrow misses 2-pt shot from 21 ft
9:33.0,,,32-28,,Offensive rebound by N. Collison
9:25.0,,,32-28,,J. Lamb misses 2-pt shot from 16 ft
9:24.0,Defensive rebound by D. Green,,32-28,,
9:15.0,Turnover by F. Ezeli (3 sec),,32-28,,
