time,Boston,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. D. Dedmon (J. Crowder gains possession),,,,Jump ball: B. Bass vs. D. Dedmon (J. Crowder gains possession)
11:36.0,E. Turner misses 3-pt shot from 25 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by E. Payton
11:18.0,,,0-0,,C. Frye misses 3-pt shot from 23 ft
11:16.0,Defensive rebound by E. Turner,,0-0,,
11:00.0,J. Crowder makes 3-pt shot from 23 ft (assist by B. Bass),3,3-0,,
10:48.0,,,3-2,2,D. Dedmon makes 2-pt shot from 1 ft (assist by E. Payton)
10:39.0,T. Zeller makes 2-pt shot from 3 ft (assist by E. Turner),2,5-2,,
10:24.0,,,5-2,,V. Oladipo misses 2-pt shot from 2 ft
10:24.0,,,5-2,,Offensive rebound by Team
10:15.0,,,5-2,,T. Harris misses 3-pt shot from 23 ft
10:13.0,Defensive rebound by B. Bass,,5-2,,
10:04.0,B. Bass misses 2-pt shot from 18 ft,,5-2,,
10:03.0,,,5-2,,Defensive rebound by E. Payton
9:51.0,,,5-2,,C. Frye misses 2-pt shot from 1 ft
9:50.0,,,5-2,,Offensive rebound by C. Frye
9:50.0,,,5-2,,C. Frye misses 2-pt shot from 1 ft
9:48.0,,,5-2,,Offensive rebound by C. Frye
9:48.0,,,5-2,,C. Frye misses 2-pt shot from 1 ft
9:48.0,,,5-2,,Offensive rebound by D. Dedmon
9:48.0,,,5-2,,Shooting foul by J. Crowder (drawn by D. Dedmon)
9:48.0,,,5-2,,D. Dedmon misses free throw 1 of 2
9:48.0,,,5-2,,Offensive rebound by Team
9:48.0,,,5-3,1,D. Dedmon makes free throw 2 of 2
9:33.0,M. Smart misses 2-pt shot from 15 ft,,5-3,,
9:32.0,,,5-3,,Defensive rebound by V. Oladipo
9:25.0,,,5-3,,V. Oladipo misses 2-pt shot from 9 ft
9:24.0,Defensive rebound by Team,,5-3,,
9:09.0,J. Crowder misses 2-pt shot from 13 ft,,5-3,,
9:08.0,Offensive rebound by B. Bass,,5-3,,
9:08.0,B. Bass makes 2-pt shot at rim,2,7-3,,
8:57.0,,,7-3,,Turnover by D. Dedmon (bad pass; steal by M. Smart)
8:53.0,B. Bass makes 2-pt shot at rim (assist by J. Crowder),2,9-3,,
8:38.0,,,9-3,,E. Payton misses 2-pt shot from 6 ft
