time,Toronto,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. J. Valanciunas (L. Mbah a Moute gains possession),,,,Jump ball: N. Noel vs. J. Valanciunas (L. Mbah a Moute gains possession)
11:47.0,,,0-2,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by N. Noel)
11:21.0,G. Vasquez misses 3-pt shot from 24 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by M. Carter-Williams
11:14.0,,,0-2,,K. McDaniels misses 2-pt shot from 1 ft
11:11.0,,,0-2,,Offensive rebound by M. Carter-Williams
11:07.0,,,0-2,,R. Covington misses 3-pt shot from 27 ft
11:05.0,,,0-2,,Offensive rebound by K. McDaniels
11:04.0,,,0-4,2,K. McDaniels makes 2-pt shot from 1 ft
10:37.0,Turnover by D. DeRozan (lost ball),,0-4,,
10:20.0,,,0-4,,L. Mbah a Moute misses 2-pt shot from 16 ft
10:18.0,Defensive rebound by G. Vasquez,,0-4,,
10:12.0,K. Lowry misses 2-pt shot from 22 ft,,0-4,,
10:10.0,,,0-4,,Defensive rebound by N. Noel
9:55.0,,,0-6,2,R. Covington makes 2-pt shot from 2 ft (assist by K. McDaniels)
9:34.0,D. DeRozan misses 2-pt shot from 18 ft,,0-6,,
9:32.0,,,0-6,,Defensive rebound by N. Noel
9:26.0,,,0-6,,K. McDaniels misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by G. Vasquez,,0-6,,
9:13.0,Turnover by G. Vasquez (bad pass; steal by R. Covington),,0-6,,
9:05.0,,,0-9,3,R. Covington makes 3-pt shot from 24 ft (assist by K. McDaniels)
8:57.0,Toronto full timeout,,0-9,,
8:47.0,D. DeRozan misses 2-pt shot from 4 ft (block by M. Carter-Williams),,0-9,,
8:45.0,,,0-9,,Defensive rebound by K. McDaniels
8:40.0,,,0-12,3,K. McDaniels makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
8:23.0,Turnover by A. Johnson (offensive foul),,0-12,,
8:23.0,Offensive foul by A. Johnson,,0-12,,
8:04.0,,,0-12,,Turnover by M. Carter-Williams (bad pass; steal by D. DeRozan)
7:50.0,K. Lowry misses 2-pt shot from 4 ft,,0-12,,
7:48.0,,,0-12,,Defensive rebound by M. Carter-Williams
7:42.0,,,0-15,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
7:15.0,A. Johnson misses 2-pt shot from 3 ft,,0-15,,
7:13.0,Offensive rebound by A. Johnson,,0-15,,
7:13.0,A. Johnson misses 2-pt shot from 1 ft,,0-15,,
7:13.0,Offensive rebound by Team,,0-15,,
7:13.0,Shooting foul by N. Noel (drawn by J. Valanciunas),,0-15,,
7:13.0,J. Valanciunas misses free throw 1 of 2,,0-15,,
7:13.0,Offensive rebound by Team,,0-15,,
7:13.0,L. Williams enters the game for G. Vasquez,,0-15,,
7:13.0,P. Patterson enters the game for A. Johnson,,0-15,,
7:13.0,J. Valanciunas makes free throw 2 of 2,1,1-15,,
6:59.0,,,1-15,,N. Noel misses 2-pt shot from 3 ft (block by J. Valanciunas)
6:56.0,Defensive rebound by K. Lowry,,1-15,,
6:52.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,3-15,,
6:37.0,,,3-15,,N. Noel misses 2-pt shot from 6 ft
6:36.0,,,3-15,,Offensive rebound by K. McDaniels
6:36.0,,,3-17,2,K. McDaniels makes 2-pt shot at rim
6:14.0,P. Patterson misses 3-pt shot from 23 ft,,3-17,,
6:12.0,,,3-17,,Defensive rebound by K. McDaniels
6:06.0,,,3-17,,Turnover by N. Noel (lost ball; steal by K. Lowry)
5:58.0,D. DeRozan makes 2-pt shot from 17 ft (assist by L. Williams),2,5-17,,
5:56.0,,,5-17,,Philadelphia full timeout
5:56.0,T. Hansbrough enters the game for J. Valanciunas,,5-17,,
5:43.0,,,5-17,,Turnover by L. Mbah a Moute (traveling)
5:29.0,D. DeRozan misses 2-pt shot from 14 ft,,5-17,,
5:27.0,Offensive rebound by P. Patterson,,5-17,,
5:25.0,P. Patterson makes 2-pt shot from 5 ft,2,7-17,,
5:12.0,,,7-20,3,R. Covington makes 3-pt shot from 25 ft (assist by K. McDaniels)
4:58.0,L. Williams misses 2-pt shot from 18 ft,,7-20,,
4:56.0,,,7-20,,Defensive rebound by R. Covington
4:49.0,,,7-20,,Turnover by M. Carter-Williams (lost ball; steal by K. Lowry)
4:44.0,K. Lowry misses 2-pt shot from 3 ft (block by R. Covington),,7-20,,
4:42.0,,,7-20,,Defensive rebound by K. McDaniels
4:32.0,,,7-20,,N. Noel misses 2-pt shot from 9 ft
4:31.0,Defensive rebound by T. Hansbrough,,7-20,,
4:14.0,,,7-20,,Personal foul by N. Noel (drawn by L. Williams)
4:14.0,,,7-20,,H. Thompson enters the game for L. Mbah a Moute
4:14.0,,,7-20,,H. Sims enters the game for N. Noel
4:14.0,,,7-20,,J. Grant enters the game for K. McDaniels
4:14.0,T. Ross enters the game for D. DeRozan,,7-20,,
4:10.0,,,7-20,,Personal foul by M. Carter-Williams (drawn by K. Lowry)
3:58.0,P. Patterson misses 2-pt shot from 2 ft,,7-20,,
3:56.0,Offensive rebound by T. Hansbrough,,7-20,,
3:56.0,T. Hansbrough misses 2-pt shot from 1 ft,,7-20,,
3:55.0,,,7-20,,Defensive rebound by H. Thompson
3:47.0,,,7-23,3,R. Covington makes 3-pt shot from 23 ft (assist by M. Carter-Williams)
3:38.0,Shooting foul by H. Thompson (drawn by L. Williams),,7-23,,
3:38.0,L. Williams makes free throw 1 of 2,1,8-23,,
3:38.0,,,8-23,,L. Drew enters the game for M. Carter-Williams
3:38.0,L. Williams makes free throw 2 of 2,1,9-23,,
3:26.0,,,9-23,,Turnover by R. Covington (traveling)
3:09.0,K. Lowry misses 2-pt shot from 7 ft,,9-23,,
3:08.0,,,9-23,,Defensive rebound by J. Grant
3:01.0,,,9-23,,L. Drew misses 2-pt shot from 14 ft
2:58.0,Defensive rebound by Team,,9-23,,
2:45.0,P. Patterson makes 3-pt shot from 26 ft (assist by K. Lowry),3,12-23,,
2:39.0,,,12-25,2,J. Grant makes 2-pt shot at rim (assist by L. Drew)
2:30.0,L. Williams misses 3-pt shot from 26 ft,,12-25,,
2:28.0,,,12-25,,Defensive rebound by R. Covington
2:19.0,,,12-25,,Turnover by R. Covington (lost ball; steal by K. Lowry)
2:15.0,K. Lowry makes 2-pt shot at rim,2,14-25,,
1:49.0,,,14-25,,H. Thompson misses 3-pt shot from 22 ft
1:47.0,Defensive rebound by T. Ross,,14-25,,
1:24.0,L. Williams misses 3-pt shot from 25 ft,,14-25,,
1:22.0,,,14-25,,Defensive rebound by R. Covington
1:16.0,,,14-27,2,H. Sims makes 2-pt shot from 1 ft (assist by J. Grant)
1:16.0,,,14-27,,Shooting foul by P. Patterson (drawn by H. Sims)
1:16.0,G. Vasquez enters the game for K. Lowry,,14-27,,
1:16.0,,,14-27,,J. Sampson enters the game for R. Covington
1:16.0,,,14-28,1,H. Sims makes free throw 1 of 1
1:02.0,Shooting foul by J. Grant (drawn by L. Williams),,14-28,,
1:02.0,L. Williams makes free throw 1 of 2,1,15-28,,
1:02.0,L. Williams makes free throw 2 of 2,1,16-28,,
0:40.0,,,16-28,,J. Sampson misses 2-pt shot from 3 ft (block by T. Ross)
0:38.0,,,16-28,,Offensive rebound by H. Sims
0:38.0,,,16-30,2,H. Sims makes 2-pt shot from 1 ft
0:32.0,L. Williams makes 2-pt shot from 14 ft,2,18-30,,
0:17.0,,,18-30,,Turnover by H. Sims (bad pass; steal by L. Williams)
0:14.0,L. Williams makes 2-pt shot at rim (assist by T. Ross),2,20-30,,
0:02.0,,,20-30,,Turnover by L. Drew (bad pass)
0:01.0,G. Vasquez makes 2-pt shot from 19 ft (assist by P. Patterson),2,22-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,L. Williams misses 2-pt shot from 20 ft,,22-30,,
11:38.0,Offensive rebound by P. Patterson,,22-30,,
11:38.0,P. Patterson misses 2-pt shot at rim,,22-30,,
11:36.0,Offensive rebound by P. Patterson,,22-30,,
11:36.0,P. Patterson makes 2-pt shot from 2 ft,2,24-30,,
11:10.0,,,24-30,,L. Drew misses 2-pt shot from 22 ft
11:08.0,Defensive rebound by G. Vasquez,,24-30,,
11:05.0,L. Williams makes 2-pt shot from 1 ft (assist by G. Vasquez),2,26-30,,
10:35.0,,,26-30,,L. Drew misses 2-pt shot from 8 ft
10:34.0,Defensive rebound by P. Patterson,,26-30,,
10:21.0,G. Vasquez makes 2-pt shot from 2 ft,2,28-30,,
10:02.0,,,28-30,,Turnover by J. Grant (bad pass; steal by L. Williams)
9:48.0,G. Vasquez makes 2-pt shot from 1 ft,2,30-30,,
9:46.0,,,30-30,,Philadelphia full timeout
9:46.0,,,30-30,,N. Noel enters the game for H. Sims
9:46.0,,,30-30,,L. Mbah a Moute enters the game for H. Thompson
9:46.0,,,30-30,,K. McDaniels enters the game for J. Sampson
9:31.0,,,30-30,,K. McDaniels misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by T. Hansbrough,,30-30,,
9:18.0,Offensive foul by T. Hansbrough,,30-30,,
9:18.0,Turnover by T. Hansbrough (offensive foul),,30-30,,
9:05.0,,,30-30,,L. Drew misses 2-pt shot from 16 ft
9:04.0,Defensive rebound by T. Hansbrough,,30-30,,
8:45.0,Turnover by T. Hansbrough (lost ball; steal by L. Mbah a Moute),,30-30,,
8:33.0,,,30-32,2,K. McDaniels makes 2-pt shot from 3 ft (assist by J. Grant)
8:16.0,L. Williams misses 3-pt shot from 25 ft,,30-32,,
8:14.0,,,30-32,,Defensive rebound by N. Noel
8:03.0,,,30-32,,L. Mbah a Moute misses 2-pt shot from 20 ft (block by T. Ross)
8:00.0,Defensive rebound by P. Patterson,,30-32,,
7:48.0,G. Vasquez makes 2-pt shot at rim,2,32-32,,
7:33.0,,,32-32,,Shooting foul by T. Hansbrough (drawn by J. Grant)
7:33.0,,,32-33,1,J. Grant makes free throw 1 of 2
7:33.0,K. Lowry enters the game for L. Williams,,32-33,,
7:33.0,A. Johnson enters the game for T. Hansbrough,,32-33,,
7:33.0,,,32-33,,M. Carter-Williams enters the game for L. Drew
7:33.0,,,32-33,,J. Grant misses free throw 2 of 2
7:31.0,,,32-33,,Offensive rebound by N. Noel
7:09.0,,,32-33,,M. Carter-Williams misses 2-pt shot from 3 ft
7:07.0,Defensive rebound by A. Johnson,,32-33,,
6:48.0,A. Johnson misses 2-pt shot from 1 ft (block by K. McDaniels),,32-33,,
6:45.0,Offensive rebound by A. Johnson,,32-33,,
6:44.0,P. Patterson makes 3-pt shot from 25 ft (assist by A. Johnson),3,35-33,,
6:18.0,,,35-33,,Turnover by K. McDaniels (bad pass; steal by P. Patterson)
6:13.0,G. Vasquez misses 3-pt shot from 25 ft,,35-33,,
6:10.0,Offensive rebound by K. Lowry,,35-33,,
5:46.0,G. Vasquez misses 2-pt shot from 17 ft,,35-33,,
5:44.0,,,35-33,,Defensive rebound by N. Noel
5:32.0,,,35-33,,Turnover by L. Mbah a Moute (bad pass; steal by P. Patterson)
5:26.0,T. Ross misses 3-pt shot from 22 ft,,35-33,,
5:22.0,Offensive rebound by G. Vasquez,,35-33,,
5:09.0,T. Ross makes 3-pt shot from 24 ft (assist by P. Patterson),3,38-33,,
5:02.0,,,38-33,,Philadelphia full timeout
5:02.0,Official timeout,,38-33,,
5:02.0,,,38-33,,R. Covington enters the game for J. Grant
5:02.0,D. DeRozan enters the game for P. Patterson,,38-33,,
5:02.0,J. Johnson enters the game for G. Vasquez,,38-33,,
4:53.0,Personal foul by A. Johnson (drawn by M. Carter-Williams),,38-33,,
4:43.0,,,38-33,,R. Covington misses 2-pt shot from 8 ft
4:42.0,,,38-33,,Offensive rebound by N. Noel
4:42.0,,,38-33,,N. Noel misses 2-pt shot from 3 ft
