time,LA Clippers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. D. Jordan (C. Paul gains possession),,,,Jump ball: R. Hollins vs. D. Jordan (C. Paul gains possession)
11:39.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,3-0,,
11:22.0,,,3-2,2,R. Hollins makes 2-pt shot from 5 ft (assist by D. Collison)
11:16.0,Turnover by C. Paul (bad pass; steal by B. McLemore),,3-2,,
11:11.0,,,3-2,,B. McLemore misses 2-pt shot from 2 ft
11:10.0,,,3-2,,Offensive rebound by J. Thompson
11:10.0,,,3-2,,J. Thompson misses 2-pt shot from 1 ft
11:09.0,,,3-2,,Offensive rebound by J. Thompson
11:07.0,,,3-2,,J. Thompson misses 2-pt shot from 2 ft
11:06.0,,,3-2,,Offensive rebound by J. Thompson
11:06.0,,,3-2,,J. Thompson misses 2-pt shot from 2 ft
11:05.0,,,3-2,,Offensive rebound by J. Thompson
11:04.0,,,3-4,2,J. Thompson makes 2-pt shot from 5 ft
10:44.0,M. Barnes makes 2-pt shot from 2 ft,2,5-4,,
10:26.0,,,5-6,2,D. Williams makes 2-pt shot at rim (assist by D. Collison)
10:06.0,J. Redick makes 2-pt shot from 20 ft (assist by B. Griffin),2,7-6,,
9:46.0,,,7-6,,R. Hollins misses 2-pt shot from 5 ft (block by D. Jordan)
9:43.0,,,7-6,,Offensive rebound by R. Hollins
9:42.0,,,7-6,,R. Hollins misses 2-pt shot from 1 ft
9:41.0,,,7-6,,Offensive rebound by R. Hollins
9:40.0,,,7-6,,R. Hollins misses 2-pt shot from 3 ft
9:39.0,Defensive rebound by B. Griffin,,7-6,,
9:27.0,M. Barnes misses 3-pt shot from 25 ft,,7-6,,
9:27.0,,,7-6,,Defensive rebound by J. Thompson
9:17.0,,,7-8,2,D. Williams makes 2-pt shot from 3 ft (assist by D. Collison)
9:02.0,B. Griffin makes 2-pt shot from 20 ft,2,9-8,,
8:43.0,,,9-10,2,B. McLemore makes 2-pt shot from 2 ft
8:24.0,Shooting foul by R. Hollins (drawn by D. Jordan),,9-10,,
8:24.0,D. Jordan misses free throw 1 of 2,,9-10,,
8:24.0,Offensive rebound by Team,,9-10,,
8:24.0,D. Jordan misses free throw 2 of 2,,9-10,,
8:23.0,,,9-10,,Defensive rebound by J. Thompson
8:16.0,,,9-10,,Turnover by D. Collison (step out of bounds)
8:07.0,B. Griffin misses 2-pt shot from 19 ft,,9-10,,
8:06.0,,,9-10,,Defensive rebound by D. Williams
7:48.0,,,9-13,3,D. Collison makes 3-pt shot from 22 ft
7:44.0,M. Barnes makes 2-pt shot from 1 ft (assist by B. Griffin),2,11-13,,
7:18.0,,,11-15,2,J. Thompson makes 2-pt shot from 19 ft (assist by B. McLemore)
7:04.0,J. Redick makes 2-pt shot from 10 ft,2,13-15,,
6:57.0,,,13-15,,Turnover by B. McLemore (lost ball; steal by J. Redick)
6:56.0,,,13-15,,Personal foul by D. Williams (drawn by M. Barnes)
6:48.0,C. Paul misses 2-pt shot from 15 ft,,13-15,,
6:47.0,,,13-15,,Defensive rebound by J. Thompson
6:40.0,,,13-15,,Shooting foul by J. Redick (drawn by J. Thompson)
6:40.0,,,13-16,1,J. Thompson makes free throw 1 of 2
6:40.0,,,13-17,1,J. Thompson makes free throw 2 of 2
