time,Cleveland,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. T. Mozgov (E. Payton gains possession),,,,Jump ball: D. Dedmon vs. T. Mozgov (E. Payton gains possession)
11:45.0,,,0-0,,N. Vucevic misses 2-pt shot from 9 ft
11:42.0,,,0-0,,Offensive rebound by E. Payton
11:42.0,,,0-0,,E. Payton misses 2-pt shot at rim
11:40.0,,,0-0,,Offensive rebound by D. Dedmon
11:40.0,,,0-2,2,D. Dedmon makes 2-pt shot from 3 ft
11:30.0,Turnover by K. Irving (lost ball; steal by D. Dedmon),,0-2,,
11:21.0,,,0-2,,V. Oladipo misses 2-pt shot from 23 ft
11:20.0,,,0-2,,Offensive rebound by N. Vucevic
11:09.0,,,0-2,,Turnover by E. Payton (bad pass; steal by J. Smith)
11:06.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,2-2,,
10:48.0,,,2-2,,E. Payton misses 2-pt shot from 8 ft
10:45.0,Defensive rebound by T. Mozgov,,2-2,,
10:25.0,J. Smith misses 2-pt shot from 19 ft,,2-2,,
10:23.0,,,2-2,,Defensive rebound by E. Payton
10:13.0,,,2-4,2,N. Vucevic makes 2-pt shot from 19 ft (assist by V. Oladipo)
9:46.0,L. James misses 3-pt shot from 27 ft,,2-4,,
9:45.0,,,2-4,,Defensive rebound by T. Harris
9:22.0,,,2-4,,E. Payton misses 2-pt shot from 7 ft
9:20.0,,,2-4,,Offensive rebound by E. Payton
9:20.0,,,2-6,2,E. Payton makes 2-pt shot from 2 ft
9:07.0,Shooting foul by N. Vucevic (drawn by K. Irving),,2-6,,
9:07.0,K. Irving misses free throw 1 of 2,,2-6,,
9:07.0,Offensive rebound by Team,,2-6,,
9:07.0,K. Irving misses free throw 2 of 2,,2-6,,
9:06.0,,,2-6,,Defensive rebound by T. Harris
8:54.0,,,2-6,,V. Oladipo misses 2-pt shot from 2 ft
8:53.0,,,2-6,,Offensive rebound by E. Payton
8:49.0,,,2-8,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton)
8:27.0,K. Irving misses 2-pt shot from 17 ft,,2-8,,
8:26.0,,,2-8,,Defensive rebound by N. Vucevic
8:17.0,,,2-8,,N. Vucevic misses 2-pt shot from 18 ft
8:16.0,Defensive rebound by L. James,,2-8,,
8:09.0,T. Mozgov misses 2-pt shot from 5 ft,,2-8,,
8:08.0,Offensive rebound by L. James,,2-8,,
8:08.0,Shooting foul by D. Dedmon (drawn by L. James),,2-8,,
8:08.0,L. James makes free throw 1 of 2,1,3-8,,
8:08.0,L. James makes free throw 2 of 2,1,4-8,,
7:55.0,,,4-10,2,T. Harris makes 2-pt shot from 17 ft
7:40.0,J. Smith misses 2-pt shot from 2 ft,,4-10,,
7:38.0,,,4-10,,Defensive rebound by D. Dedmon
7:26.0,,,4-10,,T. Harris misses 2-pt shot from 5 ft
7:26.0,,,4-10,,Offensive rebound by T. Harris
7:25.0,,,4-10,,N. Vucevic misses 2-pt shot at rim
7:23.0,Defensive rebound by T. Mozgov,,4-10,,
7:20.0,,,4-10,,Personal foul by D. Dedmon (drawn by K. Irving)
7:07.0,K. Irving makes 3-pt shot from 25 ft,3,7-10,,
6:51.0,,,7-10,,Turnover by V. Oladipo (bad pass; steal by L. James)
