time,Charlotte,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. M. Muscala (K. Korver gains possession),,,,Jump ball: B. Biyombo vs. M. Muscala (K. Korver gains possession)
11:44.0,,,0-0,,D. Carroll misses 2-pt shot from 20 ft
11:40.0,Defensive rebound by G. Henderson,,0-0,,
11:30.0,M. Williams misses 2-pt shot from 21 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by A. Horford
11:16.0,,,0-0,,Turnover by M. Muscala (traveling)
10:58.0,Turnover by K. Walker (bad pass),,0-0,,
10:49.0,,,0-2,2,K. Korver makes 2-pt shot from 15 ft (assist by D. Carroll)
10:34.0,Shooting foul by D. Carroll (drawn by G. Henderson),,0-2,,
10:34.0,G. Henderson misses free throw 1 of 2,,0-2,,
10:34.0,Offensive rebound by Team,,0-2,,
10:34.0,G. Henderson makes free throw 2 of 2,1,1-2,,
10:15.0,,,1-2,,A. Horford misses 2-pt shot from 8 ft (block by G. Henderson)
10:13.0,,,1-2,,Offensive rebound by D. Carroll
10:06.0,,,1-2,,K. Korver misses 2-pt shot from 9 ft
10:05.0,,,1-2,,Offensive rebound by M. Muscala
10:05.0,,,1-4,2,M. Muscala makes 2-pt shot at rim
9:54.0,M. Williams misses 3-pt shot from 24 ft,,1-4,,
9:53.0,,,1-4,,Defensive rebound by D. Carroll
9:41.0,,,1-4,,A. Horford misses 2-pt shot from 2 ft
9:39.0,,,1-4,,Offensive rebound by M. Muscala
9:28.0,,,1-6,2,D. Carroll makes 2-pt shot from 1 ft (assist by J. Teague)
9:04.0,G. Henderson misses 3-pt shot from 23 ft,,1-6,,
9:03.0,,,1-6,,Defensive rebound by J. Teague
8:59.0,,,1-6,,J. Teague misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by K. Walker,,1-6,,
8:42.0,Charlotte full timeout,,1-6,,
8:39.0,G. Henderson misses 2-pt shot from 5 ft (block by A. Horford),,1-6,,
8:39.0,,,1-6,,Defensive rebound by Team
8:35.0,,,1-6,,Turnover by J. Teague (bad pass; steal by M. Williams)
8:23.0,G. Henderson misses 2-pt shot from 1 ft,,1-6,,
8:22.0,Offensive rebound by B. Biyombo,,1-6,,
8:19.0,J. Taylor misses 3-pt shot from 22 ft,,1-6,,
8:18.0,,,1-6,,Defensive rebound by K. Korver
8:06.0,,,1-6,,A. Horford misses 2-pt shot from 19 ft
8:05.0,Defensive rebound by J. Taylor,,1-6,,
7:47.0,G. Henderson makes 2-pt shot from 16 ft,2,3-6,,
7:37.0,,,3-6,,Turnover by J. Teague (bad pass; steal by J. Taylor)
7:30.0,K. Walker makes 2-pt shot from 8 ft,2,5-6,,
7:15.0,,,5-8,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague)
6:51.0,M. Williams misses 3-pt shot from 24 ft,,5-8,,
6:50.0,,,5-8,,Defensive rebound by A. Horford
6:42.0,,,5-8,,Shooting foul by B. Biyombo (drawn by D. Carroll)
6:42.0,,,5-9,1,D. Carroll makes free throw 1 of 2
6:42.0,,,5-9,,M. Scott enters the game for M. Muscala
6:42.0,,,5-9,,D. Carroll misses free throw 2 of 2
6:41.0,Defensive rebound by M. Williams,,5-9,,
6:27.0,J. Taylor misses 3-pt shot from 24 ft,,5-9,,
6:26.0,,,5-9,,Defensive rebound by D. Carroll
6:03.0,G. Henderson makes 2-pt shot from 20 ft (assist by K. Walker),2,7-9,,
5:51.0,,,7-9,,J. Teague misses 2-pt shot from 21 ft
5:49.0,Defensive rebound by M. Williams,,7-9,,
5:33.0,Turnover by K. Walker (bad pass; steal by D. Carroll),,7-9,,
5:23.0,,,7-9,,Atlanta full timeout
5:23.0,N. Vonleh enters the game for M. Williams,,7-9,,
5:12.0,,,7-9,,K. Korver misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by N. Vonleh,,7-9,,
4:56.0,G. Henderson misses 2-pt shot from 19 ft,,7-9,,
4:55.0,,,7-9,,Defensive rebound by M. Scott
4:44.0,,,7-9,,M. Scott misses 2-pt shot from 11 ft
4:43.0,Defensive rebound by B. Biyombo,,7-9,,
