time,LA Clippers,pts.away,score,pts.home,San Antonio
1:01.0,,,25-23,,Offensive rebound by M. Ginobili
0:57.0,,,25-23,,M. Ginobili misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by D. Jordan,,25-23,,
0:39.0,A. Rivers misses 2-pt shot from 16 ft,,25-23,,
0:39.0,Offensive rebound by Team,,25-23,,
0:39.0,,,25-23,,Loose ball foul by T. Splitter (drawn by D. Jordan)
0:31.0,J. Crawford misses 3-pt shot from 26 ft,,25-23,,
0:30.0,,,25-23,,Defensive rebound by P. Mills
0:25.0,,,25-23,,Shooting foul by A. Rivers (drawn by P. Mills)
0:25.0,,,25-24,1,P. Mills makes free throw 1 of 2
0:25.0,,,25-24,,M. Bonner enters the game for B. Diaw
0:25.0,H. Turkoglu enters the game for D. Jordan,,25-24,,
0:25.0,,,25-25,1,P. Mills makes free throw 2 of 2
0:01.0,J. Redick misses 3-pt shot from 24 ft,,25-25,,
0:00.0,,,25-25,,Defensive rebound by D. Green
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,J. Crawford misses 2-pt shot from 14 ft,,25-25,,
11:45.0,,,25-25,,Defensive rebound by M. Belinelli
11:28.0,,,25-25,,D. Green misses 3-pt shot from 25 ft
11:27.0,,,25-25,,Offensive rebound by M. Belinelli
11:19.0,,,25-28,3,P. Mills makes 3-pt shot from 23 ft (assist by M. Belinelli)
11:01.0,Offensive foul by G. Davis,,25-28,,
11:01.0,Turnover by G. Davis (offensive foul),,25-28,,
11:01.0,B. Griffin enters the game for H. Turkoglu,,25-28,,
11:01.0,,,25-28,,B. Diaw enters the game for M. Belinelli
10:51.0,,,25-28,,T. Splitter misses 2-pt shot from 4 ft (block by G. Davis)
10:50.0,,,25-28,,Offensive rebound by Team
10:46.0,,,25-28,,T. Splitter misses 2-pt shot from 7 ft
10:45.0,Defensive rebound by J. Crawford,,25-28,,
10:40.0,,,25-28,,Shooting block foul by P. Mills (drawn by A. Rivers)
10:40.0,A. Rivers makes 2-pt shot from 7 ft,2,27-28,,
10:40.0,A. Rivers makes free throw 1 of 1,1,28-28,,
10:28.0,,,28-28,,P. Mills misses 2-pt shot from 17 ft
10:27.0,Defensive rebound by B. Griffin,,28-28,,
10:16.0,J. Crawford misses 3-pt shot from 25 ft,,28-28,,
10:15.0,,,28-28,,Defensive rebound by B. Diaw
10:11.0,,,28-28,,Shooting foul by B. Griffin (drawn by M. Ginobili)
10:11.0,,,28-28,,M. Ginobili misses free throw 1 of 2
10:11.0,,,28-28,,Offensive rebound by Team
10:11.0,,,28-29,1,M. Ginobili makes free throw 2 of 2
9:56.0,A. Rivers makes 2-pt shot from 10 ft,2,30-29,,
9:41.0,,,30-29,,P. Mills misses 2-pt shot from 19 ft
9:40.0,Defensive rebound by J. Redick,,30-29,,
9:18.0,A. Rivers makes 2-pt shot from 18 ft,2,32-29,,
9:17.0,,,32-29,,San Antonio full timeout
9:17.0,,,32-29,,T. Duncan enters the game for T. Splitter
9:17.0,,,32-29,,K. Leonard enters the game for M. Ginobili
8:58.0,,,32-32,3,P. Mills makes 3-pt shot from 24 ft (assist by B. Diaw)
8:43.0,B. Griffin misses 2-pt shot from 18 ft,,32-32,,
