time,Cleveland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. T. Mozgov (K. Love gains possession),,,,Jump ball: M. Gasol vs. T. Mozgov (K. Love gains possession)
11:43.0,Turnover by K. Irving (lost ball),,0-0,,
11:24.0,,,0-2,2,Z. Randolph makes 2-pt shot from 17 ft
11:02.0,J. Smith misses 3-pt shot from 26 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by T. Allen
10:49.0,,,0-2,,M. Gasol misses 2-pt shot from 7 ft
10:46.0,Defensive rebound by K. Love,,0-2,,
10:36.0,K. Love makes 2-pt shot from 19 ft (assist by J. Smith),2,2-2,,
10:18.0,,,2-2,,Turnover by M. Conley (bad pass; steal by J. Smith)
9:59.0,Turnover by K. Love (bad pass; steal by M. Gasol),,2-2,,
9:54.0,,,2-4,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley)
9:37.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,5-4,,
9:23.0,,,5-4,,M. Gasol misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by T. Mozgov,,5-4,,
9:16.0,K. Irving misses 2-pt shot from 14 ft,,5-4,,
9:14.0,,,5-4,,Defensive rebound by Z. Randolph
8:50.0,,,5-4,,M. Conley misses 2-pt shot from 18 ft
8:49.0,Defensive rebound by L. James,,5-4,,
8:43.0,K. Love misses 2-pt shot from 1 ft (block by M. Gasol),,5-4,,
8:40.0,,,5-4,,Defensive rebound by C. Lee
8:36.0,,,5-4,,Shooting foul by K. Irving (drawn by M. Gasol)
8:36.0,,,5-5,1,M. Gasol makes free throw 1 of 2
8:36.0,,,5-5,,M. Gasol misses free throw 2 of 2
8:36.0,Defensive rebound by J. Smith,,5-5,,
8:24.0,Turnover by T. Mozgov (bad pass; steal by T. Allen),,5-5,,
8:18.0,,,5-5,,T. Allen misses 2-pt shot from 1 ft (block by K. Love)
8:14.0,,,5-5,,Offensive rebound by M. Gasol
8:14.0,,,5-7,2,M. Gasol makes 2-pt shot at rim
7:48.0,L. James misses 2-pt shot from 11 ft,,5-7,,
7:46.0,,,5-7,,Defensive rebound by Z. Randolph
7:40.0,,,5-7,,Turnover by T. Allen (lost ball; steal by K. Irving)
7:36.0,K. Irving makes 2-pt shot at rim (assist by L. James),2,7-7,,
7:21.0,,,7-7,,Z. Randolph misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by L. James,,7-7,,
7:12.0,L. James misses 2-pt shot from 1 ft,,7-7,,
7:10.0,Offensive rebound by T. Mozgov,,7-7,,
7:06.0,L. James makes 2-pt shot from 1 ft (assist by T. Mozgov),2,9-7,,
6:45.0,,,9-9,2,M. Gasol makes 2-pt shot at rim
6:27.0,Shooting foul by M. Conley (drawn by K. Irving),,9-9,,
6:27.0,K. Irving makes free throw 1 of 2,1,10-9,,
6:27.0,K. Irving makes free throw 2 of 2,1,11-9,,
6:17.0,,,11-11,2,M. Gasol makes 2-pt shot from 12 ft (assist by M. Conley)
5:59.0,K. Love misses 3-pt shot from 24 ft,,11-11,,
5:58.0,,,11-11,,Defensive rebound by T. Allen
5:55.0,,,11-11,,Turnover by T. Allen (bad pass)
5:55.0,,,11-11,,Memphis full timeout
5:41.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,13-11,,
5:16.0,,,13-11,,Turnover by M. Conley (bad pass; steal by K. Love)
5:14.0,Turnover by K. Love (bad pass),,13-11,,
4:56.0,,,13-11,,M. Gasol misses 2-pt shot from 17 ft
4:56.0,Defensive rebound by Team,,13-11,,
4:43.0,K. Irving misses 2-pt shot from 1 ft (block by M. Conley),,13-11,,
4:40.0,Offensive rebound by T. Mozgov,,13-11,,
4:37.0,L. James makes 2-pt shot at rim (assist by T. Mozgov),2,15-11,,
4:22.0,,,15-11,,M. Gasol misses 2-pt shot from 4 ft
4:21.0,,,15-11,,Offensive rebound by T. Allen
4:19.0,,,15-11,,T. Allen misses 2-pt shot from 1 ft (block by K. Love)
4:17.0,Defensive rebound by L. James,,15-11,,
4:15.0,Shooting foul by T. Allen (drawn by L. James),,15-11,,
4:15.0,L. James makes free throw 1 of 2,1,16-11,,
4:15.0,,,16-11,,J. Green enters the game for C. Lee
4:15.0,K. Perkins enters the game for T. Mozgov,,16-11,,
4:15.0,L. James misses free throw 2 of 2,,16-11,,
4:14.0,,,16-11,,Defensive rebound by Team
4:14.0,Loose ball foul by L. James (drawn by M. Gasol),,16-11,,
4:14.0,I. Shumpert enters the game for L. James,,16-11,,
4:14.0,,,16-11,,V. Carter enters the game for T. Allen
4:04.0,,,16-11,,V. Carter misses 2-pt shot from 21 ft
4:02.0,,,16-11,,Offensive rebound by J. Green
3:50.0,,,16-13,2,J. Green makes 2-pt shot from 12 ft (assist by M. Conley)
3:32.0,J. Smith misses 3-pt shot from 27 ft,,16-13,,
