time,Brooklyn,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. B. Lopez (J. Calderon gains possession),,,,Jump ball: S. Dalembert vs. B. Lopez (J. Calderon gains possession)
11:37.0,,,0-2,2,I. Shumpert makes 2-pt shot from 10 ft (assist by J. Calderon)
11:23.0,B. Lopez misses 2-pt shot from 18 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by Team
11:11.0,,,0-2,,Offensive foul by S. Dalembert
11:11.0,,,0-2,,Turnover by S. Dalembert (offensive foul)
10:57.0,D. Williams misses 2-pt shot from 18 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by C. Anthony
10:50.0,,,0-2,,Offensive foul by C. Anthony
10:50.0,,,0-2,,Turnover by C. Anthony (offensive foul)
10:36.0,B. Lopez makes 2-pt shot from 8 ft (assist by B. Bogdanovic),2,2-2,,
10:36.0,Shooting foul by J. Calderon (drawn by B. Lopez),,2-2,,
10:36.0,B. Lopez misses free throw 1 of 1,,2-2,,
10:35.0,,,2-2,,Defensive rebound by I. Shumpert
10:18.0,,,2-2,,J. Calderon misses 2-pt shot from 21 ft
10:17.0,,,2-2,,Offensive rebound by A. Stoudemire
10:17.0,,,2-2,,A. Stoudemire misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by B. Lopez,,2-2,,
10:06.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by S. Dalembert),,2-2,,
10:05.0,Offensive rebound by B. Lopez,,2-2,,
10:04.0,B. Lopez makes 2-pt shot from 1 ft,2,4-2,,
9:49.0,,,4-2,,Turnover by I. Shumpert (bad pass; steal by K. Garnett)
9:37.0,B. Lopez makes 2-pt shot at rim (assist by B. Bogdanovic),2,6-2,,
9:17.0,,,6-2,,Turnover by A. Stoudemire (bad pass)
9:01.0,,,6-2,,Violation by S. Dalembert (def goaltending)
9:01.0,K. Garnett makes 2-pt shot from 4 ft,2,8-2,,
8:41.0,,,8-2,,C. Anthony misses 3-pt shot from 22 ft
8:40.0,Defensive rebound by K. Garnett,,8-2,,
8:36.0,B. Bogdanovic makes 2-pt shot at rim (assist by D. Williams),2,10-2,,
8:31.0,,,10-2,,New York full timeout
8:21.0,,,10-2,,I. Shumpert misses 2-pt shot from 2 ft (block by B. Lopez)
8:19.0,Defensive rebound by J. Johnson,,10-2,,
8:02.0,Turnover by K. Garnett (bad pass; steal by J. Calderon),,10-2,,
7:53.0,,,10-4,2,C. Anthony makes 2-pt shot from 19 ft
7:53.0,,,10-4,,Shooting foul by B. Bogdanovic (drawn by C. Anthony)
7:53.0,,,10-5,1,C. Anthony makes free throw 1 of 1
7:43.0,K. Garnett misses 2-pt shot from 8 ft,,10-5,,
7:42.0,Offensive rebound by K. Garnett,,10-5,,
7:38.0,K. Garnett makes 2-pt shot from 4 ft,2,12-5,,
7:25.0,,,12-5,,C. Anthony misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by Team,,12-5,,
7:09.0,B. Bogdanovic misses 2-pt shot from 21 ft,,12-5,,
7:08.0,,,12-5,,Defensive rebound by A. Stoudemire
6:56.0,,,12-7,2,S. Dalembert makes 2-pt shot from 5 ft
