time,San Antonio,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,,,0-0,,A. Bargnani misses 2-pt shot from 11 ft
12:00.0,Jump ball: L. Amundson vs. T. Duncan (L. Thomas gains possession),,,,Jump ball: L. Amundson vs. T. Duncan (L. Thomas gains possession)
11:44.0,Defensive rebound by D. Green,,0-0,,
11:29.0,T. Duncan makes 2-pt shot at rim (assist by T. Splitter),2,2-0,,
11:05.0,,,2-0,,L. Thomas misses 2-pt shot from 16 ft
11:04.0,Defensive rebound by T. Duncan,,2-0,,
10:49.0,T. Parker makes 2-pt shot from 2 ft,2,4-0,,
10:39.0,,,4-0,,L. Thomas misses 2-pt shot from 2 ft
10:38.0,Defensive rebound by T. Splitter,,4-0,,
10:34.0,Shooting foul by A. Shved (drawn by K. Leonard),,4-0,,
10:34.0,K. Leonard makes free throw 1 of 2,1,5-0,,
10:34.0,K. Leonard makes free throw 2 of 2,1,6-0,,
10:13.0,,,6-0,,A. Shved misses 2-pt shot from 2 ft (block by K. Leonard)
10:12.0,,,6-0,,Offensive rebound by L. Thomas
10:10.0,,,6-0,,L. Thomas misses 2-pt shot from 19 ft
10:09.0,,,6-0,,Offensive rebound by L. Amundson
10:08.0,,,6-0,,L. Amundson misses 2-pt shot from 2 ft
10:07.0,,,6-0,,Offensive rebound by L. Amundson
10:06.0,,,6-0,,L. Amundson misses 2-pt shot from 2 ft (block by T. Splitter)
10:05.0,,,6-0,,Offensive rebound by Team
9:54.0,,,6-0,,Shooting foul by T. Splitter (drawn by A. Bargnani)
9:54.0,,,6-1,1,A. Bargnani makes free throw 1 of 2
9:54.0,,,6-2,1,A. Bargnani makes free throw 2 of 2
9:45.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,8-2,,
9:21.0,,,8-4,2,A. Bargnani makes 2-pt shot from 3 ft
9:01.0,T. Duncan misses 2-pt shot from 19 ft,,8-4,,
9:00.0,,,8-4,,Defensive rebound by A. Bargnani
8:53.0,,,8-4,,Shooting foul by D. Green (drawn by A. Shved)
8:53.0,,,8-5,1,A. Shved makes free throw 1 of 2
8:53.0,M. Belinelli enters the game for D. Green,,8-5,,
8:53.0,,,8-6,1,A. Shved makes free throw 2 of 2
8:36.0,T. Duncan misses 2-pt shot from 10 ft,,8-6,,
8:34.0,,,8-6,,Defensive rebound by A. Bargnani
8:30.0,,,8-8,2,L. Amundson makes 2-pt shot at rim (assist by A. Shved)
8:08.0,M. Belinelli misses 2-pt shot at rim,,8-8,,
8:07.0,,,8-8,,Defensive rebound by A. Shved
8:01.0,,,8-8,,L. Galloway misses 3-pt shot from 24 ft
8:00.0,,,8-8,,Offensive rebound by A. Bargnani
7:59.0,,,8-8,,Turnover by A. Bargnani (bad pass)
7:59.0,R. Williams enters the game for K. Leonard,,8-8,,
7:39.0,Shooting foul by L. Amundson (drawn by T. Duncan),,8-8,,
7:39.0,T. Duncan makes free throw 1 of 2,1,9-8,,
7:39.0,T. Duncan makes free throw 2 of 2,1,10-8,,
7:19.0,,,10-8,,Turnover by L. Galloway (bad pass; steal by R. Williams)
7:10.0,T. Parker misses 2-pt shot from 18 ft,,10-8,,
7:09.0,,,10-8,,Defensive rebound by Team
6:51.0,,,10-10,2,A. Bargnani makes 2-pt shot from 18 ft (assist by L. Amundson)
6:32.0,T. Parker makes 2-pt shot at rim (assist by T. Duncan),2,12-10,,
6:22.0,,,12-12,2,L. Galloway makes 2-pt shot from 1 ft (assist by L. Amundson)
6:21.0,San Antonio full timeout,,12-12,,
6:21.0,B. Diaw enters the game for T. Splitter,,12-12,,
5:59.0,M. Belinelli misses 2-pt shot from 2 ft,,12-12,,
5:58.0,,,12-12,,Defensive rebound by L. Amundson
5:41.0,,,12-12,,Turnover by L. Amundson (bad pass; steal by M. Belinelli)
5:35.0,T. Parker makes 2-pt shot from 1 ft (assist by M. Belinelli),2,14-12,,
5:13.0,,,14-12,,Turnover by A. Shved (bad pass; steal by M. Belinelli)
5:06.0,Shooting foul by L. Amundson (drawn by M. Belinelli),,14-12,,
5:06.0,M. Belinelli makes free throw 1 of 2,1,15-12,,
5:06.0,,,15-12,,C. Aldrich enters the game for L. Amundson
5:06.0,M. Belinelli makes free throw 2 of 2,1,16-12,,
4:47.0,,,16-14,2,A. Bargnani makes 2-pt shot from 15 ft (assist by A. Shved)
4:30.0,B. Diaw misses 2-pt shot from 11 ft,,16-14,,
4:29.0,,,16-14,,Defensive rebound by A. Bargnani
4:15.0,,,16-14,,Shooting foul by R. Williams (drawn by A. Shved)
4:15.0,,,16-15,1,A. Shved makes free throw 1 of 2
4:15.0,,,16-16,1,A. Shved makes free throw 2 of 2
4:01.0,B. Diaw makes 2-pt shot from 20 ft (assist by T. Parker),2,18-16,,
3:40.0,,,18-18,2,L. Thomas makes 2-pt shot from 4 ft (assist by A. Bargnani)
3:22.0,T. Parker makes 2-pt shot from 5 ft,2,20-18,,
3:05.0,,,20-20,2,L. Thomas makes 2-pt shot from 14 ft
2:46.0,T. Duncan makes 2-pt shot from 8 ft (assist by T. Parker),2,22-20,,
2:33.0,,,22-20,,Shooting foul by T. Duncan (drawn by A. Shved)
2:33.0,,,22-20,,New York full timeout
2:33.0,P. Mills enters the game for T. Duncan,,22-20,,
2:33.0,K. Leonard enters the game for T. Parker,,22-20,,
2:33.0,T. Splitter enters the game for R. Williams,,22-20,,
2:33.0,,,22-20,,J. Smith enters the game for L. Thomas
2:33.0,,,22-20,,T. Wear enters the game for A. Bargnani
2:33.0,,,22-20,,A. Shved misses free throw 1 of 2
2:33.0,,,22-20,,Offensive rebound by Team
2:33.0,,,22-20,,S. Larkin enters the game for L. Galloway
2:33.0,,,22-20,,A. Shved misses free throw 2 of 2
