time,Orlando,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. N. Vucevic (C. Anthony gains possession),,,,Jump ball: L. Amundson vs. N. Vucevic (C. Anthony gains possession)
11:45.0,,,0-2,2,J. Calderon makes 2-pt shot from 17 ft (assist by J. Smith)
11:30.0,N. Vucevic misses 2-pt shot from 14 ft,,0-2,,
11:28.0,,,0-2,,Defensive rebound by J. Smith
11:17.0,,,0-2,,J. Smith misses 2-pt shot from 19 ft
11:15.0,Defensive rebound by C. Frye,,0-2,,
10:53.0,V. Oladipo misses 2-pt shot from 18 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by J. Calderon
10:43.0,,,0-2,,J. Smith misses 2-pt shot from 19 ft
10:41.0,,,0-2,,Offensive rebound by Team
10:35.0,,,0-4,2,J. Smith makes 2-pt shot from 2 ft (assist by J. Calderon)
10:21.0,C. Frye misses 3-pt shot from 26 ft,,0-4,,
10:19.0,,,0-4,,Defensive rebound by C. Anthony
10:03.0,,,0-4,,J. Smith misses 2-pt shot from 16 ft
10:01.0,,,0-4,,Offensive rebound by L. Amundson
10:01.0,,,0-4,,L. Amundson misses 2-pt shot from 1 ft
9:59.0,,,0-4,,Offensive rebound by L. Amundson
9:58.0,,,0-4,,L. Amundson misses 2-pt shot from 1 ft
9:57.0,,,0-4,,Offensive rebound by L. Galloway
9:54.0,,,0-4,,C. Anthony misses 3-pt shot from 25 ft
9:52.0,Defensive rebound by C. Frye,,0-4,,
9:38.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,2-4,,
9:27.0,,,2-6,2,C. Anthony makes 2-pt shot at rim (assist by L. Amundson)
9:22.0,Turnover by D. Marble (step out of bounds),,2-6,,
8:59.0,,,2-8,2,J. Calderon makes 2-pt shot from 10 ft
8:49.0,E. Payton makes 2-pt shot at rim,2,4-8,,
8:34.0,,,4-8,,C. Anthony misses 2-pt shot from 16 ft
8:33.0,Defensive rebound by Team,,4-8,,
8:21.0,D. Marble makes 3-pt shot from 23 ft (assist by N. Vucevic),3,7-8,,
8:09.0,,,7-8,,Shooting foul by N. Vucevic (drawn by L. Galloway)
8:09.0,,,7-9,1,L. Galloway makes free throw 1 of 2
8:09.0,,,7-10,1,L. Galloway makes free throw 2 of 2
7:59.0,N. Vucevic makes 2-pt shot from 4 ft (assist by V. Oladipo),2,9-10,,
7:41.0,,,9-12,2,J. Smith makes 2-pt shot from 10 ft (assist by J. Calderon)
7:31.0,Shooting foul by L. Amundson (drawn by D. Marble),,9-12,,
7:31.0,D. Marble misses free throw 1 of 2,,9-12,,
7:31.0,Offensive rebound by Team,,9-12,,
7:31.0,D. Marble misses free throw 2 of 2,,9-12,,
7:30.0,,,9-12,,Defensive rebound by L. Galloway
7:13.0,,,9-12,,L. Amundson misses 2-pt shot from 3 ft
7:11.0,Defensive rebound by N. Vucevic,,9-12,,
6:55.0,V. Oladipo misses 3-pt shot from 24 ft,,9-12,,
6:53.0,Offensive rebound by D. Marble,,9-12,,
6:45.0,N. Vucevic makes 2-pt shot from 16 ft (assist by D. Marble),2,11-12,,
6:35.0,Personal foul by E. Payton (drawn by J. Calderon),,11-12,,
6:35.0,T. Harris enters the game for D. Marble,,11-12,,
6:35.0,A. Gordon enters the game for C. Frye,,11-12,,
6:26.0,,,11-14,2,L. Galloway makes 2-pt shot from 17 ft
6:16.0,T. Harris misses 3-pt shot from 25 ft,,11-14,,
6:14.0,,,11-14,,Defensive rebound by L. Amundson
6:02.0,,,11-16,2,C. Anthony makes 2-pt shot from 13 ft
5:36.0,Turnover by V. Oladipo (lost ball),,11-16,,
5:36.0,,,11-16,,New York full timeout
5:14.0,,,11-16,,C. Anthony misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by T. Harris,,11-16,,
4:49.0,N. Vucevic makes 2-pt shot from 11 ft (assist by E. Payton),2,13-16,,
4:31.0,,,13-16,,Turnover by L. Amundson (lost ball; steal by V. Oladipo)
4:19.0,N. Vucevic makes 2-pt shot from 10 ft,2,15-16,,
4:14.0,,,15-16,,Turnover by J. Smith (bad pass; steal by V. Oladipo)
4:12.0,V. Oladipo misses 2-pt shot from 1 ft,,15-16,,
4:11.0,,,15-16,,Defensive rebound by J. Calderon
4:03.0,,,15-16,,J. Smith misses 2-pt shot from 13 ft
4:02.0,Defensive rebound by N. Vucevic,,15-16,,
3:56.0,Shooting foul by J. Smith (drawn by V. Oladipo),,15-16,,
3:56.0,V. Oladipo makes free throw 1 of 2,1,16-16,,
3:56.0,,,16-16,,T. Hardaway enters the game for L. Galloway
3:56.0,,,16-16,,L. Thomas enters the game for J. Smith
3:56.0,K. O'Quinn enters the game for N. Vucevic,,16-16,,
3:56.0,V. Oladipo makes free throw 2 of 2,1,17-16,,
