time,Golden State,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Hibbert (D. Green gains possession),,,,Jump ball: A. Bogut vs. R. Hibbert (D. Green gains possession)
11:40.0,S. Livingston makes 2-pt shot from 6 ft,2,2-0,,
11:24.0,,,2-0,,D. West misses 2-pt shot from 16 ft
11:22.0,Defensive rebound by H. Barnes,,2-0,,
11:16.0,D. Green misses 3-pt shot from 25 ft,,2-0,,
11:14.0,,,2-0,,Defensive rebound by G. Hill
11:03.0,,,2-2,2,R. Hibbert makes 2-pt shot from 19 ft (assist by G. Hill)
10:45.0,Turnover by K. Thompson (lost ball),,2-2,,
10:34.0,,,2-2,,C. Miles misses 2-pt shot from 20 ft
10:33.0,Defensive rebound by S. Livingston,,2-2,,
10:24.0,H. Barnes makes 2-pt shot from 18 ft (assist by A. Bogut),2,4-2,,
10:05.0,,,4-2,,Shooting foul by K. Thompson (drawn by S. Hill)
10:05.0,,,4-3,1,S. Hill makes free throw 1 of 2
10:05.0,,,4-4,1,S. Hill makes free throw 2 of 2
9:51.0,A. Bogut misses 2-pt shot from 4 ft (block by C. Miles),,4-4,,
9:51.0,,,4-4,,Defensive rebound by D. West
9:51.0,Loose ball foul by A. Bogut (drawn by D. West),,4-4,,
9:37.0,,,4-4,,R. Hibbert misses 2-pt shot from 8 ft
9:36.0,Defensive rebound by D. Green,,4-4,,
9:18.0,K. Thompson makes 2-pt shot from 18 ft (assist by A. Bogut),2,6-4,,
9:01.0,,,6-6,2,G. Hill makes 2-pt shot from 15 ft
8:47.0,Shooting foul by S. Hill (drawn by K. Thompson),,6-6,,
8:47.0,K. Thompson makes free throw 1 of 2,1,7-6,,
8:47.0,K. Thompson makes free throw 2 of 2,1,8-6,,
8:34.0,,,8-8,2,C. Miles makes 2-pt shot from 16 ft
8:10.0,H. Barnes misses 2-pt shot from 5 ft,,8-8,,
8:09.0,Offensive rebound by H. Barnes,,8-8,,
8:05.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,11-8,,
7:35.0,,,11-8,,D. West misses 2-pt shot from 13 ft
7:33.0,Defensive rebound by A. Bogut,,11-8,,
7:28.0,K. Thompson misses 3-pt shot from 27 ft,,11-8,,
7:25.0,,,11-8,,Defensive rebound by C. Miles
7:13.0,,,11-8,,D. West misses 2-pt shot from 16 ft
7:12.0,Defensive rebound by K. Thompson,,11-8,,
7:08.0,Shooting foul by D. West (drawn by D. Green),,11-8,,
7:08.0,D. Green makes free throw 1 of 2,1,12-8,,
7:08.0,D. Green makes free throw 2 of 2,1,13-8,,
6:56.0,,,13-8,,Shooting foul by D. Green (drawn by G. Hill)
6:56.0,,,13-9,1,G. Hill makes free throw 1 of 3
6:56.0,,,13-10,1,G. Hill makes free throw 2 of 3
6:56.0,,,13-10,,G. Hill misses free throw 3 of 3
6:54.0,,,13-10,,Offensive rebound by Team
6:47.0,,,13-10,,S. Hill misses 2-pt shot from 1 ft
6:47.0,Defensive rebound by S. Livingston,,13-10,,
6:23.0,D. Green makes 3-pt shot from 26 ft (assist by A. Bogut),3,16-10,,
6:13.0,,,16-10,,Indiana full timeout
6:13.0,A. Iguodala enters the game for H. Barnes,,16-10,,
6:01.0,,,16-10,,D. West misses 2-pt shot from 5 ft
6:00.0,Defensive rebound by A. Iguodala,,16-10,,
5:44.0,K. Thompson makes 2-pt shot from 19 ft (assist by S. Livingston),2,18-10,,
5:24.0,,,18-12,2,D. West makes 2-pt shot from 5 ft
5:15.0,,,18-12,,Personal foul by S. Hill (drawn by S. Livingston)
5:15.0,L. Barbosa enters the game for S. Livingston,,18-12,,
5:15.0,,,18-12,,R. Stuckey enters the game for S. Hill
5:08.0,K. Thompson makes 2-pt shot from 14 ft,2,20-12,,
4:52.0,,,20-12,,G. Hill misses 2-pt shot from 18 ft
4:52.0,Defensive rebound by A. Bogut,,20-12,,
4:46.0,,,20-12,,Personal foul by G. Hill (drawn by D. Green)
4:46.0,,,20-12,,I. Mahinmi enters the game for R. Hibbert
4:40.0,Shooting foul by G. Hill (drawn by K. Thompson),,20-12,,
4:40.0,K. Thompson makes free throw 1 of 2,1,21-12,,
4:40.0,D. Lee enters the game for A. Bogut,,21-12,,
4:40.0,,,21-12,,C. Watson enters the game for G. Hill
4:40.0,K. Thompson makes free throw 2 of 2,1,22-12,,
4:27.0,,,22-12,,Turnover by D. West (lost ball; steal by L. Barbosa)
4:22.0,,,22-12,,Violation by I. Mahinmi (def goaltending)
4:22.0,L. Barbosa makes 2-pt shot from 1 ft (assist by D. Green),2,24-12,,
4:06.0,,,24-14,2,R. Stuckey makes 2-pt shot from 19 ft
3:55.0,K. Thompson misses 3-pt shot from 26 ft,,24-14,,
3:53.0,Offensive rebound by D. Lee,,24-14,,
3:47.0,L. Barbosa misses 2-pt shot at rim,,24-14,,
3:46.0,Offensive rebound by D. Lee,,24-14,,
3:46.0,D. Lee makes 2-pt shot at rim,2,26-14,,
3:34.0,,,26-14,,I. Mahinmi misses 2-pt shot from 6 ft
3:34.0,Defensive rebound by D. Lee,,26-14,,
3:27.0,Turnover by D. Green (lost ball; steal by R. Stuckey),,26-14,,
3:23.0,,,26-16,2,C. Watson makes 2-pt shot from 1 ft (assist by R. Stuckey)
3:16.0,,,26-16,,Personal foul by C. Watson (drawn by A. Iguodala)
3:16.0,A. Iguodala makes free throw 1 of 2,1,27-16,,
3:16.0,A. Iguodala makes free throw 2 of 2,1,28-16,,
2:58.0,,,28-19,3,C. Miles makes 3-pt shot from 26 ft (assist by D. West)
2:44.0,D. Lee misses 2-pt shot from 2 ft,,28-19,,
2:43.0,,,28-19,,Defensive rebound by I. Mahinmi
2:31.0,,,28-19,,C. Miles misses 3-pt shot from 26 ft
2:30.0,Defensive rebound by D. Lee,,28-19,,
2:23.0,K. Thompson misses 3-pt shot from 27 ft,,28-19,,
2:22.0,,,28-19,,Defensive rebound by D. West
2:11.0,,,28-21,2,C. Watson makes 2-pt shot from 2 ft
2:04.0,Golden State full timeout,,28-21,,
1:59.0,D. Lee makes 2-pt shot at rim (assist by A. Iguodala),2,30-21,,
1:39.0,,,30-21,,Turnover by D. West (bad pass; steal by D. Lee)
1:30.0,L. Barbosa misses 2-pt shot from 9 ft,,30-21,,
1:27.0,Offensive rebound by D. Lee,,30-21,,
1:20.0,K. Thompson makes 2-pt shot from 1 ft,2,32-21,,
1:04.0,,,32-23,2,R. Stuckey makes 2-pt shot from 11 ft
0:44.0,A. Iguodala makes 3-pt shot from 23 ft (assist by D. Lee),3,35-23,,
0:32.0,,,35-23,,Shooting foul by D. Lee (drawn by R. Stuckey)
0:32.0,,,35-23,,R. Stuckey misses free throw 1 of 2
0:32.0,,,35-23,,Offensive rebound by Team
0:32.0,,,35-23,,D. Rudez enters the game for C. Miles
0:32.0,,,35-23,,L. Scola enters the game for D. West
0:32.0,H. Barnes enters the game for D. Green,,35-23,,
0:32.0,,,35-24,1,R. Stuckey makes free throw 2 of 2
0:16.0,K. Thompson misses 2-pt shot from 20 ft,,35-24,,
0:15.0,,,35-24,,Defensive rebound by R. Stuckey
0:11.0,,,35-26,2,D. Rudez makes 2-pt shot from 1 ft (assist by R. Stuckey)
0:02.0,A. Iguodala makes 3-pt shot from 25 ft (assist by D. Lee),3,38-26,,
0:00.0,,,38-26,,R. Stuckey misses 3-pt shot from 52 ft
0:00.0,,,38-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Personal foul by L. Barbosa (drawn by C. Watson),,38-26,,
11:46.0,,,38-26,,I. Mahinmi misses 2-pt shot from 18 ft
11:45.0,,,38-26,,Offensive rebound by L. Scola
11:33.0,,,38-28,2,R. Stuckey makes 2-pt shot from 19 ft
11:18.0,H. Barnes misses 2-pt shot from 5 ft,,38-28,,
11:17.0,,,38-28,,Defensive rebound by I. Mahinmi
11:13.0,,,38-28,,Offensive foul by L. Scola
11:13.0,,,38-28,,Turnover by L. Scola (offensive foul)
11:00.0,A. Iguodala misses 2-pt shot from 19 ft,,38-28,,
10:59.0,,,38-28,,Defensive rebound by I. Mahinmi
10:45.0,,,38-30,2,L. Scola makes 2-pt shot from 16 ft (assist by D. Rudez)
10:31.0,L. Barbosa makes 2-pt shot from 17 ft,2,40-30,,
10:15.0,,,40-32,2,R. Stuckey makes 2-pt shot from 18 ft (assist by C. Watson)
9:58.0,H. Barnes misses 3-pt shot from 24 ft,,40-32,,
9:56.0,Offensive rebound by D. Lee,,40-32,,
9:56.0,D. Lee misses 2-pt shot from 1 ft,,40-32,,
9:56.0,,,40-32,,Defensive rebound by I. Mahinmi
9:47.0,Personal foul by H. Barnes (drawn by L. Scola),,40-32,,
9:36.0,,,40-32,,Turnover by D. Rudez (bad pass; steal by H. Barnes)
9:21.0,A. Iguodala misses 2-pt shot from 14 ft,,40-32,,
9:20.0,,,40-32,,Defensive rebound by L. Scola
9:03.0,,,40-32,,Turnover by C. Watson (bad pass; steal by B. Rush)
8:57.0,L. Barbosa makes 3-pt shot from 23 ft (assist by A. Iguodala),3,43-32,,
8:36.0,,,43-32,,R. Stuckey misses 2-pt shot from 17 ft
8:35.0,,,43-32,,Offensive rebound by R. Stuckey
8:34.0,,,43-34,2,R. Stuckey makes 2-pt shot from 1 ft
8:11.0,H. Barnes misses 2-pt shot from 8 ft,,43-34,,
8:10.0,,,43-34,,Defensive rebound by L. Scola
8:05.0,,,43-34,,Shooting foul by L. Barbosa (drawn by C. Watson)
8:05.0,Official timeout,,43-34,,
8:05.0,,,43-35,1,C. Watson makes free throw 1 of 3
8:05.0,,,43-36,1,C. Watson makes free throw 2 of 3
8:05.0,,,43-37,1,C. Watson makes free throw 3 of 3
7:56.0,L. Barbosa makes 2-pt shot from 17 ft,2,45-37,,
7:30.0,,,45-39,2,L. Scola makes 2-pt shot from 17 ft (assist by R. Stuckey)
7:19.0,A. Iguodala misses 2-pt shot from 13 ft,,45-39,,
7:19.0,,,45-39,,Defensive rebound by L. Scola
7:05.0,,,45-41,2,L. Scola makes 2-pt shot at rim (assist by C. Watson)
7:00.0,Golden State full timeout,,45-41,,
7:00.0,S. Livingston enters the game for L. Barbosa,,45-41,,
7:00.0,D. Green enters the game for D. Lee,,45-41,,
7:00.0,A. Bogut enters the game for B. Rush,,45-41,,
7:00.0,K. Thompson enters the game for A. Iguodala,,45-41,,
7:00.0,,,45-41,,G. Hill enters the game for R. Stuckey
7:00.0,,,45-41,,R. Hibbert enters the game for I. Mahinmi
