time,San Antonio,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. B. Lopez (D. Green gains possession),,,,Jump ball: T. Duncan vs. B. Lopez (D. Green gains possession)
11:45.0,T. Parker misses 2-pt shot from 2 ft,,0-0,,
11:44.0,Offensive rebound by T. Duncan,,0-0,,
11:42.0,T. Duncan misses 2-pt shot at rim,,0-0,,
11:41.0,Offensive rebound by B. Diaw,,0-0,,
11:37.0,D. Green misses 3-pt shot from 26 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by D. Williams
11:26.0,,,0-2,2,D. Williams makes 2-pt shot from 1 ft
11:12.0,B. Diaw misses 2-pt shot from 9 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by B. Lopez
10:49.0,,,0-2,,D. Williams misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by Team,,0-2,,
10:31.0,T. Duncan misses 2-pt shot from 13 ft,,0-2,,
10:30.0,,,0-2,,Defensive rebound by M. Teletovic
10:16.0,,,0-2,,B. Lopez misses 2-pt shot from 2 ft (block by D. Green)
10:15.0,Defensive rebound by D. Green,,0-2,,
10:12.0,Turnover by T. Parker (discontinued dribble),,0-2,,
9:52.0,,,0-2,,B. Bogdanovic misses 2-pt shot from 13 ft
9:51.0,Defensive rebound by T. Duncan,,0-2,,
9:43.0,T. Duncan misses 2-pt shot from 18 ft,,0-2,,
9:42.0,,,0-2,,Defensive rebound by M. Teletovic
9:38.0,,,0-2,,Shooting foul by B. Diaw (drawn by M. Teletovic)
9:38.0,,,0-2,,M. Teletovic misses free throw 1 of 2
9:38.0,,,0-2,,Offensive rebound by Team
9:38.0,,,0-3,1,M. Teletovic makes free throw 2 of 2
9:26.0,K. Leonard misses 2-pt shot from 13 ft,,0-3,,
9:25.0,,,0-3,,Defensive rebound by D. Williams
9:15.0,,,0-3,,B. Bogdanovic misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by T. Duncan,,0-3,,
9:11.0,Shooting foul by D. Williams (drawn by K. Leonard),,0-3,,
9:11.0,K. Leonard makes free throw 1 of 2,1,1-3,,
9:11.0,K. Leonard misses free throw 2 of 2,,1-3,,
9:10.0,,,1-3,,Defensive rebound by B. Bogdanovic
8:53.0,,,1-5,2,J. Johnson makes 2-pt shot from 14 ft
8:37.0,T. Duncan misses 2-pt shot from 18 ft,,1-5,,
8:36.0,,,1-5,,Defensive rebound by M. Teletovic
8:28.0,,,1-7,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by B. Lopez)
8:04.0,D. Green makes 3-pt shot from 24 ft (assist by T. Duncan),3,4-7,,
7:47.0,,,4-7,,D. Williams misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by K. Leonard,,4-7,,
7:37.0,T. Duncan misses 2-pt shot from 5 ft,,4-7,,
7:36.0,,,4-7,,Defensive rebound by J. Johnson
7:22.0,,,4-9,2,J. Johnson makes 2-pt shot from 3 ft (assist by B. Lopez)
7:22.0,San Antonio full timeout,,4-9,,
7:04.0,K. Leonard makes 3-pt shot from 23 ft (assist by T. Parker),3,7-9,,
6:47.0,,,7-9,,Turnover by J. Johnson (lost ball)
6:23.0,B. Diaw misses 2-pt shot from 6 ft,,7-9,,
6:22.0,Offensive rebound by T. Duncan,,7-9,,
6:18.0,T. Duncan misses 2-pt shot from 4 ft,,7-9,,
6:17.0,,,7-9,,Defensive rebound by M. Teletovic
5:55.0,,,7-11,2,B. Lopez makes 2-pt shot from 20 ft
5:38.0,T. Duncan makes 2-pt shot from 8 ft (assist by T. Parker),2,9-11,,
5:23.0,,,9-13,2,J. Johnson makes 2-pt shot from 11 ft (assist by D. Williams)
5:09.0,T. Duncan misses 2-pt shot from 3 ft (block by B. Lopez),,9-13,,
5:07.0,Offensive rebound by D. Green,,9-13,,
5:01.0,M. Ginobili enters the game for D. Green,,9-13,,
5:01.0,,,9-13,,A. Anderson enters the game for B. Bogdanovic
5:01.0,C. Joseph enters the game for T. Parker,,9-13,,
4:59.0,M. Ginobili makes 2-pt shot from 2 ft (assist by B. Diaw),2,11-13,,
4:55.0,,,11-13,,Brooklyn full timeout
4:55.0,A. Baynes enters the game for T. Duncan,,11-13,,
4:38.0,,,11-13,,A. Anderson misses 3-pt shot from 23 ft
4:37.0,Defensive rebound by K. Leonard,,11-13,,
4:22.0,K. Leonard misses 2-pt shot from 9 ft,,11-13,,
4:21.0,,,11-13,,Defensive rebound by B. Lopez
4:08.0,,,11-13,,B. Lopez misses 2-pt shot from 20 ft
4:07.0,Defensive rebound by M. Ginobili,,11-13,,
3:51.0,K. Leonard misses 2-pt shot from 10 ft,,11-13,,
3:50.0,,,11-13,,Defensive rebound by B. Lopez
3:41.0,,,11-13,,Turnover by D. Williams (bad pass; steal by A. Baynes)
3:36.0,A. Baynes misses 2-pt shot from 1 ft,,11-13,,
3:34.0,,,11-13,,Defensive rebound by M. Teletovic
3:20.0,,,11-15,2,A. Anderson makes 2-pt shot from 7 ft (assist by D. Williams)
3:09.0,,,11-15,,Personal foul by A. Anderson (drawn by M. Ginobili)
3:09.0,,,11-15,,J. Jack enters the game for D. Williams
2:59.0,Turnover by B. Diaw (bad pass),,11-15,,
2:47.0,Personal foul by A. Baynes (drawn by J. Johnson),,11-15,,
2:39.0,,,11-15,,J. Johnson misses 2-pt shot from 17 ft
2:38.0,Defensive rebound by M. Ginobili,,11-15,,
2:33.0,B. Diaw misses 2-pt shot from 2 ft,,11-15,,
