time,Milwaukee,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. Z. Pachulia (J. O'Bryant gains possession),,,,Jump ball: N. Noel vs. Z. Pachulia (J. O'Bryant gains possession)
11:43.0,Z. Pachulia makes 2-pt shot from 15 ft (assist by G. Antetokounmpo),2,2-0,,
11:26.0,,,2-0,,H. Sims misses 2-pt shot from 21 ft
11:25.0,Defensive rebound by G. Antetokounmpo,,2-0,,
11:16.0,B. Knight makes 2-pt shot at rim,2,4-0,,
11:00.0,,,4-0,,Turnover by H. Sims (lost ball)
10:49.0,J. O'Bryant misses 2-pt shot from 19 ft,,4-0,,
10:48.0,Offensive rebound by Z. Pachulia,,4-0,,
10:27.0,Turnover by J. O'Bryant (lost ball),,4-0,,
10:01.0,,,4-0,,H. Sims misses 2-pt shot from 7 ft
9:59.0,,,4-0,,Offensive rebound by N. Noel
9:59.0,,,4-2,2,N. Noel makes 2-pt shot at rim
9:40.0,Turnover by J. O'Bryant (bad pass; steal by K. McDaniels),,4-2,,
9:29.0,,,4-2,,Turnover by K. McDaniels (lost ball; steal by K. Middleton)
9:25.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton),2,6-2,,
9:03.0,,,6-2,,M. Carter-Williams misses 3-pt shot from 23 ft
9:01.0,,,6-2,,Offensive rebound by K. McDaniels
8:58.0,,,6-4,2,K. McDaniels makes 2-pt shot from 3 ft
8:43.0,K. Middleton makes 2-pt shot from 9 ft,2,8-4,,
8:23.0,,,8-4,,R. Covington misses 3-pt shot from 26 ft
8:22.0,Defensive rebound by J. O'Bryant,,8-4,,
8:10.0,B. Knight misses 3-pt shot from 25 ft,,8-4,,
8:07.0,,,8-4,,Defensive rebound by H. Sims
7:55.0,,,8-4,,Offensive charge foul by N. Noel
7:55.0,,,8-4,,Turnover by N. Noel (offensive foul)
7:44.0,B. Knight misses 2-pt shot from 14 ft,,8-4,,
7:43.0,,,8-4,,Defensive rebound by R. Covington
7:24.0,,,8-4,,Shooting foul by K. Middleton (drawn by M. Carter-Williams)
7:24.0,,,8-5,1,M. Carter-Williams makes free throw 1 of 2
7:24.0,,,8-5,,M. Carter-Williams misses free throw 2 of 2
7:23.0,,,8-5,,Offensive rebound by M. Carter-Williams
7:21.0,,,8-5,,M. Carter-Williams misses 2-pt shot from 3 ft
7:20.0,Defensive rebound by B. Knight,,8-5,,
7:05.0,J. O'Bryant misses 2-pt shot from 4 ft (block by N. Noel),,8-5,,
7:03.0,,,8-5,,Defensive rebound by K. McDaniels
6:51.0,,,8-5,,H. Sims misses 2-pt shot from 7 ft
