time,Minnesota,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Hamilton (D. Green gains possession),,,,Jump ball: A. Bogut vs. J. Hamilton (D. Green gains possession)
11:44.0,,,0-0,,Turnover by A. Bogut (bad pass; steal by A. Wiggins)
11:28.0,K. Martin misses 2-pt shot from 17 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by D. Green
11:16.0,,,0-3,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
11:04.0,Z. LaVine makes 3-pt shot from 23 ft (assist by A. Wiggins),3,3-3,,
10:55.0,,,3-3,,S. Curry misses 3-pt shot from 28 ft
10:54.0,Defensive rebound by K. Martin,,3-3,,
10:46.0,J. Hamilton misses 2-pt shot from 13 ft,,3-3,,
10:45.0,,,3-3,,Defensive rebound by D. Green
10:30.0,,,3-5,2,K. Thompson makes 2-pt shot from 4 ft
10:11.0,A. Wiggins misses 2-pt shot from 18 ft,,3-5,,
10:09.0,Offensive rebound by J. Hamilton,,3-5,,
10:05.0,A. Payne makes 2-pt shot from 19 ft (assist by J. Hamilton),2,5-5,,
9:49.0,,,5-7,2,D. Green makes 2-pt shot from 11 ft (assist by K. Thompson)
9:28.0,Shooting foul by D. Green (drawn by K. Martin),,5-7,,
9:28.0,K. Martin misses free throw 1 of 2,,5-7,,
9:28.0,Offensive rebound by Team,,5-7,,
9:28.0,K. Martin makes free throw 2 of 2,1,6-7,,
9:13.0,,,6-7,,H. Barnes misses 2-pt shot from 9 ft
9:12.0,,,6-7,,Offensive rebound by H. Barnes
9:12.0,,,6-7,,Shooting foul by Z. LaVine (drawn by H. Barnes)
9:12.0,,,6-7,,H. Barnes misses free throw 1 of 2
9:12.0,,,6-7,,Offensive rebound by Team
9:12.0,,,6-8,1,H. Barnes makes free throw 2 of 2
8:57.0,Shooting foul by D. Green (drawn by J. Hamilton),,6-8,,
8:57.0,J. Hamilton misses free throw 1 of 2,,6-8,,
8:57.0,Offensive rebound by Team,,6-8,,
8:57.0,,,6-8,,A. Iguodala enters the game for D. Green
8:57.0,J. Hamilton makes free throw 2 of 2,1,7-8,,
8:45.0,,,7-8,,A. Bogut misses 2-pt shot from 1 ft (block by J. Hamilton)
8:44.0,Defensive rebound by J. Hamilton,,7-8,,
8:41.0,,,7-8,,Shooting block foul by S. Curry (drawn by Z. LaVine)
8:41.0,Z. LaVine makes free throw 1 of 2,1,8-8,,
8:41.0,Z. LaVine makes free throw 2 of 2,1,9-8,,
8:32.0,,,9-8,,H. Barnes misses 3-pt shot from 25 ft
8:30.0,Defensive rebound by Z. LaVine,,9-8,,
8:17.0,K. Martin misses 3-pt shot from 25 ft,,9-8,,
8:16.0,,,9-8,,Defensive rebound by A. Bogut
8:00.0,,,9-10,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
7:41.0,Shooting foul by A. Bogut (drawn by J. Hamilton),,9-10,,
7:41.0,J. Hamilton makes free throw 1 of 2,1,10-10,,
7:41.0,,,10-10,,Golden State full timeout
7:41.0,J. Hamilton makes free throw 2 of 2,1,11-10,,
7:25.0,,,11-13,3,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala)
7:06.0,A. Payne misses 2-pt shot from 22 ft,,11-13,,
7:05.0,,,11-13,,Defensive rebound by A. Bogut
6:58.0,,,11-15,2,A. Iguodala makes 2-pt shot at rim (assist by H. Barnes)
6:40.0,A. Wiggins makes 2-pt shot from 7 ft (assist by Z. LaVine),2,13-15,,
6:40.0,Shooting foul by K. Thompson (drawn by A. Wiggins),,13-15,,
6:40.0,C. Budinger enters the game for A. Payne,,13-15,,
6:40.0,A. Wiggins makes free throw 1 of 1,1,14-15,,
6:25.0,,,14-15,,A. Bogut misses 2-pt shot from 7 ft
6:24.0,Defensive rebound by K. Martin,,14-15,,
6:16.0,C. Budinger misses 2-pt shot from 3 ft (block by H. Barnes),,14-15,,
6:14.0,,,14-15,,Defensive rebound by A. Bogut
6:06.0,,,14-17,2,K. Thompson makes 2-pt shot from 1 ft
5:48.0,C. Budinger misses 2-pt shot from 12 ft,,14-17,,
5:47.0,,,14-17,,Defensive rebound by H. Barnes
5:40.0,,,14-17,,H. Barnes misses 2-pt shot from 17 ft
5:38.0,,,14-17,,Offensive rebound by Team
5:38.0,Minnesota full timeout,,14-17,,
5:33.0,,,14-17,,K. Thompson misses 2-pt shot from 11 ft (block by A. Wiggins)
5:32.0,Defensive rebound by A. Wiggins,,14-17,,
5:19.0,A. Wiggins misses 2-pt shot from 14 ft,,14-17,,
