time,Atlanta,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. A. Horford (J. McRoberts gains possession),,,,Jump ball: C. Bosh vs. A. Horford (J. McRoberts gains possession)
11:42.0,,,0-0,,Turnover by L. Deng (lost ball; steal by K. Korver)
11:34.0,D. Carroll misses 3-pt shot from 23 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by M. Chalmers
11:25.0,,,0-0,,Turnover by D. Wade (lost ball; steal by J. Teague)
11:19.0,P. Millsap misses 2-pt shot from 9 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by C. Bosh
11:11.0,,,0-0,,Shooting foul by J. Teague (drawn by L. Deng)
11:11.0,,,0-1,1,L. Deng makes free throw 1 of 2
11:11.0,,,0-2,1,L. Deng makes free throw 2 of 2
10:57.0,K. Korver misses 3-pt shot from 24 ft,,0-2,,
10:56.0,Offensive rebound by D. Carroll,,0-2,,
10:49.0,J. Teague misses 3-pt shot from 25 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by L. Deng
10:38.0,,,0-4,2,C. Bosh makes 2-pt shot from 7 ft (assist by J. McRoberts)
10:24.0,K. Korver makes 2-pt shot from 14 ft (assist by A. Horford),2,2-4,,
10:00.0,,,2-6,2,L. Deng makes 2-pt shot from 2 ft
9:40.0,Turnover by P. Millsap (bad pass; steal by L. Deng),,2-6,,
9:29.0,Violation by P. Millsap (kicked ball),,2-6,,
9:21.0,,,2-6,,D. Wade misses 2-pt shot from 20 ft
9:20.0,Defensive rebound by J. Teague,,2-6,,
9:05.0,Turnover by A. Horford (bad pass; steal by J. McRoberts),,2-6,,
9:02.0,,,2-6,,Turnover by J. McRoberts (bad pass; steal by P. Millsap)
8:45.0,D. Carroll makes 2-pt shot from 1 ft (assist by A. Horford),2,4-6,,
8:34.0,,,4-6,,D. Wade misses 2-pt shot from 20 ft
8:33.0,Defensive rebound by D. Carroll,,4-6,,
8:17.0,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap),3,7-6,,
8:05.0,,,7-8,2,J. McRoberts makes 2-pt shot at rim (assist by D. Wade)
7:52.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,9-8,,
7:23.0,,,9-8,,C. Bosh misses 2-pt shot from 20 ft
7:22.0,Defensive rebound by P. Millsap,,9-8,,
7:13.0,A. Horford misses 2-pt shot from 8 ft,,9-8,,
7:12.0,,,9-8,,Defensive rebound by L. Deng
7:05.0,,,9-8,,M. Chalmers misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by K. Korver,,9-8,,
7:03.0,,,9-8,,Personal foul by M. Chalmers (drawn by J. Teague)
7:03.0,,,9-8,,S. Napier enters the game for M. Chalmers
7:03.0,,,9-8,,J. Hamilton enters the game for C. Bosh
6:50.0,D. Carroll makes 2-pt shot from 6 ft (assist by P. Millsap),2,11-8,,
6:50.0,Shooting foul by D. Wade (drawn by D. Carroll),,11-8,,
6:50.0,D. Carroll misses free throw 1 of 1,,11-8,,
6:49.0,,,11-8,,Defensive rebound by J. Hamilton
6:36.0,,,11-8,,D. Wade misses 2-pt shot from 10 ft
6:35.0,Defensive rebound by K. Korver,,11-8,,
6:27.0,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague),3,14-8,,
6:27.0,,,14-8,,Miami full timeout
6:09.0,,,14-8,,J. Hamilton misses 2-pt shot from 19 ft
6:08.0,Defensive rebound by Team,,14-8,,
5:56.0,Turnover by K. Korver (bad pass),,14-8,,
5:39.0,,,14-8,,D. Wade misses 2-pt shot from 6 ft
5:38.0,Defensive rebound by A. Horford,,14-8,,
5:32.0,K. Korver misses 3-pt shot from 23 ft,,14-8,,
5:31.0,Offensive rebound by P. Millsap,,14-8,,
5:30.0,,,14-8,,Personal foul by J. McRoberts (drawn by P. Millsap)
5:30.0,P. Antic enters the game for A. Horford,,14-8,,
5:23.0,Turnover by K. Korver (bad pass; steal by D. Wade),,14-8,,
5:06.0,,,14-8,,J. McRoberts misses 2-pt shot from 1 ft
5:05.0,,,14-8,,Offensive rebound by D. Wade
4:57.0,,,14-8,,Shooting foul by P. Millsap (drawn by L. Deng)
4:57.0,,,14-8,,L. Deng misses free throw 1 of 2
4:57.0,,,14-8,,Offensive rebound by Team
4:57.0,,,14-9,1,L. Deng makes free throw 2 of 2
4:44.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague),3,17-9,,
4:23.0,,,17-11,2,J. McRoberts makes 2-pt shot at rim (assist by D. Wade)
4:13.0,,,17-11,,M. Chalmers enters the game for D. Wade
4:13.0,,,17-11,,C. Bosh enters the game for J. McRoberts
4:07.0,Turnover by P. Antic (bad pass),,17-11,,
4:07.0,S. Mack enters the game for K. Korver,,17-11,,
3:55.0,,,17-14,3,S. Napier makes 3-pt shot from 24 ft (assist by C. Bosh)
3:45.0,Offensive charge foul by P. Millsap,,17-14,,
3:45.0,Turnover by P. Millsap (offensive foul),,17-14,,
3:45.0,D. Schroder enters the game for J. Teague,,17-14,,
3:45.0,M. Scott enters the game for P. Millsap,,17-14,,
3:23.0,,,17-14,,Turnover by C. Bosh (bad pass)
3:09.0,M. Scott makes 2-pt shot from 8 ft (assist by D. Schroder),2,19-14,,
2:56.0,,,19-14,,Turnover by L. Deng (offensive foul)
2:56.0,,,19-14,,Offensive charge foul by L. Deng
2:56.0,Atlanta full timeout,,19-14,,
2:56.0,,,19-14,,J. Ennis enters the game for L. Deng
2:42.0,P. Antic misses 2-pt shot from 21 ft,,19-14,,
2:41.0,Offensive rebound by D. Carroll,,19-14,,
2:34.0,P. Antic makes 2-pt shot from 22 ft (assist by S. Mack),2,21-14,,
2:16.0,,,21-14,,Turnover by M. Chalmers (step out of bounds)
2:16.0,T. Sefolosha enters the game for D. Carroll,,21-14,,
1:52.0,P. Antic misses 3-pt shot from 24 ft,,21-14,,
1:51.0,,,21-14,,Defensive rebound by J. Ennis
1:45.0,,,21-14,,Turnover by J. Hamilton (bad pass)
1:30.0,D. Schroder makes 3-pt shot from 24 ft (assist by S. Mack),3,24-14,,
1:21.0,,,24-14,,Shooting foul by M. Scott (drawn by M. Chalmers)
1:21.0,,,24-15,1,M. Chalmers makes free throw 1 of 2
1:21.0,,,24-16,1,M. Chalmers makes free throw 2 of 2
0:58.0,P. Antic misses 3-pt shot from 22 ft,,24-16,,
0:57.0,,,24-16,,Defensive rebound by S. Napier
0:51.0,,,24-18,2,J. Hamilton makes 2-pt shot at rim (assist by M. Chalmers)
0:28.0,M. Scott makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,27-18,,
0:08.0,,,27-18,,Turnover by C. Bosh (bad pass)
0:08.0,K. Korver enters the game for T. Sefolosha,,27-18,,
0:02.0,,,27-18,,Personal foul by S. Napier (drawn by D. Schroder)
0:01.0,M. Scott misses 2-pt shot from 19 ft,,27-18,,
0:00.0,Offensive rebound by Team,,27-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,M. Scott makes 2-pt shot from 14 ft (assist by T. Sefolosha),2,29-18,,
11:21.0,,,29-20,2,C. Bosh makes 2-pt shot from 15 ft
10:57.0,D. Schroder misses 3-pt shot from 24 ft,,29-20,,
10:56.0,,,29-20,,Defensive rebound by C. Bosh
10:47.0,,,29-20,,S. Napier misses 3-pt shot from 23 ft
10:46.0,Defensive rebound by S. Mack,,29-20,,
10:39.0,Turnover by S. Mack (bad pass; steal by J. Ennis),,29-20,,
10:24.0,,,29-22,2,M. Chalmers makes 2-pt shot from 2 ft
10:07.0,D. Schroder makes 2-pt shot from 1 ft,2,31-22,,
9:54.0,Personal foul by S. Mack (drawn by M. Chalmers),,31-22,,
9:42.0,,,31-22,,Shooting foul by A. Horford (drawn by C. Bosh)
9:42.0,,,31-23,1,C. Bosh makes free throw 1 of 2
9:42.0,,,31-24,1,C. Bosh makes free throw 2 of 2
9:34.0,T. Sefolosha misses 2-pt shot from 1 ft (block by M. Chalmers),,31-24,,
9:33.0,,,31-24,,Defensive rebound by M. Chalmers
9:26.0,,,31-27,3,C. Bosh makes 3-pt shot from 24 ft (assist by M. Chalmers)
9:07.0,,,31-27,,Personal foul by M. Chalmers (drawn by M. Scott)
9:07.0,,,31-27,,D. Wade enters the game for M. Chalmers
8:59.0,D. Schroder makes 2-pt shot from 15 ft,2,33-27,,
8:37.0,,,33-27,,Turnover by D. Wade (lost ball; steal by S. Mack)
8:31.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by S. Mack),3,36-27,,
8:04.0,,,36-27,,Shooting foul by M. Scott (drawn by C. Bosh)
8:04.0,Official timeout,,36-27,,
8:04.0,K. Korver enters the game for S. Mack,,36-27,,
8:04.0,P. Millsap enters the game for M. Scott,,36-27,,
8:04.0,,,36-28,1,C. Bosh makes free throw 1 of 2
8:04.0,,,36-29,1,C. Bosh makes free throw 2 of 2
7:48.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by K. Korver),2,38-29,,
7:31.0,,,38-29,,L. Deng enters the game for J. Ennis
7:31.0,J. Teague enters the game for D. Schroder,,38-29,,
7:29.0,,,38-29,,Turnover by D. Wade (bad pass; steal by P. Millsap)
