time,Minnesota,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. J. Hamilton (T. Parker gains possession),,,,Jump ball: T. Duncan vs. J. Hamilton (T. Parker gains possession)
11:38.0,,,0-0,,T. Duncan misses 2-pt shot from 2 ft
11:37.0,Defensive rebound by K. Martin,,0-0,,
11:24.0,Turnover by G. Dieng (bad pass; steal by T. Parker),,0-0,,
11:14.0,,,0-2,2,T. Parker makes 2-pt shot from 6 ft
11:02.0,Turnover by A. Wiggins (lost ball; steal by K. Leonard),,0-2,,
10:55.0,,,0-2,,K. Leonard misses 2-pt shot from 20 ft
10:54.0,Defensive rebound by G. Dieng,,0-2,,
10:42.0,Z. LaVine misses 2-pt shot from 18 ft,,0-2,,
10:41.0,,,0-2,,Defensive rebound by T. Duncan
10:25.0,,,0-2,,K. Leonard misses 2-pt shot from 11 ft
10:24.0,Defensive rebound by G. Dieng,,0-2,,
10:16.0,Turnover by K. Martin (lost ball),,0-2,,
10:06.0,,,0-4,2,T. Parker makes 2-pt shot from 1 ft (assist by T. Duncan)
9:41.0,G. Dieng misses 2-pt shot from 5 ft (block by T. Splitter),,0-4,,
9:39.0,,,0-4,,Defensive rebound by T. Splitter
9:34.0,Shooting block foul by K. Martin (drawn by T. Duncan),,0-4,,
9:34.0,,,0-5,1,T. Duncan makes free throw 1 of 2
9:34.0,,,0-6,1,T. Duncan makes free throw 2 of 2
9:21.0,K. Martin makes 2-pt shot from 12 ft,2,2-6,,
9:02.0,,,2-8,2,D. Green makes 2-pt shot from 14 ft
8:51.0,Shooting foul by D. Green (drawn by K. Martin),,2-8,,
8:51.0,K. Martin makes free throw 1 of 2,1,3-8,,
8:51.0,,,3-8,,M. Belinelli enters the game for D. Green
8:51.0,K. Martin makes free throw 2 of 2,1,4-8,,
8:35.0,,,4-10,2,T. Parker makes 2-pt shot from 17 ft (assist by T. Duncan)
8:18.0,G. Dieng makes 2-pt shot from 18 ft (assist by Z. LaVine),2,6-10,,
8:09.0,,,6-10,,San Antonio full timeout
7:58.0,Personal foul by G. Dieng (drawn by T. Duncan),,6-10,,
7:48.0,,,6-10,,Turnover by M. Belinelli (bad pass)
7:39.0,Shooting foul by K. Leonard (drawn by A. Wiggins),,6-10,,
