time,New York,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. B. Lopez (K. Garnett gains possession),,,,Jump ball: S. Dalembert vs. B. Lopez (K. Garnett gains possession)
11:41.0,,,0-2,2,B. Lopez makes 2-pt shot from 1 ft (assist by K. Garnett)
11:20.0,C. Anthony makes 2-pt shot from 17 ft,2,2-2,,
11:10.0,,,2-2,,Turnover by B. Bogdanovic (traveling)
10:53.0,S. Dalembert misses 2-pt shot from 17 ft,,2-2,,
10:52.0,,,2-2,,Defensive rebound by K. Garnett
10:42.0,,,2-2,,J. Johnson misses 2-pt shot from 19 ft
10:41.0,,,2-2,,Offensive rebound by B. Lopez
10:40.0,,,2-2,,Shooting foul by S. Dalembert (drawn by B. Lopez)
10:40.0,,,2-4,2,B. Lopez makes 2-pt shot from 9 ft
10:40.0,,,2-5,1,B. Lopez makes free throw 1 of 1
10:15.0,T. Hardaway misses 2-pt shot from 16 ft,,2-5,,
10:14.0,,,2-5,,Defensive rebound by J. Johnson
10:05.0,,,2-5,,B. Lopez misses 2-pt shot from 2 ft
10:04.0,Defensive rebound by S. Dalembert,,2-5,,
10:00.0,Shooting foul by B. Bogdanovic (drawn by T. Hardaway),,2-5,,
10:00.0,T. Hardaway makes 3-pt shot from 23 ft (assist by I. Shumpert),3,5-5,,
10:00.0,T. Hardaway makes free throw 1 of 1,1,6-5,,
9:38.0,,,6-5,,Turnover by J. Johnson (lost ball; steal by C. Anthony)
9:37.0,,,6-5,,Personal foul by K. Garnett (drawn by C. Anthony)
9:23.0,T. Hardaway misses 2-pt shot from 5 ft,,6-5,,
9:22.0,,,6-5,,Defensive rebound by B. Lopez
9:14.0,Personal foul by J. Smith (drawn by K. Garnett),,6-5,,
9:14.0,,,6-5,,Offensive foul by K. Garnett
9:14.0,,,6-5,,Turnover by K. Garnett (offensive foul)
8:55.0,T. Hardaway misses 3-pt shot from 24 ft,,6-5,,
8:54.0,,,6-5,,Defensive rebound by J. Johnson
8:51.0,Personal foul by J. Smith (drawn by K. Garnett),,6-5,,
8:51.0,Q. Acy enters the game for J. Smith,,6-5,,
8:41.0,,,6-5,,D. Williams misses 2-pt shot from 19 ft
8:40.0,Defensive rebound by Q. Acy,,6-5,,
8:31.0,S. Dalembert makes 2-pt shot from 16 ft (assist by I. Shumpert),2,8-5,,
8:29.0,,,8-5,,Turnover by D. Williams (lost ball)
8:16.0,C. Anthony misses 2-pt shot from 14 ft,,8-5,,
8:15.0,,,8-5,,Defensive rebound by B. Lopez
8:08.0,,,8-5,,Turnover by D. Williams (bad pass)
7:51.0,S. Dalembert misses 2-pt shot from 14 ft,,8-5,,
7:50.0,,,8-5,,Defensive rebound by B. Lopez
7:38.0,,,8-8,3,J. Johnson makes 3-pt shot from 22 ft (assist by D. Williams)
7:21.0,Turnover by S. Dalembert (lost ball; steal by B. Lopez),,8-8,,
7:08.0,Personal foul by S. Dalembert (drawn by B. Lopez),,8-8,,
7:08.0,A. Stoudemire enters the game for S. Dalembert,,8-8,,
7:08.0,,,8-8,,M. Plumlee enters the game for K. Garnett
7:03.0,,,8-8,,J. Johnson misses 2-pt shot from 9 ft
7:02.0,Defensive rebound by T. Hardaway,,8-8,,
6:54.0,C. Anthony makes 3-pt shot from 24 ft (assist by T. Hardaway),3,11-8,,
6:38.0,,,11-10,2,B. Lopez makes 2-pt shot from 19 ft (assist by D. Williams)
6:18.0,Turnover by A. Stoudemire (lost ball; steal by D. Williams),,11-10,,
6:12.0,,,11-13,3,J. Johnson makes 3-pt shot from 24 ft
5:48.0,C. Anthony misses 2-pt shot from 20 ft,,11-13,,
5:47.0,,,11-13,,Defensive rebound by J. Johnson
5:33.0,,,11-13,,J. Johnson misses 2-pt shot from 22 ft
5:32.0,Defensive rebound by T. Hardaway,,11-13,,
5:29.0,Q. Acy misses 2-pt shot from 2 ft,,11-13,,
5:28.0,Offensive rebound by Team,,11-13,,
5:28.0,,,11-13,,Brooklyn full timeout
5:22.0,I. Shumpert makes 2-pt shot from 16 ft (assist by C. Anthony),2,13-13,,
5:01.0,,,13-16,3,B. Bogdanovic makes 3-pt shot from 25 ft (assist by D. Williams)
4:39.0,,,13-16,,Violation by M. Plumlee (def goaltending)
4:39.0,A. Stoudemire makes 2-pt shot from 4 ft,2,15-16,,
4:25.0,,,15-16,,M. Plumlee misses 2-pt shot from 2 ft
4:24.0,Defensive rebound by A. Stoudemire,,15-16,,
4:18.0,I. Shumpert misses 3-pt shot from 24 ft,,15-16,,
4:16.0,,,15-16,,Defensive rebound by J. Johnson
4:07.0,,,15-19,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by D. Williams)
3:50.0,T. Hardaway misses 2-pt shot from 20 ft,,15-19,,
3:49.0,Offensive rebound by Q. Acy,,15-19,,
3:48.0,Q. Acy makes 2-pt shot at rim,2,17-19,,
3:37.0,,,17-21,2,D. Williams makes 2-pt shot from 19 ft
3:26.0,Turnover by C. Anthony (lost ball),,17-21,,
3:26.0,J. Smith enters the game for T. Hardaway,,17-21,,
3:12.0,,,17-24,3,D. Williams makes 3-pt shot from 26 ft
2:56.0,C. Anthony misses 3-pt shot from 24 ft,,17-24,,
2:52.0,,,17-24,,Defensive rebound by B. Bogdanovic
2:47.0,New York full timeout,,17-24,,
2:37.0,,,17-24,,B. Bogdanovic misses 3-pt shot from 26 ft
2:36.0,Defensive rebound by C. Anthony,,17-24,,
2:27.0,A. Stoudemire misses 2-pt shot from 10 ft,,17-24,,
2:26.0,,,17-24,,Defensive rebound by M. Plumlee
2:17.0,,,17-26,2,D. Williams makes 2-pt shot from 3 ft
1:49.0,Q. Acy makes 2-pt shot from 17 ft (assist by C. Anthony),2,19-26,,
1:27.0,,,19-26,,J. Jack enters the game for D. Williams
1:27.0,,,19-26,,A. Anderson enters the game for J. Johnson
1:27.0,S. Larkin enters the game for I. Shumpert,,19-26,,
1:25.0,,,19-26,,Turnover by B. Bogdanovic (bad pass; steal by J. Smith)
1:17.0,C. Anthony misses 2-pt shot from 4 ft (block by B. Lopez),,19-26,,
1:15.0,Offensive rebound by Q. Acy,,19-26,,
1:04.0,Shooting foul by A. Anderson (drawn by C. Anthony),,19-26,,
1:04.0,C. Anthony misses free throw 1 of 2,,19-26,,
1:04.0,Offensive rebound by Team,,19-26,,
1:04.0,C. Anthony makes free throw 2 of 2,1,20-26,,
0:54.0,Personal foul by Q. Acy (drawn by M. Plumlee),,20-26,,
0:54.0,,,20-26,,M. Plumlee misses free throw 1 of 2
0:54.0,,,20-26,,Offensive rebound by Team
0:54.0,,,20-26,,M. Teletovic enters the game for B. Lopez
0:54.0,C. Early enters the game for C. Anthony,,20-26,,
0:54.0,,,20-27,1,M. Plumlee makes free throw 2 of 2
0:33.0,C. Early misses 3-pt shot from 27 ft,,20-27,,
0:32.0,Offensive rebound by Q. Acy,,20-27,,
0:31.0,Q. Acy misses 2-pt shot from 2 ft (block by M. Plumlee),,20-27,,
0:31.0,Offensive rebound by A. Stoudemire,,20-27,,
0:30.0,Turnover by Team (shot clock),,20-27,,
0:13.0,,,20-30,3,M. Teletovic makes 3-pt shot from 26 ft (assist by J. Jack)
0:04.0,J. Smith misses 2-pt shot from 1 ft,,20-30,,
0:03.0,Offensive rebound by S. Larkin,,20-30,,
0:01.0,S. Larkin misses 2-pt shot from 17 ft (block by M. Plumlee),,20-30,,
0:00.0,Offensive rebound by Team,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,S. Larkin misses 2-pt shot from 1 ft (block by M. Plumlee),,20-30,,
11:47.0,Offensive rebound by A. Stoudemire,,20-30,,
11:41.0,A. Stoudemire makes 2-pt shot from 1 ft,2,22-30,,
11:22.0,,,22-30,,A. Anderson misses 2-pt shot from 20 ft
11:21.0,Defensive rebound by S. Larkin,,22-30,,
11:05.0,Q. Acy misses 2-pt shot from 4 ft,,22-30,,
11:04.0,Offensive rebound by Q. Acy,,22-30,,
11:03.0,Q. Acy misses 2-pt shot from 2 ft,,22-30,,
11:02.0,,,22-30,,Defensive rebound by A. Anderson
10:43.0,,,22-30,,M. Plumlee misses 2-pt shot from 7 ft (block by A. Stoudemire)
10:42.0,Defensive rebound by A. Stoudemire,,22-30,,
10:24.0,Turnover by J. Smith (lost ball; steal by S. Karasev),,22-30,,
10:22.0,Personal foul by J. Smith (drawn by J. Jack),,22-30,,
10:12.0,,,22-33,3,M. Teletovic makes 3-pt shot from 26 ft (assist by J. Jack)
9:57.0,J. Smith makes 2-pt shot from 20 ft (assist by A. Stoudemire),2,24-33,,
9:43.0,,,24-33,,J. Jack misses 2-pt shot from 22 ft
9:42.0,Defensive rebound by Q. Acy,,24-33,,
9:23.0,Turnover by J. Smith (lost ball),,24-33,,
9:23.0,,,24-33,,K. Garnett enters the game for M. Plumlee
9:11.0,Personal foul by C. Early (drawn by A. Anderson),,24-33,,
9:11.0,T. Hardaway enters the game for C. Early,,24-33,,
9:02.0,,,24-33,,J. Jack misses 2-pt shot from 11 ft
9:01.0,,,24-33,,Offensive rebound by A. Anderson
8:50.0,,,24-33,,Turnover by K. Garnett (lost ball; steal by A. Stoudemire)
8:47.0,T. Hardaway misses 2-pt shot from 1 ft,,24-33,,
8:46.0,,,24-33,,Defensive rebound by J. Jack
8:45.0,,,24-33,,Offensive foul by J. Jack
8:45.0,,,24-33,,Turnover by J. Jack (offensive foul)
8:45.0,Official timeout,,24-33,,
8:38.0,,,24-33,,Personal foul by K. Garnett (drawn by A. Stoudemire)
8:38.0,,,24-33,,B. Lopez enters the game for K. Garnett
8:32.0,S. Larkin misses 2-pt shot from 2 ft (block by B. Lopez),,24-33,,
8:31.0,Offensive rebound by A. Stoudemire,,24-33,,
8:28.0,A. Stoudemire makes 2-pt shot from 1 ft,2,26-33,,
8:15.0,,,26-33,,Turnover by S. Karasev (lost ball)
8:06.0,,,26-33,,Personal foul by J. Jack (drawn by S. Larkin)
8:05.0,Turnover by A. Stoudemire (bad pass),,26-33,,
7:47.0,,,26-33,,Shooting foul by A. Stoudemire (drawn by B. Lopez)
7:47.0,,,26-33,,B. Lopez misses free throw 1 of 2
7:47.0,,,26-33,,Offensive rebound by Team
7:47.0,,,26-33,,D. Williams enters the game for J. Jack
7:47.0,,,26-33,,J. Johnson enters the game for S. Karasev
7:47.0,J. Smith enters the game for A. Stoudemire,,26-33,,
7:47.0,I. Shumpert enters the game for S. Larkin,,26-33,,
7:47.0,,,26-33,,B. Lopez misses free throw 2 of 2
7:43.0,,,26-33,,Offensive rebound by A. Anderson
7:33.0,,,26-33,,Shooting foul by J. Smith (drawn by B. Lopez)
7:33.0,,,26-34,1,B. Lopez makes free throw 1 of 2
7:33.0,,,26-35,1,B. Lopez makes free throw 2 of 2
7:17.0,,,26-35,,Personal foul by M. Teletovic (drawn by Q. Acy)
7:17.0,C. Aldrich enters the game for J. Smith,,26-35,,
7:17.0,C. Anthony enters the game for T. Hardaway,,26-35,,
7:04.0,Shooting foul by A. Anderson (drawn by C. Anthony),,26-35,,
7:04.0,C. Anthony makes free throw 1 of 2,1,27-35,,
7:04.0,C. Anthony makes free throw 2 of 2,1,28-35,,
6:52.0,,,28-37,2,M. Teletovic makes 2-pt shot from 19 ft (assist by B. Lopez)
6:41.0,Turnover by J. Smith (dbl dribble),,28-37,,
6:41.0,T. Wear enters the game for Q. Acy,,28-37,,
6:30.0,,,28-37,,M. Teletovic misses 3-pt shot from 24 ft
6:28.0,Defensive rebound by J. Smith,,28-37,,
6:21.0,C. Aldrich makes 2-pt shot from 1 ft (assist by J. Smith),2,30-37,,
6:08.0,,,30-37,,M. Teletovic misses 2-pt shot from 1 ft
6:07.0,,,30-37,,Offensive rebound by B. Lopez
6:06.0,,,30-37,,B. Lopez misses 2-pt shot at rim
6:05.0,,,30-37,,Offensive rebound by Team
6:03.0,Personal foul by I. Shumpert (drawn by D. Williams),,30-37,,
6:03.0,,,30-37,,D. Williams misses free throw 1 of 2
6:03.0,,,30-37,,Offensive rebound by Team
6:03.0,,,30-37,,D. Williams misses free throw 2 of 2
6:02.0,Defensive rebound by C. Aldrich,,30-37,,
5:46.0,J. Smith misses 2-pt shot from 19 ft,,30-37,,
5:45.0,,,30-37,,Defensive rebound by B. Lopez
5:39.0,,,30-37,,Shooting foul by J. Smith (drawn by D. Williams)
5:39.0,,,30-37,,Brooklyn full timeout
5:39.0,,,30-37,,B. Bogdanovic enters the game for A. Anderson
5:39.0,,,30-38,1,D. Williams makes free throw 1 of 2
5:39.0,,,30-39,1,D. Williams makes free throw 2 of 2
5:15.0,I. Shumpert misses 3-pt shot from 24 ft,,30-39,,
5:14.0,,,30-39,,Defensive rebound by M. Teletovic
5:08.0,Personal foul by T. Wear (drawn by M. Teletovic),,30-39,,
5:08.0,,,30-40,1,M. Teletovic makes free throw 1 of 2
5:08.0,,,30-41,1,M. Teletovic makes free throw 2 of 2
4:47.0,C. Aldrich makes 2-pt shot from 8 ft (assist by I. Shumpert),2,32-41,,
4:33.0,Violation by C. Aldrich (kicked ball),,32-41,,
4:23.0,,,32-44,3,D. Williams makes 3-pt shot from 25 ft (assist by J. Johnson)
4:07.0,C. Anthony misses 2-pt shot from 19 ft,,32-44,,
4:06.0,,,32-44,,Defensive rebound by J. Johnson
3:57.0,,,32-46,2,J. Johnson makes 2-pt shot from 20 ft
3:36.0,T. Wear misses 2-pt shot from 19 ft,,32-46,,
3:35.0,,,32-46,,Defensive rebound by J. Johnson
3:29.0,,,32-48,2,M. Teletovic makes 2-pt shot from 1 ft (assist by J. Johnson)
3:29.0,New York full timeout,,32-48,,
3:29.0,A. Stoudemire enters the game for J. Smith,,32-48,,
3:29.0,T. Hardaway enters the game for C. Aldrich,,32-48,,
3:12.0,I. Shumpert makes 3-pt shot from 25 ft (assist by C. Anthony),3,35-48,,
2:54.0,,,35-48,,D. Williams misses 2-pt shot from 9 ft
2:53.0,,,35-48,,Offensive rebound by B. Lopez
2:52.0,,,35-48,,B. Lopez misses 2-pt shot from 1 ft
2:51.0,Defensive rebound by T. Hardaway,,35-48,,
2:33.0,A. Stoudemire misses 2-pt shot from 19 ft,,35-48,,
2:32.0,,,35-48,,Defensive rebound by B. Bogdanovic
2:27.0,Personal foul by A. Stoudemire (drawn by B. Lopez),,35-48,,
2:27.0,,,35-49,1,B. Lopez makes free throw 1 of 2
2:27.0,,,35-50,1,B. Lopez makes free throw 2 of 2
2:15.0,Shooting foul by B. Lopez (drawn by C. Anthony),,35-50,,
2:15.0,C. Anthony makes free throw 1 of 2,1,36-50,,
2:15.0,C. Anthony makes free throw 2 of 2,1,37-50,,
1:57.0,,,37-50,,Shooting foul by C. Anthony (drawn by J. Johnson)
1:57.0,,,37-51,1,J. Johnson makes free throw 1 of 2
1:57.0,C. Aldrich enters the game for A. Stoudemire,,37-51,,
1:57.0,,,37-52,1,J. Johnson makes free throw 2 of 2
1:32.0,T. Wear misses 2-pt shot from 21 ft,,37-52,,
1:31.0,,,37-52,,Defensive rebound by B. Bogdanovic
1:20.0,,,37-52,,J. Johnson misses 2-pt shot from 17 ft
1:19.0,Defensive rebound by I. Shumpert,,37-52,,
1:13.0,Turnover by T. Wear (traveling),,37-52,,
0:59.0,,,37-52,,Shooting foul by C. Aldrich (drawn by B. Lopez)
0:59.0,Technical foul by Team,,37-52,,
0:59.0,,,37-53,1,D. Williams makes technical free throw
0:59.0,,,37-54,1,B. Lopez makes free throw 1 of 2
0:59.0,,,37-55,1,B. Lopez makes free throw 2 of 2
0:45.0,T. Hardaway makes 3-pt shot from 25 ft (assist by T. Wear),3,40-55,,
0:34.0,,,40-55,,D. Williams misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by C. Aldrich,,40-55,,
0:22.0,,,40-55,,Personal foul by J. Johnson (drawn by I. Shumpert)
0:22.0,I. Shumpert makes free throw 1 of 2,1,41-55,,
0:22.0,I. Shumpert makes free throw 2 of 2,1,42-55,,
0:22.0,,,42-55,,Brooklyn full timeout
0:02.0,,,42-55,,B. Bogdanovic misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by T. Wear,,42-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,I. Shumpert makes 2-pt shot from 20 ft (assist by T. Hardaway),2,44-55,,
11:27.0,,,44-57,2,K. Garnett makes 2-pt shot from 6 ft
11:13.0,T. Hardaway misses 2-pt shot from 18 ft,,44-57,,
11:12.0,,,44-57,,Defensive rebound by Team
10:51.0,,,44-59,2,D. Williams makes 2-pt shot from 17 ft (assist by B. Bogdanovic)
10:36.0,C. Anthony misses 2-pt shot from 16 ft,,44-59,,
10:35.0,Offensive rebound by Q. Acy,,44-59,,
10:31.0,C. Anthony misses 3-pt shot from 24 ft,,44-59,,
10:30.0,,,44-59,,Defensive rebound by K. Garnett
10:09.0,,,44-61,2,B. Lopez makes 2-pt shot from 9 ft
9:55.0,A. Stoudemire misses 2-pt shot from 18 ft,,44-61,,
9:54.0,,,44-61,,Defensive rebound by D. Williams
9:48.0,,,44-63,2,B. Lopez makes 2-pt shot from 3 ft
9:48.0,,,44-63,,Shooting foul by Q. Acy (drawn by B. Lopez)
9:48.0,,,44-64,1,B. Lopez makes free throw 1 of 1
9:27.0,A. Stoudemire misses 2-pt shot from 18 ft,,44-64,,
9:26.0,Offensive rebound by Team,,44-64,,
9:26.0,,,44-64,,Loose ball foul by J. Johnson (drawn by C. Anthony)
9:04.0,I. Shumpert misses 2-pt shot from 3 ft (block by K. Garnett),,44-64,,
9:03.0,Offensive rebound by Team,,44-64,,
9:02.0,Shooting foul by B. Lopez (drawn by T. Hardaway),,44-64,,
9:02.0,T. Hardaway makes free throw 1 of 2,1,45-64,,
9:02.0,J. Smith enters the game for Q. Acy,,45-64,,
9:02.0,T. Hardaway misses free throw 2 of 2,,45-64,,
9:01.0,,,45-64,,Defensive rebound by K. Garnett
8:40.0,,,45-64,,K. Garnett misses 2-pt shot from 13 ft
8:39.0,Defensive rebound by A. Stoudemire,,45-64,,
8:28.0,,,45-64,,Personal foul by J. Johnson (drawn by C. Anthony)
8:16.0,I. Shumpert misses 3-pt shot from 24 ft,,45-64,,
8:15.0,Offensive rebound by C. Anthony,,45-64,,
8:14.0,C. Anthony makes 2-pt shot from 1 ft,2,47-64,,
8:14.0,Shooting foul by B. Lopez (drawn by C. Anthony),,47-64,,
8:14.0,,,47-64,,M. Plumlee enters the game for B. Lopez
8:14.0,C. Anthony makes free throw 1 of 1,1,48-64,,
8:05.0,Personal foul by C. Anthony (drawn by J. Johnson),,48-64,,
7:56.0,,,48-64,,M. Plumlee misses 2-pt shot from 1 ft (block by A. Stoudemire)
7:55.0,Defensive rebound by I. Shumpert,,48-64,,
7:51.0,T. Hardaway makes 2-pt shot at rim (assist by I. Shumpert),2,50-64,,
7:39.0,,,50-66,2,K. Garnett makes 2-pt shot from 18 ft (assist by D. Williams)
7:29.0,C. Anthony misses 2-pt shot from 2 ft,,50-66,,
7:28.0,Offensive rebound by C. Anthony,,50-66,,
7:27.0,C. Anthony misses 2-pt shot from 2 ft,,50-66,,
7:26.0,Offensive rebound by C. Anthony,,50-66,,
7:25.0,Shooting foul by M. Plumlee (drawn by C. Anthony),,50-66,,
7:25.0,C. Anthony makes free throw 1 of 2,1,51-66,,
7:25.0,C. Anthony makes free throw 2 of 2,1,52-66,,
7:07.0,,,52-68,2,B. Bogdanovic makes 2-pt shot from 8 ft
6:57.0,A. Stoudemire misses 2-pt shot from 3 ft,,52-68,,
6:56.0,,,52-68,,Defensive rebound by K. Garnett
6:51.0,,,52-68,,D. Williams misses 2-pt shot from 20 ft
6:50.0,Defensive rebound by A. Stoudemire,,52-68,,
6:43.0,I. Shumpert makes 2-pt shot from 16 ft,2,54-68,,
6:21.0,,,54-71,3,J. Johnson makes 3-pt shot from 27 ft (assist by B. Bogdanovic)
6:11.0,C. Anthony makes 2-pt shot from 2 ft,2,56-71,,
5:57.0,,,56-71,,J. Johnson misses 2-pt shot from 8 ft
5:56.0,Defensive rebound by I. Shumpert,,56-71,,
5:43.0,A. Stoudemire misses 2-pt shot from 2 ft,,56-71,,
5:42.0,,,56-71,,Defensive rebound by K. Garnett
5:41.0,Loose ball foul by A. Stoudemire (drawn by K. Garnett),,56-71,,
5:40.0,,,56-71,,Brooklyn full timeout
5:40.0,Q. Acy enters the game for A. Stoudemire,,56-71,,
5:40.0,J. Smith enters the game for T. Hardaway,,56-71,,
