time,Phoenix,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Muscala vs. B. Wright (A. Horford gains possession),,,,Jump ball: M. Muscala vs. B. Wright (A. Horford gains possession)
11:39.0,,,0-0,,A. Horford misses 2-pt shot from 1 ft
11:37.0,Defensive rebound by B. Wright,,0-0,,
11:21.0,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe),2,2-0,,
11:15.0,,,2-2,2,J. Teague makes 2-pt shot from 20 ft
10:59.0,M. Morris misses 2-pt shot from 16 ft,,2-2,,
10:57.0,,,2-2,,Defensive rebound by K. Korver
10:46.0,Violation by E. Bledsoe (kicked ball),,2-2,,
10:32.0,,,2-4,2,J. Teague makes 2-pt shot from 6 ft
10:17.0,M. Morris misses 3-pt shot from 23 ft,,2-4,,
10:16.0,,,2-4,,Defensive rebound by M. Muscala
10:10.0,,,2-6,2,A. Horford makes 2-pt shot from 4 ft (assist by J. Teague)
10:00.0,Turnover by E. Bledsoe (bad pass; steal by D. Carroll),,2-6,,
9:53.0,,,2-6,,J. Teague misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by B. Wright,,2-6,,
9:42.0,Turnover by B. Wright (lost ball; steal by M. Muscala),,2-6,,
9:38.0,,,2-8,2,D. Carroll makes 2-pt shot at rim (assist by K. Korver)
9:31.0,Phoenix full timeout,,2-8,,
9:14.0,M. Morris misses 2-pt shot from 8 ft,,2-8,,
9:13.0,Offensive rebound by B. Wright,,2-8,,
9:11.0,B. Wright misses 2-pt shot at rim (block by K. Korver),,2-8,,
9:10.0,,,2-8,,Defensive rebound by D. Carroll
9:06.0,,,2-8,,Turnover by D. Carroll (bad pass)
8:54.0,E. Bledsoe misses 2-pt shot from 21 ft,,2-8,,
8:52.0,Offensive rebound by P. Tucker,,2-8,,
8:40.0,E. Bledsoe misses 3-pt shot from 24 ft,,2-8,,
8:38.0,Offensive rebound by M. Morris,,2-8,,
8:36.0,B. Wright makes 2-pt shot at rim (assist by M. Morris),2,4-8,,
8:17.0,,,4-10,2,D. Carroll makes 2-pt shot from 18 ft (assist by A. Horford)
7:57.0,P. Tucker misses 3-pt shot from 22 ft,,4-10,,
7:56.0,,,4-10,,Defensive rebound by M. Muscala
7:46.0,,,4-10,,K. Korver misses 2-pt shot from 22 ft
7:46.0,Defensive rebound by Team,,4-10,,
7:25.0,M. Morris makes 2-pt shot from 12 ft,2,6-10,,
7:24.0,,,6-10,,Turnover by D. Carroll (inbound)
