time,Orlando,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. J. Hamilton (E. Payton gains possession),,,,Jump ball: D. Dedmon vs. J. Hamilton (E. Payton gains possession)
11:41.0,T. Harris misses 3-pt shot from 25 ft,,0-0,,
11:39.0,Offensive rebound by T. Harris,,0-0,,
11:23.0,T. Harris makes 3-pt shot from 22 ft (assist by E. Payton),3,3-0,,
11:03.0,,,3-0,,K. Martin misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by N. Vucevic,,3-0,,
10:45.0,Shooting foul by J. Hamilton (drawn by D. Dedmon),,3-0,,
10:45.0,D. Dedmon makes free throw 1 of 2,1,4-0,,
10:45.0,D. Dedmon makes free throw 2 of 2,1,5-0,,
10:34.0,Personal foul by D. Dedmon (drawn by J. Hamilton),,5-0,,
10:27.0,,,5-0,,Shooting foul by T. Harris (drawn by A. Wiggins)
10:27.0,,,5-1,1,A. Wiggins makes free throw 1 of 2
10:27.0,,,5-2,1,A. Wiggins makes free throw 2 of 2
10:10.0,T. Harris misses 2-pt shot from 13 ft,,5-2,,
10:09.0,,,5-2,,Defensive rebound by J. Hamilton
10:02.0,,,5-2,,A. Wiggins misses 2-pt shot from 17 ft
10:01.0,,,5-2,,Offensive rebound by J. Hamilton
9:58.0,,,5-2,,K. Martin misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by D. Dedmon,,5-2,,
9:47.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,7-2,,
9:30.0,,,7-4,2,J. Hamilton makes 2-pt shot from 2 ft (assist by A. Wiggins)
9:14.0,V. Oladipo makes 2-pt shot from 20 ft,2,9-4,,
8:55.0,,,9-4,,Z. LaVine misses 3-pt shot from 22 ft
8:54.0,Defensive rebound by N. Vucevic,,9-4,,
8:44.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,11-4,,
8:29.0,Personal foul by D. Dedmon (drawn by J. Hamilton),,11-4,,
8:21.0,,,11-4,,A. Payne misses 2-pt shot from 9 ft
8:20.0,Defensive rebound by N. Vucevic,,11-4,,
8:08.0,V. Oladipo makes 2-pt shot from 20 ft,2,13-4,,
8:06.0,,,13-4,,Minnesota full timeout
