time,LA Lakers,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. J. Hill (D. Green gains possession),,,,Jump ball: A. Bogut vs. J. Hill (D. Green gains possession)
11:45.0,,,0-2,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
11:25.0,C. Boozer makes 2-pt shot from 11 ft,2,2-2,,
11:10.0,,,2-2,,K. Thompson misses 2-pt shot from 4 ft
11:10.0,Defensive rebound by Team,,2-2,,
10:52.0,K. Bryant misses 2-pt shot from 10 ft,,2-2,,
10:51.0,,,2-2,,Defensive rebound by S. Curry
10:44.0,,,2-2,,S. Curry misses 2-pt shot from 4 ft
10:43.0,Defensive rebound by K. Bryant,,2-2,,
10:29.0,K. Bryant misses 3-pt shot from 26 ft,,2-2,,
10:28.0,Offensive rebound by C. Boozer,,2-2,,
10:22.0,W. Johnson makes 3-pt shot from 23 ft (assist by J. Lin),3,5-2,,
10:03.0,,,5-4,2,H. Barnes makes 2-pt shot at rim (assist by A. Bogut)
9:38.0,J. Hill misses 2-pt shot from 13 ft,,5-4,,
9:37.0,Offensive rebound by C. Boozer,,5-4,,
9:35.0,C. Boozer misses 2-pt shot from 10 ft,,5-4,,
9:33.0,,,5-4,,Defensive rebound by H. Barnes
9:28.0,,,5-4,,Turnover by A. Bogut (lost ball)
9:09.0,J. Hill makes 2-pt shot from 11 ft (assist by K. Bryant),2,7-4,,
8:56.0,,,7-6,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
8:39.0,C. Boozer makes 2-pt shot from 10 ft (assist by J. Lin),2,9-6,,
8:32.0,Personal foul by C. Boozer (drawn by S. Curry),,9-6,,
8:28.0,,,9-6,,Turnover by A. Bogut (bad pass)
8:18.0,J. Hill makes 2-pt shot from 19 ft (assist by J. Lin),2,11-6,,
8:04.0,,,11-6,,A. Bogut misses 2-pt shot from 7 ft
8:03.0,Defensive rebound by C. Boozer,,11-6,,
7:57.0,Shooting foul by K. Thompson (drawn by K. Bryant),,11-6,,
7:57.0,K. Bryant makes free throw 1 of 2,1,12-6,,
7:57.0,K. Bryant makes free throw 2 of 2,1,13-6,,
7:45.0,,,13-9,3,K. Thompson makes 3-pt shot from 24 ft (assist by H. Barnes)
7:26.0,C. Boozer misses 2-pt shot from 2 ft (block by A. Bogut),,13-9,,
7:25.0,,,13-9,,Defensive rebound by Team
7:17.0,,,13-9,,Offensive foul by K. Thompson
7:17.0,,,13-9,,Turnover by K. Thompson (offensive foul)
7:17.0,,,13-9,,L. Barbosa enters the game for K. Thompson
7:03.0,K. Bryant misses 2-pt shot from 17 ft,,13-9,,
7:02.0,,,13-9,,Defensive rebound by D. Green
6:52.0,,,13-11,2,S. Curry makes 2-pt shot from 19 ft
6:32.0,Shooting foul by A. Bogut (drawn by W. Johnson),,13-11,,
6:32.0,W. Johnson makes 2-pt shot from 2 ft (assist by J. Hill),2,15-11,,
6:32.0,W. Johnson makes free throw 1 of 1,1,16-11,,
6:24.0,Personal foul by J. Lin (drawn by S. Curry),,16-11,,
6:21.0,,,16-11,,S. Curry misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by Team,,16-11,,
6:08.0,Turnover by K. Bryant (lost ball; steal by H. Barnes),,16-11,,
6:03.0,,,16-11,,S. Curry misses 2-pt shot from 7 ft (block by J. Hill)
6:03.0,,,16-11,,Offensive rebound by Team
5:54.0,,,16-11,,L. Barbosa misses 2-pt shot from 17 ft
5:52.0,,,16-11,,Offensive rebound by A. Bogut
5:52.0,,,16-13,2,A. Bogut makes 2-pt shot at rim
5:29.0,K. Bryant misses 2-pt shot from 13 ft,,16-13,,
5:28.0,Offensive rebound by Team,,16-13,,
5:27.0,,,16-13,,Golden State full timeout
5:25.0,J. Lin misses 2-pt shot from 13 ft,,16-13,,
5:24.0,,,16-13,,Defensive rebound by A. Bogut
5:12.0,Violation by W. Johnson (kicked ball),,16-13,,
5:02.0,,,16-16,3,S. Curry makes 3-pt shot from 26 ft (assist by L. Barbosa)
4:48.0,K. Bryant makes 2-pt shot from 20 ft,2,18-16,,
4:40.0,,,18-16,,Shooting foul by J. Hill (drawn by S. Curry)
4:40.0,,,18-17,1,S. Curry makes free throw 1 of 2
4:40.0,,,18-17,,A. Iguodala enters the game for H. Barnes
4:40.0,,,18-17,,F. Ezeli enters the game for A. Bogut
4:40.0,R. Price enters the game for J. Lin,,18-17,,
4:40.0,E. Davis enters the game for C. Boozer,,18-17,,
4:40.0,,,18-18,1,S. Curry makes free throw 2 of 2
4:25.0,K. Bryant makes 2-pt shot from 17 ft,2,20-18,,
4:13.0,,,20-18,,D. Green misses 2-pt shot from 9 ft
4:11.0,Defensive rebound by K. Bryant,,20-18,,
4:00.0,J. Hill makes 2-pt shot at rim (assist by E. Davis),2,22-18,,
3:46.0,,,22-20,2,S. Curry makes 2-pt shot from 18 ft (assist by L. Barbosa)
3:27.0,Turnover by K. Bryant (lost ball; steal by A. Iguodala),,22-20,,
3:19.0,,,22-22,2,S. Curry makes 2-pt shot from 11 ft
3:06.0,Turnover by W. Johnson (step out of bounds),,22-22,,
3:06.0,W. Ellington enters the game for K. Bryant,,22-22,,
2:50.0,,,22-22,,D. Green misses 2-pt shot from 9 ft
2:48.0,,,22-22,,Offensive rebound by L. Barbosa
2:47.0,,,22-24,2,L. Barbosa makes 2-pt shot from 1 ft
2:34.0,W. Johnson makes 2-pt shot from 21 ft (assist by R. Price),2,24-24,,
2:28.0,,,24-24,,Turnover by S. Curry (lost ball; steal by R. Price)
2:16.0,J. Hill makes 2-pt shot from 11 ft (assist by R. Price),2,26-24,,
2:11.0,,,26-27,3,S. Curry makes 3-pt shot from 26 ft (assist by L. Barbosa)
1:50.0,E. Davis makes 2-pt shot from 7 ft,2,28-27,,
1:37.0,,,28-27,,A. Iguodala misses 2-pt shot from 17 ft
